,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,70.0,120.0,150.0,350.0, Vegan Breakfast Fruit Pizza, Fresh Fruit Salad, Vegan Energy Balls, Veggie Spring Rolls," Vegetarian Bibimbap - 350 calories/portion, 4 portions, Origin"
2,300.0,150.0,210.0,150.0,300.0," Acai bowl - 300 calories per portion, 1 portion, no allergic warnings, origin"," Cheese and Tomato Mini Quiches - 150kcals per portion, 2 portions
    Origin"," Mini Cheese Balls - 210 kcals per portion, 4 portions, contains dairy (Various)", Lentil and vegetable frittata," Vegetarian Shepherd's Pie - 300 calories/portion, 6 portions, Origin"
3,350.0,100.0,300.0,150.0,300.0, Greek Yogurt with Fig Compote," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin", Mini Pita Pizzas, Spinach and mushroom frittata," Quinoa and black bean stuffed peppers - 300 calories per portion, 4 portions, none
"
4,300.0,100.0,250.0,150.0,350.0, Banana Nut Smoothie Bowl, Baked Apple Chips, Mini vegetable spring rolls, Grilled Chicken Salad," Tomato and Basil Pasta - 350 calories/portion, 2 portions, Origin"
5,180.0,150.0,180.0,150.0,350.0, Overnight Chia Pudding, Boiled Egg with Whole Wheat Crackers, Baked Jalapeno Poppers, Tomato Basil Soup, Vegan Bolognese
6,300.0,150.0,150.0,150.0,400.0, Quinoa Breakfast Bowl, Homemade Trail Mix - Approx, Sweet Potato and Chickpea Patties," Lentil Soup - 150 calories
   - Total portions"," Mushroom and Spinach Stroganoff - 400 calories/portion, 4 portions, Origin"
7,300.0,100.0,200.0,150.0,450.0, Acai Bowl, Greek yogurt with berries, Greek Frittata, Greek Taramasalata," Thai Vegan Massaman Curry (450 calories/portion, 2 portions) - Thailand
"
8,350.0,150.0,100.0,120.0,450.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Antipasto Skewers - Approx, Cinnamon Sugar Popcorn," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Grilled shrimp with quinoa and roasted vegetables – 450 calories per portion, 2 portions, contains shellfish
"
9,320.0,150.0,100.0,150.0,320.0," Egg and cheese breakfast roll-ups (320 calories per portion, 2 portions, contains dairy, American origin)
", Carrot Soup - Approx, Bruschetta, Tom Yum Soup," Vegetable curry with basmati rice – 320 calories per portion, 4 portions, vegan-friendly (origin"
10,400.0,100.0,220.0,120.0,400.0," Breakfast pizza with eggs, bacon, and cheese (400 calories per portion, 2 portions, contains dairy, American origin)
", Caprese Skewers, Vegetarian sushi rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mexican Vegan Fajitas (400 calories/portion, 2 portions) - Mexico
"
11,350.0,100.0,80.0,150.0,300.0, Banana Nut Muffins," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Vegetable Soup," Greek Salad - 150 calories
   - Total portions"," Butternut Squash Risotto - 300 calories/portion, 4 portions, Origin"
12,400.0,150.0,230.0,150.0,280.0, Veggie Biscuits and Gravy," Mini Vegetable Frittatas - 150kcals per portion, 2 portions
    Origin"," Baba Ganoush with Pita Bread - 230 kcals per portion, 4 portions, contains gluten (Middle East)"," Greek Salad - 150 calories
   - Total portions", Vegan Stuffed Shells
13,250.0,100.0,180.0,150.0,250.0, Greek Feta and Tomato Toast," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin"," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Caprese Salad, Chickpea Flour Pancakes
14,450.0,160.0,150.0,150.0,200.0, Dutch Baby Pancake, Zucchini fritters, Black Bean and Corn Salsa with Tortilla Chips," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
", Greek Salad
