,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,300.0,120.0,150.0,170.0, Vegan Oatmeal Chocolate Chip Cookies - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Chocolate Banana Bread, Veggie Sushi Rolls, Veggie Spring Rolls, Vegan Caprese Salad
2,150.0,200.0,150.0,150.0,220.0, Scrambled Tofu, Spanish Tortilla with Potatoes - Approx, Olive Tapenade Crostini, Greek Tzatziki Dip with Pita, Quinoa and Vegetable Stir Fry
3,200.0,250.0,100.0,150.0,200.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Watermelon and Feta Salad, Baked Eggplant Chips, Spinach and feta stuffed mushrooms," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
4,250.0,280.0,150.0,150.0,200.0, Vegan Oatmeal Chocolate Chip Cookies - 250 calories per portion | 2 portions | Contains gluten | Origin, Greek yogurt with walnuts and honey, Greek Feta Dip with Veggies, Butternut squash soup, Butternut Squash Soup
5,250.0,180.0,200.0,150.0,200.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
", Oatmeal Raisin Cookies, Tofu Vegetable Skewers," Lentil Soup - 150kcals per portion, 6 portions"," Indian Vegetable Samosas - 200 calories/portion, 4 portions, contains gluten (India)
"
6,200.0,300.0,80.0,150.0,200.0, Blueberry Muffins, Chocolate Chia Seed Pudding, Avocado Deviled Eggs, Thai Tom Yum Soup," Chinese Vegan Hot and Sour Soup (200 calories/portion, 4 portions) - China

"
7,200.0,250.0,280.0,150.0,80.0, Vegetable Frittata, Sweet Potato Pancakes - Approx, Veggie Flatbread Pizza, Grilled Chicken Salad," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
"
8,200.0,100.0,180.0,150.0,150.0, Spinach and Feta Stuffed Portobello Mushrooms, Greek yogurt with berries, Cheesy Garlic Breadsticks, Caprese Salad," Steamed Fish with Lemon Butter Sauce - 150 calories per portion, 4 portions, no allergic warnings, Origin"
9,200.0,220.0,220.0,150.0,200.0, Vegan Breakfast Phyllo Cups, Vegan Granola with Almond Milk, Nutella Stuffed French Toast, Tomato Basil Soup," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
10,250.0,250.0,60.0,150.0,220.0, Raspberry Chia Pudding, Vegetable Couscous Salad," Sliced Apples with Cinnamon - 60 kcals per portion, 4 portions, no allergic warnings, origin", Spanish Gazpacho, Lentil and Vegetable Stir Fry
