,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,100.0,240.0,20.0,350.0," Shakshuka - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad, Thai Vegetable Spring Rolls, Moroccan Mint Tea, Vegan Soba Noodle Salad
2,300.0,100.0,90.0,20.0,350.0, Vegan Pumpkin Spice Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Roasted Almonds, Baked sweet potato chips, Moroccan Mint Tea," Mexican Rice Casserole - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
3,300.0,70.0,250.0,20.0,380.0, Shakshuka, Kale chips, Rice Paper Rolls with Peanut Sauce, Moroccan Mint Tea," Spinach and Cheese Stuffed Shells - 380kcals per portion, 4 portions, contains dairy
"
4,350.0,100.0,200.0,20.0,250.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Greek Yogurt with Mango and Pistachios, Moroccan Mint Tea, Vegan Pizza
5,400.0,50.0,280.0,20.0,350.0, Mediterranean Breakfast Wraps, Baked Apple Chips - Approx, Apple and Cinnamon Muffins, Moroccan Mint Tea," Thai Red Curry - 350 calories/portion, 4 portions, Origin"
6,450.0,100.0,80.0,20.0,350.0," Persian barbari bread with feta and cucumber (450kcals per portion, 2 portions, origin", Energy Balls, Vegetable Soup, Moroccan Mint Tea," Veggie Pad See Ew - 350 calories/portion, 4 portions, Origin"
7,400.0,100.0,150.0,20.0,300.0, Avocado and Egg Breakfast Salad, Cucumber and Tomato Salad, Mango salsa with tortilla chips, Moroccan Mint Tea," Lentil Tacos - 300 calories per portion, 4 portions, None, Mexico
"
8,350.0,90.0,220.0,20.0,380.0, Banana Chia Pancakes, Quinoa Energy Bites, Chicken Satay Lettuce Wraps, Moroccan Mint Tea," Eggplant Parmesan - 380kcals per portion, 4 portions, contains dairy (Italy)
"
9,350.0,100.0,190.0,20.0,200.0," Muesli with yogurt and mixed fruits (350kcals per portion, 1 portion)
", Edamame, Greek Spinach and Feta Pinwheels, Moroccan Mint Tea," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
10,350.0,100.0,150.0,20.0,250.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
", Cucumber Sandwich, Roasted Red Pepper and Feta Dip, Moroccan Mint Tea, Mushroom Risotto
11,300.0,100.0,250.0,20.0,350.0," Greek yogurt parfait with mixed berries and honey (300kcals per portion, 1 portion, origin", Cucumber and Tomato Salad, Cheese and Spinach Triangles, Moroccan Mint Tea, Mexican Quinoa Stuffed Zucchini
12,200.0,80.0,300.0,20.0,300.0, Vegan Scones - 200 calories per portion | 2 portions | Contains gluten | Origin, Kale Chips, Baked Chicken Nuggets, Moroccan Mint Tea, Ratatouille-Stuffed Peppers
13,380.0,100.0,280.0,20.0,200.0," Israeli-style salad with scrambled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
"," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Greek Spinach and Cheese Rolls, Moroccan Mint Tea, Vegan Caprese Salad
14,200.0,100.0,300.0,20.0,350.0, Vegan French Toast - 200 calories per portion | 2 portions | Contains gluten | Origin, Quinoa Energy Bites, Roasted Vegetable Pizza, Moroccan Mint Tea, Quinoa Salad with Roasted Vegetables
15,300.0,100.0,250.0,20.0,200.0, Mushroom and Tomato Omelette, Fruit salad, Vegetable Samosas, Moroccan Mint Tea, Lebanese Fattoush Salad
16,380.0,100.0,180.0,20.0,300.0," Sweet potato and black bean breakfast skillet (380 calories per portion, 2 portions, nut-free, Mexican origin)
"," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Mini vegetable quinoa bites, Moroccan Mint Tea," Greek Pita Sandwiches - 300 calories/portion, 4 portions, contains gluten (Greece)
"
17,400.0,100.0,200.0,20.0,200.0, Strawberry Banana Pancakes, Overnight Chia Pudding, Mini Chicken and Vegetable Pies, Moroccan Mint Tea," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
18,350.0,80.0,150.0,20.0,300.0, Vegan Breakfast Baked Potato - 350 calories per portion | 1 portion | None | Origin," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Cucumber and Tomato Salsa with Tortilla Chips, Moroccan Mint Tea," Chinese Sesame Noodles (300 calories/portion, 4 portions) - China
"
19,150.0,100.0,250.0,20.0,300.0, Vegan Breakfast Fajitas, Carrot Sticks with Ranch Dip, Chicken and vegetable lettuce wraps, Moroccan Mint Tea," Vegetarian chili - 300 calories per portion, 4 portions, none (Mexico)
"
20,400.0,100.0,180.0,20.0,350.0," Veggie breakfast quesadilla (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Caprese Skewers, Mini vegetable quinoa bites, Moroccan Mint Tea," Veggie Paella - 350 calories/portion, 4 portions, Origin"
21,350.0,100.0,220.0,20.0,300.0, Banana Chia Pancakes, Fresh Fruit Salad, Indian Samosa Chaat, Moroccan Mint Tea," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
22,450.0,100.0,220.0,20.0,250.0," Jamaican ackee and saltfish with Johnny cakes - 450 calories per portion, 2 portions, contains gluten, origin", Edamame," Falafel with Tahini Sauce - 220 kcals per portion, 3 portions, contains sesame (Middle East)", Moroccan Mint Tea," Vegan Lentil and Vegetable Casserole - 250 calories per portion, 4 portions, may contain gluten"
23,300.0,100.0,100.0,20.0,350.0," Almond butter and banana toast (300 calories per portion, 2 portions, contains nuts, American origin)
", Rice Paper Spring Rolls, Veggie Pinwheels, Moroccan Mint Tea, Mexican Quinoa Stuffed Bell Peppers
24,350.0,80.0,140.0,20.0,180.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
", Mango with Chili Powder," Mini Vegetable Quinoa Cups - 140 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea, Ratatouille
25,250.0,100.0,90.0,20.0,180.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Cucumber and Tomato Salad," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)", Moroccan Mint Tea, Spinach and Mushroom Frittata
26,300.0,100.0,120.0,20.0,350.0, Mushroom and Tomato Omelette, Cucumber and Tomato Salad," Cold Cucumber Soup - 120 kcals per portion, 4 portions, gluten-free (World)", Moroccan Mint Tea," Greek Pasta Salad - 350 calories/portion, 4 portions, Origin"
27,400.0,90.0,150.0,20.0,250.0," Polish scrambled eggs with kielbasa and sauerkraut (400kcals per portion, 2 portions, pork allergies, origin", Rice Paper Rolls, Mini Meatballs, Moroccan Mint Tea, Cucumber Avocado Sushi Rolls
28,300.0,100.0,180.0,20.0,350.0," Egyptian foul medames (fava bean stew) - 300 calories per portion, 2 portions, no allergic warnings, origin", Caprese Skewers," Greek Yogurt Bark - 180 kcals per portion, 4 portions, contains dairy (Greece)", Moroccan Mint Tea, Vegan Tikka Wrap
29,600.0,100.0,170.0,20.0,350.0, English Breakfast, Watermelon Fruit Pizza, Roasted Beetroot and Goat Cheese Crostini, Moroccan Mint Tea, Mushroom Risotto Stuffed Peppers
30,400.0,100.0,300.0,20.0,300.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Carrot Sticks with Ranch Dip, Mini Pita Pizzas, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
31,320.0,100.0,320.0,20.0,350.0," Artichoke and feta tart (320 calories per portion, 2 portions, contains dairy, Greek origin)
", Edamame," Nachos with Guacamole - 320 kcals per portion, 2 portions, contains dairy (Mexico)", Moroccan Mint Tea," Honey Garlic Glazed Salmon - 350 calories per portion, 4 portions, no allergic warnings, Origin"
32,500.0,100.0,140.0,20.0,300.0," Eggs Benedict with ham and hollandaise sauce (500kcals per portion, 2 portions)
"," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin"," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Roasted Vegetable Pasta - 300 calories per portion, 4 portions, Gluten, Italy
"
33,400.0,100.0,220.0,20.0,390.0, Shakshuka with Feta Cheese, Energy Balls, Banana bread muffins, Moroccan Mint Tea," Quinoa-Stuffed Acorn Squash - 390kcals per portion, 4 portions
"
34,300.0,80.0,140.0,20.0,350.0," Strawberry banana overnight oats (300 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad, Baked Sweet Potato Chips, Moroccan Mint Tea," Vegan Sushi Bowl - 350 calories per portion, 4 portions, Soy, Japan
"
35,500.0,80.0,200.0,20.0,300.0, Breakfast Burrito, Stuffed Dates, Guacamole with Tortilla Chips, Moroccan Mint Tea, Veggie Fajitas
36,400.0,100.0,120.0,20.0,292.0," Warm quinoa breakfast bowl with caramelized bananas and almonds (400 calories per portion, 2 portions, contains nuts, American origin)
Please note that the above recipes are suggestions and the nutritional information provided is approximate", Fresh Juice - Approx, Caprese stuffed mushrooms, Moroccan Mint Tea, Lentil Loaf
37,400.0,100.0,150.0,20.0,250.0, Breakfast Bibimbap, Carrot Sticks with Ranch Dip, Caprese Salad, Moroccan Mint Tea," Moroccan Chickpea Pancakes (250 calories/portion, 4 portions) - Morocco
"
38,350.0,100.0,150.0,20.0,350.0," Veggie omelette with zucchini and goat cheese (350 calories per portion, 2 portions, contains dairy, French origin)
", Fresh Fruit Salad, Vegetable Frittata, Moroccan Mint Tea," Mexican Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
39,250.0,100.0,160.0,20.0,200.0, Blueberry Oatmeal Breakfast Bars, Rice Cake with Hummus and Cucumber, Sliced Apples with Peanut Butter, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
40,300.0,80.0,200.0,20.0,356.0," Almond butter and banana toast (300 calories per portion, 2 portions, contains nuts, American origin)
", Baked Apple Chips, Stuffed Eggplant, Moroccan Mint Tea, Vegan Miso Ramen
41,200.0,100.0,250.0,20.0,300.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Zesty Lime Popcorn - Approx, Spinach and artichoke dip with pita chips, Moroccan Mint Tea, Jackfruit Tacos
42,300.0,100.0,100.0,20.0,350.0," Filipino champorado (chocolate rice porridge) - 300 calories per portion, 2 portions, contains gluten, origin", Fruit salad, Baked zucchini fries, Moroccan Mint Tea," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
43,450.0,80.0,800.0,20.0,220.0," Breakfast quesadilla with eggs, cheese, and vegetables (450kcals per portion, 2 portions)
", Baked Apple Chips, Vegan Spinach Artichoke Dip, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
44,300.0,90.0,150.0,20.0,330.0," Greek yogurt parfait with mixed berries and honey (300kcals per portion, 1 portion, origin", Vegetarian Spring Rolls, Cucumber and Cream Cheese Sandwiches, Moroccan Mint Tea," Lentil and Vegetable Curry - 330kcals per portion, 4 portions, contains legumes
"
45,320.0,100.0,150.0,20.0,200.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
", Vegetable Crudité with Hummus, Stuffed mushrooms, Moroccan Mint Tea, Mediterranean Stuffed Eggplant
46,400.0,80.0,200.0,20.0,350.0, Vegan Breakfast Spanakopita, Stuffed Dates, Cheese and Tomato Toasties, Moroccan Mint Tea," Thai Red Curry - 350 calories/portion, 4 portions, Origin"
