,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,280.0,50.0,150.0,400.0,150.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
", Baked Apple Chips - Approx, Caprese skewers with balsamic glaze, Vegetable Biryani, Cauliflower Fried Rice
2,250.0,50.0,180.0,120.0,150.0, Vegan Cinnamon Rolls, Baked Apple Chips - Approx, Veggie Pancakes with Yogurt Dip," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Caprese Salad
3,250.0,60.0,200.0,250.0,119.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Cucumber and tomato salad," Poppy Seed Muffins - 200 kcals per portion, 3 portions, contains gluten (Various)", Roasted vegetable and hummus wrap, Vegan Gazpacho
4,300.0,60.0,300.0,600.0,150.0, French Toast, Fruit Salad - Approx, Roasted Vegetable Wrap, Indian Chicken Biryani, Lentil Soup
5,250.0,50.0,240.0,450.0,150.0, Greek Yogurt Parfait Bowl," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie Sushi Rolls," Thai Red Curry with Shrimp (450 calories per portion, serves 2, contains shellfish, origin"," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
6,250.0,60.0,80.0,250.0,150.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
", Fruit Salad - Approx, Energy Balls," Lentil Salad - 250kcals per portion, 2 portions, contains legumes
"," Feta and spinach stuffed tomatoes - 150 calories per portion, 6 portions, contains dairy (Greece)
"
7,300.0,50.0,150.0,300.0,150.0, Mediterranean Chickpea Scramble, Baked Apple Chips - Approx, Caprese Skewers," Moroccan Couscous Salad with Roasted Vegetables (300 calories per portion, serves 4, contains gluten, origin"," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
8,300.0,60.0,200.0,450.0,150.0, Omelette with Spinach and Feta, Fruit Salad - Approx, Mini Bagel Pizzas, Thai Green Curry with Tofu, Spinach and Feta Stuffed Mushrooms
9,150.0,50.0,280.0,350.0,150.0, Vegan Peanut Butter Banana Smoothie," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Spinach Pie, Beetroot and Goat Cheese Salad," Ratatouille - 150 calories per portion, 6 portions, None, France
"
10,250.0,60.0,250.0,200.0,150.0, Vegan Breakfast BLT Sandwich, Cucumber and tomato salad, Guacamole with Tortilla Chips, Greek roasted potatoes, Swiss Chard and Lentil Soup
11,250.0,50.0,170.0,300.0,150.0, Vegan Breakfast BLT Sandwich," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Roasted Beetroot and Goat Cheese Crostini," Vegan Caesar Pasta Salad
Total calories per portion", Lentil Soup
12,250.0,50.0,100.0,400.0,150.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Vegan Spinach and Artichoke Dip - 100 kcals per portion, 4 portions, no allergic warnings, origin", Indian Chicken Biryani, Swiss Chard and Lentil Soup
13,250.0,50.0,280.0,600.0,150.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegan Nachos, Chicken Tikka Masala, Lentil Soup
14,300.0,50.0,120.0,450.0,150.0, Banana Nut Smoothie Bowl," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Buffalo Cauliflower Bites with Ranch Dip," Falafel Wrap with Tahini Sauce
Total calories per portion"," Caprese salad - 150 calories per portion, 4 portions, contains dairy (Italy)
"
15,300.0,50.0,250.0,500.0,150.0, Quinoa Porridge, Baked Apple Chips - Approx," Sushi - 250 kcals per portion, 2 portions, contains fish, soy (Japan)"," Greek Moussaka with Eggplant and Beef (500 calories per portion, serves 2, contains dairy and eggs, origin", Butternut Squash Soup
16,300.0,60.0,300.0,450.0,120.0, Quinoa Breakfast Cookies, Fruit Salad - Approx, Mini Pita Pizzas, Stuffed Bell Peppers with Ground Beef and Rice, Cucumber and Tomato Salad
17,250.0,50.0,250.0,250.0,150.0, Vegan Oatmeal Chocolate Chip Cookies - 250 calories per portion | 2 portions | Contains gluten | Origin, Baked Apple Chips - Approx, Mini Buffalo Chicken Wraps, Vegetarian sushi rolls," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
18,100.0,50.0,150.0,200.0,150.0, Vegan Breakfast Steamed Buns," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Ricotta Stuffed Mushrooms," Lentil Soup - 200 calories per portion, 4 portions, vegetarian, International
", Caprese Salad
19,300.0,50.0,160.0,400.0,119.0," Carrot cake oatmeal (300 calories per portion, 2 portions, nut-free, American origin)
", Baked Apple Chips - Approx, Mini Vegetable Frittatas, Mediterranean vegetable and lentil stew, Vegan Gazpacho
20,200.0,60.0,200.0,300.0,150.0, Greek Yogurt Pancakes, Fruit Salad - Approx, Egg Salad Lettuce Wraps," Greek Lemon Chicken Soup (300 calories per portion, serves 6, contains gluten and eggs, origin"," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
21,150.0,60.0,150.0,350.0,150.0, Chia Pudding, Fruit Salad - Approx, Mixed berry smoothie," Vegan Teriyaki Vegetable Stir-Fry
Total calories per portion", Minestrone Soup
22,200.0,60.0,130.0,500.0,150.0, Zucchini Bread, Cucumber and tomato salad," Veggie Sushi Rolls with Spicy Tofu - 130 kcals per portion, 4 portions, no allergic warnings, origin", Middle Eastern Falafel Burger," Caprese salad - 150 calories per portion, 4 portions, contains dairy (Italy)
"
23,300.0,50.0,160.0,350.0,150.0," Yogurt and fruit smoothie with almond milk (300kcals per portion, 1 portion, nut allergies)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Quinoa Stuffed Mushrooms with Feta - 350kcals per portion, 2 portions, contains dairy, gluten-free
", Greek Salad
24,300.0,50.0,100.0,280.0,150.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek yogurt with honey and walnuts," Lentil and Sweet Potato Curry - 280kcals per portion, 4 portions, vegan, International
", Swiss Chard and Lentil Soup
25,250.0,60.0,220.0,450.0,150.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin", Fruit Salad - Approx, Baked Mini Samosas with Mint Chutney, Moroccan Couscous, Lentil Soup with Kale
26,300.0,50.0,150.0,400.0,150.0, Turkish Menemen, Baked Apple Chips - Approx, Spinach and feta stuffed chicken breast, Vegan Pad Thai, Lentil Soup
27,250.0,50.0,40.0,350.0,150.0, Cucumber Sandwich," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cucumber Roll-Ups, Caprese stuffed portobello mushrooms," Grilled Vegetable Skewers - 150 calories/portion, 4 portions, contains garlic (Various)
"
