,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,80.0,200.0,120.0,200.0, Vegetable Frittata, Avocado Deviled Eggs, Caramelized Onion and Goat Cheese Tartlets," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Chinese Vegan Hot and Sour Soup (200 calories/portion, 4 portions) - China

"
2,350.0,80.0,200.0,100.0,250.0, Maple Pecan Granola with Yogurt," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Mini Ricotta and Spinach Pastries, Israeli salad," Vegan Tofu Scramble - 250 calories per portion, 4 portions, None, Various
"
3,250.0,80.0,200.0,120.0,300.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Apple with Cinnamon, Nachos with Salsa and Cheese," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Indian-Style Spinach and Chickpeas
4,250.0,90.0,150.0,120.0,400.0, Vegan Cacao Banana Smoothie - 250 calories per portion | 2 portions | None | Origin, Turkish-style boiled eggs, Stuffed Jalapenos with Cream Cheese," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Beef and Mushroom Stroganoff - 400 calories per portion, 4 portions, contains gluten (flour), Origin"
5,350.0,80.0,180.0,120.0,400.0," Turkish borek (savory pastry) filled with cheese - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Kale Chips, Baked Buffalo Chicken Wings," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Greek salad with grilled shrimp – 400 calories per portion, 3 portions, contains shellfish (origin"
6,300.0,50.0,150.0,120.0,320.0, Vegan Mango Coconut Chia Pudding - 300 calories per portion | 1 portion | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Vegan Zucchini Bread - 150 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Caprese quinoa salad – 320 calories per portion, 4 portions, contains dairy
"
7,300.0,80.0,880.0,120.0,300.0, Acai Bowl, Fresh Watermelon Slices - Approx, Jackfruit Tacos," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Ratatouille Tart
8,300.0,90.0,160.0,100.0,400.0, Saffron Yogurt with Fruit, Quinoa Energy Bites," Sweet Potato and Black Bean Quesadillas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Sweet Potato and Black Bean Enchiladas
9,400.0,90.0,160.0,120.0,500.0, Pancakes with Maple Syrup, Vegetarian Spring Rolls, Mini Vegetable Frittatas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Pesto Pasta with Grilled Chicken - 500 calories per portion, 4 portions, contains gluten (pasta), Origin"
10,280.0,80.0,180.0,100.0,450.0," Cinnamon raisin oatmeal with apples (280 calories per portion, 2 portions, nut-free, American origin)
", Cheesy Popcorn, Cucumber and Avocado Sushi Rolls, Israeli salad, Thai Green Curry with Chicken
11,200.0,80.0,150.0,120.0,350.0, Blueberry Muffins, Apple with Cinnamon, Black Bean and Corn Salsa," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Quiche
12,300.0,80.0,210.0,120.0,400.0, Chocolate Peanut Butter Overnight Oats, Baked Apple Chips," Mini Cheese Balls - 210 kcals per portion, 4 portions, contains dairy (Various)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lemon Herb Roasted Chicken - 400 calories per portion, 4 portions, no allergic warnings, Origin"
13,500.0,80.0,520.0,120.0,350.0, Vegan Breakfast Cookies, Energy Balls, Vegan Thai Coconut Curry Soup," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Mushroom Risotto Stuffed Peppers
14,200.0,80.0,150.0,20.0,350.0, Veggie Breakfast Pizza Rolls, Fruit Salad, Cucumber and Tomato Salsa with Tortilla Chips, Moroccan Mint Tea, Mushroom Tacos
15,400.0,90.0,120.0,120.0,500.0," South African boerewors sausage with tomato chutney (400kcals per portion, 2 portions, origin", Rice Paper Rolls, Frozen yogurt bark with berries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Pesto Pasta with Grilled Chicken - 500 calories per portion, 4 portions, contains gluten (pasta), Origin"
16,350.0,90.0,100.0,20.0,400.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
", Vegetarian Spring Rolls, Chocolate-Dipped Strawberries, Moroccan Mint Tea, Thai Pineapple Fried Rice
17,250.0,50.0,200.0,100.0,350.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Almond Butter Banana Toast, Israeli salad," Chinese Vegan General Tso's Cauliflower (350 calories/portion, 3 portions) - China
"
18,350.0,50.0,180.0,120.0,300.0," French toast with maple syrup - 350 calories per portion, 2 portions, contains gluten and dairy, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Margherita Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Japanese Vegan Sushi Bowl (300 calories/portion, 3 portions) - Japan
"
19,400.0,90.0,300.0,120.0,400.0," South Indian idli with sambar - 400 calories per portion, 2 portions, contains gluten, origin", Stuffed Dates, Baked Chicken Nuggets," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," BBQ Chicken Tacos - 400 calories per portion, 4 portions, contains gluten (tortillas), Origin"
20,200.0,80.0,220.0,20.0,420.0, Blueberry Almond Baked Oatmeal, Cheesy Popcorn," Greek Yogurt Parfait - 220 kcals per portion, 2 portions, contains dairy (Greece)", Moroccan Mint Tea," Mushroom Risotto - 420kcals per portion, 2 portions
"
21,200.0,80.0,70.0,100.0,100.0, Vegan Breakfast Quiche Lorraine, Fruit Salad," Watermelon and Mint Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
22,450.0,80.0,90.0,20.0,320.0, French Crepes, Mango with Chili Powder, Watermelon Feta Bites, Moroccan Mint Tea," Lentil Soup - 320kcals per portion, 4 portions, gluten-free (Various)
"
23,150.0,90.0,180.0,100.0,350.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Vegetarian Spring Rolls, Veggie Stuffed Pita Bread, Israeli salad, Tofu Pad Kra Pao
24,450.0,80.0,120.0,20.0,450.0," Mexican gorditas with beans, cheese, and salsa (450kcals per portion, 2 portions, origin", Avocado Deviled Eggs, Cucumber Sandwiches, Moroccan Mint Tea, Roasted Brussels Sprouts and Quinoa Salad
25,250.0,80.0,200.0,120.0,380.0, Raspberry Chia Pudding, Avocado Deviled Eggs, Stuffed Grape Leaves," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil Stew - 380kcals per portion, 4 portions
"
26,300.0,80.0,120.0,120.0,400.0, Vegan Pumpkin Spice Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Fruit Salad, Caprese Salad Skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Mediterranean stuffed tomatoes with quinoa and olives (400 calories per portion, 3 portions, vegan-friendly, origin"
27,400.0,80.0,180.0,100.0,400.0," Dutch baby pancake with lemon and powdered sugar (400kcals per portion, 2 portions, origin", Apple with Cinnamon," Tapioca Pudding - 180 kcals per portion, 3 portions, contains dairy (World)", Israeli salad," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
28,250.0,80.0,140.0,20.0,450.0, Vegan Oatmeal Chocolate Chip Cookies - 250 calories per portion | 2 portions | Contains gluten | Origin, Fruit Salad, Mozzarella sticks served with marinara sauce, Moroccan Mint Tea, Vegetable Paella
29,450.0,80.0,200.0,120.0,300.0," Baguette with brie and prosciutto (450kcals per portion, 1 portion, pork allergies, origin", Baked Apple Chips, Roasted Red Pepper Hummus," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
30,200.0,80.0,170.0,120.0,400.0, Raspberry Coconut Breakfast Bars, Fruit Salad, Mini Quiches," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetarian shepherd's pie with mashed cauliflower (400 calories per portion, 3 portions, contains dairy, origin"
31,350.0,80.0,160.0,120.0,400.0," Veggie omelette with zucchini and goat cheese (350 calories per portion, 2 portions, contains dairy, French origin)
", Baked Apple Chips," Vegan Spinach and Mushroom Tartlets - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Eggplant Involtini - 400 calories/portion, 4 portions, Origin"
32,200.0,90.0,200.0,120.0,450.0, Mediterranean Vegetable Omelette, Stuffed Dates, Greek Frittata," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Chickpea Tikka Masala
33,350.0,80.0,150.0,120.0,250.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Hard-Boiled Eggs, Mini Meatballs," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Pizza
34,400.0,90.0,100.0,100.0,400.0, Avocado and Egg Breakfast Salad, Fruit Salad, Edamame, Israeli salad, Teriyaki Salmon with Steamed Vegetables
