,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,70.0,150.0,450.0,300.0, Mozzarella and Tomato Bruschetta, Fresh Fruit Salad, Cauliflower Buffalo Wings, Feta and Spinach Stuffed Mushrooms," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
2,300.0,70.0,200.0,700.0,400.0, Chocolate Peanut Butter Overnight Oats, Fresh Fruit Salad, Roasted Red Pepper Hummus, Quiche Lorraine, Veggie Lo Mein
3,250.0,70.0,180.0,400.0,250.0, Vegan Breakfast Strata, Fresh Fruit Salad, Spinach and Feta Pastry Triangles, Vegetable paella," Chickpea Curry - 250 calories/portion, 4 portions, contains garlic and onions (India)
"
4,200.0,70.0,180.0,370.0,400.0, Vegan Blueberry Pancakes, Fresh Fruit Salad, Veggie Sausage Rolls," Mediterranean Wrap - 370kcals per portion, 1 portion, contains gluten
"," Sweet potato gnocchi with sage butter - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
5,250.0,70.0,240.0,600.0,200.0, Middle Eastern Shakshuka, Fresh Fruit Salad, Spinach and Artichoke Dip, Margherita Pizza," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
6,300.0,70.0,160.0,350.0,250.0, Feta and Spinach Muffins, Fresh Fruit Salad, Spinach and Artichoke Dip, Vegetable and Tofu Skewers," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
7,300.0,70.0,120.0,250.0,350.0, Greek Yogurt Parfait, Fresh Fruit Salad, Dark Chocolate Energy Balls, Mexican vegetable tortilla soup," Veggie Pad See Ew - 350 calories/portion, 4 portions, Origin"
8,250.0,70.0,100.0,250.0,350.0, Vegan Breakfast Enchiladas, Fresh Fruit Salad, Baked Buffalo Cauliflower Bites, Bruschetta," Mexican Street Corn Pasta Salad - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
9,200.0,70.0,100.0,400.0,350.0, Tofu Scramble, Fresh Fruit Salad, Tomato Basil Soup," Greek Pita Pockets - 400kcals per portion, 1 portion, contains gluten, dairy (Greece)
"," Butternut squash and lentil curry - 350 calories per portion, 4 portions, contains nuts (India)
"
10,300.0,70.0,240.0,400.0,400.0, Raspberry Peach Chia Pudding, Fresh Fruit Salad, Greek Stuffed Grape Leaves," Veggie Sushi Burrito - 400kcals per portion, 1 portion, contains soy, gluten (Japan)
"," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
11,250.0,70.0,300.0,190.0,330.0, Vegan Cinnamon Rolls, Fresh Fruit Salad, Vegetable Fajitas," Tomato and Basil Bruschetta - 190kcals per portion, 2 portions, contains gluten (Italy)
"," Lentil Burgers - 330kcals per portion, 4 portions, contains legumes
"
12,400.0,70.0,150.0,400.0,180.0, Veggie Biscuits and Gravy, Fresh Fruit Salad, Caprese Salad Skewers, Vegetable paella," Ratatouille - 180kcals per portion, 4 portions, vegan (France)
"
13,300.0,70.0,180.0,400.0,400.0, Chocolate Peanut Butter Overnight Oats, Fresh Fruit Salad, Apple with Peanut Butter, Greek Pasta Salad," Vegetable Pot Pie - 400 calories/portion, 4 portions, contains gluten (Various)
"
14,200.0,70.0,240.0,420.0,300.0, Blueberry Muffins, Fresh Fruit Salad, Spinach and Artichoke Dip," Ratatouille Galette - 420kcals per portion, 2 portions, contains gluten (France)

Please note that the calorie counts are approximate and can vary depending on portion size and specific ingredients used"," Greek Stuffed Peppers - 300 calories/portion, 4 portions, contains feta cheese (Greece)
"
15,300.0,70.0,220.0,300.0,400.0, Chia Seed Pancakes, Fresh Fruit Salad, Quinoa Salad, Black bean and vegetable enchiladas," Mushroom risotto - 400 calories per portion, 4 portions, contains dairy (Italy)
"
16,200.0,70.0,180.0,200.0,340.0, Zucchini Bread, Fresh Fruit Salad, Mango Salsa with Tortilla Chips," Baked Zucchini Fries - 200kcals per portion, 4 portions, no allergies
"," Quinoa and Black Bean Burger - 340kcals per portion, 4 portions, contains legumes
"
17,150.0,70.0,120.0,180.0,250.0, Scrambled Tofu, Fresh Fruit Salad, Zucchini Fritters," Spinach and Feta Stuffed Portobello Mushrooms - 180kcals per portion, 2 portions, contains dairy
"," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
18,350.0,70.0,70.0,280.0,320.0, Shakshuka, Fresh Fruit Salad, Veggie Spring Rolls," Quinoa and Roasted Vegetable Stuffed Peppers - 280kcals per portion, 4 portions, no allergies
"," Greek Gigantes Plaki - 320kcals per portion, 4 portions
"
19,250.0,70.0,130.0,300.0,350.0, Vegetable Scramble, Fresh Fruit Salad, Mini Vegetable Quesadillas," Greek Falafel - 300kcals per portion, 4 portions, no allergies, Origin"," Mexican Quinoa Stuffed Zucchini - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
20,400.0,70.0,200.0,410.0,300.0, Vegetarian Breakfast Casserole, Fresh Fruit Salad, Veggie Sausage and Pepper Skewers," Mexican Stuffed Zucchini - 410kcals per portion, 2 portions, contains gluten
"," Greek Stuffed Eggplant - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
21,150.0,70.0,180.0,450.0,400.0, Scrambled Tofu, Fresh Fruit Salad, Mango Salsa with Tortilla Chips," Greek Gyro Wrap - 450kcals per portion, 1 portion, contains gluten, dairy (Greece)
"," Sweet potato gnocchi with sage butter - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
22,350.0,70.0,120.0,300.0,380.0, Banana Nut Muffins, Fresh Fruit Salad, Greek Yogurt with Berries," Greek Falafel - 300kcals per portion, 4 portions, no allergies, Origin"," Vegetable Curry with Coconut Milk - 380kcals per portion, 4 portions, contains nuts
"
23,200.0,70.0,220.0,250.0,300.0, Vegan Pumpkin Pancakes, Fresh Fruit Salad, Tomato and Mozzarella Stuffed Portobello Mushrooms," Tofu Veggie Stir-Fry - 250kcals per portion, 3 portions, no allergies, Origin"," Broccoli and Cheddar Stuffed Potatoes - 300 calories/portion, 4 portions, Origin"
24,300.0,70.0,120.0,250.0,300.0, Quinoa Breakfast Bowl, Fresh Fruit Salad, Greek Yogurt with Berries," Zucchini Noodles with Pesto - 250kcals per portion, 2 portions, contains nuts
"," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
25,200.0,70.0,300.0,400.0,400.0, Vegan Banana Bread, Fresh Fruit Salad, Vegetable Pizza Rolls," Tomato and Mozzarella Panini - 400kcals per portion, 2 portions, contains dairy
"," Mushroom and truffle risotto - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
26,200.0,70.0,80.0,300.0,260.0, Banana Pancakes, Fresh Fruit Salad, Veggie Noodle Salad, Quinoa Tabbouleh," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
27,400.0,70.0,180.0,500.0,300.0, Tofu Benedict, Fresh Fruit Salad, Spinach and Feta Pastry Triangles, Mushroom and Pea Risotto," Mediterranean Stuffed Eggplant - 300 calories/portion, 2 portions, Origin"
28,350.0,70.0,180.0,380.0,380.0, Veggie Breakfast Wrap, Fresh Fruit Salad, Veggie Sausage Rolls," Quinoa and Sweet Potato Salad - 380kcals per portion, 2 portions, gluten-free
"," Lentil Bolognese - 380kcals per portion, 4 portions, contains legumes (Italy)
"
29,200.0,70.0,230.0,250.0,350.0, Greek Yogurt Pancakes, Fresh Fruit Salad, Avocado Toast, Mediterranean couscous salad," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
30,350.0,70.0,100.0,250.0,350.0, Veggie Breakfast Strudel, Fresh Fruit Salad, Apple Chips, Vegetable bibimbap," Mexican Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
31,150.0,70.0,120.0,500.0,200.0, Fruit Salad, Fresh Fruit Salad, Pumpkin Hummus with Carrot Sticks, Veggie Soba Noodle Stir-Fry," Mexican Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains gluten (Mexico)
"
32,300.0,70.0,220.0,420.0,300.0, Vegetable Frittata, Fresh Fruit Salad, Guacamole with Tortilla Chips," Veggie Curry - 420kcals per portion, 2 portions, contains legumes, nightshade vegetables (India)
"," Black Bean Enchiladas - 300 calories/portion, 4 portions, Origin"
33,200.0,70.0,90.0,600.0,300.0, Spinach and Feta Stuffed Portobello Mushrooms, Fresh Fruit Salad, Homemade Popcorn, Mushroom and Goat Cheese Tart," Chickpea and vegetable stir-fry - 300 calories per portion, 4 portions, contains soy (Middle East)
"
34,300.0,70.0,140.0,380.0,250.0, Greek Yogurt with Berries and Granola, Fresh Fruit Salad, Baked Sweet Potato Chips," Mushroom and Spinach Tart - 380kcals per portion, 3 portions, contains dairy
"," Veggie fajitas - 250 calories per portion, 4 portions, contains gluten (Mexico)
"
35,180.0,70.0,150.0,350.0,380.0, Overnight Chia Pudding, Fresh Fruit Salad, Caprese Salad," Quinoa and Black Bean Salad - 350kcals per portion, 3 portions, no allergies
"," Quinoa Fried Rice - 380kcals per portion, 4 portions, contains egg
"
36,350.0,70.0,280.0,600.0,350.0, Banana Walnut Bread, Fresh Fruit Salad, Sweet Potato and Black Bean Quesadillas, Lentil Sloppy Joes," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
37,200.0,70.0,250.0,250.0,350.0, Tofu Scramble, Fresh Fruit Salad, Vegetarian Chili," Greek Lentil Salad - 250kcals per portion, 4 portions, no allergies, Origin"," Mexican Street Corn Pasta Salad - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
38,300.0,70.0,180.0,250.0,280.0, Mushroom and Spinach Vegan Quiche, Fresh Fruit Salad, Greek Tzatziki with Pita Bread," Greek Potato Salad - 250kcals per portion, 4 portions, no allergies, Origin"," Greek Zucchini Fritters - 280kcals per portion, 4 portions
"
39,300.0,70.0,140.0,180.0,400.0, Blueberry Coconut Overnight Oats, Fresh Fruit Salad, Blueberry Oat Bars," Greek Salad - 180kcals per portion, 2 portions, contains dairy (Greece)
", Spinach and Ricotta Stuffed Pasta Shells
40,250.0,70.0,250.0,400.0,400.0, Tomato Basil Bruschetta, Fresh Fruit Salad, Avocado Chocolate Mousse," Mushroom Risotto - 400kcals per portion, 2 portions, contains dairy, Origin"," Mushroom and Spinach Quesadillas - 400 calories/portion, 4 portions, contains gluten (Mexico)
"
41,150.0,70.0,80.0,350.0,250.0, Fruit Salad, Fresh Fruit Salad, Avocado Deviled Eggs, Greek vegetable and feta burgers," Caprese Stuffed Zucchini - 250 calories/portion, 4 portions, Origin"
42,300.0,70.0,220.0,150.0,400.0, Quinoa Breakfast Bowl, Fresh Fruit Salad, Sesame Ginger Edamame, Spinach and feta stuffed bell peppers," Butternut squash ravioli with brown butter sauce - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
43,250.0,70.0,180.0,300.0,350.0, Whole Wheat Veggie Breakfast Wrap, Fresh Fruit Salad, Spinach and Feta Pinwheels, Avocado and Tomato Sandwich," Greek Orzo Salad - 350 calories/portion, 4 portions, contains gluten (Greece)
"
44,350.0,70.0,280.0,420.0,500.0, Tomato and Basil Bruschetta Scramble, Fresh Fruit Salad, Mediterranean Hummus Wrap," Veggie Pad Thai - 420kcals per portion, 2 portions, contains gluten, peanuts (Thailand)
", Vegetable Massaman Curry
45,350.0,70.0,240.0,350.0,500.0, Spinach and Goat Cheese Omelette, Fresh Fruit Salad, Chickpea and Vegetable Curry, Lentil and vegetable shepherd's pie, Vegetable Massaman Curry
46,250.0,70.0,280.0,240.0,400.0, Vegan Breakfast BLT Sandwich, Fresh Fruit Salad, Quinoa Stuffed Bell Peppers," Quinoa Tabbouleh - 240kcals per portion, 2 portions, gluten-free (Middle East)
", Lentil Curry
47,250.0,70.0,150.0,350.0,350.0, Vegan Cinnamon Rolls, Fresh Fruit Salad, Roasted Chickpeas," Vegetarian Chili - 350kcals per portion, 3 portions, no allergies, Origin", Eggplant Parmesan Roll-Ups
48,300.0,70.0,120.0,330.0,350.0, Cheesy Grits, Fresh Fruit Salad, Greek Feta Dip with Veggies," Lentil Bolognese - 330kcals per portion, 2 portions, contains legumes, gluten (Italy)
"," Quinoa and Black Bean Burritos - 350 calories/portion, 4 portions, Origin"
49,300.0,70.0,200.0,550.0,300.0, Veggie Bagel Sandwich, Fresh Fruit Salad, Sweet Potato Fries, Mushroom Stroganoff," Greek Stuffed Eggplant - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
50,300.0,70.0,190.0,300.0,250.0, Mushroom and Spinach Vegan Quiche, Fresh Fruit Salad, Roasted Beet Hummus with Crackers, Stuffed Mushrooms," Spinach and Artichoke Stuffed Portobello Mushrooms - 250 calories/portion, 4 portions, contains dairy (Italy)
"
51,400.0,70.0,300.0,250.0,400.0, Tofu Benedict, Fresh Fruit Salad, Vegetable Fajitas, Vegetable chow mein, Veggie Sushi Bowl
52,150.0,70.0,130.0,280.0,300.0, Scrambled Tofu, Fresh Fruit Salad, Veggie Taco Cups," Stuffed Zucchini Boats - 280kcals per portion, 4 portions, no allergies
", Caprese Quiche
53,400.0,70.0,200.0,550.0,250.0, Tomato Basil Quiche, Fresh Fruit Salad, Pumpkin Bread, Caprese Stuffed Portobello Mushrooms," Veggie fajitas - 250 calories per portion, 4 portions, contains gluten (Mexico)
"
54,400.0,70.0,150.0,200.0,350.0, Aloo Paratha (Potato Stuffed Flatbread), Fresh Fruit Salad, Lentil Soup," Baked Zucchini Fries - 200kcals per portion, 4 portions, no allergies
", Portobello Mushroom Burger
55,350.0,70.0,40.0,350.0,400.0, Veggie Omelette, Fresh Fruit Salad, Cucumber Roll-Ups," Roasted Vegetable Pasta - 350kcals per portion, 3 portions, no allergies, Origin"," Veggie Fajita Bowls - 400 calories/portion, 4 portions, Origin"
56,300.0,70.0,100.0,700.0,300.0, Vegan Chocolate Chip Pancakes, Fresh Fruit Salad, Caprese Skewers, Sweet Potato and Lentil Curry, Mushroom and Spinach Quiche
57,300.0,70.0,80.0,400.0,400.0, Vegetable Upma, Fresh Fruit Salad, Roasted Cauliflower Bites, Spinach and ricotta stuffed shells," Thai Green Curry with Vegetables - 400 calories/portion, 4 portions, contains garlic (Thailand)
"
58,300.0,70.0,180.0,220.0,300.0, Quinoa Porridge, Fresh Fruit Salad, Black Bean Brownies, Greek tzatziki dip," Vegetable Curry with Coconut Milk - 300 calories/portion, 4 portions, contains nuts (India)

"
59,200.0,70.0,230.0,150.0,250.0, Quinoa Veggie Breakfast Skillet, Fresh Fruit Salad, Avocado Toast, Butternut squash soup," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin"
60,250.0,70.0,200.0,420.0,290.0, Whole Wheat Veggie Breakfast Wrap, Fresh Fruit Salad, Avocado Toast," Ratatouille Galette - 420kcals per portion, 2 portions, contains gluten (France)

Please note that the calorie counts are approximate and can vary depending on portion size and specific ingredients used"," Spinach and Ricotta Stuffed Tomatoes - 290kcals per portion, 4 portions, contains dairy
"
61,250.0,70.0,180.0,400.0,350.0, Blueberry Oatmeal Breakfast Bars, Fresh Fruit Salad, Guacamole and Salsa with Tortilla Chips, Spinach and ricotta stuffed shells," Lentil Tacos - 350kcals per portion, 4 portions, contains legumes (Mexico)
"
62,300.0,70.0,140.0,600.0,250.0, Classic Peanut Butter and Jelly, Fresh Fruit Salad, Tomato Bruschetta, Mushroom and Goat Cheese Tart," Greek Spinach Pie (Spanakopita) - 250 calories/portion, 6 portions, Origin"
63,400.0,70.0,150.0,250.0,350.0, Veggie Sausage Breakfast Sandwich, Fresh Fruit Salad, Stuffed Grape Leaves, Mexican vegetable tortilla soup," Greek Orzo Salad - 350 calories/portion, 4 portions, Origin"
64,250.0,70.0,180.0,250.0,230.0, Greek Yogurt with Honey and Nuts, Fresh Fruit Salad, Stuffed Jalapeno Poppers, Lebanese fattoush salad," Quinoa-Stuffed Bell Peppers - 230kcals per portion, 4 portions, gluten-free
"
65,400.0,70.0,180.0,750.0,350.0, Nutella Banana Croissant, Fresh Fruit Salad, Homemade Veggie Pizza Rolls, Tofu Pad Thai," Greek Spinach Pie - 350 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
66,300.0,70.0,70.0,150.0,350.0, Quinoa Porridge, Fresh Fruit Salad, Caprese Skewers, Spinach and ricotta stuffed tomatoes," Mexican Street Corn Pasta Salad - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
67,300.0,70.0,320.0,400.0,250.0, Country Style Potatoes with Veggies, Fresh Fruit Salad, Greek Spanakopita, Vegetarian Spring Rolls, Mediterranean Quinoa Salad
68,300.0,70.0,150.0,600.0,300.0, Tomato Basil Avocado Toast, Fresh Fruit Salad, Mexican Street Corn, Spinach and Mushroom Quiche, Caprese Stuffed Portobello Mushrooms
69,350.0,70.0,180.0,280.0,250.0, Maple Pecan Granola with Yogurt, Fresh Fruit Salad, Veggie Stuffed Pita Bread," Quinoa Stuffed Tomatoes - 280kcals per portion, 2 portions, gluten-free
"," Caprese Stuffed Zucchini - 250 calories/portion, 4 portions, Origin"
70,250.0,70.0,300.0,300.0,350.0, Vegan Blueberry Chia Pancakes, Fresh Fruit Salad, Cheese and Crackers, Chickpea and vegetable tagine," Eggplant Parmesan - 350 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
71,350.0,70.0,90.0,280.0,350.0, Vegan Protein Pancakes, Fresh Fruit Salad, Zucchini Pizza Bites," Quinoa Stuffed Bell Peppers - 280kcals per portion, 4 portions, no allergies
"," Lentil Curry - 350 calories/portion, 4 portions, Origin"
72,250.0,70.0,280.0,150.0,200.0, Vegan Tofu Benedict, Fresh Fruit Salad, Quinoa Stuffed Bell Peppers," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
73,200.0,70.0,220.0,300.0,350.0, Apple Cinnamon Porridge, Fresh Fruit Salad, Tomato and Mozzarella Stuffed Portobello Mushrooms, Mexican squash and black bean enchiladas," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
