,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,300.0,100.0,300.0," Banana walnut muffins (250 calories per portion, 2 portions, contains nuts, American origin)
", Zesty Lime Popcorn - Approx, Stuffed bell peppers with quinoa and black beans, Israeli salad," Vegan Teriyaki Jackfruit - 300 calories per portion, 4 portions, None, Various
"
2,400.0,100.0,150.0,100.0,400.0, Breakfast Bibimbap, Baked Apple Chips, Bruschetta, Israeli salad, Vegan Pho
3,350.0,100.0,250.0,100.0,400.0," Sourdough toast with smoked salmon and cream cheese (350kcals per portion, 2 portions, dairy allergies, origin", Roasted Almonds, Rice Paper Rolls with Peanut Sauce, Israeli salad," Ratatouille with crusty bread (400 calories per portion, 3 portions, vegan-friendly, origin"
4,600.0,100.0,150.0,20.0,150.0, Vegan Breakfast Biscotti, Roasted Chickpeas, Caprese Skewers, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 6 portions, None, Various
"
5,450.0,100.0,120.0,100.0,400.0," Mexican gorditas with beans, cheese, and salsa (450kcals per portion, 2 portions, origin"," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Pumpkin Hummus with Carrot Sticks, Israeli salad," Coconut curry noodles - 400 calories per portion, 4 portions, contains gluten
"
6,150.0,100.0,280.0,20.0,350.0, Chia Pudding, Chilled Gazpacho, Greek Spinach Pie, Moroccan Mint Tea, Vegan Shakshuka
7,350.0,100.0,180.0,20.0,350.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
", Stuffed Dates - Approx, Cranberry Orange Muffins, Moroccan Mint Tea," Vegan Stir-Fried Noodles - 350 calories per portion, 4 portions, None, Various
"
8,200.0,100.0,360.0,20.0,250.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Roasted Chickpeas, Vegan Zucchini Noodles with Pesto, Moroccan Mint Tea, Moroccan Quinoa Salad
9,350.0,50.0,120.0,100.0,210.0," French toast with maple syrup - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips - Approx," Stuffed Mushrooms with Quinoa - 120 kcals per portion, 3 portions, gluten-free (Various)", Israeli salad," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
"
10,430.0,100.0,120.0,20.0,250.0," Cinnamon raisin French toast (430 calories per portion, 2 portions, contains dairy, American origin)
", Roasted Beetroot Chips, Pumpkin Hummus with Carrot Sticks, Moroccan Mint Tea," Spinach and Artichoke Stuffed Portobello Mushrooms - 250 calories/portion, 4 portions, contains dairy (Italy)
"
11,250.0,100.0,200.0,100.0,350.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Chilled Gazpacho, Mediterranean Nachos, Israeli salad, Vegan Shakshuka
12,400.0,60.0,180.0,100.0,150.0," Nigerian plantain porridge - 400 calories per portion, 2 portions, no allergic warnings, origin", Cucumber and tomato salad, Stuffed Jalapeno Poppers, Israeli salad," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
