,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,80.0,80.0,20.0,200.0, Raw Vegan Breakfast Bars - 250 calories per portion | 2 portions | Contains nuts | Origin, Cheesy Popcorn, Gazpacho, Moroccan Mint Tea," Caprese Salad - 200 calories per portion, 4 portions, contains dairy (cheese), Origin"
2,400.0,80.0,180.0,20.0,200.0," Indian idli with coconut chutney and sambar (400kcals per portion, 2 portions, origin"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Granola Bars, Moroccan Mint Tea, Ratatouille
3,200.0,100.0,80.0,20.0,200.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Watermelon Fruit Pizza, Cheese and spinach stuffed mushrooms, Moroccan Mint Tea, Mediterranean Quinoa Bowl
4,300.0,120.0,200.0,20.0,170.0," Yogurt and fruit smoothie with almond milk (300kcals per portion, 1 portion, nut allergies)
", Roasted Chickpeas," Vegan Pancakes with Maple Syrup - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Caprese Salad
5,250.0,120.0,200.0,20.0,200.0, Vegan Chocolate Banana Smoothie, Vegetable Spring Rolls, Roasted red pepper hummus with pita chips, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 200 kcals per portion, 4 portions, vegetarian, gluten-free
"
6,380.0,100.0,160.0,20.0,200.0," Greek-style stuffed peppers with eggs (380 calories per portion, 2 portions, contains eggs, Greek origin)
", Fresh Juice - Approx, Baked Tofu Fingers, Moroccan Mint Tea," Vegan Lentil and Vegetable Stir-Fry - 200 calories per portion, 3 portions, may contain soy"
7,350.0,120.0,420.0,20.0,160.0," Lemon poppy seed pancakes (350 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salsa with Cinnamon Chips, Vegan Potato Salad, Moroccan Mint Tea," Vegan Mediterranean Couscous Salad - 160 calories per portion, 3 portions, may contain gluten"
8,200.0,100.0,150.0,20.0,220.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Fresh Juice - Approx, Tomato and Mozzarella Bruschetta, Moroccan Mint Tea, Lentil Soup with Quinoa
9,350.0,120.0,90.0,20.0,220.0," Grilled halloumi with tomatoes and cucumber (350kcals per portion, 2 portions, origin", Yogurt with Berries - Approx, Gazpacho, Moroccan Mint Tea, Spicy Black Bean Soup
10,400.0,100.0,240.0,20.0,200.0," Dutch baby pancake with lemon and sugar - 400 calories per portion, 2 portions, contains gluten, origin", Caprese Skewers, Vegan Stuffed Portobello Mushrooms, Moroccan Mint Tea, Lentil Soup
11,250.0,100.0,240.0,20.0,200.0, Raspberry Chia Jam Toast, Boiled chickpeas, Peanut butter and banana sushi rolls, Moroccan Mint Tea," Vegan Thai Yellow Curry - 200 calories per portion, 2 portions, may contain tofu"
12,100.0,100.0,120.0,20.0,120.0, Vegan Breakfast Falafel, Fruit Salad, Roasted Chickpeas, Moroccan Mint Tea, Cucumber and Tomato Salad
13,400.0,120.0,440.0,20.0,200.0, Breakfast Quesadilla, Granola Bar, Vegan Gyoza, Moroccan Mint Tea, Lemon and Herb Couscous Salad
14,300.0,120.0,80.0,20.0,200.0, Classic Peanut Butter and Jelly, Melon and Prosciutto Skewers," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)", Moroccan Mint Tea, Mediterranean Stuffed Eggplant
15,350.0,80.0,220.0,20.0,220.0, Banana Walnut Bread, Mango with Chili Powder, Chicken Yakitori Skewers, Moroccan Mint Tea, Chickpea Salad
16,300.0,120.0,180.0,20.0,200.0, Vegan Cranberry Orange Muffins, Veggie Fritters, Guacamole and Salsa with Tortilla Chips, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 200 kcals per portion, 4 portions, vegetarian, gluten-free
"
17,350.0,130.0,80.0,20.0,212.0, Baked Eggs in Avocado, Almond Butter Stuffed Dates, Stuffed Mushroom Caps, Moroccan Mint Tea, Vegan Caesar Salad
18,400.0,120.0,180.0,20.0,150.0, Huevos Rancheros, Cottage Cheese with Sliced Tomato, Mini zucchini and cheese frittatas, Moroccan Mint Tea, Swiss Chard and Lentil Soup
19,100.0,120.0,250.0,20.0,160.0, Vegan Breakfast Rice Pudding, Tomato and Basil Bruschetta, Mini Chicken Tacos, Moroccan Mint Tea," Vegan Quinoa and Kale Salad - 160 calories per portion, 2 portions, may contain gluten"
20,400.0,120.0,440.0,20.0,200.0," Sausage and egg muffin - 400 calories per portion, 2 portions, contains gluten, origin", Fruit Salsa with Cinnamon Chips, Vegan Roasted Red Pepper Dip, Moroccan Mint Tea, Vegan Ratatouille Stuffed Portobello Mushroom
21,250.0,100.0,80.0,20.0,150.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Zesty Lime Popcorn - Approx," Veggie Spring Rolls with Peanut Sauce - 80 kcals per portion, 4 portions, allergic warning (peanuts), origin", Moroccan Mint Tea, Cauliflower Fried Rice
22,350.0,100.0,200.0,20.0,200.0, Veggie Oatmeal Bowl, Energy Balls, Mini mushroom and cheese tartlets, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
23,320.0,120.0,260.0,20.0,80.0," Spinach and mushroom breakfast wrap (320 calories per portion, 2 portions, nut-free, American origin)
", Greek yogurt with honey, Spicy Mango Salsa, Moroccan Mint Tea," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
"
24,350.0,90.0,240.0,20.0,120.0," Indian masala dosa with chutney and sambar (350kcals per portion, 2 portions, origin", Stuffed Dates, Chickpea and Vegetable Curry, Moroccan Mint Tea, Cucumber and Tomato Salad
25,180.0,80.0,150.0,20.0,188.0, Overnight Chia Pudding, Baked Apple Chips, Greek Yogurt Dip with Veggies, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
26,400.0,50.0,150.0,20.0,150.0," Mexican sweet corn pancakes - 400 calories per portion, 2 portions, contains gluten, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Veggie Chips, Moroccan Mint Tea, Swiss Chard and Lentil Soup
27,400.0,70.0,200.0,20.0,200.0, Turkish Pogaca, Fresh Fruit Salad, Vegan Chocolate Covered Strawberries, Moroccan Mint Tea," Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
28,400.0,120.0,180.0,20.0,200.0, Veggie Breakfast Casserole, Greek Stuffed Grape Leaves, Greek Olive Breadsticks, Moroccan Mint Tea, Greek Stuffed Peppers
29,300.0,120.0,180.0,20.0,180.0," Shakriya (Lebanese rice pudding) - 300 calories per portion, 2 portions, contains dairy, origin", Toasted Coconut Chips, Cucumber and Avocado Sushi Rolls, Moroccan Mint Tea," Moroccan Lentil Soup - 180 calories per portion, 6 portions, no allergic warnings, Origin"
30,350.0,120.0,200.0,20.0,200.0, Vegan Protein Pancakes, Cottage Cheese with Sliced Tomato, Mango Salsa with Chips, Moroccan Mint Tea," Caprese Salad - 200 calories per portion, 4 portions, contains dairy (cheese), Origin"
31,300.0,100.0,440.0,20.0,200.0, Avocado Toast - 300 calories per portion | 1 portion | None | Origin, Carrot Sticks with Ranch Dip, Vegan Roasted Red Pepper Dip, Moroccan Mint Tea," Tofu Stir-Fry - 200 calories per portion, 4 portions, Soy, China
"
32,400.0,120.0,200.0,20.0,210.0, Vegan Breakfast Casserole - 400 calories per portion | 1 portion | None | Origin, Greek Stuffed Grape Leaves, Guacamole with Tortilla Chips, Moroccan Mint Tea, Quinoa Stuffed Portobello Mushrooms
33,300.0,120.0,180.0,20.0,180.0," Poha (Indian flattened rice dish) - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salsa with Cinnamon Chips," Vegan Strawberry Shortcake - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Ratatouille
34,350.0,120.0,250.0,20.0,170.0, Blueberry Muffins, Cucumber Rolls, Stuffed Mushrooms, Moroccan Mint Tea, Vegan Caprese Salad
35,350.0,100.0,80.0,20.0,180.0, Maple Pecan Granola with Yogurt, Cucumber Sandwiches," Edamame Beans - 80 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
36,400.0,90.0,180.0,20.0,220.0, Vegan French Toast, Stuffed Dates, Pomegranate Avocado Salad, Moroccan Mint Tea," Shrimp Stir-Fry with Vegetables - 220 calories per portion, 4 portions, contains shellfish, Origin"
