,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,60.0,280.0,150.0,200.0, Vegan Pumpkin Muffins - 300 calories per portion | 2 portions | Contains gluten | Origin, Fruit Salad - Approx, Veggie Sausage Rolls," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Lentil Curry
2,400.0,80.0,300.0,120.0,246.0, Turkish Poached Eggs with Yogurt, Hard-Boiled Eggs, Veggie Spring Rolls," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Teriyaki Tofu
3,350.0,80.0,200.0,150.0,213.0," Veggie fajita scramble with tofu (350 calories per portion, 2 portions, nut-free, Mexican origin)
", Apple with Cinnamon, Hummus and Veggie Wrap, Tomato Basil Soup, Lentil Soup
4,350.0,80.0,150.0,150.0,250.0, Ricotta Pancakes, Fruit Salad, Bruschetta, Greek Tzatziki Dip with Pita," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
5,250.0,80.0,80.0,150.0,200.0, Yogurt Parfait, Apple with Cinnamon, Coconut macaroons, Lentil and vegetable soup," Lentil Curry (200 calories/portion, 4 portions) - India
"
6,350.0,60.0,180.0,150.0,250.0," Moroccan msemen (thin layered pastry) with honey - 350 calories per portion, 2 portions, contains gluten, origin", Fruit Salad - Approx, Mini mushroom and spinach quiches," Greek Salad - 150kcals per portion, 2 portions", Black Bean Tacos
7,380.0,80.0,280.0,150.0,250.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
", Energy Balls, Mini chicken lettuce wraps, Tomato Basil Soup, Vegan Tofu Scramble
8,350.0,80.0,150.0,150.0,250.0, Zucchini and Parmesan Muffins, Cheesy Popcorn, Roasted Chickpeas, Cabbage Stir-Fry," Quinoa Stuffed Mushrooms - 250 calories per portion, 4 portions, no allergic warnings, Origin"
9,350.0,80.0,200.0,150.0,250.0, Cranberry Orange Muffins, Baked Apple Chips," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin", Lentil and vegetable soup," Mexican Corn Salad - 250 calories/portion, 4 portions, contains cilantro (Mexico)
"
10,400.0,50.0,200.0,100.0,250.0, Vegan Breakfast Tater Tots - 400 calories per portion | 1 portion | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cheese and Spinach Puffs, Israeli salad," Moroccan Chickpea Stew (250 calories/portion, 4 portions) - Morocco
"
11,400.0,80.0,120.0,150.0,220.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Cheesy Popcorn, Mini pizza rolls, Ratatouille, Lentil Soup with Quinoa
12,200.0,70.0,210.0,150.0,200.0, Peanut Butter and Banana Smoothie, Kale chips, Greek Feta and Olive Tapenade Crostini, Spinach and mushroom omelet," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
13,400.0,80.0,320.0,150.0,180.0," Thai mango sticky rice - 400 calories per portion, 2 portions, no allergic warnings, origin", Fresh Squeezed Orange Juice, Spicy Peanut Noodles, Butternut squash soup, Spinach and Mushroom Frittata
14,250.0,80.0,90.0,150.0,250.0, Vegan Cinnamon Rolls, Mango with Chili Powder, Greek Feta and Olive Skewers," Lentil Soup - 150kcals per portion, 6 portions"," Veggie Dumplings - 250 calories per portion, 4 portions, Gluten, Various

"
15,350.0,80.0,220.0,150.0,150.0," Avocado toast with poached eggs (350kcals per portion, 2 portions, origin", Kale Chips, Roasted Red Pepper and Feta Crostini, Lentil and Vegetable Soup, Chickpea Salad
16,50.0,80.0,150.0,150.0,250.0, Vegan Breakfast Energy Balls, Fresh Watermelon Slices - Approx, Roasted Brussels Sprouts, Spinach and ricotta stuffed tomatoes, Chickpea Buddha Bowl
17,200.0,80.0,160.0,150.0,250.0, Avocado Toast, Cheesy Popcorn, Strawberry Parfait, Lentil and vegetable frittata," Indian Vegan Masoor Dal (250 calories/portion, 4 portions) - India
"
18,250.0,80.0,300.0,150.0,150.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Cheesy Popcorn, Mini Bagel Pizzas," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Lentil Soup - 150 calories per portion, 6 portions, None, Various
"
19,350.0,60.0,120.0,150.0,250.0, Vegan Tofu Scramble Breakfast Sandwich - 350 calories per portion | 1 portion | Contains soy | Origin, Fruit Salad - Approx, Vegan Mediterranean Hummus Bowl, Thai Tom Yum Soup," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
20,300.0,80.0,150.0,160.0,250.0, Cheesy Grits, Kale Chips, Baked Sweet Potato Chips," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
21,400.0,80.0,100.0,150.0,250.0, Veggie Breakfast Pizza, Hard-Boiled Eggs, Chocolate Covered Strawberries, Ratatouille, Vegan Soba Noodle Salad
22,300.0,80.0,220.0,150.0,250.0, Egg White Omelette with Veggies, Stuffed Dates," Baba Ghanoush Stuffed Pita Pockets - 220 kcals per portion, 3 portions, contains gluten (Middle East)"," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Greek Fava - 250kcals per portion, 4 portions
"
23,200.0,80.0,180.0,150.0,213.0," Miso soup with tofu and seaweed (200kcals per portion, 2 portions, soy allergies, Japan)
", Stuffed Dates, Blueberry Muffins, Tom Yum Soup, Lentil Soup
24,350.0,80.0,230.0,150.0,200.0," Moroccan msemen (thin layered pastry) with honey - 350 calories per portion, 2 portions, contains gluten, origin", Energy Balls, Nachos with Salsa and Guacamole," Japanese Miso Soup with Tofu - 150 calories
    - Total portions"," Mediterranean Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
25,350.0,70.0,120.0,150.0,200.0, Quinoa Porridge with Caramelized Bananas, Kale chips, Watermelon and Feta Skewers, Tom Yum Soup," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
26,400.0,80.0,100.0,150.0,250.0," Egyptian feteer meshaltet (layered pastry) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Kale Chips, Greek yogurt with honey and walnuts," Potato Latkes - 150 calories
   - Total portions"," Vegan Teriyaki Tofu - 250 calories per portion, 4 portions, Soy, Japan
"
27,300.0,50.0,220.0,150.0,250.0, Raspberry Peach Chia Pudding," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Baked Sweet Potato Fries, Veggie Spring Rolls," Baked Cod with Lemon and Garlic - 250 calories per portion, 4 portions, no allergic warnings, Origin"
28,350.0,60.0,160.0,120.0,250.0, Vegan Mushroom and Spinach Omelette - 350 calories per portion | 1 portion | None | Origin, Fruit Salad - Approx," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Jackfruit Tacos - 250 calories per portion, 4 portions, None, Mexico

"
29,400.0,80.0,160.0,150.0,200.0, Smashed Avocado and Egg Toast, Fresh Watermelon Slices - Approx," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Ratatouille," Lentil Curry (200 calories/portion, 4 portions) - India
"
30,250.0,80.0,200.0,150.0,250.0," Shakarkandi ki chaat (Indian sweet potato salad) - 250 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad, Chicken lettuce wraps with teriyaki sauce, Tom Yum Soup," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
31,250.0,80.0,180.0,150.0,250.0, Vegan Breakfast Quesadillas, Fruit Salad, Beetroot and Feta Cheese Salad," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Portobello Mushroom Steaks
32,400.0,80.0,120.0,120.0,200.0," Israeli shakshuka with feta cheese - 400 calories per portion, 2 portions, contains dairy, origin", Fresh Watermelon Slices - Approx, Tabouli salad," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Italian Caprese Salad (200 calories/portion, 2 portions) - Italy
"
33,400.0,50.0,100.0,20.0,250.0," Scrambled tofu with turmeric and veggies (400 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Fruit Salad, Moroccan Mint Tea, Ratatouille
34,350.0,70.0,100.0,150.0,250.0," Yogurt and granola parfait with mixed berries (350 calories per portion, 2 portions, contains dairy, American origin)
", Fresh Fruit Salad," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Soup - 150kcals per portion, 6 portions"," Mexican Corn Salad - 250 calories/portion, 4 portions, contains cilantro (Mexico)
"
35,50.0,80.0,90.0,20.0,256.0, Vegan Breakfast Smoothie, Baked Apple Chips, Zucchini Pizza Bites, Moroccan Mint Tea, Vegan BLT Sandwich
36,50.0,80.0,120.0,150.0,250.0, Vegan Breakfast Energy Balls, Fresh Squeezed Orange Juice, Greek Yogurt Parfait, Spinach and mushroom frittata, Vegan Caesar Salad
37,300.0,80.0,200.0,150.0,200.0, Feta and Spinach Muffins," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Poppy Seed Muffins - 200 kcals per portion, 3 portions, contains gluten (Various)"," Lentil Soup - 150 calories
   - Total portions"," Spinach and feta stuffed mushrooms - 200 kcals per portion, 4 portions, vegetarian, gluten-free
"
38,400.0,50.0,120.0,150.0,250.0, Veggie Breakfast Pizza Rolls, Baked Apple Chips - Approx, Watermelon and Feta Skewers," Japanese Miso Soup with Tofu - 150 calories
    - Total portions", Quinoa Veggie Stir-Fry
39,400.0,80.0,90.0,160.0,210.0," Indian idli with coconut chutney and sambar (400kcals per portion, 2 portions, origin", Baked Apple Chips," Bruschetta with Fresh Tomatoes and Basil - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
", Quinoa Stuffed Portobello Mushrooms
40,300.0,80.0,250.0,150.0,250.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Hard-Boiled Eggs, Spinach and Mushroom Stuffed Phyllo Triangles," Vegetable Stir-Fry - 150kcals per portion, 3 portions"," Black Bean Enchiladas - 250 calories per portion, 3 portions, may contain gluten"
41,300.0,50.0,90.0,150.0,200.0, Chocolate Chia Protein Pudding," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Caprese Skewers - 90 kcals per portion, 6 portions, contains dairy (Italy)", Cabbage Stir-Fry," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
42,300.0,50.0,120.0,150.0,250.0, Vegan Oatmeal Raisin Cookies," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Yogurt Fruit Dip, Spinach and feta stuffed bell peppers," Spinach and Feta Stuffed Mushrooms - 250 calories/portion, 4 portions, contains dairy (Greece)
"
43,300.0,80.0,190.0,150.0,150.0," Shakriya (Lebanese rice pudding) - 300 calories per portion, 2 portions, contains dairy, origin", Stuffed Dates, Baba Ganoush with Pita Bread, Tomato Basil Soup," Lentil Soup - 150 calories per portion, 6 portions, None, Various
"
44,200.0,80.0,250.0,150.0,170.0, Avocado Toast, Apple with Cinnamon, Hummus and Veggie Wrap, Cabbage Stir-Fry, Vegan Caprese Salad
45,350.0,80.0,150.0,150.0,80.0," Grilled halloumi with tomatoes and cucumber (350kcals per portion, 2 portions, origin", Fresh Watermelon Slices - Approx, Spinach and feta stuffed mushrooms," Potato Latkes - 150 calories
   - Total portions"," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
"
46,250.0,50.0,150.0,150.0,250.0, Avocado Toast," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mini Meatballs, Tomato Basil Soup," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
47,450.0,70.0,620.0,150.0,250.0," Korean kimchi fried rice with sunny-side-up eggs (450kcals per portion, 2 portions, origin", Kale chips, Bean Burritos, Tomato Basil Soup," Moroccan Lentil Salad - 250 calories per portion, 4 portions, None, Morocco
"
48,350.0,80.0,180.0,150.0,250.0," Finnish Karelian pasties with egg butter - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Avocado Deviled Eggs," Roasted Chickpea Salad - 180 kcals per portion, 4 portions, no allergic warnings, origin", Tomato Basil Soup," Greek Tabbouleh Salad - 250 calories/portion, 4 portions, contains gluten (Greece)

"
49,300.0,60.0,180.0,150.0,250.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin, Cucumber and tomato salad," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup," Quinoa Stuffed Mushrooms - 250 calories/portion, 4 portions, Origin"
50,300.0,80.0,120.0,150.0,200.0, Quinoa Porridge, Baked Apple Chips, Cucumber Sandwiches, Spinach and feta stuffed mushrooms," Minestrone soup - 200 calories per portion, 6 portions, contains gluten (Italy)
"
51,300.0,60.0,220.0,150.0,250.0," Vegetable omelette with whole wheat toast (300 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad - Approx, Quinoa and Black Bean Salad, Spanish Gazpacho," Falafel - 250 calories per portion, 4 portions, Gluten, Middle East

"
52,250.0,80.0,80.0,150.0,200.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin, Fruit Salad, Mini vegetable frittatas, Lentil Soup, Mexican Street Corn Salad
53,350.0,80.0,160.0,150.0,250.0," Syrian cheese and za'atar flatbread (350kcals per portion, 2 portions, origin", Avocado Deviled Eggs, Caramelized Onion Tartlets, Caprese Salad," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
54,400.0,80.0,150.0,150.0,250.0," Maltese pastizzi (ricotta-filled pastries) - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Baked Buffalo Cauliflower Bites, Lentil and Vegetable Soup, Caprese Quinoa Salad
55,400.0,80.0,180.0,150.0,250.0," Maltese pastizzi (ricotta-filled pastries) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Fruit Salad, Tabbouleh," Greek Salad - 150kcals per portion, 2 portions"," Mediterranean Quinoa Salad (250 calories/portion, 2 portions) - Greece
"
56,150.0,80.0,90.0,150.0,250.0, Greek Yogurt with Berries, Baked Apple Chips, Vegetable Spring Rolls, Tomato Basil Soup," Tomato and Basil Bruschetta - 250 calories per portion, 4 portions, contains gluten (bread), Origin"
57,400.0,80.0,120.0,150.0,200.0," Veggie breakfast quesadilla (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Kale Chips, Roasted chickpeas, Ratatouille," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
58,350.0,80.0,180.0,150.0,180.0," Pita bread with hummus and vegetables - 350 calories per portion, 2 portions, contains gluten, origin", Stuffed Dates," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Tom Yum Soup, Spinach and Mushroom Frittata
59,300.0,80.0,250.0,150.0,160.0, Blueberry Banana Breakfast Bars, Hard-Boiled Eggs, Chicken Lettuce Cups, Lentil and Vegetable Soup," Vegan Lentil and Vegetable Shepherd's Pie - 160 calories per portion, 4 portions, may contain gluten"
60,320.0,80.0,150.0,150.0,260.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
", Fruit Salad, Black Bean and Corn Salsa, Tomato Basil Soup," Greek Style Green Beans - 260kcals per portion, 4 portions
"
61,400.0,80.0,220.0,150.0,250.0, Vegetarian Quiche Lorraine, Cheesy Popcorn," Avocado Toast - 220 kcals per portion, 3 portions, contains gluten (Various)", Spinach and cheese stuffed tomatoes, Stuffed Bell Peppers
62,300.0,80.0,90.0,150.0,200.0," Shakshuka - 300 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad, Greek Feta and Olive Skewers, Tom Yum Soup," Lentil curry - 200 calories per portion, 6 portions, contains gluten (India)
"
