,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,150.0,140.0,20.0,150.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Spinach and ricotta puff pastry swirls, Cheese Stuffed Jalapenos, Moroccan Mint Tea, Greek Salad
2,250.0,200.0,180.0,20.0,180.0, Vegan Pancake Skewers," Mini Chicken Tacos - 200kcals per portion, 1 portion
    Origin", Greek Stuffed Grape Leaves (Dolmas), Moroccan Mint Tea," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
3,250.0,150.0,200.0,20.0,150.0," Overnight oats - 250 calories per portion, 2 portions, contains gluten, origin", Oatmeal with Cinnamon - Approx, Grilled Chicken Skewers, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
4,150.0,250.0,250.0,20.0,180.0, Vegan Breakfast Fajitas, Greek Yogurt with Honey, Tuna salad on whole grain crackers, Moroccan Mint Tea, Rainbow Salad
5,250.0,350.0,120.0,20.0,150.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Veggie Wrap with Avocado and Spinach, Frozen yogurt bark with berries, Moroccan Mint Tea, Ratatouille
6,200.0,190.0,160.0,20.0,150.0, Vegan French Toast - 200 calories per portion | 2 portions | Contains gluten | Origin, Veggie Stuffed Pita, Carrot Zucchini Muffins, Moroccan Mint Tea, Greek Salad
7,200.0,250.0,240.0,20.0,100.0, Veggie Breakfast Couscous, Carrot Cake Muffins, Chickpea and Vegetable Curry, Moroccan Mint Tea," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
8,150.0,150.0,160.0,20.0,120.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Vegan Banana Pancakes," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Grilled vegetable skewers - 120 calories per portion, 4 portions, none
"
9,250.0,150.0,210.0,20.0,150.0, Greek Yogurt with Honey and Nuts," Cucumber and Cream Cheese Sandwiches - 150kcals per portion, 2 portions
    Origin", Greek Feta and Olive Tapenade Crostini, Moroccan Mint Tea, Lentil Soup
10,250.0,180.0,120.0,20.0,180.0, Vegan Breakfast Quesadillas, Spinach and Feta Phyllo Triangles," Caprese skewers (cherry tomatoes, mozzarella, basil)", Moroccan Mint Tea," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
