,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,110.0,150.0,400.0,200.0," Persian barbari bread with feta and cucumber (450kcals per portion, 2 portions, origin", Moroccan-style boiled eggs, Pita Bread with Baba Ganoush, Beef and vegetable stir-fry with cauliflower rice," Mexican Vegan Guacamole (200 calories/portion, 4 portions) - Mexico
"
2,400.0,90.0,120.0,350.0,250.0, Turkish Menemen with Feta Cheese, Rice Paper Rolls, Roasted Chickpeas," Vietnamese Pho Soup - 350 calories per portion, 4 portions, contains beef, Vietnamese
", Zucchini Noodles with Pesto
3,400.0,80.0,90.0,350.0,200.0," Chicken and vegetable stuffed crepes (400kcals per portion, 2 portions)
", Fruit Salad, Cinnamon roasted almonds," Grilled Chicken Caesar Salad - 350 calories per portion, 4 portions, contains dairy, Italian
"," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
4,350.0,90.0,150.0,400.0,200.0, Banana Chia Pancakes, Stuffed Dates, Mango salsa with tortilla chips," Lentil Shepherd's Pie - 400kcals per portion, 2 portions", Mexican Street Corn Salad
5,400.0,100.0,130.0,250.0,180.0," Algerian msemen (pan fried dough) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Berry Chia Detox Water," Sweet and Spicy Roasted Cashews - 130 kcals per portion, 4 portions, allergic warning (cashews), origin", Lentil Soup with Spinach, Ratatouille
6,350.0,100.0,180.0,250.0,250.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
", Som Tam (Papaya Salad), Banana-nut muffins, Greek salad," Black bean and corn salad with lime dressing – 250 calories per portion, 4 portions, vegan-friendly (origin"
7,400.0,80.0,90.0,300.0,160.0," Sausage and egg muffin - 400 calories per portion, 2 portions, contains gluten, origin", Baked Apple Chips, Peanut butter energy balls, Grilled chicken salad," Vegan Mediterranean Couscous Salad - 160 calories per portion, 3 portions, may contain gluten"
8,300.0,100.0,240.0,400.0,150.0," Baked beans on toast - 300 calories per portion, 2 portions, contains gluten, origin"," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Vegan Spinach Dip with Pita Chips, Lentil Shepherd's Pie," Steamed Fish with Lemon Butter Sauce - 150 calories per portion, 4 portions, no allergic warnings, Origin"
9,400.0,100.0,90.0,400.0,250.0," Bangladeshi panta bhat (fermented rice) with fried hilsa fish - 400 calories per portion, 2 portions, contains gluten, origin", Som Tam (Papaya Salad)," Baked Eggplant Chips - 90 kcals per portion, 4 portions, gluten-free (Mediterranean)", Spicy Tofu Tacos," Japanese Vegan Gyoza (250 calories/portion, 3 portions) - Japan
"
10,350.0,100.0,280.0,500.0,150.0," Avocado toast with poached eggs (350kcals per portion, 2 portions, origin", Fruit Salad, Cucumber and Avocado Sushi," Greek Pastitsio - 500 calories
    - Total portions"," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
