,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,180.0,200.0,20.0,300.0, Caprese Avocado Toast, Vegan Breakfast Quinoa, Mini Bagel Pizzas, Moroccan Mint Tea, Eggplant Rollatini
2,350.0,300.0,140.0,20.0,350.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin, Grilled Halloumi Skewers - Approx," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegetable paella – 350 calories per portion, 4 portions, vegan-friendly (origin"
3,350.0,200.0,100.0,20.0,300.0, Veggie Omelette, Greek Spinach and Feta Pie, Baked Zucchini Fries, Moroccan Mint Tea," Moroccan Vegan Chickpea Salad (300 calories/portion, 4 portions) - Morocco
"
4,500.0,250.0,160.0,20.0,300.0, Vegan Breakfast Croque Madame," Greek Yogurt with Honey and Walnuts - 250kcals per portion, 1 portion
   Origin"," Baked Falafel Bites - 160 kcals per portion, 5 portions, contains gluten (Middle East)", Moroccan Mint Tea, Vegan Tacos
5,200.0,300.0,180.0,20.0,350.0, Raspberry Coconut Breakfast Bars, Spinach and Feta Breakfast Quiche, Mini quiche bites, Moroccan Mint Tea, Vegan Mac and Cheese
6,280.0,280.0,200.0,20.0,400.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Almond milk yogurt with granola and berries, Stuffed bell peppers with quinoa and black beans, Moroccan Mint Tea, Vegetable Paella
7,400.0,100.0,90.0,20.0,220.0," Breakfast quesadilla with eggs and cheese (400 calories per portion, 2 portions, contains dairy, Mexican origin)
", Rice Cake with Hummus and Cucumber," Cucumber Sandwiches - 90 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea, Lentil and Vegetable Stir Fry
8,500.0,150.0,150.0,20.0,400.0, Vegan Breakfast Risotto, Vegan Protein Bites, Baked Buffalo Cauliflower Bites, Moroccan Mint Tea," Margherita Pizza - 400 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
9,400.0,280.0,100.0,20.0,200.0," Iraqi masgouf (grilled fish) with flatbread - 400 calories per portion, 2 portions, contains gluten, origin", Greek yogurt with walnuts and honey, Baked zucchini fries, Moroccan Mint Tea," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
10,350.0,280.0,220.0,20.0,300.0," Veggie omelette with sweet potato hash (350 calories per portion, 2 portions, nut-free, American origin)
", Yogurt with kiwi and granola, Baked Sweet Potato Fries, Moroccan Mint Tea, Roasted Vegetable Quinoa Bowl
11,400.0,150.0,200.0,20.0,300.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin, Baked Sweet Potato Fries," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Veggie Chili - 300 calories/portion, 4 portions, Origin"
12,350.0,250.0,180.0,20.0,280.0, Veggie Breakfast Wrap, Greek Yogurt Pancakes, Chicken Salad Lettuce Wraps, Moroccan Mint Tea, Sweet Potato Curry
13,350.0,400.0,120.0,20.0,300.0," Veggie breakfast wrap with scrambled eggs (350kcals per portion, 2 portions, origin", Veggie Wrap, Vegan Caprese Skewers, Moroccan Mint Tea, Vegan Quesadillas
14,250.0,120.0,200.0,20.0,400.0, Vegan Breakfast Sausage, Banana Smoothie," Vegan Strawberry Banana Smoothie - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Veggie Sushi Bowl - 400 calories/portion, 2 portions, Origin"
15,350.0,150.0,70.0,20.0,350.0, Apple Cinnamon Muffins, Quinoa and Black Bean Salad, Baked kale chips, Moroccan Mint Tea," Mexican Quinoa Salad - 350 calories/portion, 4 portions, Origin"
16,200.0,250.0,200.0,20.0,400.0, Papaya Boat with Lime, Spinach and Ricotta Rolls, Chicken Lettuce Wraps, Moroccan Mint Tea," Greek Moussaka - 400 calories/portion, 4 portions, contains dairy (Greece)
"
17,200.0,180.0,120.0,20.0,400.0," Yogurt and fruit smoothie (200 calories per portion, 2 portions, contains dairy, American origin)
", Roasted Chickpeas, Greek yogurt with mixed nuts and honey, Moroccan Mint Tea, Honey Glazed Chicken Thighs
18,250.0,220.0,180.0,20.0,350.0, Vegetable Scramble, Oatmeal with Blueberries, Veggie Snack Wrap, Moroccan Mint Tea, Vegan Paella
19,350.0,300.0,160.0,20.0,300.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Banana and peanut butter smoothie," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan General Tso's Tofu
20,350.0,250.0,200.0,20.0,350.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Quinoa Salad with Veggies, Guacamole with Tortilla Chips, Moroccan Mint Tea," Vegetarian Bibimbap - 350 calories/portion, 4 portions, Origin"
21,400.0,250.0,180.0,20.0,400.0," Indonesian nasi goreng (fried rice) - 400 calories per portion, 2 portions, no allergic warnings, origin", Watermelon and Feta Salad," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)", Moroccan Mint Tea," Portobello Mushroom Burger - 400 calories/portion, 2 portions, Origin"
22,320.0,180.0,150.0,20.0,260.0," Spinach and mushroom breakfast wrap (320 calories per portion, 2 portions, nut-free, American origin)
", Oatmeal Raisin Cookies, Roasted Red Pepper Hummus with Pita Bread, Moroccan Mint Tea," Greek Spanakopita - 260kcals per portion, 4 portions, contains dairy (Greece)
"
23,150.0,120.0,300.0,20.0,350.0, Vegan Breakfast Pita Pockets, Oatmeal Cookie, Nachos with Salsa and Cheese, Moroccan Mint Tea," Greek Vegan Briam (350 calories/portion, 2 portions) - Greece
"
24,250.0,250.0,180.0,20.0,312.0," Cereal with milk and sliced strawberries (250kcals per portion, 1 portion, lactose allergies)
", Vegan Potato Pancakes, Roasted Pumpkin Seeds, Moroccan Mint Tea, Vegan Enchiladas
25,300.0,250.0,150.0,20.0,400.0," Chia pudding with mixed berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Overnight Oats, Greek Yogurt Dip with Veggies, Moroccan Mint Tea," Beef and Mushroom Stroganoff - 400 calories per portion, 4 portions, contains gluten (flour), Origin"
26,400.0,180.0,120.0,20.0,301.0," Breakfast tacos with egg, cheese, and salsa (400 calories per portion, 2 portions, contains dairy, Mexican origin)
", Oatmeal cookies, Banana Oat Cookies, Moroccan Mint Tea, Vegan Gnocchi
27,450.0,200.0,150.0,20.0,200.0," Breakfast tacos - 450 calories per portion, 2 portions, contains gluten, origin"," Spinach and Feta Stuffed Mushrooms - 200kcals per portion, 1 portion
    Origin"," Stuffed Mini Bell Peppers - 150 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea," Lentil Spinach Salad - 200 calories per portion, 4 portions, None, Various
"
28,300.0,200.0,150.0,20.0,350.0, Vegan Mango Turmeric Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Vegan Zucchini Fritters, Paprika and Cumin Spiced Roasted Chickpeas, Moroccan Mint Tea," Spinach and Mushroom Risotto - 350 calories per portion, 4 portions, None, Italy
"
29,250.0,250.0,150.0,20.0,400.0, Vegan Sausage and Biscuits, Baked Falafel, Caprese Salad, Moroccan Mint Tea, Vegan Meatballs with Marinara Sauce
30,300.0,180.0,90.0,20.0,300.0," Rice porridge with cinnamon and sugar - 300 calories per portion, 2 portions, no allergic warnings, origin", Easy Homemade Granola," Vegan Caprese Salad Skewers - 90 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Lentil and Vegetable Stir-Fry
31,300.0,180.0,220.0,20.0,250.0, Vegan Breakfast Tostadas, Baked Oatmeal Cups, Baked Mini Samosas with Mint Chutney, Moroccan Mint Tea," Black Bean Enchiladas - 250 calories per portion, 3 portions, may contain gluten"
32,250.0,350.0,720.0,20.0,200.0, Vegan Beetroot and Apple Smoothie - 250 calories per portion | 2 portions | None | Origin, Vegetable Spring Rolls with Peanut Dipping Sauce, Vegan Lemon Bars, Moroccan Mint Tea," Chinese Vegan Hot and Sour Soup (200 calories/portion, 4 portions) - China

"
33,100.0,230.0,200.0,20.0,250.0, Vegan Breakfast Falafel, Quinoa fruit salad, Hummus and Pita Bread, Moroccan Mint Tea, Ratatouille-Stuffed Zucchini
34,350.0,350.0,130.0,20.0,400.0, Zucchini and Parmesan Muffins, Veggie Sausage and Egg English Muffin Sandwich," Veggie Sushi Rolls with Quinoa - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegan Gyros - 400 calories per portion, 4 portions, Gluten, Greece
"
35,300.0,100.0,230.0,20.0,350.0, Vegan Protein Smoothie, Corn on the Cob, Nachos with Salsa and Guacamole, Moroccan Mint Tea, Vegetable Quesadillas
36,400.0,200.0,100.0,20.0,400.0, Vegetarian Breakfast Casserole, Cauliflower Buffalo Wings, Cucumber and Watermelon Salad, Moroccan Mint Tea," Teriyaki Chicken Skewers - 400 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
37,350.0,200.0,200.0,20.0,300.0," Muesli with yogurt and mixed fruits (350kcals per portion, 1 portion)
", Vegan Lemon Poppy Seed Muffins, Mini Quinoa Stuffed Peppers, Moroccan Mint Tea, Vegan Lentil Tacos
38,450.0,220.0,150.0,20.0,250.0," Spanish tortilla de patatas (potato omelet) with aioli (450kcals per portion, 2 portions, origin", Vegan Granola with Almond Milk, Bruschetta with Mozzarella, Moroccan Mint Tea," Moroccan Vegan Harira Soup (250 calories/portion, 4 portions) - Morocco

"
39,380.0,200.0,100.0,20.0,350.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
", Apple Cider Doughnuts, Apple Chips, Moroccan Mint Tea," Spaghetti Aglio e Olio - 350 calories per portion, 4 portions, None, Italy
"
40,400.0,280.0,160.0,20.0,300.0," Turkish breakfast (tomato, cucumber, olives, cheese, bread) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Berry Smoothie Bowl," Baked Falafel Bites - 160 kcals per portion, 5 portions, contains gluten (Middle East)", Moroccan Mint Tea, Spicy Lentil and Potato Curry
41,350.0,100.0,180.0,20.0,300.0, Vegan Breakfast Grits - 350 calories per portion | 1 portion | None | Origin, Chilled Gazpacho, Guacamole and Tortilla Chips, Moroccan Mint Tea," Quinoa-stuffed mushrooms – 300 calories per portion, 4 portions, vegetarian-friendly
"
42,220.0,100.0,120.0,20.0,450.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin", Berry Chia Detox Water," Chia Pudding with Fresh Berries - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Thai Green Curry with Chicken
43,250.0,250.0,110.0,20.0,400.0, Vegan Breakfast Oats and Berries, Cheesy Quesadillas," Sweet Potato Rounds - 110 kcals per portion, 4 portions, gluten-free (USA)", Moroccan Mint Tea, Thai Basil Chicken Stir Fry
44,300.0,250.0,200.0,20.0,350.0, Vegan Mango Turmeric Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Watermelon and Feta Salad, Antipasto Skewers, Moroccan Mint Tea, Moroccan Chickpea Tagine
45,500.0,250.0,150.0,20.0,350.0, Vegan Breakfast Cookies, Caramelized Onion and Feta Tartlets - Approx, Lentil Soup, Moroccan Mint Tea, Vegan Tacos
46,380.0,270.0,180.0,20.0,250.0," Israeli-style salad with scrambled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
", Vegan Cinnamon Roll, Roasted Pumpkin Seeds, Moroccan Mint Tea, Cucumber Avocado Sushi Rolls
47,450.0,150.0,150.0,20.0,400.0, Sausage and Egg Breakfast Sandwich, Grilled vegetable skewers, Greek Yogurt Parfait, Moroccan Mint Tea," Vegan tikka masala with basmati rice – 400 calories per portion, 4 portions, vegan-friendly (origin"
48,350.0,120.0,120.0,20.0,400.0," Scottish porridge with honey and berries (350kcals per portion, 2 portions, origin", Cucumber and dill cream cheese rolls, Pita Chips with Homemade Salsa, Moroccan Mint Tea," Lasagna rolls with spinach and ricotta - 400 kcals per portion, 4 portions, contains gluten, lactose
"
49,300.0,200.0,150.0,20.0,280.0, Aloo Tikki, Vegan Granola Bars, Veggie Kabobs, Moroccan Mint Tea, Vegan Stuffed Shells
