,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,120.0,200.0,150.0,300.0, Roasted Vegetable Breakfast Tacos, Cottage Cheese with Sliced Tomato, Baked Falafel, Spinach and feta stuffed mushrooms, Lentil Sloppy Joes
2,300.0,100.0,160.0,150.0,250.0, Banana Oat Pancakes, Watermelon Fruit Pizza, Baked Tofu Fingers, Spinach and mushroom omelet," Panzanella salad - 250 calories per portion, 4 portions, contains gluten (Italy)
"
3,250.0,120.0,240.0,150.0,400.0, Smoothie Bowl, Bruschetta with Tomato and Basil, Stuffed Bell Peppers with Quinoa, Lentil and vegetable soup," Caprese Omelette - 400kcals per portion, 2 portions, contains dairy (Italy)
"
4,350.0,160.0,180.0,165.0,200.0, Broccoli and Cheese Frittata, Rice Cakes with Almond Butter, Blueberry Muffins," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Falafel with tahini sauce - 200 calories per portion, 4 portions, contains gluten (Middle East)
"
5,350.0,100.0,100.0,160.0,350.0, Tomato and Basil Bruschetta Scramble, Berry Chia Detox Water, Zucchini Tomato Bites," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
", Vegetable Paella
6,250.0,100.0,100.0,165.0,380.0, Smoothie Bowl, Quinoa Energy Bites, Chocolate Covered Strawberries," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Lentil Bolognese - 380kcals per portion, 4 portions, contains legumes (Italy)
"
7,300.0,150.0,280.0,150.0,450.0, Pancakes with Maple Syrup, Baked Egg Cups, Apple and Cinnamon Muffins, Spinach and ricotta stuffed tomatoes," Spinach and Ricotta Stuffed Shells with Marinara Sauce - 450 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
8,400.0,160.0,200.0,160.0,300.0, Almond Croissant, Apple Slices with Peanut Butter, Veggie Sausage and Pepper Skewers," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
9,200.0,80.0,180.0,150.0,200.0, Spinach and Mushroom Breakfast Tacos, Fruit Salad, Homemade Veggie Pizza Rolls, Lentil and vegetable soup," Baked Falafel - 200 calories/portion, 4 portions, Origin"
10,200.0,160.0,140.0,150.0,400.0, Quinoa Breakfast Burrito, Greek Yogurt with Honey, Greek Yogurt Bark, Spinach and mushroom omelet," Vegetable Lasagna - 400 calories/portion, 4 portions, contains gluten and dairy (Italy)

"
