,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,80.0,200.0,150.0,380.0," Sweet potato and black bean breakfast skillet (380 calories per portion, 2 portions, nut-free, Mexican origin)
", Energy Balls, Vegan Chocolate Covered Strawberries, Spinach and cheese stuffed tomatoes," Tofu and vegetable curry with basmati rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
2,400.0,100.0,160.0,150.0,320.0," Dutch baby pancake with lemon and sugar - 400 calories per portion, 2 portions, contains gluten, origin", Berry Chia Detox Water, Bruschetta with Tomato and Basil, Spinach and feta stuffed bell peppers," Quinoa-Stuffed Mushrooms - 320kcals per portion, 4 portions
"
3,300.0,100.0,150.0,20.0,350.0, Apple Cinnamon Porridge, Som Tam (Papaya Salad), Quinoa-stuffed mushrooms, Moroccan Mint Tea," Vegan Sweet and Sour Tofu - 350 calories per portion, 4 portions, None, China
"
4,300.0,100.0,90.0,150.0,450.0, Veggie Tofu Scramble Wrap - 300 calories per portion | 1 portion | None | Origin, Carrot Sticks with Ranch Dip, Watermelon Feta Bites, Lentil and Vegetable Soup," Mushroom and spinach pasta with garlic bread (450 calories per portion, 2 portions, contains gluten, origin"
5,320.0,100.0,380.0,150.0,300.0," Spinach and mushroom breakfast wrap (320 calories per portion, 2 portions, nut-free, American origin)
", Energy Balls, Mini chicken and vegetable pot pies, Spinach and feta stuffed bell peppers, Tofu and Vegetable Curry
6,200.0,60.0,180.0,120.0,400.0, Spanish Tortilla, Cucumber and tomato salad, Mini zucchini and cheese frittatas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable pad Thai with tofu – 400 calories per portion, 4 portions, vegan-friendly (origin"
7,400.0,80.0,560.0,150.0,500.0," Polish jajecznica (scrambled eggs with kielbasa) - 400 calories per portion, 2 portions, no allergic warnings, origin", Baked Apple Chips, Vegan Chickpea Salad Sandwich, Ratatouille," Chicken Pad Thai - 500 calories per portion, 4 portions, contains gluten (noodles), Origin"
8,400.0,100.0,440.0,150.0,400.0, Shakshuka with Halloumi Cheese, Roasted Almonds, Vegan Roasted Red Pepper Dip, Thai Tom Yum Soup," Vegetable Lasagna - 400 calories/portion, 4 portions, contains gluten and dairy (Italy)

"
9,250.0,100.0,150.0,150.0,200.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
", Cucumber Slices with Tzatziki - Approx, Roasted Chickpeas, Lentil Soup," Vegan Tomato Soup - 200 calories per portion, 4 portions, None, Various
"
10,150.0,80.0,320.0,150.0,450.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Fruit Salad, Vegan Mediterranean Flatbread Pizza, Spinach and mushroom frittata," Thai peanut chicken stir-fry with jasmine rice - 450 kcals per portion, 4 portions, contains gluten, peanuts
"
11,300.0,100.0,100.0,150.0,210.0, Vegan Breakfast Stromboli, Roasted Chickpeas, Baked Zucchini Fries, Greek Taramasalata, Quinoa and Kale Salad
12,300.0,100.0,280.0,150.0,340.0, Chocolate Chia Protein Pudding, Mini Frittatas - Approx, Mini chicken lettuce wraps, Spinach and feta stuffed bell peppers," Quinoa and Black Bean Burger - 340kcals per portion, 4 portions, contains legumes
"
13,350.0,100.0,250.0,150.0,480.0, Cranberry Orange Muffins," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Avocado Egg Salad Lettuce Wraps, Caprese Salad," Honey glazed chicken with roasted carrots – 480 calories per portion, 2 portions, contains poultry
"
14,300.0,100.0,200.0,150.0,380.0, Vegan Pumpkin Spice Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Roasted Beetroot Chips, Olive Tapenade Crostini, Caprese Salad," Vegetarian enchilada casserole with black beans and cheese - 380 kcals per portion, 4 portions, vegetarian, contains gluten
"
15,250.0,100.0,100.0,150.0,350.0," Tofu scramble with vegetables (250kcals per portion, 2 portions, soy allergies, origin", Stuffed Dates - Approx, Baked Kale Chips," Vegetable Stir-Fry - 150kcals per portion, 3 portions", Vegan Butternut Squash Ravioli
16,200.0,100.0,80.0,150.0,119.0, Mediterranean Vegetable Omelette, Caprese Skewers, Shrimp ceviche, Spinach and mushroom frittata, Vegan Gazpacho
17,150.0,100.0,250.0,150.0,350.0, Fruit Salad, Baked Apple Chips, Mini chicken pot pies, Spinach and feta stuffed mushrooms," Vegetable paella – 350 calories per portion, 4 portions, vegan-friendly (origin"
18,400.0,80.0,150.0,120.0,300.0," South African boerewors sausage with tomato chutney (400kcals per portion, 2 portions, origin", Fruit Salad," Mini Vegetable Quiches - 150 kcals per portion, 6 portions, contains dairy (France)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek lemon chicken soup with orzo (300 calories per portion, 4 portions, contains gluten, origin"
19,350.0,90.0,180.0,150.0,350.0, Sweet Potato and Spinach Breakfast Hash, Fruit Salad, Cucumber and Cream Cheese Sandwiches, Greek Tzatziki Dip with Pita," Quinoa-Stuffed Bell Peppers - 350 calories/portion, 4 portions, contains nuts (Various)
"
20,400.0,100.0,70.0,150.0,300.0," Mediterranean-style omelette with olives and feta (400 calories per portion, 2 portions, contains dairy, Greek origin)
", Cucumber Sandwich, Veggie Spring Rolls, Spinach and ricotta stuffed tomatoes," Greek Stuffed Eggplant - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
