,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,240.0,160.0,300.0,200.0, Vegan Breakfast Stromboli, Vegan Apple Cinnamon Pancakes," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Lentil and Sweet Potato Stew, Lentil and Vegetable Bolognese
2,200.0,180.0,180.0,400.0,200.0, Vegan Breakfast Phyllo Cups, Instant Pot Vegan Yogurt," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Falafel Wrap, Spaghetti Aglio e Olio
3,250.0,100.0,360.0,350.0,225.0, Vegan Breakfast Bruschetta, Roasted Pumpkin Seeds, Vegan Mushroom Soup, Vegan Lentil Sloppy Joes, Vegan Stuffed Mushrooms
4,300.0,180.0,260.0,550.0,250.0, Vegan Mango Coconut Chia Pudding - 300 calories per portion | 1 portion | None | Origin, Vegan Energy Bars, Spicy Mango Salsa," Spicy Thai Peanut Noodles
Total calories per portion", Lentil Loaf
5,250.0,120.0,120.0,350.0,208.0, Vegan Breakfast Bruschetta, Toasted Coconut Chips," Vegan Cucumber Sushi Rolls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Mediterranean Wrap, Spinach and Mushroom Quesadillas
6,250.0,200.0,160.0,300.0,250.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Banana Bread Overnight Oats," Vegan Spinach and Artichoke Stuffed Breadsticks - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Jamaican Jerk Tofu, Quinoa Salad
7,300.0,250.0,160.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie - 300 calories per portion | 1 portion | Contains nuts | Origin, Overnight Quinoa Bowl," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Thai Red Curry Noodle Soup
Total calories per portion", Zucchini Noodles with Pesto
8,300.0,230.0,80.0,300.0,245.0, Vegan Mango Coconut Chia Pudding - 300 calories per portion | 1 portion | None | Origin, Vegan Pumpkin Pie Smoothie, Vegan Peanut Butter Energy Bars," Middle Eastern Falafel Salad
Total calories per portion", Tofu Stir Fry
9,250.0,280.0,100.0,250.0,250.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Vegan Cinnamon Roll Pancakes," Vegan Chocolate Covered Strawberries - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Sushi Bowl, Vegan Tofu Satay Skewers
10,250.0,280.0,160.0,300.0,250.0, Vegan Overnight Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Vegan Chocolate Banana Protein Shake," Vegan Bruschetta Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Sushi Rolls
Total calories per portion"," Japanese Vegan Gyoza (250 calories/portion, 3 portions) - Japan
"
11,250.0,180.0,80.0,400.0,200.0, Vegan Breakfast Oats and Berries, Antipasto Skewers, Vegan Carrot Cake Energy Balls," Vegan BBQ Jackfruit Sandwich
Total calories per portion", Lentil Curry
12,300.0,300.0,150.0,200.0,250.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Sweet Potato Fries," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin"," Spicy Lentil Soup
Total calories per portion", Vegan Sushi Bowl
13,300.0,200.0,180.0,400.0,200.0, Vegan Omelette, Avocado Toast, Lentil Soup, Quinoa Buddha Bowl, Butternut Squash Soup
14,250.0,250.0,160.0,300.0,220.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Trail Mix," Vegan Coconut Curry Rice Balls - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan BBQ Chickpea Pizza, Quinoa and Vegetable Stir Fry
15,300.0,280.0,480.0,200.0,250.0, Vegan Breakfast Parfait, Tofu Scramble, Vegan Lentil Burgers, Vegan Spaghetti Aglio e Olio, Lentil Buddha Bowl
16,250.0,200.0,120.0,400.0,159.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin, Rice Cakes with Peanut Butter," Vegan Oatmeal Raisin Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Vegan Moussaka
Total calories per portion", Quinoa Stuffed Mushrooms
17,300.0,200.0,500.0,250.0,159.0, Avocado Toast - 300 calories per portion | 1 portion | None | Origin, Roasted Red Pepper Hummus Dip, Roasted Vegetable Skewers, Lentil and Vegetable Soup, Quinoa Stuffed Mushrooms
18,300.0,300.0,480.0,250.0,200.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Quinoa Stuffed Bell Peppers, Vegan Lentil Burgers, Vegan Thai Mango Salad," Lentil Curry (200 calories/portion, 4 portions) - India
"
19,100.0,180.0,160.0,300.0,250.0, Vegan Breakfast Bagel, Sweet Potato Toast with Avocado, Vegan Spinach and Mushroom Puff Pastry, Vegan Chinese Hot and Sour Soup, Cucumber Avocado Sushi Rolls
20,300.0,120.0,360.0,400.0,200.0, Vegan Blueberry Muffins - 300 calories per portion | 1 portion | Contains gluten | Origin, Roasted Brussels Sprouts, Vegan Zucchini Noodles with Pesto," Vegan Gnocchi with Pesto Sauce
Total calories per portion", Vegan Caprese Salad
21,250.0,180.0,160.0,400.0,180.0, Sweet Potato Toast - 250 calories per portion | 1 portion | None | Origin, Sweet Potato Toast with Avocado, Roasted Chickpeas," Moroccan Couscous Salad
Total calories per portion"," Cauliflower Shawarma - 180 calories per portion, 6 portions, None, Middle East
"
22,300.0,300.0,150.0,250.0,250.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Vegan Protein Smoothie Bowl," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Sushi Bowl, Tofu Stir-Fry
23,250.0,200.0,130.0,400.0,150.0, Vegan Breakfast Shakshuka, Vegan Sweet Potato Toast," Baked Falafel with Tahini Sauce - 130 kcals per portion, 4 portions, allergic warning (sesame), origin", Veggie Biryani, Veggie Stir-Fry
24,250.0,150.0,170.0,300.0,200.0, Vegan Breakfast Bruschetta, Green Smoothie," Roasted Red Pepper Hummus with Pita Bread - 170 kcals per portion, 4 portions, no allergic warnings, origin"," Quinoa Tabbouleh Salad
Total calories per portion"," Black Bean and Corn Salad - 200 calories per portion, 4 portions, None, Various
"
25,250.0,260.0,130.0,400.0,200.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin, Vegan Blueberry Scones," Veggie Sushi Rolls with Spicy Tofu - 130 kcals per portion, 4 portions, no allergic warnings, origin"," Mexican Rice and Beans
Total calories per portion"," Vegan Tomato Soup - 200 calories per portion, 4 portions, None, Various
"
26,70.0,150.0,360.0,300.0,250.0, Fruit Salad, Hummus and Veggie Sticks, Vegan Turkish Delight," Vegan Caesar Wrap
Total calories per portion", Lentil Tacos
27,300.0,180.0,150.0,400.0,100.0, Vegan Peanut Butter Banana Smoothie - 300 calories per portion | 1 portion | Contains nuts | Origin, Antipasto Skewers," Vegan Ratatouille - 150 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pastry Puffs," Japanese Miso Soup with Tofu (100 calories/portion, 4 portions) - Japan
"
28,50.0,180.0,100.0,350.0,286.0, Vegan Breakfast Energy Balls, Vegan Flapjacks," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and Mushroom Quesadillas, Quinoa and Black Bean Stuffed Peppers
29,200.0,300.0,120.0,400.0,220.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Vegan Breakfast Burrito, Vegan Mediterranean Hummus Bowl, Vegan Pastry Puffs, Chickpea and Vegetable Stir Fry
30,200.0,200.0,140.0,250.0,250.0, Vegan Breakfast Frittata, Vegan Yogurt Parfait," Cauliflower Buffalo Wings - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Mushroom and Spinach Lasagna," Moroccan Vegan Zaalouk (250 calories/portion, 4 portions) - Morocco
"
31,300.0,300.0,80.0,200.0,250.0, Vegan Breakfast Stromboli, Sweet Potato Fries," Baked Apple Chips - 80 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Tofu Scramble
Total calories per portion"," Mediterranean Quinoa Salad (250 calories/portion, 2 portions) - Greece
"
32,250.0,200.0,120.0,300.0,250.0, Vegan Oatmeal Chocolate Chip Cookies - 250 calories per portion | 2 portions | Contains gluten | Origin, Vegan Protein Pancakes," Black Bean Salsa with Tortilla Chips - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Acorn Squash Soup, Quinoa Salad
33,200.0,220.0,180.0,200.0,160.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Vegan Protein Bars with Almonds," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Quinoa Stuffed Mushrooms," Vegan Mediterranean Couscous Salad - 160 calories per portion, 3 portions, may contain gluten"
34,300.0,180.0,80.0,500.0,256.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Vegan Energy Bars, Energy Balls," Vegan Korean Bibimbap Bowl
Total calories per portion", Vegan BLT Sandwich
35,300.0,350.0,90.0,200.0,200.0, Vegan Almond Butter Toast - 300 calories per portion | 1 portion | Contains nuts | Origin, Veggie Wrap," Guacamole with Tortilla Chips - 90 kcals per portion, 4 portions, allergic warning (avocado), origin", Vegan Spinach and Mushroom Frittata," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
