,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,180.0,200.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cucumber Cups with Tuna Salad, Vietnamese Caramelized Pork," Honey lime grilled shrimp with quinoa and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
2,350.0,350.0,170.0,400.0,350.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Tuna Salad Lettuce Wraps, Vietnamese Caramelized Pork, Grilled Salmon with Mango Salsa
3,350.0,180.0,120.0,400.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork," Thai red curry with chicken and jasmine rice (700 calories per portion, 2 portions, contains fish, origin"
4,350.0,350.0,180.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Baked Coconut Shrimp, Baked Salmon with Lemon," Honey lime grilled shrimp with quinoa and roasted vegetables (500 calories per portion, 2 portions, contains shellfish, origin"
5,350.0,250.0,120.0,300.0,350.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon, Shrimp Scampi
6,350.0,180.0,200.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Cilantro Lime Shrimp Skewers, Baked Salmon with Lemon," Herb-roasted salmon with roasted potatoes and green beans (500 calories per portion, 2 portions, contains fish, origin"
7,350.0,180.0,180.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Baked Coconut Shrimp, Baked Salmon with Lemon," Pad Thai with shrimp and peanuts (700 calories per portion, 2 portions, contains shellfish and peanuts, origin"
8,350.0,180.0,120.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork," Herb-roasted salmon with roasted potatoes and green beans (500 calories per portion, 2 portions, contains fish, origin"
9,350.0,180.0,120.0,400.0,450.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork, Lemon Garlic Shrimp Pasta
10,350.0,180.0,200.0,400.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Cilantro Lime Shrimp Skewers, Vietnamese Caramelized Pork," Herb-roasted salmon with roasted potatoes and green beans (500 calories per portion, 2 portions, contains fish, origin"
11,350.0,180.0,170.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Tuna Salad Lettuce Wraps, Baked Salmon with Lemon," Thai red curry with chicken and jasmine rice (700 calories per portion, 2 portions, contains fish, origin"
12,350.0,180.0,120.0,300.0,500.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Baked Salmon with Lemon," Balsamic glazed salmon with roasted vegetables and quinoa (500 calories per portion, 2 portions, contains fish, origin"
13,350.0,180.0,180.0,300.0,700.0, Scrambled Eggs with Smoked Salmon, Shrimp and avocado salad, Baked Coconut Shrimp, Baked Salmon with Lemon," Pad Thai with shrimp and peanuts (700 calories per portion, 2 portions, contains shellfish and peanuts, origin"
14,350.0,350.0,180.0,300.0,400.0, Scrambled Eggs with Smoked Salmon, Smoked salmon and cream cheese bagel, Baked Coconut Shrimp, Baked Salmon with Lemon, Greek Shrimp Saganaki
15,350.0,250.0,120.0,400.0,350.0, Scrambled Eggs with Smoked Salmon, Rice cakes with cream cheese and smoked salmon, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork, Fish Tacos with Lime Crema
16,350.0,180.0,120.0,400.0,600.0, Scrambled Eggs with Smoked Salmon, Smoked salmon on whole wheat crackers, Rice Paper Rolls with Shrimp, Vietnamese Caramelized Pork," Shrimp pasta alfredo (600 calories per portion, 2 portions, contains shellfish and dairy, origin"
