,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,180.0,80.0,400.0,150.0, Greek Yogurt with Honey and Nuts, Carrot Cake Muffins, Vegan Peanut Butter Energy Bars," Italian Eggplant Parmesan (400 calories per portion, serves 2, contains gluten and dairy, origin", Ratatouille
2,250.0,200.0,180.0,400.0,150.0, Vegan Protein Pancakes," Grilled Halloumi Skewers - 200kcals per portion, 1 portion
    Origin"," Stuffed Grape Leaves - 180 kcals per portion, 5 portions, may contain nuts (Middle East)"," Israeli Shakshuka with Spinach (400 calories per portion, serves 4, contains eggs, origin", Chickpea Salad
3,250.0,220.0,150.0,200.0,160.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Apple cinnamon overnight oats, Zucchini Fritters," Greek Salad - 200 calories per portion, 4 portions, vegetarian, Greek
"," Vegan Tofu Scramble - 160 calories per portion, 1 portion, may contain soy"
4,250.0,120.0,300.0,150.0,170.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin, Tomato and Basil Bruschetta, Cheese and fruit platter, Ratatouille, Miso Soup with Tofu and Vegetables
5,200.0,250.0,180.0,350.0,100.0, Veggie Breakfast Couscous, Quiche Lorraine, Veggie Fritters," Vegan Sweet and Sour Tofu
Total calories per portion"," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
6,250.0,170.0,160.0,250.0,120.0," Overnight oats with berries and almond milk (250 calories per portion, 2 portions, nut-free, American origin)
", Walnut Energy Bars," Salsa Verde Hummus with Pita Chips - 160 kcals per portion, 4 portions, contains gluten (Various)", Baked falafel with tzatziki sauce, Cucumber and Tomato Salad
7,250.0,150.0,160.0,300.0,160.0, Vegan Banana Bread, Sautéed Mushrooms on Toast - Approx," Baked Falafel Bites - 160 kcals per portion, 5 portions, contains gluten (Middle East)"," Mediterranean Chickpea Salad - 300 calories per portion, 4 portions, vegetarian, Mediterranean
"," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
8,200.0,200.0,180.0,300.0,100.0, Vegan Blueberry Pancakes, Guacamole with Tortilla Chips - Approx, Baked Coconut Shrimp, Vegan Baked Ziti," Japanese Miso Soup with Tofu (100 calories/portion, 4 portions) - Japan
"
9,250.0,200.0,90.0,370.0,150.0, Vegan Breakfast BLT Sandwich, Blueberry Overnight Oats, Peanut butter energy balls," Ratatouille Couscous - 370kcals per portion, 2 portions, contains gluten
"," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
10,250.0,80.0,340.0,400.0,150.0," Syrian ka'ak (sesame bread rings) - 250 calories per portion, 1 portion, contains gluten, origin", Stuffed Dates, Vegan Nachos," Mexican Chicken Burritos - 400 calories per portion, 4 portions, contains dairy, Mexican
", Swiss Chard and Lentil Soup
