,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,150.0,170.0,20.0,400.0, Raspberry Chia Jam Toast, Green smoothie, Mozzarella and cherry tomato skewers, Moroccan Mint Tea," Greek-style stuffed peppers with rice and feta – 400 calories per portion, 3 portions, contains dairy (origin"
2,300.0,80.0,220.0,20.0,250.0," Yogurt parfait with granola and fruit - 300 calories per portion, 1 portion, may contain gluten, origin", Avocado Deviled Eggs," Poppy Seed Cake - 220 kcals per portion, 3 portions, contains gluten (Various)", Moroccan Mint Tea, Black Bean Quinoa Salad
3,200.0,150.0,210.0,20.0,350.0," Spinach and feta stuffed mushrooms - 200 calories per portion, 2 portions, contains dairy, origin", Green smoothie," Savory Cheese Bites - 210 kcals per portion, 4 portions, contains gluten, dairy (Various)", Moroccan Mint Tea," Vegan Burger - 350 calories per portion, 4 portions, Gluten, United States
"
4,400.0,100.0,250.0,20.0,461.0, Vegan Breakfast Burrito Bowl - 400 calories per portion | 1 portion | None | Origin, Chilled Gazpacho Soup - Approx, Vegetarian Chili, Moroccan Mint Tea, Thai Coconut Curry Soup
5,250.0,150.0,150.0,20.0,400.0, Vegan Breakfast Pizza, Chia Pudding, Strawberry Bruschetta, Moroccan Mint Tea, Lentil Bolognese
6,350.0,120.0,100.0,20.0,450.0, Acai Bowl, Almond Biscotti, Stuffed Dates, Moroccan Mint Tea," Moroccan Vegetable Couscous (450 calories/portion, 3 portions) - Morocco
"
7,450.0,120.0,100.0,20.0,400.0, Vegan Blueberry Muffins, Cinnamon Sugar Pretzels," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Greek Stuffed Bell Peppers
8,350.0,150.0,200.0,20.0,400.0," Baked beans on toast (350kcals per portion, 2 portions, origin", Oatmeal Raisin Cookies, Baked Zucchini Fries, Moroccan Mint Tea, Beef and Broccoli Stir Fry
9,400.0,150.0,200.0,20.0,300.0," Swedish pancakes with lingonberry jam - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Cinnamon Sugar Donut Holes - Approx, Caramelized Onion and Goat Cheese Tartlets, Moroccan Mint Tea," Greek Zucchini Fritters - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
10,150.0,150.0,180.0,20.0,250.0, Vegan Breakfast Fruit Pizza, Vegan Chocolate Chip Cookies, Baked Falafel with Yogurt Sauce, Moroccan Mint Tea, Moroccan Chickpea Stew
11,400.0,80.0,220.0,20.0,350.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Energy Balls, Cheese and Spinach Triangles, Moroccan Mint Tea," Chicken Noodle Stir-Fry - 350 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
12,250.0,150.0,120.0,20.0,250.0, Veggie Omelette, Homemade Energy Balls, Spinach Balls, Moroccan Mint Tea," Red Lentil Dal - 250 calories per portion, 4 portions, None, India
"
