,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,100.0,200.0,220.0,350.0," Berry chia seed smoothie (300 calories per portion, 2 portions, nut-free, American origin)
", Som Tam (Papaya Salad), Fruit and Yogurt Parfait, Greek lemon potatoes, Stuffed Zucchini
2,350.0,100.0,540.0,200.0,250.0, Vegan Breakfast Pizza - 350 calories per portion | 1 portion | Contains gluten | Origin," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Stuffed Bell Peppers, Italian Bruschetta," Japanese Vegan Gyoza (250 calories/portion, 3 portions) - Japan
"
3,400.0,100.0,160.0,220.0,450.0," Egyptian feteer meshaltet (layered pastry) with honey - 400 calories per portion, 2 portions, contains gluten, origin"," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin", Cucumber and Cream Cheese Bites, Greek lemon rice soup (Avgolemono)," Mushroom and spinach pasta with garlic bread (450 calories per portion, 2 portions, contains gluten, origin"
4,350.0,80.0,180.0,200.0,350.0, Shakshuka, Fresh Squeezed Orange Juice, Guacamole and Tortilla Chips," Greek Lemon Potatoes - 200kcals per portion, 4 portions, dairy-free, Greece
", Vegan Eggplant Parmesan
5,300.0,100.0,120.0,200.0,400.0," Blueberry almond smoothie (300 calories per portion, 2 portions, contains nuts, American origin)
", Rice Paper Spring Rolls, Roasted chickpeas," Tofu Stir-Fry - 200 calories
   - Total portions"," Vegetarian stuffed zucchini boats with quinoa and cheese (400 calories per portion, 3 portions, contains dairy, origin"
6,260.0,60.0,180.0,200.0,400.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Fruit Salad - Approx," Quinoa Stuffed Bell Peppers - 180 kcals per portion, 4 portions, no allergic warnings, origin", Vietnamese Vermicelli Salad," British Vegan Cottage Pie (400 calories/portion, 4 portions) - United Kingdom
"
7,400.0,100.0,140.0,200.0,320.0, Chia Seed Pancakes, Fresh Juice - Approx," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Greek potato salad," Ratatouille with crusty bread – 320 calories per portion, 4 portions, vegan-friendly (origin"
8,250.0,80.0,200.0,180.0,410.0, Vegan Pancake Skewers, Avocado Deviled Eggs, Hummus and Pita Bread, Tomato and basil bruschetta, Lentil and Vegetable Curry
9,300.0,100.0,180.0,150.0,350.0, Cheesy Grits, Zesty Lime Popcorn - Approx," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Tomato and Basil Bruschetta, Grilled Salmon with Mango Salsa
10,350.0,100.0,210.0,200.0,120.0, Tomato and Basil Bruschetta Scramble, Cucumber Rolls with Hummus - Approx, Veggie Pizza Bagels," Lentil Soup - 200kcals per portion, 4 portions, vegan, International
", Cucumber and Tomato Salad
11,400.0,80.0,150.0,200.0,250.0, Vegan Breakfast Spanakopita," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Zucchini Pizza Bites with Goat Cheese, Greek vegetarian stuffed peppers," Jackfruit Tacos - 250 calories per portion, 4 portions, None, Mexico

"
12,300.0,100.0,160.0,200.0,400.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Watermelon and feta skewers," Mini Pizza Bagels - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Chickpea and Spinach Curry," Moroccan Vegetable Paella (400 calories/portion, 2 portions) - Morocco
"
13,300.0,100.0,220.0,150.0,350.0, Vegan Chocolate Banana Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Watermelon and feta skewers, Roasted red pepper and feta dip with crackers," Vegetable Stir-Fry - 150kcals per portion, 3 portions"," Mexican Tortilla Soup - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
14,400.0,100.0,160.0,200.0,260.0, Vegan Breakfast Fried Rice, Roasted Edamame," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Italian Minestrone Soup," Greek Baked Beans - 260kcals per portion, 4 portions
"
15,350.0,50.0,300.0,150.0,350.0," Veggie omelette with zucchini and goat cheese (350 calories per portion, 2 portions, contains dairy, French origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Cheese and fruit platter, Ratatouille," Quinoa Stuffed Bell Peppers - 350 calories per portion, 4 portions, None, Various
"
16,400.0,50.0,150.0,200.0,160.0, Vegan Breakfast Skillet, Baked Apple Chips - Approx, Greek Yogurt Parfait," Grilled Chicken Salad - 200kcals per portion, 4 portions"," Vegan Lentil and Vegetable Shepherd's Pie - 160 calories per portion, 4 portions, may contain gluten"
