,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,200.0,20.0,350.0, Vegan Breakfast Stuffed Sweet Potatoes - 400 calories per portion | 1 portion | None | Origin, Mini Frittatas - Approx, Caprese stuffed avocados, Moroccan Mint Tea, Falafel Wrap
2,300.0,100.0,120.0,20.0,350.0," Nigerian moi moi (bean pudding) - 300 calories per portion, 2 portions, no allergic warnings, origin", Baked Apple Chips," Fruit Smoothie - 120 kcals per portion, 2 portions, gluten-free (USA)", Moroccan Mint Tea," Chickpea Curry - 350 calories/portion, 4 portions, Origin"
3,500.0,60.0,480.0,20.0,412.0, Breakfast Sausage and Egg Casserole, Fruit Salad - Approx, Vegan Lentil Burgers, Moroccan Mint Tea, Spaghetti Aglio e Olio
4,350.0,100.0,250.0,20.0,350.0," Mediterranean-style omelette with tomatoes and feta (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Cucumber Rolls with Cream Cheese, Baked Samosas, Moroccan Mint Tea, Greek Orzo Stuffed Peppers
5,400.0,50.0,800.0,20.0,400.0, English Muffin Breakfast Pizza, Baked Apple Chips - Approx, Vegan Teriyaki Tofu Bowl, Moroccan Mint Tea," Chili-lime grilled fish tacos – 400 calories per portion, 4 portions, contains fish (origin"
6,300.0,100.0,180.0,20.0,300.0, Vegetable Frittata, Vegetable Crudité with Hummus, Greek Spanakopita, Moroccan Mint Tea," Grilled vegetable skewers with couscous - 300 kcals per portion, 4 portions, vegetarian, contains gluten
"
7,320.0,70.0,100.0,20.0,250.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
", Fresh Fruit Salad, Chocolate Banana Smoothie, Moroccan Mint Tea," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
8,200.0,90.0,200.0,20.0,300.0, Mexican Black Bean Breakfast Wrap, Fruit Salad," Vegan Broccoli Pesto Pasta - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek Salad - 300 calories/portion, 4 portions, Origin"
9,700.0,70.0,210.0,20.0,300.0, Vegan Breakfast Crepe Cake, Kale chips," Caramelized Onion Tartlet - 210 kcals per portion, 3 portions, contains gluten, dairy (France)", Moroccan Mint Tea," Greek Zucchini Fritters - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
10,250.0,100.0,200.0,20.0,350.0, Vegan Protein Pancakes, Toasted Coconut Chips, Chickpea Salad, Moroccan Mint Tea," Tofu and vegetable stir-fry with noodles – 350 calories per portion, 2 portions, vegan-friendly
"
