,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,450.0,160.0,150.0,20.0,210.0," Persian barbari bread with feta and cucumber (450kcals per portion, 2 portions, origin", Tomato and mozzarella skewers, Veggie Sushi Rolls, Moroccan Mint Tea," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
"
2,400.0,50.0,110.0,20.0,350.0," Quinoa and black bean breakfast bowl (400 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Edamame - 110 kcals per portion, 2 portions, contains soy (Japan)", Moroccan Mint Tea," Vegetable Bolognese - 350 calories/portion, 4 portions, contains gluten (Italy)
"
3,350.0,180.0,80.0,20.0,400.0," Haitian pain patate (sweet potato bread) - 350 calories per portion, 2 portions, contains gluten, origin", Vegan Flapjacks, Cucumber cream cheese roll-ups, Moroccan Mint Tea, Italian Stuffed Zucchini
4,350.0,100.0,150.0,20.0,317.0," Swiss cheese and mushroom omelette (350 calories per portion, 2 portions, contains dairy, Swiss origin)
", Cucumber Slices with Tzatziki - Approx, Vegan Banana Bread, Moroccan Mint Tea, Vegan Paella
5,350.0,300.0,120.0,20.0,200.0," Egg and cheese breakfast sandwich - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Smoothie Bowl, Cheese and Spinach Stuffed Mushrooms, Moroccan Mint Tea, Spaghetti Aglio e Olio
6,250.0,100.0,150.0,20.0,300.0, Middle Eastern Shakshuka, Tomato Basil Bruschetta, Stuffed Bell Peppers, Moroccan Mint Tea, Quinoa Stuffed Mushrooms
7,300.0,220.0,300.0,20.0,300.0, Vegan Berry Protein Smoothie Bowl, Mini Vegetable Quiches, Chicken Satay with Peanut Sauce, Moroccan Mint Tea, Greek Orzo Salad
8,250.0,250.0,100.0,20.0,350.0, Spinach and Mushroom Oatmeal, Vegan Chocolate Banana Bread, Cinnamon Sugar Apple Slices, Moroccan Mint Tea," Salmon Cakes with Cucumber Dill Sauce - 350 calories per portion, 4 portions, contains gluten (breadcrumbs), Origin"
9,250.0,100.0,180.0,20.0,150.0," Chia seed pudding with mixed berries (250kcals per portion, 2 portions)
", Mini Frittatas - Approx, Greek Stuffed Grape Leaves (Dolmas), Moroccan Mint Tea," Steamed Fish with Lemon Butter Sauce - 150 calories per portion, 4 portions, no allergic warnings, Origin"
10,200.0,180.0,200.0,20.0,400.0, Spanish Tortilla, Carrot Cake Muffins, Bruschetta with tomato and basil, Moroccan Mint Tea," Greek Spanakopita - 400 calories per portion, 4 portions, contains dairy (cheese), Origin"
11,350.0,230.0,130.0,20.0,300.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Pumpkin Pie Smoothie," Oven-Baked Sweet Potato Fries - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Lentil Walnut Tacos - 300 calories per portion, 4 portions, Nuts, Mexico
"
12,350.0,250.0,180.0,20.0,200.0," Greek yogurt and berry parfait (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Banana Bread," Tapioca Pudding - 180 kcals per portion, 3 portions, contains dairy (World)", Moroccan Mint Tea," Baked Falafel - 200 calories/portion, 4 portions, Origin"
13,300.0,250.0,150.0,20.0,350.0, Vegan Breakfast Parfait, Sweet Potato and Kale Quesadilla, Caprese Salad, Moroccan Mint Tea, Spinach and Mushroom Omelette
14,350.0,120.0,280.0,20.0,200.0, Breakfast Bruschetta, Toasted Coconut Chips, Veggie Flatbread Pizza, Moroccan Mint Tea," Ratatouille Stuffed Zucchini - 200 calories/portion, 4 portions, Origin"
15,260.0,250.0,150.0,20.0,220.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Zucchini and Carrot Muffins, Caprese Salad Skewers, Moroccan Mint Tea," Greek Lemon Potatoes - 220kcals per portion, 4 portions
"
16,400.0,160.0,180.0,20.0,300.0, Veggie Breakfast Burrito, Cheese and Spinach Rolls, Tuna Salad Lettuce Wraps, Moroccan Mint Tea," Greek Stuffed Peppers - 300 calories/portion, 4 portions, contains feta cheese (Greece)
"
17,400.0,180.0,90.0,20.0,350.0, Breakfast Tacos with Chorizo, Vegan Scones, Mini Quiche, Moroccan Mint Tea," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
18,400.0,100.0,120.0,20.0,250.0," Savory oatmeal with bacon and eggs (400 calories per portion, 2 portions, contains eggs, American origin)
", Fruit Salad," Vegan Cheesy Popcorn - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Buddha Bowl
19,400.0,250.0,130.0,20.0,180.0," Lebanese shakshouka with tomatoes, peppers, and eggs (400kcals per portion, 2 portions, origin", Greek Yogurt with Honey," Vegan Thai Spring Rolls - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Ratatouille
20,450.0,120.0,100.0,20.0,400.0," Korean kimchi fried rice with sunny-side-up eggs (450kcals per portion, 2 portions, origin", Cucumber and dill cream cheese rolls, Asian cucumber salad, Moroccan Mint Tea," Chili-lime grilled fish tacos – 400 calories per portion, 4 portions, contains fish (origin"
21,350.0,200.0,200.0,20.0,400.0," South African melktert (milk tart) with cinnamon (350kcals per portion, 2 portions, origin", Bagel Chips with Cream Cheese - Approx, Mini Quiches, Moroccan Mint Tea," Greek Vegan Dolmades (400 calories/portion, 2 portions) - Greece
"
22,400.0,250.0,250.0,20.0,400.0," Breakfast tacos with egg, cheese, and salsa (400 calories per portion, 2 portions, contains dairy, Mexican origin)
"," Ricotta and Honey Toast - 250kcals per portion, 1 portion
    Origin", Stuffed Avocado with Quinoa, Moroccan Mint Tea, Vegan Paella with Artichokes
23,300.0,200.0,150.0,20.0,400.0, Avocado Toast, Raspberry Chia Seed Pudding, Greek Yogurt with Fresh Berries, Moroccan Mint Tea," Vegan Shepherd's Pie (400 calories/portion, 4 portions) - United Kingdom
"
24,250.0,200.0,120.0,20.0,400.0, Vegan Breakfast Sushi," Raspberry Oat Bars - 200kcals per portion, 1 portion
    Origin", Basil pesto pasta salad, Moroccan Mint Tea, Vegan Carbonara
