,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,150.0,90.0,200.0,250.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
", Vegan Cereal with Almond Milk, Homemade Popcorn," Japanese Miso Soup with Tofu and Seaweed - 200 calories per portion, 4 portions, vegetarian, Japanese
"," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
2,400.0,250.0,150.0,400.0,250.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Protein Brownies, Sweet Potato and Chickpea Patties, Vegan Pad Thai, Ratatouille Stuffed Portobello Mushrooms
3,400.0,120.0,120.0,500.0,250.0," Indonesian nasi goreng (fried rice) - 400 calories per portion, 2 portions, no allergic warnings, origin", Greek Stuffed Grape Leaves," Ceviche - 120 kcals per portion, 2 portions, contains fish (Peru)"," Israeli Sabich Bowl - 500 calories
    - Total portions"," Vegetable Stir Fry - 250 calories/portion, 4 portions, Origin"
4,200.0,200.0,200.0,180.0,180.0, Poha (Flattened Rice)," Ham and Cheese Pinwheels - 200kcals per portion, 1 portion
    Origin", Mini Chicken Teriyaki Skewers, Lentil and Vegetable Soup, Ratatouille
5,350.0,200.0,80.0,360.0,250.0," English crumpets with butter and jam (350kcals per portion, 2 portions, dairy allergies, origin", Sweet Corn Fritters - Approx, Zucchini Chips," Veggie Fajitas - 360kcals per portion, 2 portions, contains gluten
", Tofu Stir-Fry
6,300.0,250.0,180.0,350.0,300.0, Overnight Cherry Almond Oats, Muesli Parfait - Approx, Lentil Salad," Grilled Portobello Mushroom Burger (350 calories per portion, serves 2, no allergies, origin", Lentil Soup
7,300.0,250.0,250.0,550.0,250.0," Vegetable omelette with whole wheat toast (300 calories per portion, 2 portions, nut-free, American origin)
", Veggie Stuffed Mushrooms, Tomato Basil Bruschetta Pizza," Vegan Mushroom Risotto Stuffed Acorn Squash
Total calories per portion"," Vegan Caesar Salad - 250 calories per portion, 4 portions, None, United States
"
8,250.0,200.0,150.0,400.0,300.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Pumpkin Pie Smoothie," Tabbouleh Salad - 150 kcals per portion, 4 portions, contains gluten (Lebanon)", Chicken Satay with Peanut Sauce, Vegan Chili
9,350.0,250.0,160.0,200.0,300.0, Vegan Breakfast Grits - 350 calories per portion | 1 portion | None | Origin, Blueberry Pancakes, Asparagus and Goat Cheese Tartlets, Minestrone soup," Moroccan Lentil Burgers (300 calories/portion, 4 portions) - Morocco
"
10,200.0,200.0,180.0,350.0,300.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Quinoa Salad with Feta and Olives, Quinoa Salad with Chickpeas," Falafel Salad - 350kcals per portion, 2 portions, contains gluten, legumes (Middle East)
"," Lentil Samosas - 300 calories per portion, 4 portions, None, India
"
11,350.0,100.0,140.0,300.0,280.0, Breakfast Bruschetta, Caprese Skewers," Vegan Spinach Dip with Pita Chips - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Israeli Eggplant Salad - 300 calories per portion, 4 portions, vegetarian, Israeli
", Vegan Quiche
12,100.0,100.0,200.0,450.0,200.0, Vegan Breakfast Rice Pudding, Fruit Salad, Mini Crab Cakes," Vegan Sweet Potato and Black Bean Enchiladas
Total calories per portion"," Black Bean and Corn Salad - 200 calories per portion, 4 portions, None, Various
"
13,350.0,120.0,180.0,250.0,250.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Baked Cheese Twists, Cheesy Garlic Breadsticks, Mexican Corn and Avocado Salad, Veggie Stir-Fry
