,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,180.0,250.0,200.0,300.0, Veggie Breakfast Pizza, Tomato and Cheese Toast, Falafel with Tahini Sauce," Cauliflower Fried Rice - 200kcals per portion, 3 portions", Roasted Vegetable Quinoa Bowl
2,300.0,200.0,90.0,200.0,450.0, Breakfast Couscous with Fresh Fruit, Berry Parfait, Gazpacho, Vegan Creamy Broccoli Soup, Vegan Sushi Sandwich
3,500.0,200.0,280.0,200.0,350.0, Breakfast Sausage and Egg Casserole, Greek Yogurt and Honey Toast, Greek Spinach Pie," Spanish Gazpacho
Total calories per portion"," Vegetable curry with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
4,280.0,180.0,160.0,200.0,400.0," Cinnamon raisin oatmeal with apples (280 calories per portion, 2 portions, nut-free, American origin)
", Vegan Strawberry Cheesecake Bites," Vegan Pesto Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Mexican Guacamole," Grilled salmon with lemon and dill (400 calories per portion, 2 portions, contains fish, origin"
5,250.0,180.0,300.0,200.0,400.0, Egg and Cheese Breakfast Taco, Veggie Stuffed Bell Peppers, Roasted Vegetable Pizza, French onion soup," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
6,150.0,100.0,300.0,200.0,250.0, Fruit Salad," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin", Veggie Sushi Bowls, Vegetable stir-fry," Ratatouille - 250 calories per portion, 3 portions, may contain onions and garlic"
7,350.0,200.0,140.0,180.0,220.0, Cranberry Orange Muffins, Caprese Salad Skewers," Apple Slices with Almond Butter - 140 kcals per portion, 2 portions, contains tree nuts (USA)", Tabbouleh," Greek Lemon Potatoes - 220kcals per portion, 4 portions
"
8,250.0,200.0,80.0,180.0,360.0, Vegan Breakfast BLT Sandwich, Sweet Potato Fritters, Veggie Spring Rolls, Spinach and artichoke dip," Egg Fried Rice - 360kcals per portion, 4 portions, contains egg (China)
"
9,350.0,130.0,220.0,200.0,450.0, Vegan Breakfast Croissant, Almond Butter Stuffed Dates, Waldorf salad, Mushroom and spinach omelette, Veggie Pad Thai
10,350.0,160.0,180.0,200.0,300.0, Acai Bowl, Cottage cheese and cucumber wraps," Roasted Chickpea Salad - 180 kcals per portion, 4 portions, no allergic warnings, origin", Caprese Salad, Chickpea Salad
11,200.0,150.0,250.0,200.0,300.0, Veggie Breakfast Fritters, Watermelon and Feta Skewers, Smoked Salmon and Cream Cheese on Rye Bread," Lentil Soup - 200 calories per portion, 4 portions, vegetarian, International
"," Quinoa and Vegetable Stir-Fry - 300 calories per portion, 4 portions, no allergic warnings, Origin"
12,300.0,190.0,160.0,200.0,200.0, Vegan Chocolate Chip Pancakes, Rice Cakes with Peanut Butter," Cucumber Bites with Herbed Cream Cheese - 160 kcals per portion, 4 portions, contains dairy (Various)", Greek Salad with Tofu," Vegan Buffalo Cauliflower Wings - 200 calories per portion, 4 portions, None, United States
"
13,400.0,200.0,280.0,200.0,300.0," Warm quinoa breakfast bowl with caramelized bananas and almonds (400 calories per portion, 2 portions, contains nuts, American origin)
Please note that the above recipes are suggestions and the nutritional information provided is approximate", Baked Falafel, Mediterranean Hummus Wrap, Spinach and cheese stuffed portobello mushrooms," Spinach and Feta Stuffed Chicken Breast - 300 calories per portion, 4 portions, contains dairy (cheese), Origin"
14,400.0,130.0,200.0,150.0,400.0," Apple cinnamon baked oatmeal (400kcals per portion, 2 portions)
", Almond Butter Stuffed Dates, Coconut Chia Pudding," Vegetable Stir-Fry - 150kcals per portion, 3 portions"," British Vegan Lentil Shepherd's Pie (400 calories/portion, 3 portions) - United Kingdom
"
15,350.0,150.0,80.0,200.0,250.0, Vegan Blueberry Acai Smoothie Bowl - 350 calories per portion | 1 portion | None | Origin," Baked Sweet Potato Fries - 150kcals per portion, 2 portions
    Origin"," Popcorn - 80 kcals per portion, 4 portions, gluten-free (World)"," Vegan Tofu Scramble
Total calories per portion", Greek Spanakopita
16,250.0,200.0,290.0,150.0,400.0, Vegan Berry Parfait - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegan Protein Muffins," Cheese Quesadilla - 290 kcals per portion, 2 portions, contains gluten, dairy (Mexico)", Veggie Spring Rolls," Vegetarian pad Thai with tofu and vegetables (400 calories per portion, 3 portions, contains soy, origin"
17,200.0,100.0,200.0,200.0,300.0, Caprese Avocado Toast," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin", Chicken lettuce cups with peanut sauce, Mexican Guacamole, Caprese Stuffed Portobello Mushrooms
18,260.0,200.0,160.0,150.0,350.0," Cheese and vegetable frittata (260 calories per portion, 2 portions, contains dairy, Italian origin)
", Mixed nuts and dried fruit," Rice Cakes with Avocado - 160 kcals per portion, 3 portions, gluten-free (Various)", Tomato Basil Soup," Mexican Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
19,350.0,200.0,180.0,200.0,300.0," Russian syrniki (cottage cheese pancakes) - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Pumpkin Pie Smoothie," Rice Crispy Treats - 180 kcals per portion, 6 portions, gluten-free (USA)"," Lentil Salad - 200kcals per portion, 4 portions"," Chinese Sesame Noodles (300 calories/portion, 4 portions) - China
"
20,400.0,180.0,160.0,200.0,400.0, Bagel with Cream Cheese and Smoked Salmon, Zucchini Fritters, Veggie Sausage Rolls, Greek dolmas (stuffed grape leaves)," Spicy Black Bean Burritos - 400 calories per portion, 4 portions, contains gluten (tortillas), Origin"
