,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,150.0,150.0,150.0,300.0, Blueberry Muffins, Butternut Squash Soup, Veggie Chips, Butternut squash soup," Vegetarian chili - 300 calories per portion, 4 portions, none (Mexico)
"
2,200.0,250.0,100.0,380.0,400.0, Oatmeal with Berries, Bruschetta with Mozzarella, Greek Cucumber Dip with Pita Bread," Quinoa Stuffed Bell Peppers with Spinach and Cheese - 380kcals per portion, 2 portions, contains dairy, gluten
", Tofu and Vegetable Stir-Fry
3,350.0,350.0,120.0,200.0,270.0, Maple Pecan Granola with Yogurt, Veggie Bagel Sandwich, Roasted Chickpeas," Quinoa-Stuffed Mushrooms - 200kcals per portion, 2 portions, gluten-free
"," Spinach and Feta Puff Pastry Bites - 270kcals per portion, 4 portions, contains dairy
"
4,300.0,200.0,140.0,300.0,400.0, Mediterranean Chickpea Scramble, Avocado Toast, Blueberry Oat Bars," Mexican Quinoa Stuffed Peppers - 300kcals per portion, 2 portions, gluten-free
"," Vegetable Jalfrezi - 400 calories/portion, 4 portions, contains garlic (India)
"
5,250.0,160.0,150.0,250.0,300.0, Vegan Chocolate Banana Smoothie, Apple Slices with Peanut Butter, Beetroot Hummus with Crackers, Vegetable and lentil cassoulet," Caprese Quinoa Bowls - 300 calories/portion, 4 portions, Origin"
6,250.0,350.0,200.0,300.0,200.0, Vegan Breakfast Sushi Rolls, Cinnamon Raisin Bagel with Cream Cheese, Quinoa-Stuffed Bell Peppers, Vegetable Frittata," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
7,400.0,200.0,120.0,400.0,340.0, French Toast, Berry Parfait, Hummus with Carrot Sticks," Quinoa Black Bean Burgers - 400kcals per portion, 2 portions, no allergies
"," Spinach and Mushroom Quiche - 340kcals per portion, 4 portions, contains dairy
"
8,300.0,150.0,200.0,390.0,420.0, Mediterranean Chickpea Scramble, Quinoa and Black Bean Salad, Avocado Toast," Mexican Quinoa Salad - 390kcals per portion, 2 portions, contains gluten
"," Caprese Panini - 420kcals per portion, 2 portions, contains dairy (Italy)
"
9,300.0,250.0,200.0,350.0,300.0, Tofu Scramble Breakfast Burrito, Berry Yogurt Parfait, Apple Cinnamon Muffins, Chickpea salad wrap," Spinach and feta phyllo triangles - 300 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
10,300.0,100.0,220.0,250.0,350.0, Vegan Protein Smoothie, Som Tam (Papaya Salad), Quinoa and Black Bean Salad, Lentil and vegetable curry," Ratatouille Pasta Bake - 350 calories/portion, 4 portions, Origin"
