|title|raw_text|meal_type|cultural_restriction|calories|allergies|recipeId
0| Fruit Salad|"1. Fruit Salad: 70 calories per portion, 4 portions, contains fruits only.
"|breakfast|vegan|70.0|contains fruits only|food_0
1| Vegan Pancakes|"2. Vegan Pancakes: 150 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|150.0||food_1
2| Overnight Chia Pudding|"3. Overnight Chia Pudding: 200 calories per portion, 2 portions, contains nuts (almonds), Mexico.
"|breakfast|vegan|200.0|contains nuts (almonds)|food_2
3| Avocado Toast|"4. Avocado Toast: 250 calories per portion, 2 portions, may contain gluten (check bread), Mexico.
"|breakfast|vegan|250.0||food_3
4| Vegan Omelette|"5. Vegan Omelette: 300 calories per portion, 1 portion, contains chickpea flour, India.
"|breakfast|vegan|300.0|contains chickpea flour|food_4
5| Tofu Scramble|"6. Tofu Scramble: 350 calories per portion, 2 portions, contains soy, United States.
"|breakfast|vegan|350.0|contains soy|food_5
6| Vegan French Toast|"7. Vegan French Toast: 400 calories per portion, 2 portions, may contain gluten (check bread), France.
"|breakfast|vegan|400.0||food_6
7| Quinoa Breakfast Bowl|"8. Quinoa Breakfast Bowl: 450 calories per portion, 2 portions, contains nuts (almonds) and soy, Peru.
"|breakfast|vegan|450.0|contains nuts (almonds) and soy|food_7
8| Vegan Breakfast Burrito|"9. Vegan Breakfast Burrito: 500 calories per portion, 1 portion, may contain gluten (check wrap), Mexico.
"|breakfast|vegan|500.0||food_8
9| Granola with Soy Milk|"10. Granola with Soy Milk: 550 calories per portion, 1 portion, contains nuts (varies by brand), United States.

"|breakfast|vegan|550.0|contains nuts (varies by brand)|food_9
10| Vegan Waffles|"11. Vegan Waffles: 600 calories per portion, 3 portions, may contain gluten (check ingredients), Belgium.
"|breakfast|vegan|600.0||food_10
11| Vegan Breakfast Sandwich|"12. Vegan Breakfast Sandwich: 650 calories per portion, 1 portion, may contain gluten (check bread), United States.
"|breakfast|vegan|650.0||food_11
12| Acai Bowl|"13. Acai Bowl: 700 calories per portion, 1 portion, contains nuts (granola and toppings), Brazil.
"|breakfast|vegan|700.0|contains nuts (granola and toppings)|food_12
13| Vegan Breakfast Casserole|"14. Vegan Breakfast Casserole: 750 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|750.0||food_13
14| Vegan Sausage and Biscuits|"15. Vegan Sausage and Biscuits: 800 calories per portion, 2 portions, may contain gluten (check biscuits), United States.
"|breakfast|vegan|800.0||food_14
15| Vegan Breakfast Pizza|"16. Vegan Breakfast Pizza: 850 calories per portion, 4 portions, may contain gluten (check crust), Italy.
"|breakfast|vegan|850.0||food_15
