,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,250.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Thai Peanut Noodles, Thai Peanut Noodles
2,150.0,150.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Kung Pao Tofu
3,150.0,150.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
4,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
5,150.0,150.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Curry Laksa, Thai Peanut Noodles
6,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Vegan Curry Laksa, Vegan Kung Pao Tofu
7,150.0,700.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu
8,150.0,400.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
9,150.0,150.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Thai Peanut Noodles, Thai Peanut Noodles
10,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
11,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
12,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
13,150.0,700.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Thai Coconut Curry, Thai Peanut Noodles
14,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Thai Red Curry, Vegan Kung Pao Tofu
15,150.0,350.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu, Vegan Kung Pao Tofu
16,150.0,200.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
17,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Curry Laksa, Vegan Kung Pao Tofu
18,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Curry Laksa, Vegan Kung Pao Tofu
19,150.0,400.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Thai Coconut Curry, Thai Peanut Noodles
20,150.0,400.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
21,150.0,350.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Thai Peanut Noodles, Vegan Kung Pao Tofu
22,150.0,400.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
23,150.0,250.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Thai Peanut Noodles, Thai Peanut Noodles
24,150.0,250.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
25,150.0,400.0,200.0,350.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Thai Coconut Curry, Thai Peanut Noodles
26,150.0,400.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Thai Peanut Noodles, Thai Peanut Noodles
27,150.0,400.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu
28,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Red Curry, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
29,150.0,250.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
30,150.0,400.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
31,150.0,400.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Kung Pao Tofu
32,150.0,350.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Thai Coconut Curry, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
33,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Pad Thai, Vegan Kung Pao Tofu
34,150.0,250.0,200.0,200.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Thai Papaya Salad, Thai Peanut Noodles
35,150.0,250.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
36,150.0,400.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
37,150.0,250.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
38,150.0,400.0,200.0,400.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Curry Laksa, Vegan Thai Papaya Salad, Thai Red Curry, Thai Peanut Noodles
39,150.0,150.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu
40,150.0,700.0,200.0,700.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Pad Thai, Vegan Thai Papaya Salad, Vegan Pad Thai, Thai Peanut Noodles
41,150.0,150.0,200.0,150.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Peanut Butter Banana Smoothie, Vegan Thai Papaya Salad, Vegan Peanut Butter Banana Smoothie, Thai Peanut Noodles
42,150.0,250.0,200.0,250.0,250.0, Vegan Peanut Butter Banana Smoothie, Vegan Kung Pao Tofu, Vegan Thai Papaya Salad, Vegan Kung Pao Tofu, Thai Peanut Noodles
