,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,180.0,150.0,20.0,250.0," Spinach and mushroom frittata (300kcals per portion, 2 portions)
", Quinoa Cakes, Mini Meatballs, Moroccan Mint Tea," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin"
2,350.0,100.0,150.0,20.0,250.0," Pancetta and mushroom omelette (350 calories per portion, 2 portions, nut-free, Italian origin)
", Quinoa Energy Bites," Vegan Ratatouille - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Tofu Tikka Masala
3,300.0,150.0,150.0,20.0,340.0, Hash Brown Casserole, Spicy Roasted Chickpeas, Greek Salad Skewers, Moroccan Mint Tea," Spinach and Mushroom Quiche - 340kcals per portion, 4 portions, contains dairy
"
4,350.0,200.0,250.0,20.0,350.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Rice Paper Spring Rolls, Smoked Salmon and Dill Cream Cheese Cucumber Bites, Moroccan Mint Tea, Veggie Tacos
5,450.0,120.0,280.0,20.0,400.0," Lebanese markouk bread with za'atar and olive oil (450kcals per portion, 2 portions, origin", Bell pepper and cream cheese roll-ups, Veggie Pita Pockets, Moroccan Mint Tea, Honey Glazed Salmon with Asparagus
6,300.0,200.0,220.0,20.0,400.0, Idli and Sambar, Stuffed Bell Peppers - Approx, Caprese Bruschetta, Moroccan Mint Tea," Vegan Pad Thai - 400 calories per portion, 2 portions, Soy and peanuts, Thailand
"
7,350.0,200.0,150.0,20.0,300.0," Haitian pain patate (sweet potato bread) - 350 calories per portion, 2 portions, contains gluten, origin", Quinoa Stuffed Bell Peppers, Roasted Garlic and Tomato Crostini, Moroccan Mint Tea, Veggie Fajitas
8,180.0,150.0,150.0,20.0,300.0, Overnight Chia Pudding, Raspberry Chia Smoothie," Vegan Ratatouille - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Moroccan Couscous with Roasted Vegetables - 300 calories/portion, 4 portions, contains gluten (Morocco)
"
9,400.0,100.0,180.0,20.0,289.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Quinoa Energy Bites, Baked Falafel with Yogurt Sauce, Moroccan Mint Tea, Chickpea and Spinach Stew
10,300.0,200.0,300.0,20.0,250.0, Vegan Peanut Butter Banana Smoothie - 300 calories per portion | 1 portion | Contains nuts | Origin," Grilled Halloumi Skewers - 200kcals per portion, 1 portion
    Origin", Vegetable Pizza Rolls, Moroccan Mint Tea," Veggie Noodle Stir Fry - 250 calories/portion, 4 portions, Origin"
11,250.0,200.0,150.0,20.0,260.0, Whole Wheat Veggie Breakfast Wrap, Chickpea Salad, Mini quinoa sliders, Moroccan Mint Tea," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
12,250.0,180.0,90.0,20.0,200.0, Vegan Breakfast Bruschetta, Samosas, Ants on a log (celery with cream cheese and raisins), Moroccan Mint Tea," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
