,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,120.0,150.0,250.0, Almond Croissant, Cucumber and Hummus Rolls, Banana Oat Cookies, Spinach and mushroom frittata," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
2,250.0,100.0,230.0,150.0,330.0, Tomato Basil Bruschetta, Roasted Beetroot Chips, Avocado Toast, Butternut squash soup," Lentil Meatballs - 330kcals per portion, 4 portions, contains legumes
"
3,350.0,120.0,220.0,150.0,350.0, Tomato and Basil Bruschetta Scramble, Vegetable Samosas, Tomato and Mozzarella Stuffed Portobello Mushrooms, Spinach and feta stuffed mushrooms," Quinoa Stuffed Bell Peppers - 350 calories/portion, 4 portions, Origin"
4,250.0,100.0,70.0,150.0,250.0, Vegan Breakfast BLT Sandwich, Cucumber Sandwich, Stuffed Cucumbers, Butternut squash soup," Vegetable Curry Puffs - 250 calories/portion, 4 portions, contains gluten (Various)
"
5,350.0,100.0,150.0,150.0,240.0, Blueberry Muffins, Cucumber and Tomato Salad, Roasted Brussels Sprouts, Spinach and mushroom omelet," Citrus Quinoa Salad - 240kcals per portion, 4 portions
"
6,300.0,100.0,80.0,150.0,400.0, Tofu Scramble Breakfast Burrito, Edamame, Asian Cucumber Salad, Spinach and mushroom omelet, Veggie Burrito Bowl
7,450.0,100.0,320.0,150.0,450.0, Nutella Stuffed French Toast, Watermelon Fruit Pizza, Greek Spanakopita, Lentil and vegetable soup," Eggplant Parmesan - 450 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
8,300.0,80.0,250.0,120.0,500.0, Banana Pancakes, Kale Chips, Vegetarian Chili," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Thai Green Curry
9,250.0,120.0,280.0,150.0,350.0, Buckwheat Porridge, Oatmeal Cookie, Veggie Pita Pockets, Spinach and cheese stuffed tomatoes, Mushroom Risotto
10,300.0,120.0,200.0,150.0,350.0, Vegan Protein Smoothie, Vegetable Samosas, Pumpkin Bread, Spinach and cheese stuffed tomatoes," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
11,200.0,100.0,220.0,150.0,350.0, Quinoa Veggie Breakfast Skillet, Caprese Skewers, Indian Samosa Chaat, Caprese Salad," Vegetable Korma - 350kcals per portion, 4 portions, contains nuts (India)
"
12,200.0,100.0,210.0,150.0,300.0, Spinach and Feta Stuffed Portobello Mushrooms, Cucumber and Tomato Salad, Veggie Pizza Bagels, Spinach and feta stuffed bell peppers, Lentil Sloppy Joes
13,200.0,80.0,300.0,150.0,250.0, Spinach and Mushroom Breakfast Tacos, Fruit Salad, Vegetable Pizza Rolls, Spinach and mushroom omelet," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
14,300.0,80.0,210.0,150.0,260.0, Saffron Yogurt with Fruit, Baked Apple Chips, Greek Feta and Olive Tapenade Crostini, Butternut squash soup," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
15,150.0,100.0,120.0,150.0,400.0, Fruit Smoothie, Carrot Sticks with Ranch Dip, Yogurt Covered Strawberries, Spinach and mushroom frittata, Vegetarian Enchiladas
16,350.0,120.0,280.0,150.0,450.0, Vegan Protein Pancakes, Vegetable Spring Rolls, Greek Spinach and Cheese Rolls, Spinach and feta stuffed mushrooms," Mushroom Risotto - 450 calories/portion, 4 portions, contains garlic and dairy (Italy)
"
17,300.0,80.0,200.0,150.0,360.0, Feta and Spinach Muffins, Avocado Deviled Eggs, Nachos with Salsa and Cheese," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Egg Fried Rice - 360kcals per portion, 4 portions, contains egg (China)
"
18,250.0,80.0,190.0,150.0,400.0, Raspberry Chia Pudding, Fruit Salad, Greek Yogurt with Honey and Nuts, Spinach and feta stuffed mushrooms," Veggie Sushi Bowl - 400 calories/portion, 2 portions, Origin"
19,400.0,100.0,150.0,150.0,350.0, Veggie Breakfast Skillet, Som Tam (Papaya Salad), Roasted Chickpeas, Spinach and feta stuffed bell peppers," Quinoa Stuffed Bell Peppers with Cheese - 350 calories/portion, 4 portions, Origin"
20,200.0,90.0,120.0,150.0,270.0, Quinoa Breakfast Burrito, Fruit Salad, Hummus with Carrot Sticks, Caprese Salad," Spinach and Feta Puff Pastry Bites - 270kcals per portion, 4 portions, contains dairy
"
21,400.0,100.0,100.0,150.0,380.0, Spinach and Feta Quiche, Cucumber Rolls with Cream Cheese, Apple Chips, Gazpacho Soup," Quinoa-Stuffed Cabbage Rolls - 380kcals per portion, 4 portions
"
22,300.0,120.0,200.0,150.0,420.0, Sweet Potato Hash Browns, Raspberry Chia Seed Jam, Chickpea Salad, Lentil and vegetable soup," Caprese Quinoa Casserole - 420kcals per portion, 2 portions, contains dairy
"
23,300.0,100.0,120.0,150.0,400.0, Chia Seed Smoothie, Baked Apple Chips, Zucchini Fritters, Spinach and mushroom frittata," Coconut curry noodles - 400 calories per portion, 4 portions, contains gluten
"
24,300.0,120.0,150.0,150.0,400.0, Vegan Chocolate Chip Pancakes, Granola Bar, Bruschetta, Spinach and feta stuffed mushrooms," Vegan Lentil Bolognese - 400 calories/portion, 4 portions, contains gluten (Italy)
"
25,350.0,120.0,190.0,150.0,400.0, Coconut Chia Pudding, Melon and Prosciutto Skewers, Black Bean Dip with Tortilla Chips, Spinach and feta stuffed mushrooms," Veggie Paella - 400 calories/portion, 4 portions, contains saffron (Spain)
"
26,400.0,100.0,100.0,150.0,300.0, Tomato Basil Quiche, Cucumber Rolls with Cream Cheese, Grilled Halloumi Skewers, Spinach and feta stuffed mushrooms," Mediterranean Stuffed Eggplant - 300 calories/portion, 2 portions, Origin"
27,250.0,120.0,150.0,160.0,210.0, Vegan Pancake Skewers, Bruschetta with Tomato and Basil, Stuffed Grape Leaves," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
"
28,300.0,100.0,280.0,150.0,350.0, Tofu Scramble Breakfast Burrito, Caprese Skewers, Veggie Sausage Rolls, Spinach and ricotta stuffed tomatoes, Roasted Vegetable Quinoa Bowls
29,300.0,100.0,220.0,150.0,400.0, Blueberry Coconut Overnight Oats, Cucumber and Hummus Rolls, Vegan Banana Pancakes, Spinach and ricotta stuffed tomatoes," Caprese Pasta - 400 calories/portion, 2 portions, Origin"
30,250.0,120.0,200.0,150.0,250.0, Greek Feta and Tomato Toast, Tomato and Basil Bruschetta, Sweet Potato Fries, Caprese Salad," Moroccan Lentil Salad - 250 calories/portion, 4 portions, contains nuts (Morocco)
"
31,300.0,100.0,180.0,150.0,350.0, Overnight Apple Pie Chia Pudding, Greek Salad Skewers, Veggie Sausage Rolls, Spinach and cheese stuffed tomatoes," Caprese Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
32,300.0,120.0,190.0,150.0,300.0, Banana Oat Pancakes, Baked Cheese Twists, Black Bean Dip with Tortilla Chips, Spinach and mushroom omelet," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
33,350.0,120.0,160.0,150.0,400.0, Spinach and Goat Cheese Omelette, Raspberry Chia Seed Jam, Greek Yogurt with Chocolate Chips, Lentil and vegetable frittata," Falafel Wrap - 400 calories/portion, 2 portions, Origin"
34,400.0,100.0,300.0,150.0,200.0, Vegetarian Quiche Lorraine, Vegetable Crudité with Hummus, Vegetable Fajitas, Spinach and ricotta stuffed tomatoes," Tomato and Mozzarella Stuffed Portobello Mushrooms - 200 calories/portion, 2 portions, Origin"
35,350.0,80.0,120.0,150.0,320.0, Quinoa Breakfast Bake, Energy Balls, Tomato Mozzarella Skewers, Lentil and vegetable soup," Quinoa-Stuffed Mushrooms - 320kcals per portion, 4 portions
"
36,300.0,120.0,200.0,160.0,450.0, Mediterranean Chickpea Scramble, Cucumber Rolls, Coconut Chia Pudding," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
", Vegetable Biryani
37,250.0,100.0,100.0,160.0,300.0, Whole Wheat Veggie Breakfast Wrap, Fruit Salad, Chocolate Covered Strawberries," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Mediterranean Pasta Salad - 300 calories/portion, 4 portions, Origin"
38,200.0,100.0,250.0,150.0,400.0, Tofu Scramble, Cucumber Sandwich, Avocado Chocolate Mousse," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
