,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,320.0,960.0,150.0,400.0,200.0, Vegan Raspberry Oat Bars, Vegan Meatballs with Marinara Sauce, Vegan Banana Bread, Vegan Tamales, Vegan Goulash
2,240.0,200.0,520.0,350.0,250.0, Vegan Spinach Dip with Pita Chips, Vegan Goulash, Vegan Spinach and Artichoke Crostini, Vegan Ravioli, Vegan Fettuccine Alfredo
3,200.0,400.0,560.0,350.0,200.0, Lentil and Vegetable Bolognese, Vegan Jambalaya, Vegan Chickpea Salad Sandwich, Veggie Burger, Lentil and Vegetable Bolognese
4,300.0,350.0,320.0,350.0,200.0, Vegan Spaghetti Carbonara, Vegan Tacos, Vegan Breaded Zucchini Sticks, Vegan Ravioli, Lentil and Vegetable Bolognese
5,320.0,250.0,320.0,300.0,200.0, Vegan Breaded Zucchini Sticks, Vegan Nachos, Vegan Mediterranean Flatbread Pizza, Vegan Gyros, Lentil and Vegetable Bolognese
6,150.0,350.0,200.0,300.0,250.0, Vegan Banana Bread, Vegan Tacos, Stuffed Grape Leaves, Vegan Bao Buns, Cauliflower Buffalo Wings
7,200.0,800.0,300.0,300.0,200.0, Mexican Rice Bowl, Vegan Mexican Churros, Veggie Spring Rolls, Vegan Spaghetti Carbonara, Vegan Goulash
8,320.0,400.0,480.0,840.0,250.0, Quinoa Salad, Vegan Ramen, Vegan Lentil Burgers, Vegan Tomato Bruschetta, Cauliflower Buffalo Wings
9,200.0,400.0,480.0,350.0,200.0, Lentil and Vegetable Bolognese, Vegan Carbonara, Spinach and Mushroom Quesadillas, Mushroom Risotto Stuffed Peppers, Lentil and Vegetable Bolognese
10,300.0,400.0,160.0,760.0,250.0, Veggie Fajitas, Vegan Paella, Vegan Spinach and Mushroom Puff Pastry, Vegan Indian Samosa Chaat, Vegan Nachos
