,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,180.0,100.0,300.0,300.0, Vegan Breakfast Nachos - 400 calories per portion | 1 portion | Contains soy | Origin, Vegan Date and Nut Bars," Stuffed Mini Peppers with Vegan Cream Cheese - 100 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Burgers, Vegan Moroccan Tagine
2,450.0,100.0,240.0,400.0,400.0, Vegan Breakfast Lassi, Toasted Coconut Chips, Veggie Sushi Rolls, Vegan Tikka Masala, Vegan Enchiladas
3,300.0,200.0,160.0,350.0,400.0, Vegan Apple Cinnamon Quinoa - 300 calories per portion | 1 portion | None | Origin, Avocado Toast," Vegan Coconut Curry Rice Balls - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Lentil Sloppy Joes, Vegan Carbonara
4,300.0,150.0,160.0,200.0,200.0, Vegan Pumpkin Muffins - 300 calories per portion | 2 portions | Contains gluten | Origin, Vegan Pumpkin Muffins, Roasted Chickpeas," Japanese Miso Soup with Tofu and Vegetables
Total calories per portion", Vegan Bibimbap
5,50.0,180.0,140.0,300.0,350.0, Vegan Breakfast Stuffed Tomatoes, Fruity Nice Cream," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Black Bean Tacos, Vegan Paella
6,250.0,250.0,140.0,400.0,220.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Apple Cinnamon Oatmeal," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Stuffed Bell Peppers, Lentil and Vegetable Stir Fry
7,200.0,180.0,500.0,400.0,250.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Antipasto Skewers, Roasted Vegetable Skewers," Vegan Goulash with Seitan
Total calories per portion"," Jackfruit Tacos - 250 calories per portion, 4 portions, None, Mexico

"
8,300.0,350.0,80.0,300.0,200.0, Vegan Mango Coconut Chia Pudding - 300 calories per portion | 1 portion | None | Origin, Quinoa Salad, Vegan Peanut Butter Energy Bars, Lentil Stuffed Cabbage Rolls, Spaghetti Aglio e Olio
9,200.0,90.0,460.0,300.0,300.0, Vegan Matcha Chia Pudding - 200 calories per portion | 1 portion | None | Origin, Quinoa Energy Bites, Veggie Tacos, Lentil Sloppy Joes, Beetroot Burger
10,350.0,250.0,200.0,400.0,250.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Apple Cinnamon Oatmeal, Stuffed Grape Leaves," Quinoa Black Bean Burgers
Total calories per portion", Black Bean Quinoa Salad
11,250.0,300.0,170.0,350.0,350.0, Vegan Breakfast Crepes, Vegan Cinnamon Funnel Cake," Roasted Red Pepper Hummus with Pita Bread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Vegan BBQ Sandwich," Spinach and Mushroom Risotto - 350 calories per portion, 4 portions, None, Italy
"
12,500.0,230.0,200.0,400.0,320.0, Vegan Breakfast Croque Madame, Vegan Pumpkin Pie Smoothie," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Thai Pineapple Fried Rice, Vegan Kung Pao Tofu
13,350.0,250.0,540.0,250.0,350.0, Vegan Breakfast Quinoa Bowl - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Berry Crumble, Stuffed Bell Peppers, Cauliflower Buffalo Wings, Chickpea Salad Sandwich
14,300.0,250.0,200.0,300.0,400.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Vegan Protein Shake," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin", Vegan Jamaican Rice and Peas," Vegan Mushroom Gyros - 400 calories per portion, 4 portions, None, Greece
"
15,350.0,250.0,100.0,250.0,200.0, Vegan Mushroom and Spinach Omelette - 350 calories per portion | 1 portion | None | Origin, Vegan Chocolate Banana Bread," Vegan Spinach and Artichoke Dip - 100 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Asian Slaw," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
16,400.0,350.0,130.0,250.0,317.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Peanut Butter and Jelly Sandwich," Sweet and Spicy Roasted Cashews - 130 kcals per portion, 4 portions, allergic warning (cashews), origin"," Vegan Cauliflower ""Steak""", Vegan Paella
17,150.0,150.0,100.0,350.0,250.0, Vegan Egg Muffins - 150 calories per portion | 2 portions | None | Origin, Coconut Chia Pudding," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Sushi Burrito, Vegan Zucchini Bread
18,300.0,220.0,700.0,250.0,200.0, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Vegan Granola with Almond Milk, Vegan Pad Thai, Caprese Salad, Greek Salad
19,300.0,250.0,180.0,550.0,159.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Vegan Chocolate Banana Bread," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Spicy Thai Peanut Noodles
Total calories per portion", Quinoa Stuffed Mushrooms
20,350.0,220.0,150.0,250.0,360.0, Vegan Breakfast Couscous - 350 calories per portion | 1 portion | Contains gluten | Origin, Guacamole with Tortilla Chips," Vegan Chocolate Avocado Mousse - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Vegan Greek Style Couscous Salad, Vegan Chili
21,200.0,260.0,280.0,300.0,399.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Vegan Pumpkin Spice Muffins, Vegan Lemon Poppy Seed Muffins, Lentil and Vegetable Stir-Fry, Sweet Potato and Black Bean Chili
22,400.0,100.0,660.0,250.0,350.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Energy Balls, Vegan Pesto Pasta, Veggie Sushi Bowl, Thai Coconut Curry
23,250.0,250.0,320.0,250.0,200.0, Vegan Breakfast Oats and Berries, Quinoa Salad with Veggies, Vegan Breaded Zucchini Sticks, Vegan Moroccan Couscous, Mediterranean Stuffed Eggplant
