,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,250.0,20.0,350.0," Coconut chia pudding with mango (250kcals per portion, 2 portions)
", Fresh Fruit Salad, Thai Mango Sticky Rice, Moroccan Mint Tea," Curried vegetable couscous - 350 calories per portion, 4 portions, contains gluten
"
2,400.0,100.0,220.0,20.0,350.0, Vegetarian Breakfast Casserole, Cucumber Sandwich, Roasted Red Pepper and Feta Crostini, Moroccan Mint Tea, Buddha Bowl
3,150.0,120.0,180.0,20.0,250.0, Greek Yogurt with Berries, Oatmeal Cookie, Apple with Peanut Butter, Moroccan Mint Tea, Ratatouille
4,250.0,100.0,120.0,20.0,450.0, Vegan Breakfast Enchiladas, Cucumber and Tomato Salad, Greek yogurt with mixed nuts and honey, Moroccan Mint Tea," Vegan Vegetable Biryani - 450 calories per portion, 2 portions, may contain mustard"
5,250.0,70.0,130.0,20.0,300.0," Cereal with milk and sliced strawberries (250kcals per portion, 1 portion, lactose allergies)
", Kale chips," Veggie Sushi Rolls with Quinoa - 130 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Chickpea Curry
6,450.0,120.0,250.0,20.0,400.0," Lebanese markouk bread with za'atar and olive oil (450kcals per portion, 2 portions, origin", Yogurt with Berries - Approx, Smoked Salmon and Cream Cheese on Rye Bread, Moroccan Mint Tea," Beef Tostadas - 400 calories per portion, 4 portions, contains gluten (tortillas), Origin"
7,300.0,80.0,180.0,20.0,350.0, Vegan Breakfast Stromboli," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Baked Jalapeno Poppers, Moroccan Mint Tea," Caprese Stuffed Avocado - 350 calories/portion, 2 portions, Origin"
8,300.0,100.0,250.0,20.0,300.0, Omelette with Spinach and Feta, Toasted Coconut Chips, Avocado Egg Salad Lettuce Wraps, Moroccan Mint Tea," Vegetarian lasagna with garden salad - 300 kcals per portion, 6 portions, vegetarian, contains gluten
"
9,250.0,100.0,380.0,20.0,400.0, Blueberry Oatmeal Breakfast Bars, Cucumber and Tomato Salad, Mini chicken pot pies, Moroccan Mint Tea," Thai Pineapple Fried Rice - 400 calories per portion, 4 portions, contains shellfish, Origin"
10,400.0,100.0,120.0,20.0,300.0," Hungarian pogácsa (cheese biscuits) with tea (400kcals per portion, 2 portions, origin", Cucumber Sandwich, Banana Oat Cookies, Moroccan Mint Tea," Vegetable Stir-Fry with Peanut Sauce - 300 calories per portion, 4 portions, Peanuts, Various

"
11,380.0,80.0,200.0,20.0,250.0," Greek-style baked eggs with spinach and feta (380 calories per portion, 2 portions, nut-free, Greek origin)
", Fruit Salad," Vegan Strawberry Banana Smoothie - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Zucchini Noodles with Pesto
12,300.0,100.0,180.0,20.0,400.0, Veggie Breakfast Quesadilla, Fruit Salad," Blueberry Oatmeal Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Quinoa Stuffed Mushrooms with Feta - 400 calories/portion, 4 portions, Origin"
13,350.0,120.0,300.0,20.0,320.0," Indian masala dosa with chutney and sambar (350kcals per portion, 2 portions, origin", Beetroot Hummus, Veggie Sushi Bowls, Moroccan Mint Tea," Eggplant Curry - 320kcals per portion, 4 portions, contains spices (India)
"
14,300.0,100.0,110.0,20.0,350.0, Sweet Potato Hash Browns, Kiwi and Strawberry Smoothie," Watermelon Gazpacho - 110 kcals per portion, 4 portions, gluten-free (Spain)", Moroccan Mint Tea," Mexican Quinoa Salad - 350 calories/portion, 4 portions, Origin"
15,250.0,90.0,220.0,20.0,350.0, Vegan Breakfast Bruschetta, Quinoa Energy Bites, Indian Samosa Chaat, Moroccan Mint Tea," Mexican Rice Casserole - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
16,400.0,80.0,120.0,20.0,300.0, Almond Croissant, Fresh Watermelon Slices - Approx, Pita Chips with Homemade Salsa, Moroccan Mint Tea, Black Bean and Corn Salad
17,350.0,80.0,250.0,20.0,350.0, Veggie Breakfast Strudel, Stuffed Dates, Mini chicken quesadilla, Moroccan Mint Tea, Vegan Lentil Loaf
18,220.0,120.0,110.0,20.0,350.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin", Kale Chips, Baked vegetable spring rolls, Moroccan Mint Tea," Beef Tacos - 350 calories per portion, 4 portions, contains gluten (tortillas), Origin"
19,200.0,90.0,190.0,20.0,450.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Vegetarian Spring Rolls, Mini Falafel Bites, Moroccan Mint Tea, Mushroom Risotto
20,400.0,100.0,180.0,20.0,200.0," Maltese pastizzi (ricotta-filled pastries) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Fresh Fruit Salad," Rice Crispy Treats - 180 kcals per portion, 6 portions, gluten-free (USA)", Moroccan Mint Tea," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
21,300.0,120.0,600.0,20.0,400.0, Shakarkandi ki Chaat (Sweet Potato Chaat), Tomato and Basil Bruschetta, Vegan Indonesian Gado Gado, Moroccan Mint Tea," Chili-lime grilled fish tacos – 400 calories per portion, 4 portions, contains fish (origin"
22,700.0,120.0,90.0,20.0,300.0, Vegan Scones, Oatmeal Cookie, Homemade Popcorn, Moroccan Mint Tea," Tuscan white bean and vegetable soup (300 calories per portion, 4 portions, vegan-friendly, origin"
23,550.0,110.0,180.0,20.0,410.0, Vegan Breakfast Chili, Moroccan-style boiled eggs, Pita Bread with Hummus, Moroccan Mint Tea, Vegan Buddha Bowl
24,400.0,120.0,120.0,20.0,420.0, Quinoa Breakfast Bowl, Cucumber and dill cream cheese rolls, Apple slices with peanut butter, Moroccan Mint Tea," Vegetable Lasagna - 420kcals per portion, 2 portions
"
