,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,150.0,180.0,20.0,250.0, Veggie Breakfast Pizza, Vegan Chocolate Energy Balls, Mini Meatballs, Moroccan Mint Tea," Moroccan Chickpea Stew (250 calories/portion, 4 portions) - Morocco
"
2,500.0,100.0,150.0,100.0,400.0," Breakfast burrito with scrambled eggs and avocado (500kcals per portion, 2 portions, origin", Overnight Chia Pudding, Baked Potato Wedges, Israeli salad," Vegan Shepherd's Pie (400 calories/portion, 4 portions) - United Kingdom
"
3,350.0,100.0,120.0,120.0,380.0, Vegan Breakfast Burrito, Cucumber Slices with Tzatziki - Approx, Spinach and Ricotta Stuffed Mushrooms," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Bibimbap
4,250.0,150.0,210.0,100.0,400.0, Vegan Breakfast Oats and Berries, Sautéed Mushrooms on Toast - Approx," Mini Cheese Balls - 210 kcals per portion, 4 portions, contains dairy (Various)", Israeli salad," Lentil and vegetable curry with basmati rice (400 calories per portion, 3 portions, vegan-friendly, origin"
5,400.0,150.0,360.0,120.0,350.0, Smashed Avocado and Egg Toast, Zucchini Noodles with Marinara Sauce, Vegan Turkish Delight," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Butter Chicken
6,350.0,150.0,120.0,120.0,180.0," Pita bread with hummus and vegetables - 350 calories per portion, 2 portions, contains gluten, origin", Hummus and Veggie Sticks, Spinach and Feta Stuffed Mushrooms," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
7,700.0,120.0,150.0,100.0,400.0, Vegan Breakfast Bibimbap, Bell pepper and cream cheese roll-ups, Tomato and Mozzarella Bruschetta, Israeli salad," Potato Gnocchi - 400 calories/portion, 4 portions, Origin"
8,350.0,100.0,150.0,120.0,400.0," Avocado toast with poached eggs (350kcals per portion, 2 portions, origin", Vegetable Crudité with Hummus, Caprese skewers with balsamic glaze," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," General Tso's tofu with steamed rice (400 calories per portion, 3 portions, contains gluten and soy, origin"
9,350.0,150.0,250.0,20.0,380.0," Vegetarian breakfast quiche with broccoli and feta (350 calories per portion, 2 portions, contains dairy, American origin)
", Sweet Corn Fritters, Thai Mango Sticky Rice, Moroccan Mint Tea," Vegetarian nachos with black beans and cheese - 380 kcals per portion, 4 portions, vegetarian, contains gluten
"
10,250.0,80.0,780.0,120.0,350.0, Vegan Overnight Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Fruit Salad, Lentil Sloppy Joes," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Italian Vegan Pasta Aglio e Olio (350 calories/portion, 2 portions) - Italy
"
