,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,300.0,190.0,20.0,250.0," Mushroom and Swiss breakfast wrap (400 calories per portion, 2 portions, contains dairy, Swiss origin)
", Vegetarian Scotch Eggs, Black Bean Dip with Tortilla Chips, Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 250 calories/portion, 4 portions, contains dairy (Greece)
"
2,400.0,80.0,100.0,20.0,250.0," Cheese and beef sausage omelet (400kcals per portion, 2 portions, dairy allergies, origin", Fresh Watermelon Slices - Approx," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
3,400.0,150.0,160.0,20.0,200.0, Turkish Menemen with Feta Cheese, Cinnamon Maple Roasted Chickpeas, Stuffed Mushrooms, Moroccan Mint Tea," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
4,200.0,150.0,80.0,20.0,150.0, Veggie Breakfast Wrap with Tofu Scramble, Honey Roasted Almonds - Approx, Caprese Skewers with Balsamic Glaze, Moroccan Mint Tea, Lentil Soup with Kale
5,400.0,60.0,100.0,20.0,270.0, Turkish Borek, Cucumber and tomato salad," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Mexican Quinoa Bowl
6,250.0,150.0,80.0,20.0,250.0, Vegan Banana Bread, Vegan Cereal with Almond Milk, Stuffed Mushroom Caps, Moroccan Mint Tea, Lentil Loaf
7,300.0,200.0,120.0,20.0,200.0," Carrot cake oatmeal (300 calories per portion, 2 portions, nut-free, American origin)
", Aloo Tikki (Potato Patties), Greek tomato and feta dip with pita chips, Moroccan Mint Tea," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
8,300.0,250.0,300.0,20.0,250.0, Egg White Omelette with Veggies, Sweet Potato Fries, Baked Sweet and Spicy Chicken Wings, Moroccan Mint Tea, Vegan Zucchini Bread
9,300.0,180.0,220.0,20.0,250.0, Vegan Smoothie Bowl, Baked Oatmeal Cups, Teriyaki Chicken Skewers, Moroccan Mint Tea," Indian Baingan Bharta (250 calories/portion, 3 portions) - India
"
10,400.0,160.0,290.0,20.0,250.0, Vegetarian Breakfast Casserole, Zucchini Chips," Cheese Quesadilla - 290 kcals per portion, 2 portions, contains gluten, dairy (Mexico)", Moroccan Mint Tea, Black Bean Tacos
11,350.0,90.0,240.0,20.0,250.0, Vegan Breakfast Burrito Bowl, Fruit Salad, Thai Vegetable Spring Rolls, Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 250 calories/portion, 4 portions, contains dairy (Greece)
"
12,350.0,300.0,150.0,20.0,200.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin, Veggie Breakfast Casserole, Mini Quiche, Moroccan Mint Tea, Greek Stuffed Peppers
13,380.0,150.0,150.0,20.0,250.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
"," Blueberry Muffins - 150kcals per portion, 2 portions
    Origin", Peanut Butter Banana Roll-Ups, Moroccan Mint Tea," Italian Wedding Soup - 250 calories per portion, 6 portions, contains gluten (pasta), Origin"
14,350.0,200.0,300.0,20.0,250.0," Veggie omelette with sweet potato hash (350 calories per portion, 2 portions, nut-free, American origin)
", Mango Coconut Chia Pudding - Approx, Vegetable Pizza Rolls, Moroccan Mint Tea, Cauliflower Buffalo Wings
15,350.0,150.0,230.0,20.0,100.0, Vegan Breakfast Tacos, Hawaiian Fruit Skewers - Approx, Tomato and mozzarella bruschetta, Moroccan Mint Tea," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
16,350.0,220.0,100.0,20.0,200.0, Baked Oatmeal, Vegan Granola with Almond Milk, Stuffed Dates, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
17,400.0,250.0,180.0,20.0,250.0," Chicken and vegetable stuffed crepes (400kcals per portion, 2 portions)
", Blueberry and Almond Butter Smoothie Bowl, Zucchini Pizza Bites, Moroccan Mint Tea," Chickpea Stew - 250 calories per portion, 6 portions, Allergic to legumes, Middle East
"
