,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,70.0,180.0,500.0,250.0, Vegetable Frittata, Fresh Fruit Salad, Roasted Cauliflower Bites, Vegetarian Taco Salad," Panzanella salad - 250 calories per portion, 4 portions, contains gluten (Italy)
"
2,200.0,80.0,140.0,450.0,250.0, Vegan Breakfast Tacos, Baked Apple Chips, Roasted Red Pepper Dip with Pita Chips, Mediterranean Quinoa Bowl, Vegetable Stir-Fry
3,400.0,80.0,180.0,280.0,400.0, Vegetarian Quiche Lorraine, Fruit Salad, Mango Salsa with Tortilla Chips," Vegetable Sushi Rolls - 280kcals per portion, 4 portions, no allergies, Origin"," Butternut squash ravioli with brown butter sauce - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
4,300.0,80.0,300.0,300.0,350.0, Tomato Basil Avocado Toast, Fruit Salad, Cheese and Crackers, Avocado and Tomato Sandwich," Vegetarian Bibimbap - 350 calories/portion, 4 portions, Origin"
5,200.0,80.0,180.0,450.0,200.0, Quinoa Breakfast Burrito, Mango with Chili Powder, Pomegranate Avocado Salad, Stuffed Bell Peppers," Mexican Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains gluten (Mexico)
"
6,200.0,70.0,100.0,430.0,300.0, Spinach Tomato Feta Frittata, Fresh Fruit Salad, Caprese Skewers," Veggie Paella Bowl - 430kcals per portion, 2 portions, contains gluten
"," Vegetarian chili - 300 calories per portion, 4 portions, none (Mexico)
"
7,350.0,80.0,150.0,280.0,250.0, Veggie Breakfast Strudel, Cheesy Popcorn, Mini Quiche," Lentil Salad with Roasted Vegetables - 280kcals per portion, 4 portions, no allergies
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
8,200.0,80.0,180.0,200.0,300.0, Banana Pancakes, Baked Apple Chips, Veggie Fritters, Spanakopita triangles, Greek Spanakopita Triangles
9,400.0,80.0,200.0,350.0,300.0, Veggie Bagel Sandwich, Fruit Salad, Baked Falafel, Vegetable Stir-Fry," Baked Ziti - 300 calories/portion, 4 portions, Origin"
10,300.0,80.0,180.0,350.0,400.0, Mediterranean Chickpea Scramble, Baked Apple Chips, Oatmeal Raisin Cookies," Vegetarian Paella - 350kcals per portion, 3 portions, no allergies, Origin", Lentil Curry
11,200.0,80.0,230.0,180.0,400.0, Tomato Basil Tofu Scramble, Apple with Cinnamon, Sweet Potato and Black Bean Quesadillas, Mexican black bean and corn salad," Eggplant and Zucchini Gratin - 400 calories/portion, 4 portions, Origin"
12,350.0,80.0,90.0,250.0,400.0, Maple Pecan Granola with Yogurt, Hard-Boiled Eggs, Homemade Popcorn, Mediterranean couscous salad," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
