,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,180.0,160.0,200.0,412.0, Vegan Cinnamon Rolls, Vegan Blueberry Muffins," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Zucchini Bread, Spaghetti Aglio e Olio
2,350.0,150.0,180.0,250.0,350.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Chocolate Chip Cookies," Vegan Black Bean Brownies - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Ratatouille
Total calories per portion"," Vegan Thai Red Curry - 350 calories per portion, 2 portions, may contain tofu"
3,400.0,150.0,440.0,300.0,350.0, Vegan Breakfast Skillet, Almond Joy Energy Bites, Vegan Chili," Vegan Pho
Total calories per portion"," Chinese Mapo Tofu (350 calories/portion, 2 portions) - China
"
4,450.0,200.0,130.0,300.0,288.0, Vegan Breakfast Muffuletta, Vegan Lemon Poppy Seed Muffins," Veggie Sushi Rolls with Quinoa - 130 kcals per portion, 4 portions, no allergic warnings, origin", Ratatouille, Chickpea and Vegetable Curry
5,250.0,200.0,100.0,350.0,200.0, Vegan Cinnamon Apple Oatmeal - 250 calories per portion | 2 portions | None | Origin, Vegan Breakfast Cookies," Roasted Garlic Hummus with Veggie Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Moroccan Chickpea Salad
Total calories per portion", Mexican Rice Bowl
6,400.0,320.0,180.0,200.0,300.0, Vegan Cinnamon Rolls, Chickpea Salad Sandwich," Spinach and Mushroom Quesadillas - 180 kcals per portion, 4 portions, no allergic warnings, origin", Greek Salad with Tofu, Vegan General Tso's Tofu
7,300.0,200.0,320.0,350.0,350.0, Vegan Pumpkin Spice Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Banana Sushi, Vegan Mediterranean Flatbread Pizza," Vegan Moroccan Chickpea Salad
Total calories per portion", Vegan Bibimbap
8,300.0,250.0,160.0,250.0,350.0, Veggie Tofu Scramble Wrap - 300 calories per portion | 1 portion | None | Origin, Sweet Potato and Black Bean Quesadillas," Vegan Bruschetta Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Tofu Scramble," Lentil Coconut Curry Soup - 350 calories per portion, 4 portions, None, India

Please note that the portion sizes and calorie counts are approximate, and you may need to adjust the recipe based on your specific dietary needs and restrictions"
9,350.0,280.0,180.0,300.0,256.0, Vegan Apricot and Almond Granola Bars - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Protein Pancakes," Vegan Nachos with Salsa - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Mediterranean Quinoa Salad
Total calories per portion", Vegan BLT Sandwich
10,50.0,200.0,90.0,300.0,350.0, Vegan Breakfast Smoothie, Vegan Granola Bars," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin", Spicy Eggplant Stir-Fry," Lentil Walnut Veggie Burger - 350 calories per portion, 4 portions, Nuts, United States
"
11,350.0,300.0,130.0,300.0,250.0, Vegan Breakfast Bars, Spinach and Mushroom Quesadilla," Vegan Thai Spring Rolls - 130 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Meatballs, Vegan Sushi Bowl
12,350.0,200.0,130.0,400.0,200.0, Vegan Breakfast Burrito Bowl, Chocolate Chia Pudding," Baked Falafel with Tahini Sauce - 130 kcals per portion, 4 portions, allergic warning (sesame), origin"," Vegan Quinoa and Black Bean Chili
Total calories per portion"," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
13,200.0,120.0,600.0,250.0,350.0, Vegan Breakfast Quiche Lorraine, Roasted Brussels Sprouts, Vegan Mushroom Risotto, Lentil and Vegetable Soup, Lentil and Vegetable Curry with Coconut Milk
14,200.0,350.0,460.0,350.0,400.0, Vegan Breakfast Enchiladas, Vegan Breakfast Burrito, Veggie Tacos," Mexican Vegan Pozole
Total calories per portion"," Mexican Vegan Fajitas (400 calories/portion, 2 portions) - Mexico
"
15,400.0,210.0,160.0,400.0,250.0, Vegan Breakfast Quesadilla - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Banana Pancakes," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Thai Red Curry Noodle Soup
Total calories per portion"," Vegan Black Bean Soup - 250 calories per portion, 3 portions, may contain gluten"
16,400.0,150.0,120.0,200.0,182.0, Vegan Breakfast Quiche - 400 calories per portion | 1 portion | Contains gluten | Origin, Roasted Chickpeas," Vegan Oatmeal Raisin Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Spaghetti Aglio e Olio, Carrot and Ginger Soup
17,50.0,200.0,80.0,350.0,250.0, Vegan Breakfast Smoothie, Vegan Breakfast Cookies, Vegan Carrot Cake Energy Balls, Moroccan Chickpea Stew," Thai Pineapple Fried Rice - 250 calories per portion, 4 portions, None, Thailand
"
18,250.0,160.0,180.0,400.0,300.0, Vegan Overnight Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Edamame Hummus and Rice Cakes," Sticky Coconut Rice Balls - 180 kcals per portion, 4 portions, no allergic warnings, origin", Roasted Veggie Pasta," Lentil Samosas - 300 calories per portion, 4 portions, None, India
"
19,200.0,200.0,130.0,300.0,200.0, Vegan Breakfast Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Aloo Tikki (Potato Patties)," Sweet and Spicy Roasted Cashews - 130 kcals per portion, 4 portions, allergic warning (cashews), origin"," Mediterranean Quinoa Salad
Total calories per portion", Mediterranean Quinoa Bowl
20,300.0,150.0,100.0,150.0,300.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Vegan Gingerbread Cookies," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Soup," Chickpea Salad Sandwich - 300 calories per portion, 4 portions, Gluten, Various

"
21,350.0,250.0,200.0,400.0,300.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Sweet Potato and Black Bean Quesadillas," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin", Vegan Vegetable Biryani," Thai Green Curry - 300 calories per portion, 4 portions, None, Thailand
"
22,400.0,150.0,240.0,450.0,300.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Vegan Raspberry Thumbprint Cookies, Vegan Roasted Cauliflower Bites," Falafel Wrap with Tahini Sauce
Total calories per portion", Ratatouille Stuffed Portobello Mushrooms
23,200.0,320.0,70.0,300.0,288.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Chickpea Salad Sandwich," Watermelon and Mint Salad - 70 kcals per portion, 4 portions, no allergic warnings, origin"," Chickpea and Vegetable Stew
Total calories per portion", Chickpea and Vegetable Curry
24,400.0,250.0,160.0,300.0,210.0, Vegan Breakfast Spanakopita, Fruit and Nut Yogurt Bowl," Vegan Spinach and Artichoke Stuffed Breadsticks - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan BBQ Chickpea Pizza, Quinoa and Kale Salad
25,350.0,250.0,160.0,400.0,350.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Vegan Protein Brownies," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Shepherd's Pie, Vegan Gyros
26,50.0,250.0,280.0,250.0,312.0, Vegan Breakfast Smoothie, Vegan Peanut Butter and Jelly Overnight Oats, Baked Tofu Nuggets, Veggie Sushi Bowl, Vegan Enchiladas
27,400.0,150.0,280.0,300.0,280.0, Vegan Breakfast Burrito - 400 calories per portion | 1 portion | None | Origin, Baked Sweet Potato Fries, Baked Tofu Nuggets," Vegan Pho
Total calories per portion", Vegan Barbecue Jackfruit Sandwiches
28,450.0,100.0,720.0,350.0,400.0, Quinoa Breakfast Bowl, Overnight Chia Pudding, Vegan Lemon Bars, Vegan BBQ Sandwich, Stuffed Mushrooms
29,400.0,250.0,180.0,400.0,250.0, Vegan Tofu Benedict - 400 calories per portion | 1 portion | Contains soy | Origin, Sweet Potato and Black Bean Quesadillas," Vegan Blueberry Muffins - 180 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Pastry Puffs, Vegan Sushi Bowl
30,400.0,150.0,180.0,250.0,350.0, Vegan Spinach and Mushroom Breakfast Wrap - 400 calories per portion | 1 portion | None | Origin, Vegan Chocolate Chip Cookies," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Vegan Sushi Rolls, Vegan Meatballs in Tomato Sauce
31,450.0,150.0,180.0,250.0,400.0, Vegan Breakfast Muffins, Almond Joy Energy Bites," Quinoa Stuffed Bell Peppers - 180 kcals per portion, 4 portions, no allergic warnings, origin", Mexican Quinoa Salad," Vegan Mushroom Risotto - 400 calories per portion, 4 portions, None, Italy
"
32,350.0,180.0,640.0,200.0,300.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Vegan Granola Bars, Vegan Baked Falafel Bowl, Cauliflower Fried Rice, Vegan Moroccan Tagine
33,300.0,250.0,100.0,400.0,150.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Overnight Oats," Vegan Mushroom Soup - 100 kcals per portion, 4 portions, no allergic warnings, origin", Lentil Curry," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
34,250.0,260.0,240.0,400.0,250.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegan Pumpkin Spice Muffins, Vegan Roasted Cauliflower Bites, Quinoa Buddha Bowl, Vegan Sushi Bowl
35,450.0,220.0,160.0,350.0,300.0, Vegan Breakfast Lassi, Vegan Banana Muffins," Vegan Bruschetta Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Ratatouille Tartlets," Lentil Tacos - 300 calories per portion, 4 portions, None, Mexico
"
36,350.0,150.0,320.0,400.0,400.0, Vegan Blueberry Acai Smoothie Bowl - 350 calories per portion | 1 portion | None | Origin, Vegan Chocolate Mousse, Vegan Mediterranean Flatbread Pizza," Vegan Hungarian Goulash
Total calories per portion", Vegan Goulash
37,400.0,160.0,200.0,300.0,160.0, Veggie Sausage and Hash Browns - 400 calories per portion | 1 portion | Contains soy | Origin, Berry Smoothie," Vegan Peanut Butter Banana Smoothie - 200 kcals per portion, 4 portions, allergic warning (peanuts), origin"," Vegan Eggplant Rollatini
Total calories per portion"," Vegan Tofu Scramble - 160 calories per portion, 1 portion, may contain soy"
38,400.0,260.0,150.0,400.0,250.0, Vegan Breakfast Tamales - 400 calories per portion | 1 portion | Contains gluten | Origin, Vegan Blueberry Scones, Vegan Banana Bread, Vegan Thai Green Curry, Tofu Tikka Masala
39,150.0,150.0,100.0,200.0,300.0, Chia Pudding - 150 calories per portion | 1 portion | None | Origin, Carrot Cake Energy Balls," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Zucchini Bread, Vegan Tofu Scramble
40,400.0,100.0,140.0,400.0,286.0, Vegan Breakfast Hand Pies, Chilled Gazpacho," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Coconut Curry with Tofu, Quinoa and Black Bean Stuffed Peppers
41,400.0,350.0,160.0,350.0,246.0, Vegan Breakfast Skillet, Tofu and Veggie Buddha Bowl," Vegan Spinach and Mushroom Tartlets - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Argentinian Chimichurri Grilled Vegetables, Vegan Teriyaki Tofu
42,250.0,100.0,120.0,350.0,320.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Chilled Gazpacho, Vegan Mediterranean Hummus Bowl, Vegan Fajitas, Roasted Vegetable Pasta
43,400.0,270.0,200.0,350.0,350.0, Veggie Sausage and Hash Browns - 400 calories per portion | 1 portion | Contains soy | Origin, Vegan Cinnamon Roll," Vegan Broccoli Pesto Pasta - 200 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Caesar Wrap, Vegan Tacos
