,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,300.0,90.0,150.0,200.0, Poha (Flattened Rice), Quinoa and Vegetable Stuffed Bell Peppers, Cucumber Sandwiches, Caprese Salad," Spinach and Goat Cheese Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
2,250.0,90.0,120.0,150.0,150.0, Vegan Breakfast Sausage, Rice Paper Rolls, Roasted Chickpeas, Spinach and cheese stuffed tomatoes," Feta and spinach stuffed tomatoes - 150 calories per portion, 6 portions, contains dairy (Greece)
"
3,250.0,100.0,100.0,150.0,250.0, Cheesy Spinach Pita Pocket, Cucumber and Hummus Rolls, Baked Zucchini Fries, Spinach and mushroom frittata," Caprese Stuffed Zucchini - 250 calories/portion, 4 portions, Origin"
4,400.0,200.0,150.0,150.0,200.0, Vegan Chocolate Waffles, Baked Eggplant Fries, Caprese Salad, Spinach and cheese stuffed tomatoes," Caprese Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains dairy (Italy)
"
5,300.0,220.0,160.0,150.0,250.0, Avocado Toast, Cinnamon Raisin Bagels, Mini Vegetable Frittatas, Spinach and cheese stuffed tomatoes," Chickpea Curry - 250 calories/portion, 4 portions, contains garlic and onions (India)
"
6,250.0,250.0,150.0,120.0,300.0, Ragi (Finger Millet) Pancakes, Zucchini Bread, Zucchini Pizza Bites with Goat Cheese," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Stuffed Peppers - 300 calories/portion, 4 portions, contains feta cheese (Greece)
"
7,250.0,190.0,150.0,150.0,270.0, Greek Yogurt with Honey and Nuts, Rice Cakes with Peanut Butter, Black Bean and Corn Salsa, Butternut squash soup," Greek Briam with Feta Cheese - 270kcals per portion, 4 portions, contains dairy
"
8,300.0,200.0,200.0,150.0,200.0, Quinoa Breakfast Bowl, Greek Spinach and Feta Pie, Cheese and Tomato Toasties, Spinach and mushroom omelet," Lentil Soup - 200 calories/portion, 6 portions, Origin"
9,350.0,350.0,80.0,150.0,250.0, Veggie Omelette, Veggie Sausage and Egg English Muffin Sandwich, Vegetable Soup, Caprese Salad," Greek Fava - 250kcals per portion, 4 portions
"
10,300.0,190.0,150.0,150.0,180.0, Cheesy Grits, Apple Cinnamon Muffins, Carrot Hummus with Pita Chips, Lentil and vegetable frittata, Ratatouille
11,250.0,90.0,120.0,150.0,280.0, Vegan Breakfast Enchiladas, Fruit Salad, Banana Oat Cookies, Spinach and feta stuffed bell peppers," Greek Zucchini Fritters - 280kcals per portion, 4 portions
"
12,350.0,200.0,120.0,150.0,250.0, Huevos Rancheros, Fruit and Yogurt Parfait, Fruit Salad, Lentil and vegetable frittata," Veggie Burrito Bowl - 250 calories/portion, 4 portions, Origin"
