,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,100.0,180.0,20.0,350.0, Vegan Breakfast Pita Pockets, Fruit Smoothie Popsicles - Approx," Trail mix (nuts, dried fruits, seeds)", Moroccan Mint Tea," Mexican Quinoa Salad - 350 calories/portion, 4 portions, contains cilantro (Mexico)
"
2,300.0,190.0,150.0,20.0,350.0, Quinoa Breakfast Bowl, Veggie Stuffed Pita, Sweet Potato and Chickpea Patties, Moroccan Mint Tea," Chicken Fajitas - 350 calories per portion, 4 portions, contains gluten (tortillas), Origin"
3,350.0,300.0,250.0,20.0,200.0, Sweet Potato and Spinach Breakfast Hash, Vegetable Potstickers with Soy Dipping Sauce, Baked Samosas, Moroccan Mint Tea," Lentil curry - 200 calories per portion, 6 portions, contains gluten (India)
"
4,200.0,100.0,180.0,20.0,350.0, Vegan Chocolate Chia Pudding - 200 calories per portion | 2 portions | None | Origin, Roasted Chickpeas, Baked Coconut Shrimp, Moroccan Mint Tea," Vegan Thai Red Curry - 350 calories per portion, 2 portions, may contain tofu"
5,650.0,300.0,300.0,20.0,200.0, Vegan Breakfast Zucchini Bread, Banana and Spinach Smoothie, Mediterranean feta and olive tortilla wraps, Moroccan Mint Tea," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
6,150.0,120.0,180.0,20.0,350.0, Vegan Peanut Butter Banana Smoothie, Cucumber Rolls, Caprese Bruschetta, Moroccan Mint Tea," Chicken Noodle Stir-Fry - 350 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
7,400.0,350.0,200.0,20.0,350.0, Tofu Benedict, Quinoa Salad, Quinoa Salad, Moroccan Mint Tea," Tofu Stir-Fry - 350 calories per portion, 2 portions, may contain soy"
8,350.0,250.0,360.0,20.0,350.0, Vegan Mushroom and Spinach Omelette - 350 calories per portion | 1 portion | None | Origin, Blueberry and Oatmeal Muffins, Vegan Mushroom Soup, Moroccan Mint Tea, Vegan Soba Noodle Salad
9,150.0,350.0,120.0,20.0,350.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Roasted Red Pepper Hummus with Pita Bread, Roasted Cauliflower Popcorn, Moroccan Mint Tea," Ratatouille Pasta Bake - 350 calories/portion, 4 portions, Origin"
10,300.0,200.0,300.0,20.0,180.0, Vegan Apple Cinnamon Quinoa - 300 calories per portion | 1 portion | None | Origin, Apple Cinnamon Energy Bars, Tortilla Española, Moroccan Mint Tea," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
11,350.0,150.0,180.0,20.0,300.0, Veggie Omelette, Vegan Banana Pancakes, Thai Fresh Spring Rolls, Moroccan Mint Tea," Mexican Rice and Beans - 300 calories/portion, 4 portions, contains cilantro (Mexico)
"
12,300.0,170.0,110.0,20.0,200.0," Acai bowl - 300 calories per portion, 1 portion, no allergic warnings, origin", Chia Seed Pudding," Oatmeal Raisin Energy Balls - 110 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Roasted Vegetable Frittata - 200 calories/portion, 4 portions, Origin"
13,180.0,350.0,120.0,20.0,360.0, Overnight Chia Pudding, Peanut Butter and Banana Smoothie, Greek Yogurt Dip with Veggies, Moroccan Mint Tea," Greek Orzo Salad - 360kcals per portion, 4 portions
"
14,300.0,220.0,240.0,20.0,350.0, Vegan Mango Coconut Chia Pudding - 300 calories per portion | 1 portion | None | Origin, Berry breakfast bar, Chickpea and Vegetable Curry, Moroccan Mint Tea, Quinoa and Black Bean Burgers
15,450.0,200.0,150.0,20.0,300.0," Smoked turkey and cheese sandwich (450kcals per portion, 1 portion, turkey allergies, origin", Tofu Scramble with Veggies, Baked Mozzarella Sticks, Moroccan Mint Tea, Teriyaki Tofu Stir Fry
16,250.0,180.0,100.0,20.0,250.0, Banana and Almond Butter Toast, Vegan Banana Nut Bread, Tomato Basil Soup, Moroccan Mint Tea, Buddha Bowl
17,350.0,200.0,90.0,20.0,350.0," Sourdough toast with smoked salmon and cream cheese (350kcals per portion, 2 portions, dairy allergies, origin", Sweet Potato Toast, Chicken spring rolls, Moroccan Mint Tea, Stuffed Zucchini
18,400.0,250.0,640.0,20.0,220.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Tomato Bruschetta, Vegan Ratatouille, Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
19,400.0,100.0,180.0,20.0,300.0," Shakshuka with bell peppers and tomatoes (400kcals per portion, 2 portions, origin", Zesty Lime Popcorn - Approx, Veggie Snack Wrap, Moroccan Mint Tea, Lentil Curry with Rice
