,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,70.0,150.0,150.0,200.0, Veggie Omelette, Fresh Fruit Salad, Fruit Skewers with Yogurt Dip, Spinach and feta stuffed bell peppers," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
2,300.0,70.0,250.0,150.0,400.0, Vegetable Frittata, Fresh Fruit Salad, Stuffed Bell Peppers with Quinoa, Lentil and vegetable soup," Vegetable Jalfrezi - 400 calories/portion, 4 portions, contains garlic (India)
"
3,200.0,70.0,200.0,120.0,380.0, Blueberry Almond Baked Oatmeal, Fresh Fruit Salad, Fruit and Yogurt Parfait," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille Pasta - 380kcals per portion, 4 portions
"
4,250.0,70.0,220.0,120.0,300.0, Smoothie Bowl, Fresh Fruit Salad, Roasted Red Pepper and Feta Crostini," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Greek Orzo Salad
5,250.0,70.0,120.0,150.0,340.0, Vegan Banana Muffins, Fresh Fruit Salad, Mediterranean Salad, Butternut squash soup," Quinoa and Black Bean Burger - 340kcals per portion, 4 portions, contains legumes
"
6,400.0,70.0,80.0,150.0,400.0, Sourdough Biscuits and Mushroom Gravy, Fresh Fruit Salad, Baked Kale Chips, Spinach and mushroom frittata," Mushroom risotto - 400 calories per portion, 4 portions, contains dairy (Italy)
"
7,250.0,70.0,180.0,150.0,250.0, Ragi (Finger Millet) Pancakes, Fresh Fruit Salad, Baba Ganoush with Pita Chips, Spinach and ricotta stuffed tomatoes, Greek Spanakopita
8,250.0,70.0,280.0,150.0,250.0, Quinoa Porridge, Fresh Fruit Salad, Mexican Street Corn, Lentil and vegetable frittata," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
9,300.0,70.0,220.0,150.0,200.0, Cheesy Grits, Fresh Fruit Salad, Caprese Bruschetta, Lentil and vegetable soup," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
10,350.0,70.0,280.0,150.0,400.0, Apple Cinnamon Muffins, Fresh Fruit Salad, Cucumber and Avocado Sushi, Spinach and feta stuffed bell peppers," Mushroom Risotto - 400 calories/portion, 4 portions, Origin"
11,250.0,70.0,120.0,150.0,350.0, Vegan Blueberry Chia Pancakes, Fresh Fruit Salad, Yogurt Covered Strawberries, Gazpacho Soup," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
12,300.0,70.0,300.0,150.0,380.0, Chocolate Chia Protein Pudding, Fresh Fruit Salad, Veggie Nachos, Gazpacho Soup," Quinoa Salad with Avocado and Black Beans - 380kcals per portion, 4 portions, contains legumes
"
13,300.0,70.0,150.0,150.0,300.0, Vegan Berry Protein Smoothie Bowl, Fresh Fruit Salad, Fruit Skewers with Yogurt Dip, Caprese Salad, Lentil Sloppy Joes
14,350.0,70.0,100.0,150.0,200.0, Apple Cinnamon Muffins, Fresh Fruit Salad, Stuffed Dates, Spinach and feta stuffed mushrooms," Vegetable Stir-Fry - 200kcals per portion, 4 portions
"
15,300.0,70.0,80.0,165.0,350.0, Chia Seed Smoothie, Fresh Fruit Salad, Cucumber Bites," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Spinach and Feta Stuffed Pita Pockets - 350 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
16,300.0,70.0,190.0,150.0,300.0, Vegan Chocolate Chip Pancakes, Fresh Fruit Salad, Roasted Beet Hummus with Crackers, Spinach and feta stuffed mushrooms," Baked Ziti - 300 calories/portion, 4 portions, Origin"
17,300.0,70.0,120.0,150.0,300.0, Banana Nut Smoothie Bowl, Fresh Fruit Salad, Roasted Cauliflower Popcorn, Spinach and mushroom frittata," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
18,400.0,70.0,200.0,150.0,250.0, Mexican Sopes, Fresh Fruit Salad, Veggie Sausage and Pepper Skewers, Caprese Salad," Panzanella salad - 250 calories per portion, 4 portions, contains gluten (Italy)
"
19,350.0,70.0,300.0,150.0,300.0, Banana Walnut Bread, Fresh Fruit Salad, Tortilla Española, Spinach and mushroom omelet, Lentil Sloppy Joes
20,250.0,70.0,200.0,150.0,200.0, Mexican Churro Waffles, Fresh Fruit Salad, Mango Salsa with Chips, Caprese Salad," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
21,350.0,70.0,120.0,150.0,380.0, Chocolate Peanut Butter Overnight Oats, Fresh Fruit Salad, Tomato Mozzarella Skewers, Spinach and feta stuffed mushrooms," Lentil Bolognese - 380kcals per portion, 4 portions, contains legumes (Italy)
"
22,200.0,70.0,180.0,150.0,260.0, Tofu Scramble, Fresh Fruit Salad, Greek Tzatziki with Pita Bread, Lentil and vegetable soup," Greek Spanakopita - 260kcals per portion, 4 portions, contains dairy (Greece)
"
23,400.0,70.0,180.0,150.0,400.0, Veggie Biscuits and Gravy, Fresh Fruit Salad, Veggie Pancakes with Yogurt Dip, Spinach and ricotta stuffed tomatoes, Penne alla Vodka with Spinach
24,250.0,70.0,200.0,150.0,420.0, Whole Wheat Veggie Breakfast Wrap, Fresh Fruit Salad, Sweet Potato Fries, Lentil and vegetable frittata," Quinoa and Vegetable Stir-Fry - 420kcals per portion, 4 portions
"
25,400.0,70.0,200.0,150.0,380.0, French Toast, Fresh Fruit Salad, Quinoa Salad, Spinach and mushroom frittata," Lentil Bolognese - 380kcals per portion, 4 portions, contains legumes (Italy)
"
26,250.0,70.0,250.0,150.0,300.0, Cucumber Sandwich, Fresh Fruit Salad, Stuffed Mushrooms, Lentil and vegetable soup," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
27,200.0,70.0,120.0,150.0,300.0, Spinach and Mushroom Breakfast Tacos, Fresh Fruit Salad, Tomato Bruschetta, Spinach and cheese stuffed tomatoes," Baked Ziti - 300 calories/portion, 4 portions, Origin"
28,300.0,70.0,120.0,150.0,250.0, Quinoa Breakfast Bowl, Fresh Fruit Salad, Banana Oat Cookies, Spinach and mushroom omelet," Lentil and Vegetable Soup - 250 calories/portion, 4 portions, contains gluten (Various)
"
29,200.0,70.0,250.0,120.0,400.0, Mini Vegetable Quiche, Fresh Fruit Salad, Thai Peanut Noodle Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mushroom Risotto - 400 calories/portion, 4 portions, Origin"
30,250.0,70.0,130.0,150.0,280.0, Ragi (Finger Millet) Pancakes, Fresh Fruit Salad, Mini Vegetable Quesadillas, Spinach and cheese stuffed tomatoes," Greek Zucchini Patties - 280kcals per portion, 4 portions
"
31,300.0,70.0,80.0,150.0,400.0, Sweet Potato Hash Browns, Fresh Fruit Salad, Fresh Fruit Salad, Butternut squash soup," Mushroom risotto - 400 calories per portion, 4 portions, contains dairy (Italy)
"
32,250.0,70.0,180.0,160.0,400.0, Smoothie Bowl, Fresh Fruit Salad, Crispy Tofu Bites," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese tortellini skillet - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
33,400.0,70.0,180.0,150.0,250.0, Strawberry Banana Pancakes, Fresh Fruit Salad, Spinach and Feta Pinwheels, Spinach and cheese stuffed tomatoes, Vegetable Stir-Fry
34,200.0,70.0,120.0,120.0,300.0, Blueberry Almond Baked Oatmeal, Fresh Fruit Salad, Roasted Chickpeas," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Butternut Squash Risotto - 300 calories/portion, 4 portions, Origin"
35,250.0,70.0,150.0,160.0,350.0, Whole Wheat Veggie Breakfast Wrap, Fresh Fruit Salad, Stuffed Grape Leaves," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
36,200.0,70.0,280.0,120.0,400.0, Veggie Breakfast Fritters, Fresh Fruit Salad, Cheese and Tomato Nachos," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Penne alla Vodka with Spinach
37,250.0,70.0,200.0,160.0,250.0, Vegan Breakfast Strata, Fresh Fruit Salad, Coconut Chia Pudding," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
38,350.0,70.0,150.0,150.0,200.0, Ricotta Pancakes, Fresh Fruit Salad, Lentil Soup, Spinach and feta stuffed bell peppers," Caprese Skewers - 200 calories/portion, 4 portions, contains dairy (Italy)
"
39,350.0,70.0,190.0,150.0,400.0, Greek Yogurt with Fig Compote, Fresh Fruit Salad, Mini Falafel Bites, Spinach and cheese stuffed tomatoes," Vegetarian Burrito Bowl - 400 calories/portion, 4 portions, contains gluten (Mexico)
"
40,400.0,70.0,200.0,150.0,250.0, Vegetarian Breakfast Casserole, Fresh Fruit Salad, Egg Salad Lettuce Wraps, Butternut squash soup," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
41,350.0,70.0,150.0,150.0,350.0, Huevos Rancheros, Fresh Fruit Salad, Veggie Sushi Rolls, Spinach and feta stuffed mushrooms," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
42,400.0,70.0,300.0,150.0,200.0, Vegetarian Quiche Lorraine, Fresh Fruit Salad, Veggie Quesadillas," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
43,400.0,70.0,200.0,150.0,350.0, Tomato Basil Quiche, Fresh Fruit Salad, Veggie Sausage and Pepper Skewers, Spinach and ricotta stuffed tomatoes, Roasted Vegetable Quinoa Bowls
44,200.0,70.0,160.0,150.0,210.0, Vegan Breakfast Tacos, Fresh Fruit Salad, Spinach and Feta Stuffed Mushrooms," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
"
45,250.0,70.0,320.0,150.0,300.0, Overnight Oats, Fresh Fruit Salad, Spicy Peanut Noodles, Spinach and feta stuffed bell peppers," Vegetable Biryani - 300 calories/portion, 4 portions, Origin"
46,350.0,70.0,250.0,150.0,400.0, Ricotta Pancakes, Fresh Fruit Salad, Stuffed Bell Peppers with Quinoa, Spinach and feta stuffed mushrooms," Vegetable Pad Thai - 400 calories/portion, 4 portions, contains peanuts (Thailand)
"
47,350.0,70.0,280.0,150.0,350.0, Chocolate Chip Muffins, Fresh Fruit Salad, Sweet Potato and Black Bean Quesadillas, Caprese Salad," Veggie Enchiladas - 350 calories/portion, 4 portions, contains gluten (Mexico)

"
48,250.0,70.0,150.0,150.0,400.0, Quinoa Porridge, Fresh Fruit Salad, Veggie Kabobs, Caprese Salad, Lentil Curry
49,300.0,70.0,250.0,150.0,300.0, Quinoa Breakfast Bowl, Fresh Fruit Salad, Peanut Butter Banana Roll-Ups, Caprese Salad," Ratatouille Pasta - 300 calories/portion, 4 portions, Origin"
50,400.0,70.0,150.0,150.0,420.0, Almond Croissant, Fresh Fruit Salad, Zucchini Pizza Bites with Goat Cheese, Spinach and cheese stuffed tomatoes," Spaghetti Aglio e Olio - 420kcals per portion, 2 portions, contains gluten (Italy)
"
51,250.0,70.0,160.0,150.0,400.0, Vegan Breakfast Sushi Rolls, Fresh Fruit Salad, Greek Yogurt with Honey and Nuts, Spinach and mushroom frittata," Mushroom and truffle risotto - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
52,250.0,70.0,80.0,150.0,350.0, Tropical Green Smoothie, Fresh Fruit Salad, Vegetable Soup, Gazpacho Soup," Mushroom and goat cheese flatbread - 350 calories per portion, 4 portions, contains gluten and dairy
"
53,300.0,70.0,100.0,150.0,350.0, Banana Nut Smoothie Bowl, Fresh Fruit Salad, Grilled Vegetable Skewers, Butternut squash soup, Vegetable Dumplings
54,400.0,70.0,160.0,150.0,290.0, French Toast, Fresh Fruit Salad, Pita Bread and Hummus, Spinach and mushroom omelet," Spinach and Ricotta Stuffed Tomatoes - 290kcals per portion, 4 portions, contains dairy
"
55,250.0,70.0,120.0,160.0,300.0, Raspberry Chia Jam Toast, Fresh Fruit Salad, Cheese and Spinach Stuffed Mushrooms," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Stuffed Peppers - 300 calories/portion, 4 portions, contains feta cheese (Greece)
"
56,350.0,70.0,280.0,150.0,300.0, Lemon Poppy Seed Pancakes, Fresh Fruit Salad, Quinoa Stuffed Bell Peppers, Spinach and feta stuffed bell peppers," Greek Chickpea Patties - 300 calories/portion, 4 portions, contains gluten (Greece)
"
57,250.0,70.0,280.0,150.0,300.0, Vegan Tofu Benedict, Fresh Fruit Salad, Veggie Bruschetta Pizza, Lentil and vegetable frittata," Spinach and feta phyllo triangles - 300 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
58,300.0,70.0,120.0,150.0,380.0, Greek Yogurt Parfait, Fresh Fruit Salad, Pumpkin Hummus with Carrot Sticks, Spinach and feta stuffed mushrooms," Vegetable Curry with Coconut Milk - 380kcals per portion, 4 portions, contains nuts
"
59,350.0,70.0,90.0,165.0,350.0, Chocolate Chip Muffins, Fresh Fruit Salad, Greek Feta and Olive Skewers," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Greek Spinach Pie - 350 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
60,250.0,70.0,120.0,150.0,400.0, Vegan Breakfast Quesadillas, Fresh Fruit Salad, Banana Oat Cookies, Spinach and mushroom omelet," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
61,400.0,70.0,180.0,165.0,400.0, Vegan Chocolate Waffles, Fresh Fruit Salad, Spinach and Feta Pinwheels," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin", Vegetable Soba Noodles
62,200.0,70.0,220.0,150.0,290.0, Mini Vegetable Quiche, Fresh Fruit Salad, Strawberry Banana Smoothie, Lentil and vegetable frittata," Black Bean Soup - 290kcals per portion, 4 portions, contains legumes (Various)

"
63,350.0,70.0,150.0,120.0,400.0, Bread Upma, Fresh Fruit Salad, Stuffed Jalapenos with Cream Cheese," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Veggie Paella - 400 calories/portion, 4 portions, contains saffron (Spain)
"
64,350.0,70.0,150.0,150.0,400.0, Baked Oatmeal, Fresh Fruit Salad, Greek Yogurt Parfait, Spinach and feta stuffed bell peppers," Mushroom and Spinach Quesadillas - 400 calories/portion, 4 portions, contains gluten (Mexico)
"
65,200.0,70.0,170.0,150.0,350.0, Zucchini Bread, Fresh Fruit Salad, Vegetable Sushi Rolls, Spinach and mushroom frittata," Chickpea Salad - 350 calories/portion, 4 portions, Origin"
66,300.0,70.0,100.0,150.0,200.0, Chia Seed Smoothie, Fresh Fruit Salad, Tomato Basil Bruschetta with Feta, Spinach and feta stuffed mushrooms," Minestrone soup - 200 calories per portion, 6 portions, contains gluten (Italy)
"
67,200.0,70.0,120.0,120.0,320.0, Peanut Butter and Banana Smoothie, Fresh Fruit Salad, Greek Yogurt Fruit Dip," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Artichoke Dip - 320kcals per portion, 4 portions, contains dairy
"
68,200.0,70.0,340.0,150.0,250.0, Mediterranean Vegetable Omelette, Fresh Fruit Salad, Greek Feta and Olive Bread, Butternut squash soup," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
69,200.0,70.0,240.0,150.0,300.0, Banana Pancakes, Fresh Fruit Salad, Spinach and Artichoke Dip, Spinach and ricotta stuffed tomatoes, Eggplant Parmesan Sliders
70,300.0,70.0,100.0,120.0,400.0, Vegetable Upma, Fresh Fruit Salad, Zucchini Tomato Bites," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Potato Gnocchi - 400 calories/portion, 4 portions, Origin"
71,400.0,70.0,140.0,165.0,320.0, Veggie English Breakfast, Fresh Fruit Salad, Baked Sweet Potato Chips," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin"," Spinach and Mushroom Quesadillas - 320kcals per portion, 4 portions, contains dairy (Mexico)
"
72,200.0,70.0,180.0,150.0,200.0, Mediterranean Vegetable Omelette, Fresh Fruit Salad, Grilled Halloumi Skewers, Spinach and mushroom frittata," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
73,200.0,70.0,100.0,150.0,350.0, Blueberry Muffins, Fresh Fruit Salad, Fruit Salad, Spinach and cheese stuffed tomatoes, Portobello Mushroom Burger
