,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,250.0,240.0,450.0,400.0, Vegan Pastrami Reuben Sandwich, Vegan Fettuccine Alfredo, Vegan Spinach Dip with Pita Chips, Mushroom Risotto, Lentil Bolognese
2,400.0,450.0,360.0,300.0,400.0, Vegan Carbonara, Tomato Basil Pasta, Vegetable Tempura, Vegan Spaghetti Carbonara, Vegan Tamales
3,350.0,250.0,720.0,300.0,300.0, Vegan Ravioli, Cauliflower Buffalo Wings, Vegan Black Bean Quesadillas, Veggie Spring Rolls, Veggie Fajitas
4,300.0,1000.0,460.0,250.0,400.0, Veggie Fajitas, Vegan Banana Pancakes, Veggie Tacos, Vegan Fettuccine Alfredo, Vegan Pastrami Reuben Sandwich
5,400.0,300.0,240.0,280.0,400.0, Falafel Wrap, Couscous Salad, Vegan Spinach Dip with Pita Chips, Vegan Lemon Poppy Seed Muffins, Spaghetti Aglio e Olio
6,300.0,300.0,200.0,640.0,350.0, Vegan Spaghetti Carbonara, Vegan Spaghetti Carbonara, Stuffed Grape Leaves, Vegan Baked Falafel Bowl, Mushroom Tacos
7,350.0,760.0,400.0,250.0,350.0, Vegan BBQ Sandwich, Vegan Indian Samosa Chaat, Zucchini Fritters, Cauliflower Buffalo Wings, Vegan Ravioli
8,450.0,880.0,480.0,160.0,400.0, Ratatouille Tart, Jackfruit Tacos, Vegan Lentil Burgers, Vegan Spinach and Mushroom Puff Pastry, Vegan Meatballs with Marinara Sauce
9,280.0,520.0,360.0,280.0,400.0, Vegan Lemon Poppy Seed Muffins, Vegan Spinach and Artichoke Crostini, Vegetable Tempura, Vegan Lemon Poppy Seed Muffins, Sweet Potato and Black Bean Enchiladas
10,280.0,960.0,740.0,400.0,400.0, Vegan Lemon Poppy Seed Muffins, Vegan Meatballs with Marinara Sauce, Vegan Buffalo Cauliflower Wings, Vegan Tamales, Sweet Potato and Black Bean Enchiladas
11,450.0,200.0,460.0,350.0,450.0, Tomato Basil Pasta, Vegan Goulash, Veggie Tacos, Veggie Burger, Ratatouille Tart
12,640.0,450.0,480.0,450.0,350.0, Vegan Baked Falafel Bowl, Mushroom Risotto, Vegan Lentil Burgers, Mushroom Risotto, Mushroom Risotto Stuffed Peppers
13,400.0,960.0,440.0,760.0,350.0, Vegan Lasagna, Vegan Meatballs with Marinara Sauce, Vegan Gyoza, Vegan Indian Samosa Chaat, Vegan BBQ Sandwich
14,400.0,350.0,760.0,300.0,300.0, Vegan Pastrami Reuben Sandwich, Vegan Tacos, Vegan Indian Samosa Chaat, Veggie Fajitas, Veggie Fajitas
15,350.0,820.0,760.0,760.0,350.0, Soba Noodle Stir-Fry, Vegan Lasagna, Moroccan Couscous, Vegan Indian Samosa Chaat, Vegan BBQ Sandwich
16,440.0,380.0,320.0,820.0,400.0, Vegan Gyoza, Vegan Chocolate Chip Cookies, Quinoa Salad, Vegan Lasagna, Vegan Lasagna
17,450.0,300.0,820.0,300.0,250.0, Ratatouille Tart, Vegan Gyros, Vegan Lasagna, Veggie Spring Rolls, Vegan Nachos
18,200.0,480.0,320.0,740.0,450.0, Vegan Goulash, Vegan Lentil Burgers, Vegan Mediterranean Flatbread Pizza, Vegan Buffalo Cauliflower Wings, Chickpea Tacos
19,300.0,760.0,200.0,560.0,350.0, Vegan Spaghetti Carbonara, Vegan Cinnamon Rolls, Stuffed Grape Leaves, Vegan Pancakes, Vegan BBQ Sandwich
20,200.0,760.0,760.0,480.0,400.0, Vegan Goulash, Vegan Indian Samosa Chaat, Moroccan Couscous, Spinach and Mushroom Quesadillas, Vegan Ramen
21,350.0,400.0,820.0,880.0,400.0, Mushroom Tacos, Vegan Lasagna, Vegan Lasagna, Jackfruit Tacos, Vegan Pastrami Reuben Sandwich
22,400.0,350.0,320.0,880.0,350.0, Vegan Carbonara, Vegan Ravioli, Vegan Mediterranean Flatbread Pizza, Jackfruit Tacos, Mushroom Tacos
23,400.0,440.0,520.0,640.0,400.0, Vegan Paella, Vegan Gyoza, Vegan Spinach and Artichoke Crostini, Vegan Baked Falafel Bowl, Lentil Bolognese
