,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,120.0,220.0,120.0,300.0," Cereal with milk and sliced strawberries (250kcals per portion, 1 portion, lactose allergies)
", Almond Biscotti, Mango Salsa with Tortilla Chips," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetable Curry - 300kcals per portion, 4 portions (Various)
"
2,350.0,100.0,150.0,120.0,300.0, Vegan Breakfast Grits - 350 calories per portion | 1 portion | None | Origin, Corn on the Cob," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Tofu Scramble
3,550.0,100.0,60.0,20.0,350.0, Belgian Liege Waffles, Toasted Coconut Chips, Cucumber and cream cheese bites, Moroccan Mint Tea, Quinoa Stuffed Tomatoes
4,250.0,100.0,90.0,100.0,180.0," Vegan overnight oats with almond milk and berries (250kcals per portion, 2 portions, nut allergies)
", Fruit Smoothie Popsicles - Approx," Caprese Skewers - 90 kcals per portion, 6 portions, contains dairy (Italy)", Israeli salad," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
5,300.0,80.0,220.0,120.0,300.0," Chia pudding with mixed berries - 300 calories per portion, 2 portions, no allergic warnings, origin", Avocado Deviled Eggs," Poppy Seed Cake - 220 kcals per portion, 3 portions, contains gluten (Various)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Chinese Vegan Tomato and Tofu Soup (300 calories/portion, 4 portions) - China
"
6,300.0,120.0,180.0,100.0,221.0, Avocado Toast - 300 calories per portion | 1 portion | None | Origin, Cottage cheese and pineapple, Avocado Cucumber Sushi Rolls, Israeli salad, Zucchini Noodles with Pesto
7,200.0,100.0,200.0,120.0,300.0, Quinoa Breakfast Burrito, Vegetable Crudité with Hummus, Stuffed dates with goat cheese and walnuts," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Lentil Shepherd's Pie
8,400.0,80.0,640.0,100.0,350.0, Vegan Peanut Butter Banana Wrap - 400 calories per portion | 1 portion | Contains nuts | Origin, Apple with Cinnamon, Vegan Ratatouille, Israeli salad," Black Bean and Corn Salad - 350 calories/portion, 4 portions, Origin"
9,300.0,50.0,290.0,20.0,250.0, Vegan Cinnamon Rolls - 300 calories per portion | 1 portion | Contains gluten | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Antipasto Skewers - 290 kcals per portion, 3 portions, contains dairy (Italy)", Moroccan Mint Tea, Stuffed Bell Peppers
10,450.0,100.0,280.0,20.0,380.0, Quinoa Breakfast Bowl, Som Tam (Papaya Salad), Cucumber and Avocado Sushi, Moroccan Mint Tea," Lemon garlic grilled tofu with quinoa and roasted vegetables – 380 calories per portion, 3 portions, vegan-friendly
"
11,250.0,120.0,150.0,120.0,300.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Banana Smoothie, Roasted Garlic and Tomato Crostini," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Chickpea Patties - 300 calories/portion, 4 portions, contains gluten (Greece)
"
12,400.0,60.0,640.0,120.0,350.0, Almond Croissant, Cucumber and tomato salad, Vegan Baked Falafel Bowl," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Thai Green Curry
13,400.0,120.0,90.0,100.0,350.0, Vegan Quinoa Breakfast Skillet - 400 calories per portion | 1 portion | None | Origin, Baked Cheese Twists," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Lentil Mushroom Burgers - 350 calories per portion, 4 portions, Gluten, United States
"
14,300.0,120.0,200.0,20.0,250.0, Tropical Mango Chia Pudding, Fruit Salsa with Cinnamon Chips, Grilled Chicken Skewers, Moroccan Mint Tea," Vegan Soba Noodle Salad - 250 calories per portion, 4 portions, None, Japan
"
15,300.0,120.0,150.0,20.0,350.0, Quinoa Breakfast Bowl, Greek yogurt with honey, Sweet Potato and Chickpea Patties, Moroccan Mint Tea, Vegan Bolognese
16,300.0,80.0,140.0,100.0,350.0, Veggie Breakfast Scramble, Avocado Deviled Eggs," Mexican Street Corn Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Thai Pineapple Fried Rice
17,350.0,100.0,80.0,120.0,200.0," Baked beans on toast (350kcals per portion, 2 portions, origin", Cucumber and Tomato Salad," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lemon and Herb Couscous Salad
18,320.0,100.0,180.0,100.0,318.0," Caramelized onion and goat cheese tart (320 calories per portion, 2 portions, contains dairy, French origin)
", Caprese Skewers, Greek Olive Breadsticks, Israeli salad, Lentil and Mushroom Burgers
19,300.0,120.0,120.0,20.0,350.0, Vegan Breakfast Tostadas, Hummus with Veggies, Vegan Caprese Skewers, Moroccan Mint Tea, Vegan Paella
20,400.0,80.0,180.0,120.0,300.0," American pancakes with maple syrup - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Apple with Cinnamon, Grilled Halloumi Skewers," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Quinoa and black bean stuffed peppers - 300 calories per portion, 4 portions, none
"
