,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,80.0,280.0,350.0,250.0, Vegetarian Breakfast Strata, Apple with Cinnamon, Veggie Flatbread Pizza, Eggplant Roll-Ups," Veggie Noodle Stir Fry - 250 calories/portion, 4 portions, Origin"
2,300.0,80.0,80.0,330.0,350.0, Vegan Smoothie Bowl, Avocado Deviled Eggs, Veggie Spring Rolls," Quinoa and Vegetable Stir-Fry - 330kcals per portion, 2 portions, gluten-free
"," Pasta Primavera - 350 calories/portion, 4 portions, Origin"
3,300.0,80.0,120.0,400.0,250.0, Vegan French Toast, Hard-Boiled Eggs, Dark Chocolate Energy Balls, Gourmet Grilled Cheese," Greek Fava - 250kcals per portion, 4 portions
"
4,300.0,80.0,260.0,350.0,350.0, Banana Pancakes, Mango with Chili Powder, Greek Feta and Spinach Patties," Vegetarian Paella - 350kcals per portion, 3 portions, no allergies, Origin"," Chickpea Curry - 350 calories/portion, 4 portions, Origin"
5,250.0,80.0,300.0,250.0,100.0, Cheesy Spinach Pita Pocket, Kale Chips, Vegetable Fajitas," Lentil Salad - 250kcals per portion, 2 portions, contains legumes
"," Ratatouille - 100 calories per portion, 4 portions, none (France)
"
6,180.0,80.0,180.0,400.0,150.0, Overnight Chia Pudding, Avocado Deviled Eggs, Thai Fresh Spring Rolls," Tomato and Mozzarella Panini - 400kcals per portion, 2 portions, contains dairy
", Spinach and Feta Stuffed Mushrooms
7,400.0,80.0,120.0,600.0,400.0, Sourdough Biscuits and Mushroom Gravy, Mango with Chili Powder, Dark Chocolate Energy Balls, Margherita Pizza," Mushroom and truffle risotto - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
8,400.0,80.0,150.0,300.0,250.0, Veggie Breakfast Burrito, Fresh Squeezed Orange Juice, Caprese Salad Skewers," Greek Baked Feta - 300kcals per portion, 2 portions, contains dairy, Origin"," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
9,250.0,80.0,150.0,800.0,400.0, Greek Yogurt with Honey and Nuts, Kale Chips, Veggie Chips, Mexican Quinoa Stuffed Bell Peppers," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
10,350.0,80.0,200.0,300.0,160.0, Acai Bowl, Cheesy Popcorn, Olive Tapenade Crostini," Spaghetti Squash Pad Thai - 300kcals per portion, 2 portions, no allergies
"," Bruschetta - 160kcals per portion, 4 portions, contains gluten (Italy)
"
11,350.0,80.0,200.0,280.0,450.0, Veggie Omelette, Kale Chips, Greek Yogurt with Mango and Pistachios," Quinoa Stuffed Tomatoes - 280kcals per portion, 2 portions, gluten-free
"," Baked Falafel Bowl - 450 calories/portion, 4 portions, contains gluten (Middle East)
"
12,300.0,80.0,120.0,400.0,500.0, Mediterranean Chickpea Scramble, Avocado Deviled Eggs, Vegan Energy Balls," Greek Pita Pockets - 400kcals per portion, 1 portion, contains gluten, dairy (Greece)
", Thai Green Curry
13,200.0,80.0,100.0,400.0,300.0, Vegan Blueberry Pancakes, Cheesy Popcorn, Stuffed Dates, Roasted Butternut Squash Salad," Zucchini noodles with pesto - 300 calories per portion, 4 portions, contains nuts (Italy)
"
14,200.0,80.0,280.0,200.0,400.0, Vegan Pumpkin Pancakes, Energy Balls, Apple and Cinnamon Muffins," Baked Zucchini Fries - 200kcals per portion, 4 portions, no allergies
", Penne alla Vodka with Spinach
15,350.0,80.0,150.0,300.0,350.0, Veggie Omelette, Hard-Boiled Eggs, Caprese Salad," Spinach and Mushroom Quesadilla - 300kcals per portion, 2 portions, contains dairy
"," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
16,250.0,80.0,200.0,370.0,350.0, Vegan Breakfast BLT Sandwich, Fruit Salad, Stuffed Bell Peppers," Greek Orzo Salad - 370kcals per portion, 2 portions, contains gluten, dairy (Greece)
", Greek Orzo Stuffed Peppers
17,400.0,80.0,250.0,300.0,350.0, Vegan Breakfast Hash, Baked Apple Chips, Quinoa Salad," Spinach and Mushroom Quesadillas - 300kcals per portion, 2 portions, contains gluten, dairy (Mexico)
"," Mexican Quinoa Salad - 350 calories/portion, 4 portions, Origin"
18,200.0,80.0,100.0,220.0,330.0, Caprese Avocado Toast, Hard-Boiled Eggs, Greek Cucumber Dip with Pita Bread, Caprese stuffed avocados," Lentil and Vegetable Curry - 330kcals per portion, 4 portions, contains legumes
"
19,400.0,80.0,150.0,500.0,300.0, French Toast, Kale Chips, Baked Sweet Potato Wedges, Mushroom and Pea Risotto," Greek Moussaka-Stuffed Bell Peppers - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
20,250.0,80.0,150.0,350.0,400.0, Sourdough Toast with Almond Butter, Cheesy Popcorn, Cauliflower Buffalo Wings, Roasted sweet potato and black bean burritos," Caprese Pasta - 400 calories/portion, 2 portions, Origin"
21,250.0,80.0,200.0,350.0,300.0, Vegan Breakfast Enchiladas, Kale Chips, Baked Falafel," Veggie Tacos - 350kcals per portion, 2 portions, contains gluten
"," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
22,300.0,80.0,180.0,150.0,350.0, Banana Pancakes, Baked Apple Chips, Mango Salsa with Tortilla Chips, Spinach and feta stuffed mushrooms, Roasted Vegetable Quinoa Bowls
23,200.0,80.0,90.0,400.0,350.0, Roasted Vegetable Breakfast Tacos, Kale Chips, Vegan Energy Balls," Eggplant Parmesan - 400kcals per portion, 2 portions, contains gluten, dairy (Italy)
"," Vegetable curry with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
24,250.0,80.0,100.0,400.0,250.0, Vegan Breakfast BLT Sandwich, Energy Balls, Zucchini Tomato Bites," Mediterranean Flatbread Pizza - 400kcals per portion, 2 portions, contains dairy, Origin"," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
25,200.0,80.0,180.0,400.0,260.0, Spinach Tomato Feta Frittata, Energy Balls, Greek Tzatziki with Pita Bread, Mango Salad," Greek Style Lemon Potatoes - 260kcals per portion, 4 portions
"
26,300.0,80.0,90.0,400.0,350.0, Vegetable Upma, Hard-Boiled Eggs, Watermelon Gazpacho," Margherita Pizza - 400kcals per portion, 2 portions, contains dairy, Origin"," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
27,250.0,80.0,180.0,270.0,350.0, Vegetable Scramble, Avocado Deviled Eggs, Apple with Peanut Butter," Greek Lentil Soup - 270kcals per portion, 4 portions, contains legumes (Greece)
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
28,350.0,80.0,220.0,420.0,350.0, Vegan Protein Pancakes, Avocado Deviled Eggs, Sesame Ginger Edamame," Lentil Sloppy Joes - 420kcals per portion, 2 portions, contains legumes, gluten
", Egg Fried Rice
29,400.0,80.0,120.0,180.0,180.0, Nutella Banana Croissant, Baked Apple Chips, Roasted Cauliflower Popcorn, Tomato and basil bruschetta," Caprese Skewers - 180kcals per portion, 4 portions, contains dairy (Italy)
"
30,300.0,80.0,200.0,250.0,350.0, Overnight Apple Pie Chia Pudding, Mango with Chili Powder, Apple Cinnamon Muffins," Roasted Cauliflower Salad - 250kcals per portion, 2 portions, no allergies
"," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
31,250.0,80.0,180.0,400.0,250.0, Cucumber Sandwich, Fruit Salad, Cheesy Garlic Breadsticks," Veggie Wrap - 400kcals per portion, 1 portion, contains gluten
"," Mediterranean stuffed eggplant - 250 calories per portion, 4 portions, none
"
32,250.0,80.0,160.0,450.0,390.0, Buckwheat Porridge, Avocado Deviled Eggs, Greek Yogurt with Honey and Nuts, Greek Spinach Pie (Spanakopita)," Quinoa-Stuffed Acorn Squash - 390kcals per portion, 4 portions
"
33,150.0,80.0,200.0,350.0,400.0, Fruit Salad, Avocado Deviled Eggs, Sweet Potato Fries," Veggie Fried Rice - 350kcals per portion, 3 portions, no allergies, Origin"," Caprese Quinoa Bowl - 400 calories/portion, 4 portions, contains dairy (Italy)
"
34,200.0,70.0,200.0,400.0,400.0, Vegan Blueberry Pancakes, Fresh Fruit Salad, Tomato and Avocado Bruschetta, Mango Salad," Sweet potato gnocchi with sage butter - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
35,300.0,80.0,160.0,300.0,210.0, Chia Seed Pancakes, Fruit Salad, Roasted Sweet Potato Slices," Greek Baked Feta - 300kcals per portion, 2 portions, contains dairy, Origin"," Greek Briam - 210kcals per portion, 4 portions
"
