,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,50.0,100.0,20.0,300.0," Filipino champorado (chocolate rice porridge) - 300 calories per portion, 2 portions, contains gluten, origin", Baked Apple Chips - Approx, Greek Yogurt Fruit Dip, Moroccan Mint Tea, Quinoa Stuffed Bell Peppers
2,400.0,50.0,170.0,20.0,150.0, Quinoa Breakfast Bowl," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Mozzarella and cherry tomato skewers, Moroccan Mint Tea, Cauliflower Fried Rice
3,380.0,50.0,250.0,20.0,300.0," Cabbage and sausage breakfast skillet (380 calories per portion, 2 portions, contains dairy, German origin)
", Baked Apple Chips - Approx, Spinach and Artichoke Dip with Pita Chips, Moroccan Mint Tea," Vegan Lemon Garlic Pasta - 300 calories per portion, 4 portions, None, Italy
"
4,550.0,50.0,280.0,20.0,250.0, Vegan Smoothie Bowl, Baked Apple Chips - Approx," Greek Spanakopita - 280 kcals per portion, 3 portions, contains gluten, dairy (Greece)", Moroccan Mint Tea," Moroccan Vegan Harira Soup (250 calories/portion, 4 portions) - Morocco

"
5,300.0,50.0,100.0,20.0,300.0, Chocolate Peanut Butter Overnight Oats," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Gazpacho Soup, Moroccan Mint Tea," Quinoa-stuffed mushrooms – 300 calories per portion, 4 portions, vegetarian-friendly
"
6,350.0,50.0,250.0,20.0,300.0," Greek yogurt and berry parfait (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Baked Apple Chips - Approx," Lentil Soup - 250 kcals per portion, 2 portions, gluten-free (Mediterranean)", Moroccan Mint Tea," Greek lemon chicken soup with orzo (300 calories per portion, 4 portions, contains gluten, origin"
7,400.0,50.0,100.0,20.0,250.0," Lebanese fatteh (pita chips soaked in yogurt and topped with nuts) - 400 calories per portion, 2 portions, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Chocolate Banana Smoothie, Moroccan Mint Tea," Vegan Caesar Salad - 250 calories per portion, 4 portions, None, United States
"
8,280.0,50.0,320.0,20.0,300.0," Oatmeal with apples and cinnamon (280 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Nachos with Guacamole - 320 kcals per portion, 2 portions, contains dairy (Mexico)", Moroccan Mint Tea, Chickpea Tikka Masala
9,350.0,50.0,90.0,20.0,300.0, Veggie Breakfast Wrap, Baked Apple Chips - Approx, Ants on a log (celery with cream cheese and raisins), Moroccan Mint Tea, Vegan Lentil Tacos
10,250.0,50.0,100.0,20.0,250.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Baked Apple Chips - Approx, Bruschetta, Moroccan Mint Tea," Moroccan Lentil Salad - 250 calories per portion, 4 portions, None, Morocco
"
