,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,120.0,220.0,150.0,350.0, Buckwheat Porridge, Sautéed Brussels Sprouts, Quinoa and Black Bean Salad, Lentil and vegetable frittata, Greek Phyllo Pie
2,250.0,80.0,220.0,150.0,350.0, Middle Eastern Shakshuka, Cheesy Popcorn, Guacamole with Tortilla Chips, Spinach and feta stuffed mushrooms," Caprese Tortellini Skewers - 350 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
3,300.0,120.0,250.0,120.0,200.0, Hash Brown Casserole, Oatmeal Cookie, Sweet Potato Fries," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
4,250.0,150.0,180.0,160.0,290.0, Whole Wheat Veggie Breakfast Wrap, Cauliflower Nuggets, Greek Yogurt Parfait," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and Ricotta Stuffed Tomatoes - 290kcals per portion, 4 portions, contains dairy
"
5,250.0,80.0,80.0,150.0,350.0, Vegan Breakfast Sausage, Fresh Squeezed Orange Juice, Veggie Noodle Salad, Spinach and feta stuffed mushrooms, Mexican Quinoa Stuffed Bell Peppers
6,250.0,150.0,120.0,150.0,380.0, Vegan Sausage and Biscuits, Homemade Energy Balls, Peanut Butter Energy Balls, Spinach and cheese stuffed tomatoes," Vegetable Curry with Coconut Milk - 380kcals per portion, 4 portions, contains nuts
"
7,250.0,150.0,90.0,150.0,350.0, Buckwheat Porridge, Roasted Vegetable Skewers, Watermelon Feta Bites, Lentil and vegetable frittata," Lemon Asparagus Pasta - 350 calories/portion, 2 portions, Origin"
8,250.0,160.0,300.0,150.0,400.0, Smoothie Bowl, Roasted Chickpeas, Vegetable Pizza Rolls, Spinach and mushroom omelet," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
9,300.0,120.0,180.0,120.0,180.0, Veggie Bagel Sandwich, Tomato and Basil Bruschetta, Greek Olive Breadsticks," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Salad - 180kcals per portion, 4 portions, contains dairy (Italy)
"
10,300.0,150.0,200.0,120.0,350.0, Chia Seed Pancakes, Zucchini Noodles with Marinara Sauce, Coconut Chia Pudding," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
11,300.0,150.0,120.0,150.0,300.0, Classic Peanut Butter and Jelly, Pear with Goat Cheese, Mediterranean Salad," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
12,250.0,160.0,150.0,150.0,380.0, Greek Yogurt with Honey and Nuts, Quinoa Stuffed Mushrooms, Baked Potato Wedges, Spinach and cheese stuffed tomatoes," Ratatouille Pasta - 380kcals per portion, 4 portions
"
13,300.0,150.0,120.0,150.0,330.0, Veggie Breakfast Quesadilla, Green Smoothie, Tomato Mozzarella Skewers," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Lentil Burgers - 330kcals per portion, 4 portions, contains legumes
"
14,250.0,150.0,210.0,150.0,350.0, Vegan Tofu Benedict, Chocolate Covered Strawberries, Greek Feta and Olive Tapenade Crostini, Spinach and mushroom omelet," Greek Orzo Salad - 350 calories/portion, 4 portions, Origin"
15,400.0,150.0,180.0,120.0,400.0, Strawberry Banana Pancakes, Raspberry Chia Smoothie, Veggie Pancakes with Yogurt Dip," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Black Bean and Spinach Quesadillas - 400 calories/portion, 4 portions, Origin"
16,250.0,150.0,300.0,160.0,300.0, Yogurt Parfait, Cauliflower Nuggets, Vegetable Pizza Rolls," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
17,400.0,150.0,200.0,150.0,200.0, Veggie Bagel Sandwich, Greek Yogurt with Berries, Veggie Sushi Burrito, Spinach and ricotta stuffed tomatoes," Caprese Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains dairy (Italy)
"
18,350.0,100.0,240.0,150.0,350.0, Chocolate Peanut Butter Overnight Oats, Guacamole Stuffed Cherry Tomatoes, Greek Stuffed Grape Leaves," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
19,300.0,120.0,280.0,150.0,200.0, Country Style Potatoes with Veggies, Greek Stuffed Grape Leaves, Mexican Street Corn, Spinach and feta stuffed bell peppers," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
20,400.0,150.0,200.0,150.0,300.0, Veggie Breakfast Skillet, Vegan Chocolate Energy Balls, Greek Yogurt Parfait, Spinach and mushroom omelet," Vegetable and tofu stir-fry - 300 calories per portion, 4 portions, contains soy
"
21,300.0,150.0,120.0,150.0,400.0, Chia Seed Smoothie, Veggie Omelette, Fruit Salad," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Caprese Flatbread
22,400.0,80.0,100.0,150.0,400.0, Vegetarian Breakfast Casserole, Avocado Deviled Eggs, Fruit Salad, Butternut squash soup, Veggie Enchilada Casserole
23,300.0,150.0,90.0,150.0,210.0, Veggie Bagel Sandwich, Chocolate Protein Balls, Homemade Popcorn, Spinach and feta stuffed mushrooms," Greek Briam - 210kcals per portion, 4 portions
"
24,250.0,100.0,200.0,150.0,330.0, Cheesy Spinach Pita Pocket, Carrot Sticks with Ranch Dip, Spinach Dip, Lentil and vegetable soup," Lentil Meatballs - 330kcals per portion, 4 portions, contains legumes
"
25,350.0,90.0,100.0,150.0,380.0, Banana Walnut Bread, Fruit Salad, Caprese Skewers, Butternut squash soup," Quinoa Fried Rice - 380kcals per portion, 4 portions, contains egg
"
26,250.0,150.0,100.0,150.0,280.0, Vegan Breakfast Sushi, Veggie Nuggets, Stuffed Dates, Spinach and feta stuffed bell peppers," Lentil Salad - 280kcals per portion, 4 portions
"
27,300.0,150.0,160.0,150.0,250.0, Chia Seed Smoothie, Pumpkin Energy Balls, Hummus with Veggie Sticks, Butternut squash soup," Veggie Sushi Rolls - 250 calories/portion, 4 portions, Origin"
28,300.0,100.0,140.0,150.0,270.0, Vegan French Toast, Edamame, Tomato Bruschetta, Lentil and vegetable soup," Spinach and Feta Puff Pastry Bites - 270kcals per portion, 4 portions, contains dairy
"
29,250.0,150.0,100.0,160.0,200.0, Vegan Banana Bread, Antipasto Skewers, Edamame," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
", Veggie Miso Soup
30,200.0,150.0,240.0,150.0,250.0, Veggie Breakfast Couscous, Mini Vegetable Frittatas, Greek Stuffed Grape Leaves, Gazpacho Soup," Spinach and Artichoke Stuffed Portobello Mushrooms - 250 calories/portion, 4 portions, contains dairy (Italy)
"
