,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,380.0,50.0,100.0,20.0,250.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
", Baked Apple Chips - Approx, Stuffed Dates with Almond Butter, Moroccan Mint Tea," Vegan Caesar Salad - 250 calories per portion, 4 portions, None, United States
"
2,250.0,50.0,400.0,120.0,200.0, Tropical Green Smoothie," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Vegan Caesar Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese Stuffed Portobello Mushrooms - 200 calories/portion, 4 portions, contains dairy (Italy)
"
3,300.0,50.0,100.0,20.0,200.0, Fruit Smoothie Bowl, Baked Apple Chips - Approx, Cinnamon Sugar Popcorn, Moroccan Mint Tea," Vegan Buffalo Cauliflower Wings - 200 calories per portion, 4 portions, None, United States
"
4,350.0,50.0,440.0,20.0,250.0," Veggie fajita scramble with tofu (350 calories per portion, 2 portions, nut-free, Mexican origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Vegan Chili, Moroccan Mint Tea, Chickpea Flour Pancakes
5,300.0,50.0,120.0,120.0,250.0, Aloo Tikki," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Hummus Stuffed Mini Peppers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
6,50.0,50.0,120.0,120.0,210.0, Vegan Breakfast Energy Balls, Baked Apple Chips - Approx, Cheese and Spinach Stuffed Mushrooms," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Greek Stuffed Tomatoes - 210kcals per portion, 4 portions
"
7,250.0,50.0,140.0,120.0,160.0, Vegan Blueberry Muffin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Blueberry Oat Bars," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegan Mediterranean Couscous Salad - 160 calories per portion, 3 portions, may contain gluten"
8,400.0,50.0,150.0,120.0,260.0," Egyptian feteer meshaltet (layered pastry) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Baked Apple Chips - Approx, Carrot Hummus with Pita Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Spanakopita - 260kcals per portion, 4 portions, contains dairy (Greece)
"
9,250.0,50.0,380.0,20.0,150.0, Vegan Breakfast Shakshuka," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Vegan Chocolate Chip Cookies, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
10,300.0,50.0,180.0,120.0,250.0, Tofu Scramble," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Guacamole and Tortilla Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Veggie fajitas - 250 calories per portion, 4 portions, contains gluten (Mexico)
"
11,400.0,50.0,100.0,100.0,250.0," Algerian msemen (pan fried dough) with honey - 400 calories per portion, 2 portions, contains gluten, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Deviled Eggs - 100 kcals per portion, 4 portions, contains egg (USA)", Israeli salad," Black bean and corn salad with lime dressing – 250 calories per portion, 4 portions, vegan-friendly (origin"
12,300.0,50.0,180.0,120.0,200.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Zucchini Pizza Bites," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin"
13,380.0,50.0,180.0,20.0,180.0," Ricotta and cherry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin", Moroccan Mint Tea," Cauliflower Shawarma - 180 calories per portion, 6 portions, None, Middle East
"
14,450.0,50.0,160.0,120.0,250.0," Pancakes with maple syrup and blueberries (450kcals per portion, 2 portions, origin", Baked Apple Chips - Approx," Vegan Raspberry Bars - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Chickpea Stew - 250 calories per portion, 6 portions, Allergic to legumes, Middle East
"
15,300.0,50.0,160.0,20.0,200.0, Chia Seed Pudding Parfait," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Baked apples with cinnamon and honey, Moroccan Mint Tea," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
16,300.0,50.0,180.0,120.0,200.0, Omelette with Spinach and Feta," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Vegan Strawberry Shortcake - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil soup with vegetables – 200 calories per portion, 6 portions, vegan-friendly (origin"
17,50.0,50.0,180.0,120.0,250.0, Vegan Breakfast Smoothie," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Tuna Salad Lettuce Wraps - 180 kcals per portion, 2 portions, contains fish (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Vegan Swedish Meatballs
18,350.0,50.0,140.0,120.0,250.0," Spanish tortilla with potato and onion (350kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin"," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
19,400.0,50.0,280.0,100.0,240.0," Breakfast quesadilla - 400 calories per portion, 1 portion, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Egg salad lettuce wraps, Israeli salad," Greek Feta Spinach Pie - 240kcals per portion, 4 portions, contains dairy (Greece)
"
