,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,100.0,100.0,150.0,200.0," Vegetable omelette - 200 calories per portion, 2 portions, no allergic warnings, origin"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Garlic parmesan roasted edamame, Spinach and mushroom omelet," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
2,250.0,100.0,300.0,20.0,200.0, Ragi (Finger Millet) Pancakes, Roasted Chickpeas, Mini Bagel Pizzas, Moroccan Mint Tea, Lentil and Vegetable Soup
3,400.0,100.0,100.0,150.0,300.0, Veggie Breakfast Bagel Sandwich, Carrot Sticks with Ranch Dip, Stuffed Dates with Almond Butter, Ratatouille, Quinoa and Lentil Salad
4,400.0,100.0,150.0,150.0,300.0, Vegan Breakfast Casserole - 400 calories per portion | 1 portion | None | Origin, Caprese Skewers, Zucchini Fritters," Potato Latkes - 150 calories
   - Total portions", Mediterranean Lentil Salad
5,400.0,100.0,150.0,20.0,250.0," Açai bowl topped with fruits and coconut flakes (400kcals per portion, 1 portion, origin", Cucumber and Tomato Salad, Greek Yogurt with Fresh Berries, Moroccan Mint Tea, Ratatouille
6,400.0,100.0,160.0,150.0,350.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Cucumber and Hummus Rolls, Spinach and Feta Triangles, Greek Taramasalata," Mushroom and spinach risotto - 350 kcals per portion, 4 portions, vegetarian, contains lactose
"
7,200.0,100.0,120.0,150.0,200.0, Tofu Scramble, Fruit Smoothie Popsicles - Approx, Tomato Bruschetta, Tom Yum Soup, Lentil Soup
8,350.0,100.0,180.0,150.0,200.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Caprese Skewers, Mini spinach and cheese turnovers, Caprese Salad," Cucumber, tomato, and red onion salad – 200 calories per portion, 4 portions, vegan-friendly
"
9,400.0,80.0,170.0,150.0,200.0, Avocado and Egg Breakfast Salad," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Sweet Corn Fritters, Spanish Gazpacho, Vegetable Stir-Fry
10,350.0,70.0,180.0,150.0,220.0, Vegan Kale and Potato Frittata - 350 calories per portion | 1 portion | None | Origin, Fresh Fruit Salad," Rice Crispy Treats - 180 kcals per portion, 6 portions, gluten-free (USA)"," Greek Salad - 150kcals per portion, 2 portions", Lentil and Kale Soup
