,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,90.0,210.0,20.0,280.0, Feta and Spinach Muffins, Rice Paper Rolls, Veggie Pizza Bagels, Moroccan Mint Tea," Herb-crusted baked tofu with roasted vegetables – 280 calories per portion, 3 portions, vegan-friendly
"
2,200.0,120.0,150.0,20.0,200.0," Spinach and feta breakfast muffins (200 calories per portion, 2 portions, contains dairy, Greek origin)
", Yogurt with Berries - Approx, Greek-Style Feta and Olive Dip, Moroccan Mint Tea," Lentil Curry (200 calories/portion, 4 portions) - India
"
3,350.0,100.0,250.0,20.0,250.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Cucumber Rolls with Cream Cheese, Stuffed Mushrooms, Moroccan Mint Tea, Vegetable Curry
4,200.0,100.0,230.0,20.0,200.0," Greek yogurt with honey and walnuts (200 calories per portion, 2 portions, contains dairy and nuts, Greek origin)
", Cucumber Rolls with Hummus - Approx, Roasted Red Pepper Hummus with Pita Chips, Moroccan Mint Tea," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
5,150.0,100.0,160.0,20.0,200.0, Vegan Pancakes, Watermelon and feta skewers, Portobello Mushroom Pizza Bites, Moroccan Mint Tea," Vegan BBQ Tofu - 200 calories per portion, 4 portions, Soy, United States
"
6,300.0,120.0,150.0,20.0,208.0, Chocolate Peanut Butter Overnight Oats, Granola Bar, Vegetable samosa, Moroccan Mint Tea, Spinach and Mushroom Quesadillas
7,250.0,100.0,150.0,20.0,182.0, Sourdough Toast with Almond Butter, Chilled Gazpacho," Vegan Zucchini Fritters with Vegan Sour Cream - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Carrot and Ginger Soup
8,350.0,100.0,220.0,20.0,250.0, Shakshuka," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin", Chicken Lettuce Wraps, Moroccan Mint Tea, Lentil Buddha Bowl
9,250.0,100.0,150.0,20.0,250.0, Vegan Blueberry Muffin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin, Energy Balls, Roasted Chickpeas, Moroccan Mint Tea," Indian Baingan Bharta (250 calories/portion, 3 portions) - India
"
10,400.0,100.0,280.0,20.0,250.0," Shakshuka with crusty bread (400 calories per portion, 2 portions, contains eggs, Israeli origin)
", Fruit Smoothie Popsicles - Approx, Cheese and Tomato Nachos, Moroccan Mint Tea, Chickpea Buddha Bowl
11,300.0,100.0,100.0,20.0,290.0," Nigerian moi moi (bean pudding) - 300 calories per portion, 2 portions, no allergic warnings, origin"," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Baked zucchini fries, Moroccan Mint Tea, Moroccan Lentil Salad
12,350.0,120.0,150.0,20.0,250.0," Fruit and yogurt parfait with granola (350 calories per portion, 2 portions, contains dairy, American origin)
", Greek yogurt with honey, Cauliflower Buffalo Wings, Moroccan Mint Tea, Mediterranean Couscous Salad
13,400.0,120.0,250.0,20.0,250.0," Warm quinoa breakfast bowl with caramelized bananas and almonds (400 calories per portion, 2 portions, contains nuts, American origin)
Please note that the above recipes are suggestions and the nutritional information provided is approximate", Vegetable Samosas, Mini chicken pot pies, Moroccan Mint Tea, Sushi Roll
14,200.0,120.0,180.0,20.0,250.0, Vegetable Frittata, Beetroot Hummus, Veggie Fritters, Moroccan Mint Tea," Veggie Sushi Rolls - 250 calories/portion, 4 portions, Origin"
15,400.0,120.0,200.0,20.0,200.0, Turkish Borek, Kale Chips, Mini Bagel Pizzas, Moroccan Mint Tea," Mexican Vegan Guacamole (200 calories/portion, 4 portions) - Mexico
"
16,200.0,90.0,150.0,20.0,250.0, Oatmeal with Berries, Rice Paper Rolls, Cauliflower Buffalo Wings, Moroccan Mint Tea," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
17,350.0,100.0,200.0,20.0,200.0," Veggie breakfast wrap with scrambled eggs (350kcals per portion, 2 portions, origin", Guacamole Stuffed Cherry Tomatoes, Stuffed grape leaves with rice and herbs, Moroccan Mint Tea," Baked Falafel - 200 calories/portion, 4 portions, Origin"
18,350.0,80.0,180.0,20.0,250.0, Vegan Breakfast Stuffed Peppers, Fresh Watermelon Slices - Approx, Crispy Tofu Bites, Moroccan Mint Tea, Ratatouille Stuffed Portobello Mushrooms
19,350.0,80.0,120.0,20.0,250.0, Ricotta Pancakes, Fruit Salad, Ricotta Stuffed Cherry Tomatoes, Moroccan Mint Tea, Tofu Stir-Fry
20,350.0,100.0,180.0,20.0,230.0," Nigerian akara (bean fritters) with tomato sauce (350kcals per portion, 2 portions, origin", Fruit Smoothie Popsicles - Approx," Vegan Black Bean Brownies - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Quinoa-Stuffed Bell Peppers - 230kcals per portion, 4 portions, gluten-free
"
21,250.0,100.0,180.0,20.0,245.0, Vegan Breakfast Sushi, Overnight Chia Pudding," Berry Parfait - 180 kcals per portion, 2 portions, contains dairy (Various)", Moroccan Mint Tea, Tofu Stir Fry
22,200.0,100.0,220.0,20.0,250.0," Vegetable omelette - 200 calories per portion, 2 portions, no allergic warnings, origin", Watermelon Fruit Pizza, Baked mozzarella sticks, Moroccan Mint Tea," Chickpea Stew - 250 calories per portion, 6 portions, Allergic to legumes, Middle East
"
23,300.0,100.0,120.0,20.0,250.0," Almond butter and banana toast (300 calories per portion, 2 portions, contains nuts, American origin)
", Baked Zucchini Chips - Approx, Spinach and Feta Stuffed Mushrooms, Moroccan Mint Tea," Falafel - 250 calories per portion, 4 portions, Gluten, Middle East

"
24,400.0,100.0,300.0,20.0,250.0," Huevos Rancheros with refried beans and salsa (400kcals per portion, 2 portions, origin", Baked Apple Chips, Chicken Satay with Peanut Sauce, Moroccan Mint Tea, Vegan Kung Pao Tofu
25,400.0,120.0,250.0,20.0,150.0, Breakfast Tacos with Avocado Salsa, Toasted Coconut Chips, Pork Satay with Peanut Sauce, Moroccan Mint Tea, Greek Salad
26,150.0,120.0,520.0,20.0,200.0, Vegan Breakfast Fajitas, Raspberry Chia Seed Jam, Vegan Spinach and Artichoke Crostini, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
