,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,120.0,150.0,100.0,290.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Cucumber and hummus rolls, Greek yogurt parfait with granola and berries, Israeli salad," Spinach and Feta Stuffed Mushrooms - 290kcals per portion, 4 portions, contains dairy
"
2,400.0,120.0,200.0,120.0,350.0," Nigerian plantain porridge - 400 calories per portion, 2 portions, no allergic warnings, origin", Cucumber and hummus rolls," Berry Smoothie Bowl - 200 kcals per portion, 2 portions, contains dairy (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Thai Mango Sticky Rice
3,300.0,150.0,240.0,100.0,400.0, Mushroom and Spinach Vegan Quiche, Puffed Rice Bars, Vegan Spinach Dip with Pita Chips, Israeli salad," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
4,300.0,80.0,120.0,100.0,400.0," Almond butter and banana toast (300 calories per portion, 2 portions, contains nuts, American origin)
", Hard-Boiled Eggs, Vegan Mediterranean Hummus Bowl, Israeli salad," Black Bean and Spinach Quesadillas - 400 calories/portion, 4 portions, Origin"
5,400.0,100.0,100.0,100.0,400.0, Mushroom Breakfast Burrito, Fresh Fruit Salad, Chocolate Covered Strawberries, Israeli salad, Beef and Snow Pea Stir Fry
6,350.0,150.0,200.0,100.0,350.0," Baked beans on toast (350kcals per portion, 2 portions, origin"," Tomato Bruschetta - 150kcals per portion, 2 portions
    Origin", Yogurt parfait, Israeli salad," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
7,250.0,150.0,220.0,120.0,580.0, Greek Yogurt Parfait Bowl, Mediterranean Hummus Dip, Tomato and Mozzarella Stuffed Portobello Mushrooms," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Herb-crusted roasted chicken with mashed potatoes – 580 calories per portion, 3 portions, contains poultry
"
8,400.0,100.0,160.0,100.0,400.0, Avocado and Egg Breakfast Salad, Caprese Skewers, Zucchini Fritters, Israeli salad," Greek Moussaka - 400 calories/portion, 4 portions, contains dairy (Greece)
"
9,600.0,100.0,100.0,100.0,500.0, Vegan Waffles, Boiled chickpeas, Hummus with Veggies, Israeli salad," Chicken Cordon Bleu - 500 calories per portion, 4 portions, contains gluten (breadcrumbs), Origin"
10,300.0,120.0,200.0,120.0,400.0," Indian poha cutlet - 300 calories per portion, 2 portions, contains gluten, origin", Almond Biscotti, Cucumber Cups with Tuna Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Chicken stir-fry with broccoli and brown rice – 400 calories per portion, 2 portions (origin"
11,150.0,150.0,150.0,20.0,500.0, Vegan Egg Muffins - 150 calories per portion | 2 portions | None | Origin, Homemade Trail Mix - Approx, Beetroot Hummus with Crackers, Moroccan Mint Tea, Vegetable Massaman Curry
12,300.0,150.0,150.0,120.0,360.0, Shakshuka with Spinach, Berry Smoothie, Mango salsa with tortilla chips," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Lentil Sloppy Joes - 360kcals per portion, 4 portions, contains legumes (USA)
"
13,400.0,150.0,90.0,120.0,400.0," Egyptian feteer meshaltet (layered pastry) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Honey Roasted Almonds - Approx, Cucumber Sandwiches," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Spinach and Ricotta Stuffed Pasta Shells
14,300.0,80.0,220.0,100.0,600.0," Shakriya (Lebanese rice pudding) - 300 calories per portion, 2 portions, contains dairy, origin", Cheesy Popcorn, Cucumber and cream cheese sandwiches, Israeli salad," BBQ Chicken Pizza - 600 calories per portion, 4 portions, contains gluten (pizza crust), Origin"
15,320.0,150.0,150.0,100.0,300.0," Mushroom and goat cheese frittata (320 calories per portion, 2 portions, contains dairy, French origin)
", Chocolate Avocado Mousse, Steamed edamame, Israeli salad, Vegetable Biryani
16,300.0,100.0,100.0,120.0,250.0," Nigerian moi moi (bean pudding) - 300 calories per portion, 2 portions, no allergic warnings, origin", Roasted Chickpeas, Pita chips with tzatziki dip," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Spinach and Feta Stuffed Mushrooms
17,250.0,150.0,210.0,100.0,400.0, Stuffed French Toast, Honey Roasted Almonds - Approx, Greek Feta and Olive Tapenade Crostini, Israeli salad, Spinach and Mushroom Pasta
18,350.0,120.0,220.0,20.0,400.0, Maple Pecan Granola with Yogurt, Oatmeal Cookie," Greek Yogurt Parfait - 220 kcals per portion, 2 portions, contains dairy (Greece)", Moroccan Mint Tea," Vegetable Lo Mein - 400 calories/portion, 4 portions, contains gluten and soy (China)
"
19,450.0,100.0,160.0,120.0,350.0," Breakfast quesadilla with eggs, cheese, and vegetables (450kcals per portion, 2 portions)
", Toasted Coconut Chips, Pita Bread and Hummus," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Stuffed Peppers
20,160.0,100.0,200.0,120.0,450.0," Cream cheese stuffed strawberries (160 calories per portion, 2 portions, contains dairy, American origin)
"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Banana Bread," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mushroom and spinach pasta with garlic bread (450 calories per portion, 2 portions, contains gluten, origin"
21,350.0,150.0,200.0,100.0,220.0," Irish soda bread with butter and jam - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Almond Joy Energy Bites, Stuffed Bell Peppers, Israeli salad, Chickpea and Vegetable Stir Fry
22,150.0,60.0,120.0,20.0,300.0, Vegan Pancakes, Cucumber and tomato salad," Vegan Pumpkin Spice Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Lentil Curry
23,350.0,100.0,250.0,100.0,280.0," Spanish tortilla with potato and onion (350kcals per portion, 2 portions, origin", Boiled chickpeas, Mini Cheesecakes, Israeli salad, Sweet Potato Curry
24,400.0,120.0,120.0,120.0,350.0, Vegan Cinnamon Rolls, Date Balls, Caprese Salad Skewers," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
25,250.0,100.0,150.0,100.0,390.0," Shakarkandi ki chaat (Indian sweet potato salad) - 250 calories per portion, 2 portions, no allergic warnings, origin", Energy Balls - Approx, Bruschetta, Israeli salad, Vegan Lasagna
26,350.0,150.0,180.0,100.0,400.0," Sweet potato and black bean breakfast tacos (350kcals per portion, 2 portions, origin"," Sliced Melon with Prosciutto - 150kcals per portion, 2 portions
    Origin", Fruit skewers with yogurt dip, Israeli salad," Lentil Bolognese - 400 calories per portion, 4 portions, Gluten, Italy
"
27,400.0,100.0,200.0,20.0,312.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Cucumber Slices with Tzatziki - Approx, Vegetable Dumplings, Moroccan Mint Tea, Vegan Kung Pao Tofu
28,450.0,120.0,100.0,100.0,300.0," Norwegian smoked salmon and cream cheese bagel (450kcals per portion, 1 portion, origin", Cottage Cheese with Sliced Tomato, Stuffed Dates with Almond Butter, Israeli salad," Grilled vegetable skewers with couscous - 300 kcals per portion, 4 portions, vegetarian, contains gluten
"
29,250.0,120.0,180.0,20.0,180.0, Avocado Toast, Cottage Cheese with Tomato, Veggie spring rolls with peanut dipping sauce, Moroccan Mint Tea," Greek salad - 180 calories per portion, 4 portions, contains dairy (Greece)
"
30,250.0,100.0,200.0,20.0,400.0," Greek yogurt with honey and nuts - 250 calories per portion, 1 portion, may contain nuts, origin", Energy Balls - Approx, Chicken Fajita Skewers, Moroccan Mint Tea," Lemon herb grilled chicken with mixed greens salad - 400 kcals per portion, 4 portions, gluten-free
"
31,300.0,120.0,180.0,120.0,350.0, Vegan Blueberry Muffins - 300 calories per portion | 1 portion | Contains gluten | Origin, Veggie Fritters, Lentil Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Greek Pasta Salad - 350 calories/portion, 4 portions, Origin"
32,300.0,150.0,120.0,120.0,550.0," Congee (Chinese rice porridge) with century eggs - 300 calories per portion, 2 portions, no allergic warnings, origin", Homemade Energy Balls, Cucumber Avocado Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Caprese chicken with roasted potatoes – 550 calories per portion, 3 portions, contains poultry (origin"
33,350.0,100.0,250.0,120.0,400.0," Finnish Karelian pasties with egg butter - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Chilled Gazpacho, Guacamole with Tortilla Chips," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Veggie Burger with Avocado Mayo
34,200.0,60.0,140.0,20.0,160.0, Spinach and Mushroom Breakfast Tacos, Fruit Salad - Approx," Vegan Spinach Dip with Pita Chips - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegan Mediterranean Couscous Salad - 160 calories per portion, 3 portions, may contain gluten"
35,800.0,100.0,120.0,120.0,250.0, Vegan Breakfast Crostini, Guacamole Stuffed Cherry Tomatoes, Ricotta Stuffed Cherry Tomatoes," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Moroccan Chickpea Stew (250 calories/portion, 4 portions) - Morocco
"
36,200.0,150.0,280.0,120.0,280.0," Miso soup with tofu and seaweed (200kcals per portion, 2 portions, soy allergies, Japan)
", Greek Yogurt with Honey - Approx, Mini chicken lettuce wraps," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Lentil Salad - 280kcals per portion, 4 portions
"
37,400.0,80.0,150.0,120.0,350.0," Breakfast quesadilla with eggs and cheese (400 calories per portion, 2 portions, contains dairy, Mexican origin)
"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Stuffed mushrooms," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegan Lentil Coconut Curry - 350 calories per portion, 2 portions, may contain mustard"
38,250.0,150.0,160.0,120.0,350.0, Egg and Cheese Breakfast Taco," Mini Spinach and Feta Quiches - 150kcals per portion, 2 portions
    Origin"," Mini Pizza Bagels - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Mushroom Tacos
39,70.0,150.0,160.0,100.0,310.0, Fruit Salad, Grilled vegetable skewers," Vegan Samosas - 160 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Spinach and Feta Stuffed Peppers - 310kcals per portion, 4 portions, contains dairy
"
40,400.0,100.0,80.0,120.0,250.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Rice Paper Spring Rolls, Hummus with carrot sticks," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Mushroom Risotto
41,300.0,140.0,200.0,100.0,200.0," Acai bowl - 300 calories per portion, 1 portion, no allergic warnings, origin", Scrambled Eggs - Approx, Roasted beet and goat cheese salad, Israeli salad," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
42,400.0,120.0,150.0,100.0,300.0, Vegan Breakfast Sushi - 400 calories per portion | 1 portion | Contains soy | Origin, Kale Chips, Mini spinach and feta quiches, Israeli salad, Moroccan Vegetable Couscous
