,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,80.0,160.0,150.0,400.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Fresh Squeezed Orange Juice, Baked Parmesan Zucchini Fries," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Chicken and Rice Soup
2,300.0,80.0,160.0,150.0,450.0, Chocolate Peanut Butter Overnight Oats, Fresh Squeezed Orange Juice," Grilled Portobello Mushroom Burger - 160 kcals per portion, 4 portions, no allergic warnings, origin", Butternut squash soup," Greek Moussaka - 450 calories per portion, 6 portions, contains dairy (cheese), Origin"
3,280.0,80.0,120.0,150.0,320.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
", Mango with Chili Powder, Spiced Roasted Chickpeas," Potato Latkes - 150 calories
   - Total portions", Roasted Vegetable Pasta
4,250.0,80.0,180.0,150.0,400.0," Peach and almond smoothie - 250 calories per portion, 1 portion, may contain nuts, origin", Hard-Boiled Eggs," Roasted Red Pepper and Feta Dip - 180 kcals per portion, 3 portions, contains dairy (Various)"," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Hawaiian Grilled Shrimp Skewers
5,400.0,80.0,100.0,150.0,250.0, Breakfast Tacos with Avocado Salsa, Hard-Boiled Eggs, Thai Fresh Spring Rolls, Spanish Gazpacho," Stuffed bell peppers - 250 calories per portion, 4 portions, none
"
6,350.0,50.0,250.0,150.0,350.0," English crumpets with butter and jam (350kcals per portion, 2 portions, dairy allergies, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mini whole wheat pita pizza, Lentil and vegetable frittata," Greek Spinach Pie - 350 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
7,380.0,80.0,180.0,120.0,200.0," Israeli-style salad with scrambled eggs (380 calories per portion, 2 portions, nut-free, Israeli origin)
", Mango with Chili Powder," Pineapple Salsa with Tortilla Chips - 180 kcals per portion, 3 portions, contains gluten (Various)"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Lebanese Fattoush Salad
8,400.0,80.0,440.0,150.0,250.0," Malaysian roti canai with curry dipping sauce (400kcals per portion, 2 portions, origin", Avocado Deviled Eggs, Vegan Chili, Cabbage Stir-Fry," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
9,320.0,80.0,150.0,150.0,400.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Caprese Skewers," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
", Penne alla Vodka with Spinach
10,400.0,60.0,100.0,150.0,350.0, Breakfast Tacos with Avocado Salsa, Cucumber and tomato salad," Vegan Mushroom Soup - 100 kcals per portion, 4 portions, no allergic warnings, origin", Gazpacho Soup, Fish Tacos with Lime Crema
11,650.0,50.0,160.0,150.0,280.0, Vegan Breakfast Zucchini Bread, Baked Apple Chips - Approx, Asparagus and Goat Cheese Tartlets, Lentil Soup, Vegan Tikka Masala
12,500.0,60.0,180.0,150.0,250.0, Breakfast Sausage and Egg Casserole, Fruit Salad - Approx, Veggie spring rolls with peanut dipping sauce," Greek Salad - 150kcals per portion, 2 portions", Lentil Tacos
13,150.0,60.0,90.0,150.0,240.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Cucumber and tomato salad, Watermelon Feta Bites," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Caprese Stuffed Avocado - 240kcals per portion, 4 portions, contains dairy (Italy)
"
14,550.0,80.0,200.0,150.0,250.0, Vegan Breakfast Pesto Pasta, Mango with Chili Powder, Baked pita chips with tzatziki," Lentil Soup - 150 calories
   - Total portions", Lentil Salad
15,400.0,80.0,140.0,150.0,150.0," Veggie breakfast quesadilla (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Cheesy Popcorn," Mexican Street Corn Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Soup - 150kcals per portion, 6 portions", Butternut Squash Soup
16,300.0,80.0,150.0,150.0,300.0," Zucchini and carrot muffins (300kcals per portion, 2 portions)
", Apple with Cinnamon, Paprika and Cumin Spiced Roasted Chickpeas," Vegetable Stir-Fry - 150kcals per portion, 3 portions", Mediterranean Vegetable Tart
17,500.0,50.0,210.0,150.0,220.0," Breakfast burrito with scrambled eggs and avocado (500kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie Pizza Bagels, Gazpacho Soup, Quinoa and Vegetable Stir Fry
18,400.0,60.0,150.0,150.0,350.0," Lebanese fatteh (pita chips soaked in yogurt and topped with nuts) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Cucumber and tomato salad, Roasted chickpeas, Tomato Basil Soup," Mexican Quinoa Salad - 350 calories/portion, 4 portions, contains cilantro (Mexico)
"
19,250.0,50.0,120.0,150.0,200.0, Avocado Toast, Baked Apple Chips - Approx, Buffalo Cauliflower Bites with Ranch Dip, Tom Yum Soup," Spanakopita - 200 calories per portion, 6 portions, contains gluten and dairy (Greece)
"
20,300.0,80.0,100.0,150.0,260.0, Vegan Omelette, Stuffed Dates, Tzatziki with Pita Bread, Spinach and feta stuffed mushrooms," Greek Style Green Beans - 260kcals per portion, 4 portions
"
21,150.0,80.0,160.0,150.0,450.0, Vegan Breakfast Fruit Pizza, Baked Apple Chips," Rice Cakes with Avocado - 160 kcals per portion, 3 portions, gluten-free (Various)", Greek Taramasalata, Spanish Empanadas
22,250.0,80.0,180.0,150.0,220.0," Chia seed pudding with mixed berries (250kcals per portion, 2 portions)
", Fresh Squeezed Orange Juice, Tabbouleh, Spinach and mushroom omelet, Quinoa and Vegetable Stir Fry
23,100.0,80.0,170.0,150.0,220.0, Vegan Breakfast Falafel, Fresh Watermelon Slices - Approx," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Caprese Salad, Chickpea Salad
24,280.0,80.0,100.0,150.0,300.0," Cinnamon raisin oatmeal with apples (280 calories per portion, 2 portions, nut-free, American origin)
", Fresh Squeezed Orange Juice, Baked Zucchini Fries," Potato Latkes - 150 calories
   - Total portions", Sweet Potato and Lentil Curry
25,350.0,80.0,150.0,150.0,350.0, Veggie Breakfast Wrap, Hard-Boiled Eggs, Cauliflower Buffalo Wings, Butternut squash soup," Veggie enchiladas - 350 calories per portion, 4 portions, contains gluten (Mexico)
"
26,350.0,60.0,260.0,150.0,350.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Cucumber and tomato salad, Greek Stuffed Mushrooms, Gazpacho Soup," Chickpea Salad Sandwich - 350 calories per portion, 2 portions, may contain gluten"
27,250.0,80.0,180.0,150.0,350.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Stuffed Dates, Baked Buffalo Chicken Wings," Vegetable Stir-Fry - 150kcals per portion, 3 portions"," Ratatouille Quinoa Bowl - 350 calories/portion, 4 portions, contains garlic (France)
"
28,400.0,80.0,180.0,150.0,300.0, Vegan Breakfast Spanakopita, Mango with Chili Powder, Veggie spring rolls with peanut dipping sauce, Spinach and cheese stuffed tomatoes," Greek Stuffed Eggplant - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
29,400.0,50.0,120.0,150.0,420.0, Vegan Breakfast Quiche - 400 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips - Approx, Frozen yogurt bark with berries, Spinach and feta stuffed mushrooms," Caprese Panini - 420kcals per portion, 2 portions, contains dairy (Italy)
"
30,400.0,80.0,100.0,150.0,350.0," Indian idli with coconut chutney and sambar (400kcals per portion, 2 portions, origin", Kale Chips, Dark Chocolate Covered Almonds, Gazpacho Soup, Vegan Tikka Masala
31,400.0,60.0,180.0,150.0,250.0, Aloo Paratha (Potato Stuffed Flatbread), Cucumber and tomato salad, Grilled Halloumi Skewers, Spinach and cheese stuffed tomatoes," Vegan Korean Bibimbap - 250 calories per portion, 2 portions, may contain soy"
32,250.0,80.0,400.0,150.0,350.0, Vegan Breakfast Enchiladas, Cheesy Popcorn, Zucchini Fritters," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Thai Red Curry - 350 calories/portion, 4 portions, Origin"
33,380.0,70.0,100.0,120.0,350.0," Ricotta and berry-stuffed French toast (380 calories per portion, 2 portions, contains dairy, American origin)
", Kale chips, Thai Fresh Spring Rolls," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Roasted Vegetable Quinoa Bowls
34,700.0,80.0,350.0,150.0,250.0," English breakfast (eggs, bacon, sausage, beans, tomato) - 700 calories per portion, 2 portions, no allergic warnings, origin", Kale Chips, Quinoa salad, Spinach and ricotta stuffed tomatoes, Greek Lemon Potatoes
35,300.0,80.0,160.0,120.0,380.0, Tofu Scramble Breakfast Burrito," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Chickpea Salad Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Vegetable stir-fry with tofu and brown rice – 380 calories per portion, 2 portions, vegan-friendly
"
36,250.0,60.0,120.0,150.0,150.0, Vegan Banana Bread, Fruit Salad - Approx, Roasted Cauliflower Popcorn, Greek Taramasalata," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
37,350.0,80.0,190.0,150.0,420.0, Vegan Breakfast Bars, Apple with Cinnamon, Cucumber sushi rolls, Ratatouille," Honey garlic shrimp with sesame noodles - 420 kcals per portion, 2 portions, contains gluten, shellfish
"
