,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,100.0,190.0,20.0,400.0," Peach and almond smoothie - 250 calories per portion, 1 portion, may contain nuts, origin", Cucumber Sandwich, Baba Ganoush with Pita Bread, Moroccan Mint Tea, Vegan Meatballs with Marinara Sauce
2,300.0,120.0,120.0,20.0,400.0, Hash Brown Casserole, Almond Biscotti, Vegan Chia Seed Pudding, Moroccan Mint Tea," Italian Pasta Primavera (400 calories/portion, 2 portions) - Italy
"
3,400.0,50.0,120.0,20.0,200.0, Breakfast Quesadilla," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Vegan Mediterranean Hummus Bowl, Moroccan Mint Tea," Chinese Vegan Hot and Sour Soup (200 calories/portion, 4 portions) - China

"
4,350.0,120.0,140.0,20.0,350.0, Zucchini Fritters with Yogurt Sauce, Oatmeal Cookie," Caprese pinwheels (tortilla with mozzarella, tomato, basil)", Moroccan Mint Tea," Sweet Potato, Black Bean, and Spinach Quesadillas - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
5,300.0,100.0,160.0,20.0,350.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Corn on the Cob, Caramelized Onion Tartlets, Moroccan Mint Tea, Roasted Vegetable Pasta
6,250.0,120.0,150.0,20.0,350.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin, Roasted Brussels Sprouts," Beet Hummus with Carrot Sticks - 150 kcals per portion, 4 portions, may contain sesame (Middle East)", Moroccan Mint Tea," Stuffed Portobello mushrooms with quinoa and feta - 350 kcals per portion, 3 portions, vegetarian, gluten-free
"
7,400.0,100.0,150.0,20.0,350.0," Breakfast quesadilla with eggs and cheese (400 calories per portion, 2 portions, contains dairy, Mexican origin)
", Roasted Pumpkin Seeds, Quinoa-stuffed mushrooms, Moroccan Mint Tea, Lentil and Vegetable Curry with Coconut Milk
8,350.0,80.0,200.0,20.0,220.0," Egg and cheese breakfast sandwich - 350 calories per portion, 2 portions, contains gluten and dairy, origin"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Coconut Chia Pudding, Moroccan Mint Tea, Lentil Soup with Quinoa
9,350.0,80.0,160.0,20.0,350.0, Shakshuka, Mango with Chili Powder, Asparagus and Goat Cheese Tartlets, Moroccan Mint Tea, Thai Green Curry
10,400.0,120.0,100.0,20.0,400.0, Veggie Bagel Sandwich, Almond Biscotti, Bruschetta, Moroccan Mint Tea, Spaghetti Aglio e Olio
11,400.0,100.0,200.0,20.0,250.0, Veggie Sausage Breakfast Sandwich, Stuffed Dates - Approx, Ratatouille, Moroccan Mint Tea, Veggie Stir-Fry
12,500.0,120.0,320.0,20.0,350.0," Filipino longganisa sausage with garlic rice and fried egg (500kcals per portion, 2 portions, origin", Yogurt with Berries - Approx, Vegan Breaded Zucchini Sticks, Moroccan Mint Tea," Vegetable curry with coconut milk and basmati rice - 350 kcals per portion, 4 portions, vegetarian, contains gluten
"
13,400.0,100.0,200.0,20.0,250.0, Sourdough Biscuits and Mushroom Gravy," Raspberry Yogurt Popsicles - 100kcals per portion, 2 portions
    Origin", Mini mushroom and cheese tartlets, Moroccan Mint Tea, Moroccan Quinoa Salad
14,350.0,100.0,250.0,20.0,300.0, Vegan Sweet Potato Hash Browns - 350 calories per portion | 1 portion | None | Origin, Chilled Gazpacho, Caramelized Onion and Goat Cheese Tartlets, Moroccan Mint Tea, Mediterranean Veggie Pizza
15,300.0,100.0,440.0,20.0,200.0, Irish Soda Bread, Energy Balls, Vegan Roasted Red Pepper Dip, Moroccan Mint Tea," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
16,380.0,120.0,120.0,20.0,300.0," Cabbage and sausage breakfast skillet (380 calories per portion, 2 portions, contains dairy, German origin)
", Fruit Salsa with Cinnamon Chips," Vegan Pumpkin Spice Energy Balls - 120 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Quinoa-stuffed mushrooms – 300 calories per portion, 4 portions, vegetarian-friendly
"
17,300.0,100.0,120.0,20.0,400.0, Vegan Blueberry Muffins, Baked Apple Chips, Basil pesto pasta salad, Moroccan Mint Tea, Tofu and Vegetable Stir-Fry
18,380.0,80.0,100.0,20.0,180.0," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
", Baked Apple Chips, Edamame, Moroccan Mint Tea, Vegan Ratatouille
19,300.0,120.0,120.0,20.0,200.0, Banana Oat Pancakes, Sautéed Brussels Sprouts, Frozen yogurt bark with berries, Moroccan Mint Tea," Vegan Lentil and Vegetable Stir-Fry - 200 calories per portion, 3 portions, may contain soy"
20,350.0,80.0,190.0,20.0,400.0," Rwandan akabenz (fried plantains) with yogurt - 350 calories per portion, 2 portions, contains dairy, origin", Apple with Cinnamon, Mini Falafel Bites, Moroccan Mint Tea," Honey Sesame Chicken - 400 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
21,250.0,100.0,70.0,20.0,300.0, Overnight Oats, Watermelon Fruit Pizza, Stuffed Cucumbers, Moroccan Mint Tea, Veggie Enchiladas
22,70.0,100.0,150.0,20.0,400.0, Fruit Salad, Roasted Almonds," Caponata Bruschetta - 150 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Carbonara
23,700.0,100.0,180.0,20.0,250.0," English breakfast (eggs, bacon, sausage, beans, tomato) - 700 calories per portion, 2 portions, no allergic warnings, origin", Caprese Skewers, Mini Lemon Bars, Moroccan Mint Tea," Tomato and Basil Bruschetta - 250 calories per portion, 4 portions, contains gluten (bread), Origin"
24,400.0,100.0,180.0,20.0,200.0," Brazilian tapioca pancake filled with cheese - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Watermelon and feta skewers, Baked Teriyaki Tofu Skewers, Moroccan Mint Tea, Lentil and Vegetable Soup
25,300.0,80.0,180.0,20.0,400.0, Vegan Breakfast Stromboli, Fresh Squeezed Orange Juice, Baked Mozzarella Sticks, Moroccan Mint Tea," Vegan Lentil Bolognese - 400 calories/portion, 4 portions, contains gluten (Italy)
"
26,500.0,100.0,160.0,20.0,400.0," Hawaiian loco moco with beef patty, rice, and egg (500kcals per portion, 2 portions, origin", Greek Salad Skewers, Chocolate Dipped Pretzels, Moroccan Mint Tea, Spicy Black Bean Soup
27,250.0,100.0,250.0,20.0,350.0," Tofu scramble with vegetables (250kcals per portion, 2 portions, soy allergies, origin", Roasted Edamame, Pork Satay with Peanut Sauce, Moroccan Mint Tea," Chinese Mapo Tofu (350 calories/portion, 2 portions) - China
"
28,350.0,100.0,250.0,20.0,380.0," Veggie omelette with zucchini and goat cheese (350 calories per portion, 2 portions, contains dairy, French origin)
", Baked Apple Chips, Coconut chia pudding, Moroccan Mint Tea," Grilled shrimp and pineapple skewers with quinoa - 380 kcals per portion, 3 portions, contains shellfish
"
29,250.0,100.0,300.0,20.0,350.0, Vegan Pancake Skewers, Guacamole Stuffed Cherry Tomatoes, Veggie Quesadillas, Moroccan Mint Tea, Vegan Shepherd's Pie
30,350.0,100.0,180.0,20.0,350.0, Vegan Vegetable Frittata - 350 calories per portion | 1 portion | None | Origin, Baked Apple Chips, Mango Salsa with Tortilla Chips, Moroccan Mint Tea, Vegan Pad See Ew
31,350.0,50.0,160.0,20.0,400.0, Chocolate Peanut Butter Overnight Oats," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Salsa Verde Hummus with Pita Chips - 160 kcals per portion, 4 portions, contains gluten (Various)", Moroccan Mint Tea," Chili-lime grilled fish tacos – 400 calories per portion, 4 portions, contains fish (origin"
32,500.0,80.0,180.0,20.0,300.0," Vietnamese pho noodle soup with beef (500kcals per portion, 2 portions, origin", Baked Apple Chips, Apple with Peanut Butter, Moroccan Mint Tea, Eggplant Rollatini
33,400.0,80.0,150.0,20.0,300.0," Japanese tamagoyaki (rolled omelet) with soy sauce (400kcals per portion, 2 portions, soy allergies, origin", Hard-Boiled Eggs, Cucumber Sandwiches, Moroccan Mint Tea, Mushroom and Spinach Quiche
34,350.0,80.0,90.0,20.0,400.0, Vegan Protein Pancakes - 350 calories per portion | 1 portion | Contains gluten | Origin," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Miso Soup - 90 kcals per portion, 4 portions, contains soy (Japan)", Moroccan Mint Tea, Teriyaki Salmon with Steamed Vegetables
35,350.0,100.0,200.0,20.0,300.0, Veggie Oatmeal Bowl, Berry Chia Detox Water, Greek Frittata, Moroccan Mint Tea," Mediterranean Quinoa Salad - 300 calories/portion, 4 portions, contains gluten (Greece)
"
36,200.0,100.0,120.0,20.0,400.0," Spinach and feta breakfast muffins (200 calories per portion, 2 portions, contains dairy, Greek origin)
", Kiwi and Strawberry Smoothie," Vegan Avocado Toast - 120 kcals per portion, 4 portions, allergic warning (avocado), origin", Moroccan Mint Tea, Spinach and Mushroom Pasta
37,350.0,120.0,150.0,20.0,425.0, Veggie Oatmeal Bowl, Roasted Brussels Sprouts, Caprese skewers with balsamic glaze, Moroccan Mint Tea, Thai Peanut Noodles
38,250.0,100.0,140.0,20.0,200.0, Whole Wheat Veggie Breakfast Wrap, Edamame, Greek Yogurt with Apple and Cinnamon, Moroccan Mint Tea," Mediterranean Stuffed Tomatoes - 200 calories/portion, 4 portions, Origin"
39,200.0,100.0,120.0,20.0,350.0, Vegan Breakfast Quinoa Salad, Quinoa Energy Bites," Fruit Smoothie - 120 kcals per portion, 2 portions, gluten-free (USA)", Moroccan Mint Tea, Veggie Tacos
40,350.0,90.0,100.0,20.0,350.0," Turkish simit (sesame bread rings) with cheese - 350 calories per portion, 1 portion, contains gluten and dairy, origin", Turkish-style boiled eggs, Tomato Basil Bruschetta with Feta, Moroccan Mint Tea," Quinoa Salad - 350 calories/portion, 4 portions, Origin"
41,250.0,100.0,90.0,20.0,400.0, Vegan Breakfast Shakshuka, Rice Paper Spring Rolls, Zucchini fritters, Moroccan Mint Tea," Vegan tikka masala with basmati rice – 400 calories per portion, 4 portions, vegan-friendly (origin"
42,350.0,100.0,100.0,20.0,350.0," Japanese tamagoyaki (rolled omelette) with rice - 350 calories per portion, 2 portions, no allergic warnings, origin", Cucumber Sandwich," Vegan Chocolate Covered Strawberries - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Italian Eggplant Parmesan (350 calories/portion, 2 portions) - Italy
"
43,450.0,100.0,200.0,20.0,350.0, Sausage and Egg Breakfast Sandwich, Rice Paper Spring Rolls, Caramelized Onion and Goat Cheese Tartlets, Moroccan Mint Tea, Shrimp and Avocado Salad
44,200.0,120.0,150.0,20.0,150.0, Overnight Oats - 200 calories per portion | 2 portions | Contains gluten | Origin, Bruschetta with Tomato and Basil, Mango salsa with tortilla chips, Moroccan Mint Tea," Ratatouille - 150 calories/portion, 4 portions, contains garlic (France)
"
45,300.0,100.0,150.0,20.0,350.0," Avocado toast - 300 calories per portion, 2 portions, may contain gluten, origin", Quinoa Energy Bites, Stuffed Mushrooms with Cream Cheese, Moroccan Mint Tea," Caprese quinoa salad with grilled chicken - 350 kcals per portion, 4 portions, gluten-free, contains lactose
"
46,350.0,120.0,210.0,20.0,250.0, Breakfast Bruschetta, Granola Bar, Veggie Pizza Bagels, Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 250 calories/portion, 4 portions, contains dairy (Greece)
"
47,250.0,100.0,180.0,20.0,300.0," Cereal with milk and sliced strawberries (250kcals per portion, 1 portion, lactose allergies)
", Fresh Fruit Salad, Vegetable sushi rolls, Moroccan Mint Tea," Lentil Walnut Tacos - 300 calories per portion, 4 portions, Nuts, Mexico
"
48,250.0,90.0,200.0,20.0,250.0, Raspberry Chia Pudding, Quinoa Energy Bites, Stuffed tomatoes with couscous and vegetables, Moroccan Mint Tea, Vegan Zucchini Bread
49,400.0,120.0,200.0,20.0,300.0, Vegan Spinach and Mushroom Breakfast Wrap - 400 calories per portion | 1 portion | None | Origin, Cottage Cheese with Tomato, Baked falafel with tahini sauce, Moroccan Mint Tea, Vegan Lentil Tacos
50,400.0,120.0,200.0,20.0,350.0, Vegetable Omelette with Hash Browns, Beetroot Hummus, Baked Mini Samosas, Moroccan Mint Tea," Chickpea Curry - 350 calories/portion, 4 portions, Origin"
51,450.0,120.0,260.0,20.0,400.0, Quinoa Breakfast Bowl, Cinnamon Sugar Pretzels, Greek Feta and Spinach Patties, Moroccan Mint Tea," Quinoa and black bean burgers - 400 calories per portion, 4 portions, contains gluten
"
52,250.0,80.0,120.0,20.0,250.0, Veggie Omelette, Fruit Salad, Cheese and Spinach Stuffed Mushrooms, Moroccan Mint Tea," Moroccan Chickpea Pancakes (250 calories/portion, 4 portions) - Morocco
"
53,200.0,120.0,70.0,20.0,420.0, Mediterranean Vegetable Omelette, Cucumber and dill cream cheese rolls, Baked kale chips, Moroccan Mint Tea," Chicken and vegetable stir-fry – 420 calories per portion, 2 portions
"
54,200.0,60.0,300.0,20.0,400.0, Vegan Pumpkin Pancakes, Fruit Salad - Approx, Chicken Satay with Peanut Sauce, Moroccan Mint Tea," Vegan Fettuccine Alfredo - 400 calories per portion, 4 portions, Gluten, Italy
"
55,400.0,100.0,200.0,20.0,300.0," Scrambled tofu with turmeric and veggies (400 calories per portion, 2 portions, nut-free, American origin)
", Rice Cake with Hummus and Cucumber, Mini Chicken Teriyaki Skewers, Moroccan Mint Tea, Quinoa and Lentil Salad
56,300.0,100.0,200.0,20.0,400.0," Banana chocolate chip muffins (300 calories per portion, 2 portions, contains dairy, American origin)
", Edamame, Cucumber Cups with Tuna Salad, Moroccan Mint Tea," Beef and Mushroom Stroganoff - 400 calories per portion, 4 portions, contains gluten (flour), Origin"
57,350.0,80.0,220.0,20.0,410.0, Veggie Breakfast Strudel," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin"," Falafel with Tahini Sauce - 220 kcals per portion, 3 portions, contains sesame (Middle East)", Moroccan Mint Tea, Lentil and Vegetable Curry
58,220.0,80.0,150.0,20.0,350.0," Vegetable frittata - 220 calories per portion, 4 portions, no allergic warnings, origin", Baked Apple Chips, Stuffed Mini Bell Peppers, Moroccan Mint Tea," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
59,250.0,120.0,130.0,20.0,300.0, Vegan Breakfast Sushi, Vegan Energy Balls, Mini Vegetable Quesadillas, Moroccan Mint Tea," Coconut Curry Tofu - 300 calories per portion, 4 portions, Soy, Thailand
"
60,200.0,120.0,460.0,20.0,400.0," Greek yogurt with honey and walnuts (200 calories per portion, 2 portions, contains dairy and nuts, Greek origin)
", Melon and Prosciutto Skewers, Veggie Tacos, Moroccan Mint Tea," Falafel Wrap - 400 calories/portion, 2 portions, Origin"
61,200.0,120.0,160.0,20.0,320.0, Vegan Breakfast Frittata, Cottage Cheese with Tomato, Vegan Mexican Street Corn, Moroccan Mint Tea, Vegan Lentil Meatballs
62,400.0,80.0,180.0,20.0,300.0, Breakfast Stuffed Peppers, Stuffed Dates," Tapioca Pudding - 180 kcals per portion, 3 portions, contains dairy (World)", Moroccan Mint Tea," Greek Gigantes Plaki - 300 calories/portion, 4 portions, contains garlic (Greece)
"
63,350.0,120.0,130.0,20.0,390.0, Vegan Breakfast Bars, Toasted Coconut Chips, Greek Yogurt with Cinnamon and Honey, Moroccan Mint Tea," Eggplant Lasagna - 390kcals per portion, 4 portions, contains dairy (Italy)
"
64,300.0,70.0,100.0,20.0,250.0, Vegan Sweet Potato Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Fresh Fruit Salad," Roasted Garlic Hummus with Veggie Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Tofu Stir-Fry
65,400.0,80.0,80.0,20.0,350.0, Veggie Biscuits and Gravy, Mango with Chili Powder," Mini Vegetable Spring Rolls - 80 kcals per portion, 8 portions, contains gluten, soy (China)", Moroccan Mint Tea, Chickpea Salad Sandwich
66,300.0,100.0,180.0,20.0,300.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Baked Apple Chips, Cucumber and Avocado Sushi Rolls, Moroccan Mint Tea, Quinoa Stuffed Peppers
