,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,80.0,180.0,150.0,300.0, Vegan Breakfast Empanadas - 400 calories per portion | 1 portion | Contains gluten | Origin, Mango with Chili Powder, Lentil Salad, Spinach and cheese stuffed tomatoes," Spicy Black Bean Burgers - 300 calories/portion, 4 portions, Origin"
2,380.0,70.0,80.0,150.0,200.0," Cabbage and sausage breakfast skillet (380 calories per portion, 2 portions, contains dairy, German origin)
", Fresh Fruit Salad, Greek Salad Skewers," Potato Latkes - 150 calories
   - Total portions", Lentil and Vegetable Bolognese
3,300.0,70.0,200.0,120.0,280.0, Feta and Spinach Muffins, Fresh Fruit Salad, Chickpea Salad," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Stuffed portobello mushrooms with spinach and feta – 280 calories per portion, 3 portions, vegetarian-friendly
"
4,300.0,80.0,340.0,120.0,280.0," Avocado toast - 300 calories per portion, 2 portions, may contain gluten, origin", Apple with Cinnamon, Vegan Nachos," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Lentil Bolognese
5,300.0,50.0,150.0,150.0,300.0," Rice porridge with cinnamon and sugar - 300 calories per portion, 2 portions, no allergic warnings, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Black Bean and Corn Salsa, Cabbage Stir-Fry," Indian Chana Masala (300 calories/portion, 3 portions) - India

"
6,70.0,80.0,440.0,150.0,200.0, Fruit Salad, Energy Balls, Vegan Chili, Lentil and vegetable soup, Vegan Goulash
7,250.0,80.0,120.0,160.0,200.0, Vegan Protein Pancakes, Baked Apple Chips," Vegan Oatmeal Raisin Cookies - 120 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Skewers - 160kcals per portion, 2 portions, contains dairy (Italy)
"," Miso soup with tofu and seaweed – 200 calories per portion, 6 portions, vegan-friendly (origin"
8,50.0,80.0,320.0,150.0,150.0, Vegan Breakfast Smoothie, Cheesy Popcorn, Quinoa Salad," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
", Caprese Salad
9,350.0,60.0,90.0,120.0,225.0, Vegan Breakfast Bars, Fruit Salad - Approx," Caprese Skewers with Vegan Mozzarella - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Stuffed Mushrooms
10,350.0,80.0,220.0,150.0,200.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
", Fruit Salad, Chicken Lettuce Wraps, Tomato Basil Soup," Vegan Lentil and Vegetable Stir-Fry - 200 calories per portion, 3 portions, may contain soy"
11,350.0,80.0,150.0,150.0,150.0," Grilled halloumi with tomatoes and cucumber (350kcals per portion, 2 portions, origin", Energy Balls, Mango salsa with tortilla chips," Lentil Soup - 150kcals per portion, 6 portions", Chickpea Salad
12,550.0,80.0,300.0,150.0,300.0, Granola with Soy Milk, Hard-Boiled Eggs, Chicken Gyro Wraps, Spinach and ricotta stuffed tomatoes," Peanut Noodle Salad - 300 calories per portion, 4 portions, Peanuts, Various
"
13,500.0,50.0,120.0,150.0,300.0, Israeli Breakfast Salad," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Roasted Chickpeas," Greek Salad - 150 calories
   - Total portions", Moroccan Vegetable Tagine
14,500.0,80.0,100.0,150.0,250.0, Turkish Gozleme, Avocado Deviled Eggs, Caprese Skewers, Ratatouille," Greek Fava - 250kcals per portion, 4 portions
"
15,400.0,80.0,120.0,150.0,200.0, Vegan Breakfast Quiche - 400 calories per portion | 1 portion | Contains gluten | Origin, Mango with Chili Powder," Fruit Smoothie - 120 kcals per portion, 2 portions, gluten-free (USA)"," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin"
16,200.0,80.0,150.0,150.0,250.0, Veggie Breakfast Fritters, Mango with Chili Powder, Black Bean and Corn Salsa, Spinach and ricotta stuffed tomatoes, Mediterranean Couscous Salad
17,300.0,80.0,200.0,150.0,250.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin, Fruit Salad, Nachos with Salsa and Cheese, Greek Taramasalata," Spicy Eggplant Curry - 250 calories per portion, 4 portions, None, India
"
18,300.0,80.0,220.0,150.0,250.0, Banana Pancakes, Energy Balls, Quinoa Salad, Spinach and cheese stuffed tomatoes, Stuffed Acorn Squash
19,250.0,50.0,300.0,150.0,250.0, Vegan Protein Pancakes," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Roasted Vegetable Wrap, Lentil and vegetable soup," Spicy Eggplant Curry - 250 calories per portion, 4 portions, None, India
"
20,300.0,80.0,150.0,150.0,300.0, Tropical Mango Chia Pudding, Energy Balls, Mini cheese and ham sliders, Spinach and cheese stuffed tomatoes," Lentil and vegetable shepherd's pie - 300 calories per portion, 4 portions, none
"
21,550.0,60.0,180.0,150.0,300.0, Breakfast Paella, Fruit Salad - Approx, Cheese and tomato bruschetta," Grilled Vegetable Skewers - 150kcals per portion, 4 portions"," Greek Pita Sandwiches - 300 calories/portion, 4 portions, contains gluten (Greece)
"
22,300.0,50.0,210.0,120.0,300.0, Cheesy Grits," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Veggie Pizza Bagels," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
23,200.0,80.0,180.0,165.0,200.0, Papaya Boat with Lime, Fruit Salad, Veggie Sausage Rolls," Caprese Salad - 165kcals per portion, 4 portions, no allergies, Origin", Lentil Soup
24,300.0,60.0,200.0,150.0,200.0, French Toast, Fruit Salad - Approx, Greek Yogurt with Mango and Pistachios," Greek Salad - 150 calories
   - Total portions"," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
25,400.0,80.0,150.0,150.0,220.0," Nigerian plantain porridge - 400 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad, Mini Meatballs, Veggie Spring Rolls, Chickpea Salad
26,200.0,80.0,180.0,150.0,300.0, Quinoa Breakfast Burrito, Stuffed Dates," Berry Parfait - 180 kcals per portion, 2 portions, contains dairy (Various)", Caprese Salad," Vegetable Sushi Rolls - 300 calories/portion, 4 portions, contains soy (Japan)

"
27,400.0,60.0,180.0,150.0,250.0," Mushroom and Swiss breakfast wrap (400 calories per portion, 2 portions, contains dairy, Swiss origin)
", Cucumber and tomato salad, Chicken Salad Lettuce Wraps, Thai Tom Yum Soup," Veggie Noodle Stir Fry - 250 calories/portion, 4 portions, Origin"
28,320.0,80.0,150.0,150.0,300.0," Spinach and mushroom breakfast wrap (320 calories per portion, 2 portions, nut-free, American origin)
"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Veggie Nuggets," Vegetable Stir-Fry - 150kcals per portion, 3 portions"," Thai Vegan Tom Kha Soup (300 calories/portion, 4 portions) - Thailand

"
29,200.0,80.0,120.0,150.0,300.0, Avocado Toast, Fruit Salad," Stuffed Mushrooms with Quinoa - 120 kcals per portion, 3 portions, gluten-free (Various)"," Caponata - 150kcals per portion, 4 portions, no allergies, Origin"," Baked Ziti - 300 calories/portion, 4 portions, Origin"
30,350.0,80.0,180.0,150.0,150.0, Chocolate Banana Smoothie Bowl, Fruit Salad," Sticky Coconut Rice Balls - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Lentil Soup - 150kcals per portion, 6 portions", Lentil Soup with Kale
31,400.0,60.0,120.0,150.0,250.0," American pancakes with maple syrup - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Cucumber and tomato salad, Tomato Basil Bruschetta, Tomato Basil Soup, Vegetable Curry
32,250.0,80.0,300.0,150.0,210.0, Tropical Green Smoothie, Energy Balls, Vegetable Fajitas, Lentil and vegetable soup, Quinoa and Kale Salad
33,300.0,80.0,40.0,150.0,300.0," Filipino champorado (chocolate rice porridge) - 300 calories per portion, 2 portions, contains gluten, origin", Energy Balls, Cucumber Roll-Ups, Grilled Chicken Salad, Tofu and Vegetable Curry
34,350.0,50.0,160.0,150.0,280.0, Breakfast Bruschetta, Baked Apple Chips - Approx, Baked Tofu Fingers, Greek Taramasalata, Lentil Bolognese
35,250.0,80.0,250.0,150.0,200.0, Vegan Breakfast Bruschetta - 250 calories per portion | 2 portions | Contains gluten | Origin, Mango with Chili Powder, Chicken Caesar Lettuce Wraps, Lentil and vegetable frittata," Lentil curry - 200 calories per portion, 6 portions, contains gluten (India)
"
36,200.0,80.0,280.0,150.0,240.0, Vegetable Frittata, Stuffed Dates, Cucumber and Avocado Sushi," Japanese Miso Soup with Tofu - 150 calories
    - Total portions", Vegan Lentil Soup
37,300.0,80.0,170.0,150.0,180.0, Mushroom and Spinach Vegan Quiche, Fresh Watermelon Slices - Approx," Vegan Mediterranean Flatbread - 170 kcals per portion, 4 portions, no allergic warnings, origin", Spinach and ricotta stuffed tomatoes," Caprese stuffed portobello mushrooms - 180 calories per portion, 4 portions, contains dairy (Italy)
"
38,550.0,80.0,90.0,150.0,300.0, Breakfast Pizza, Energy Balls," Roasted Brussels Sprouts with Balsamic Glaze - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Vegan Soba Noodle Stir-Fry
39,400.0,50.0,180.0,150.0,250.0, Vegan Breakfast Tater Tots - 400 calories per portion | 1 portion | Contains gluten | Origin, Baked Apple Chips - Approx," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Spanish Gazpacho," Spinach and feta stuffed phyllo rolls - 250 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
40,200.0,80.0,80.0,150.0,300.0, Vegan Breakfast Phyllo Cups, Avocado Deviled Eggs, Mini vegetable frittatas, Lentil and Vegetable Soup, Vegan Lentil Tacos
41,400.0,70.0,120.0,150.0,300.0," Swedish pancakes with lingonberry jam - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Kale chips, Tomato Mozzarella Skewers, Spinach and feta stuffed bell peppers, Tofu Stir Fry with Black Bean Sauce
42,300.0,70.0,180.0,150.0,180.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Kale chips," Spinach and Mushroom Quesadillas - 180 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 150kcals per portion, 2 portions", Spinach and Mushroom Frittata
43,250.0,70.0,120.0,150.0,250.0, Sourdough Toast with Almond Butter, Fresh Fruit Salad, Pita Chips with Homemade Salsa, Spinach and mushroom frittata," Lentil and Vegetable Soup - 250 calories/portion, 4 portions, contains gluten (Various)
"
44,250.0,80.0,280.0,150.0,300.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin, Apple with Cinnamon, Cheese and Tomato Nachos, Gazpacho Soup," Vegan Spaghetti with Marinara Sauce - 300 calories per portion, 2 portions, may contain gluten"
45,320.0,80.0,130.0,150.0,300.0," Whole wheat pancakes with fresh fruit compote (320 calories per portion, 2 portions, nut-free, American origin)
", Kale Chips," Oven-Baked Sweet Potato Fries - 130 kcals per portion, 4 portions, no allergic warnings, origin"," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Couscous Salad
46,450.0,80.0,200.0,20.0,200.0, Chinese Egg Fried Rice, Hard-Boiled Eggs, Spinach and Cheese Puffs, Moroccan Mint Tea," Italian Caprese Salad (200 calories/portion, 2 portions) - Italy
"
47,350.0,80.0,300.0,150.0,300.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Fresh Squeezed Orange Juice, Mini meatball lettuce wraps, Cabbage Stir-Fry, Lebanese Hummus with Pita
48,400.0,80.0,220.0,150.0,200.0, Sourdough Biscuits and Mushroom Gravy," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Vegetarian sushi rolls," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
"," Chinese Vegan Hot and Sour Soup (200 calories/portion, 4 portions) - China

"
49,250.0,70.0,150.0,120.0,300.0, Egg and Cheese Breakfast Taco, Kale chips, Deviled eggs," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Thai Curry Noodle Soup - 300 calories per portion, 4 portions, None, Thailand
"
50,400.0,60.0,350.0,150.0,300.0," Jamaican ackee and saltfish with fried plantains (400kcals per portion, 2 portions, origin", Cucumber and tomato salad, Sweet Potato and Black Bean Quesadilla, Grilled Chicken Salad," Lemon Herb Grilled Shrimp - 300 calories per portion, 4 portions, contains shellfish, Origin"
51,400.0,80.0,100.0,150.0,250.0," Scandinavian-style open-faced sandwich (400 calories per portion, 2 portions, nut-free, Scandinavian origin)
", Mango with Chili Powder, Greek Yogurt Fruit Dip," Greek Salad - 150kcals per portion, 2 portions", Vegan Sushi Bowl
52,250.0,80.0,200.0,150.0,300.0, Greek Feta and Tomato Toast, Fruit Salad, Mini Quiche, Spinach and mushroom omelet," Vegan Italian Wedding Soup - 300 calories per portion, 4 portions, Gluten, Italy
"
53,350.0,80.0,140.0,150.0,180.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Kale Chips, Bacon-Wrapped Asparagus, Tomato and Basil Bruschetta," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
54,350.0,80.0,250.0,150.0,200.0, Banana Nut Muffins, Apple with Cinnamon," Cheese Puffs - 250 kcals per portion, 2 portions, contains gluten, dairy (France)", Butternut squash soup," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
55,450.0,80.0,420.0,150.0,300.0, Vegan Biscuits and Gravy - 450 calories per portion | 1 portion | Contains gluten | Origin, Fresh Watermelon Slices - Approx, Vegan Potato Salad, Spinach and feta stuffed mushrooms, Sweet Potato Curry
56,250.0,50.0,160.0,20.0,300.0, Vegan Oatmeal Raisin Overnight Oats - 250 calories per portion | 2 portions | Contains gluten | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Stuffed Mushrooms, Moroccan Mint Tea, Lentil Meatballs in Marinara Sauce
57,350.0,80.0,160.0,150.0,300.0," Sourdough toast with smoked salmon and cream cheese (350kcals per portion, 2 portions, dairy allergies, origin", Cheesy Popcorn, Black Olive Tapenade with Crackers," Lentil Soup - 150 calories
   - Total portions"," Greek lemon chicken soup with orzo (300 calories per portion, 4 portions, contains gluten, origin"
58,400.0,80.0,250.0,150.0,300.0," Iraqi masgouf (grilled fish) with flatbread - 400 calories per portion, 2 portions, contains gluten, origin", Avocado Deviled Eggs, Caramelized Onion and Goat Cheese Tartlets," Caponata - 150kcals per portion, 4 portions, no allergies, Origin", Lentil Curry with Rice
59,400.0,60.0,300.0,150.0,250.0, Almond Croissant, Cucumber and tomato salad, Tortilla Española, Grilled Chicken Salad," Ratatouille tart - 250 calories per portion, 6 portions, contains gluten (France)
"
60,450.0,80.0,200.0,150.0,280.0, Vegan Breakfast Lassi, Fruit Salad, Hummus and Veggie Wrap," Cucumber Avocado Salad - 150kcals per portion, 2 portions, nut-free, International
", Lentil Bolognese
61,350.0,80.0,200.0,120.0,300.0," Japanese tamagoyaki (rolled omelette) with rice - 350 calories per portion, 2 portions, no allergic warnings, origin", Baked Apple Chips," Vegan Broccoli Pesto Pasta - 200 kcals per portion, 4 portions, no allergic warnings, origin"," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegetable curry with basmati rice - 300 kcals per portion, 4 portions, vegetarian, contains gluten
"
62,250.0,80.0,150.0,150.0,250.0," Chia seed pudding with mixed berries (250kcals per portion, 2 portions)
", Mango with Chili Powder, Caprese Salad, Veggie Spring Rolls," Grilled chicken breast with roasted vegetables - 250 kcals per portion, 4 portions, gluten-free
"
63,300.0,80.0,80.0,150.0,250.0, Mediterranean Chickpea Scramble, Fruit Salad, Stuffed Mushroom Caps," Potato Latkes - 150 calories
   - Total portions", Cucumber Avocado Sushi Rolls
64,500.0,80.0,180.0,150.0,300.0, Vegan Breakfast Vegetable Stir-Fry, Fruit Salad, Blueberry Muffins, Greek Taramasalata," Mexican Street Corn - 300 calories per portion, 4 portions, contains dairy (cheese), Origin"
65,400.0,80.0,200.0,150.0,300.0, Turkish Poached Eggs with Yogurt, Cheesy Popcorn, Spinach Dip, Ratatouille, Couscous Salad
66,350.0,80.0,70.0,150.0,250.0, Broccoli and Cheese Frittata, Cheesy Popcorn," Cinnamon Apple Chips - 70 kcals per portion, 4 portions, gluten-free (USA)", Thai Tom Yum Soup," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin"
67,300.0,80.0,180.0,150.0,300.0, Avocado Toast, Apple with Cinnamon," Tapioca Pudding - 180 kcals per portion, 3 portions, contains dairy (World)", Spinach and cheese stuffed tomatoes," Moroccan Lentil Burgers (300 calories/portion, 4 portions) - Morocco
"
68,300.0,80.0,150.0,150.0,250.0, Acai Bowl, Cheesy Popcorn, Zucchini chips, Lentil Soup, Cauliflower Buffalo Wings
69,350.0,80.0,130.0,150.0,150.0, Vegan Breakfast Croissant, Fruit Salad," Baked Falafel with Tahini Sauce - 130 kcals per portion, 4 portions, allergic warning (sesame), origin", Lentil Soup," Feta and spinach stuffed tomatoes - 150 calories per portion, 6 portions, contains dairy (Greece)
"
70,300.0,80.0,160.0,150.0,250.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Fruit Salad, Zucchini Fritters, Spinach and feta stuffed bell peppers, Tofu and Vegetable Skewers
71,250.0,80.0,120.0,150.0,250.0, Yogurt Parfait, Cheesy Popcorn, Greek Yogurt with Berries," Lentil Soup - 150kcals per portion, 6 portions"," Indian Aloo Gobi (250 calories/portion, 4 portions) - India
"
72,300.0,80.0,300.0,150.0,300.0," Turkish menemen (egg and vegetable scramble) - 300 calories per portion, 2 portions, no allergic warnings, origin", Stuffed Dates, Chicken Fried Rice, Lentil Soup," Mediterranean Pasta Salad - 300 calories/portion, 4 portions, Origin"
73,180.0,70.0,250.0,150.0,220.0, Overnight Chia Pudding, Kale chips, Mini chicken pot pies, Spanish Gazpacho, Lentil and Kale Soup
74,350.0,80.0,150.0,100.0,301.0," Pakistani spicy omelet with onions and green chilies (350kcals per portion, 2 portions, origin", Fruit Salad, Mixed berry salad with honey citrus dressing, Israeli salad, Vegan Gnocchi
75,400.0,80.0,180.0,150.0,150.0, Vegan Spinach and Mushroom Breakfast Wrap - 400 calories per portion | 1 portion | None | Origin, Fruit Salad, Cranberry Orange Muffins, Spanish Gazpacho, Lentil Soup with Kale
76,200.0,50.0,100.0,150.0,300.0," Yogurt and fruit smoothie (200 calories per portion, 2 portions, contains dairy, American origin)
"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie Pinwheels, Greek Tzatziki Dip with Pita, Vegan Fajitas
77,300.0,80.0,150.0,150.0,300.0, Vegan Breakfast Burrito, Baked Apple Chips, Bruschetta with Tomato and Basil, Greek Taramasalata," Tuscan white bean and vegetable soup (300 calories per portion, 4 portions, vegan-friendly, origin"
78,200.0,80.0,120.0,150.0,200.0," Oatmeal with banana and almond (200kcals per portion, 2 portions, nut allergies, origin", Mango with Chili Powder, Mini crab cakes," Lentil Soup - 150 calories
   - Total portions", Lentil Curry
79,350.0,80.0,80.0,150.0,250.0," Filipino champorado (chocolate rice porridge) with dried fish (350kcals per portion, 2 portions, origin", Mango with Chili Powder, Mini stuffed bell peppers with cream cheese, Veggie Spring Rolls, Mediterranean Quinoa Salad
80,320.0,80.0,200.0,150.0,200.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
", Kale Chips, Smashed Avocado Toast, Spinach and feta stuffed bell peppers," Vegan Miso Soup - 200 calories per portion, 4 portions, Soy, Japan
"
81,300.0,80.0,300.0,100.0,250.0, Acai Bowl, Stuffed Dates, Cheese and fruit platter, Israeli salad," Greek Vegan Revithokeftedes (250 calories/portion, 4 portions) - Greece

Please note that the calorie counts are approximate and may vary based on specific ingredient choices and preparation methods"
82,350.0,50.0,320.0,150.0,300.0, Chocolate Peanut Butter Overnight Oats," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Greek Spanakopita," Lentil Soup - 150 calories
   - Total portions"," Ratatouille - 300 calories/portion, 4 portions, Origin"
83,300.0,50.0,200.0,150.0,200.0, Vegan Cinnamon Rolls - 300 calories per portion | 1 portion | Contains gluten | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Fruit Kabobs with Chocolate Sauce, Lentil and vegetable soup," Tomato and mozzarella tart - 200 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
84,450.0,80.0,160.0,150.0,300.0, Sausage and Egg Breakfast Sandwich, Cheesy Popcorn, Hummus with Veggie Sticks," Greek Salad - 150 calories
   - Total portions", Vegan Kimchi Pancakes
85,350.0,80.0,80.0,100.0,300.0, Vegan Blueberry Acai Smoothie Bowl - 350 calories per portion | 1 portion | None | Origin, Stuffed Dates, Mini vegetable frittatas, Israeli salad," Vegan Lemon Garlic Pasta - 300 calories per portion, 4 portions, None, Italy
"
86,300.0,80.0,180.0,100.0,300.0, Egg Salad Sandwich, Fresh Squeezed Orange Juice, Veggie Sushi Rolls, Israeli salad," Lemon Herb Grilled Shrimp - 300 calories per portion, 4 portions, contains shellfish, Origin"
87,300.0,80.0,160.0,20.0,200.0, Banana Oat Pancakes, Stuffed Dates," Vegan Pesto Pasta Salad - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin"
88,350.0,50.0,250.0,150.0,150.0, Vegan Sweet Potato Hash Browns - 350 calories per portion | 1 portion | None | Origin," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Lentil soup, Spinach and feta stuffed mushrooms, Chickpea Salad
