,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,80.0,220.0,20.0,350.0, Vegan Breakfast Spanakopita, Cheesy Popcorn, Quinoa and Black Bean Salad, Moroccan Mint Tea," Spinach and Mushroom Risotto - 350kcals per portion, 4 portions
"
2,160.0,100.0,100.0,20.0,180.0," Cream cheese stuffed strawberries (160 calories per portion, 2 portions, contains dairy, American origin)
", Quinoa Energy Bites, Caprese Skewers, Moroccan Mint Tea, Spinach and Mushroom Frittata
3,300.0,80.0,180.0,20.0,350.0, Vegan Breakfast Tostadas, Cheesy Popcorn," Sticky Coconut Rice Balls - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Tikka Wrap
4,350.0,100.0,150.0,20.0,200.0," Mediterranean-style omelette with tomatoes and feta (350 calories per portion, 2 portions, contains dairy, Greek origin)
", Guacamole Stuffed Cherry Tomatoes, Olive Tapenade Crostini, Moroccan Mint Tea," Lentil Curry (200 calories/portion, 4 portions) - India
"
5,350.0,100.0,200.0,20.0,300.0," Apple cinnamon overnight French toast (350 calories per portion, 2 portions, nut-free, American origin)
", Guacamole Stuffed Cherry Tomatoes, Greek Yogurt Parfait, Moroccan Mint Tea, Lentil Soup with Bread
6,150.0,100.0,200.0,20.0,350.0," Vegemite on toast - 150 calories per portion, 1 portion, contains gluten, origin", Greek Salad Skewers, Mini Apple Hand Pies, Moroccan Mint Tea, Vegan Gyros
7,350.0,100.0,250.0,20.0,200.0, Banana Walnut Bread, Toasted Coconut Chips, Baked salmon cakes, Moroccan Mint Tea," Greek-style stuffed zucchini - 200 calories per portion, 4 portions, none (Greece)
"
8,500.0,100.0,80.0,20.0,350.0," English full breakfast with bacon, sausages, eggs, beans, mushrooms, and toast (500kcals per portion, 2 portions, pork allergies, origin", Fruit salad, Vegetable Soup, Moroccan Mint Tea," Vegetarian fajitas with peppers and onions – 350 calories per portion, 4 portions, vegan-friendly (origin"
9,350.0,100.0,90.0,20.0,280.0, Banana Nut Muffins, Baked Apple Chips," Bruschetta with Fresh Tomatoes and Basil - 90 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Greek Zucchini Patties - 280kcals per portion, 4 portions
"
10,400.0,100.0,90.0,20.0,200.0," Bangladeshi panta bhat (fermented rice) with fried hilsa fish - 400 calories per portion, 2 portions, contains gluten, origin", Chilled Gazpacho Soup - Approx, Peanut butter energy balls, Moroccan Mint Tea," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin"
11,100.0,100.0,160.0,20.0,350.0, Vegan Breakfast Rice Pudding, Energy Balls, Cabbage Rolls, Moroccan Mint Tea," Vegetable curry with coconut milk and basmati rice - 350 kcals per portion, 4 portions, vegetarian, contains gluten
"
12,300.0,80.0,380.0,20.0,350.0," Baked beans on toast - 300 calories per portion, 2 portions, contains gluten, origin", Kale Chips, Mini chicken pot pies, Moroccan Mint Tea," Vegetable Korma - 350 calories/portion, 4 portions, contains nuts (India)
"
13,250.0,100.0,360.0,20.0,250.0, Vegan Blueberry Chia Pancakes, Energy Balls, Vegan Zucchini Noodles with Pesto, Moroccan Mint Tea," Vegan Teriyaki Tofu - 250 calories per portion, 4 portions, Soy, Japan
"
14,250.0,100.0,120.0,20.0,350.0, Raw Vegan Breakfast Bars - 250 calories per portion | 2 portions | Contains nuts | Origin, Cucumber Sandwich, Cucumber Avocado Rolls, Moroccan Mint Tea, Vegan BBQ Sandwich
15,250.0,90.0,160.0,20.0,180.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegetarian Spring Rolls, Caramelized Onion Tartlets, Moroccan Mint Tea," Veggie Sushi Rolls - 180 calories per portion, 6 portions, Soy, Japan
"
16,280.0,100.0,240.0,20.0,350.0," Cottage cheese and tomato on rye bread (280 calories per portion, 2 portions, contains dairy, Russian origin)
", Zesty Lime Popcorn - Approx, Chickpea and Vegetable Curry, Moroccan Mint Tea," Sweet potato and black bean tacos - 350 calories per portion, 4 portions, contains gluten
"
17,400.0,100.0,180.0,20.0,250.0, Veggie Breakfast Pizza, Cucumber Slices with Tzatziki - Approx, Coconut Almond Energy Balls, Moroccan Mint Tea," Vegan Sushi Rolls (250 calories/portion, 4 portions) - Japan
"
18,200.0,100.0,200.0,20.0,350.0, Avocado Toast, Fruit Smoothie Popsicles - Approx, Sweet Potato Fries, Moroccan Mint Tea," Curried vegetable couscous - 350 calories per portion, 4 portions, contains gluten
"
19,500.0,90.0,150.0,20.0,350.0, Vegan Breakfast Risotto, Vegetarian Spring Rolls," Cucumber and Avocado Sushi Rolls - 150 kcals per portion, 4 portions, allergic warning (avocado), origin", Moroccan Mint Tea, Veggie Burger
20,300.0,60.0,120.0,20.0,300.0, Vegan Mango Turmeric Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Fruit Salad - Approx, Veggie Egg Muffins, Moroccan Mint Tea," Lentil Salad with Avocado Dressing - 300 calories per portion, 4 portions, None, Various

"
21,400.0,100.0,90.0,20.0,200.0," Dutch baby pancake with lemon and sugar - 400 calories per portion, 2 portions, contains gluten, origin", Overnight Chia Pudding, Vegan Energy Balls, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
22,50.0,80.0,280.0,20.0,300.0, Vegan Breakfast Smoothie, Fruit Salad," Greek Spanakopita - 280 kcals per portion, 3 portions, contains gluten, dairy (Greece)", Moroccan Mint Tea, Falafel with Tzatziki Sauce
23,350.0,100.0,150.0,20.0,350.0, Vegan Breakfast Burrito Bowl, Fruit Smoothie Popsicles - Approx, Carrot Hummus with Pita Chips, Moroccan Mint Tea," Quinoa-stuffed bell peppers - 350 kcals per portion, 4 portions, vegetarian, gluten-free
"
24,450.0,100.0,150.0,20.0,200.0, Vegan Breakfast Pho, Boiled chickpeas, Bruschetta with Mozzarella, Moroccan Mint Tea," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
"
25,150.0,100.0,150.0,20.0,220.0, Vegan Pancakes, Cucumber Sandwiches, Baked Parmesan Zucchini Fries, Moroccan Mint Tea, Lentil and Kale Soup
26,300.0,80.0,120.0,20.0,250.0, Fruit Smoothie Bowl - 300 calories per portion | 1 portion | None | Origin, Fruit Salad, Mini crab cakes, Moroccan Mint Tea, Caprese Salad
27,300.0,100.0,120.0,20.0,300.0, Blueberry Banana Breakfast Bars, Cucumber and Hummus Rolls, Baked Parmesan Zucchini Chips, Moroccan Mint Tea," Vegan Mushroom and Spinach Quesadilla - 300 calories per portion, 2 portions, may contain gluten"
28,350.0,100.0,180.0,20.0,200.0," Jamaican cornmeal porridge with cinnamon and nutmeg (350kcals per portion, 2 portions, origin"," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Veggie Stuffed Pita Bread, Moroccan Mint Tea, Mediterranean Quinoa Bowl
29,250.0,100.0,150.0,20.0,350.0, Vegan Green Breakfast Bowl - 250 calories per portion | 2 portions | None | Origin, Cucumber Sandwich, Spinach and feta stuffed chicken breast, Moroccan Mint Tea," Black Bean and Corn Salad - 350 calories/portion, 4 portions, Origin"
30,200.0,50.0,160.0,20.0,300.0, Raspberry Coconut Breakfast Bars, Baked Apple Chips - Approx, Mini Chicken Satay Skewers, Moroccan Mint Tea," Lentil Tacos - 300 calories per portion, 4 portions, None, Mexico
"
31,400.0,100.0,740.0,20.0,350.0," Mediterranean-style omelette with olives and feta (400 calories per portion, 2 portions, contains dairy, Greek origin)
", Cucumber Slices with Tzatziki - Approx, Vegan Buffalo Cauliflower Wings, Moroccan Mint Tea, Soba Noodle Stir-Fry
32,300.0,100.0,80.0,20.0,200.0," Shakshuka - 300 calories per portion, 2 portions, no allergic warnings, origin", Chilled Gazpacho Soup - Approx, Avocado Deviled Eggs, Moroccan Mint Tea," Italian Caprese Salad (200 calories/portion, 2 portions) - Italy
"
33,380.0,100.0,180.0,20.0,300.0," Pancake roll-ups filled with peanut butter and bananas (380 calories per portion, 2 portions, contains nuts, American origin)
", Cucumber and Tomato Salad, Broccoli and cheese bites, Moroccan Mint Tea," Lentil Bolognese - 300 calories/portion, 4 portions, Origin"
34,300.0,100.0,120.0,20.0,250.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Roasted Beetroot Chips, Zucchini Fritters, Moroccan Mint Tea, Greek Spanakopita
35,200.0,100.0,150.0,20.0,350.0, Quinoa Veggie Breakfast Skillet, Berry Chia Detox Water, Watermelon and feta skewers, Moroccan Mint Tea," Eggplant and tomato pasta – 350 calories per portion, 3 portions, vegetarian-friendly (origin"
36,250.0,100.0,160.0,20.0,350.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
"," Mediterranean Style Feta Stuffed Dates - 100kcals per portion, 2 portions
    Origin"," Vegan Spinach and Mushroom Tartlets - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Lasagna
37,400.0,100.0,150.0,20.0,250.0, Turkish Poached Eggs with Yogurt, Fruit Smoothie Popsicles - Approx, Greek-Style Feta and Olive Dip, Moroccan Mint Tea, Moroccan Chickpea Stew
