,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,350.0,400.0,350.0,400.0, Bread Upma, Chocolate Chip Muffins, Sourdough Biscuits and Mushroom Gravy, Blueberry Muffins, Veggie Breakfast Burrito
2,350.0,350.0,350.0,350.0,450.0, Bread Upma, Vegan Breakfast Tacos, Blueberry Muffins, Banana Chia Pancakes, Nutella Stuffed French Toast
3,300.0,400.0,300.0,400.0,250.0, Irish Soda Bread, Nutella Banana Croissant, Feta and Spinach Muffins, Vegan Chocolate Waffles, Cucumber Sandwich
4,250.0,400.0,350.0,350.0,400.0, Banana Bread, Veggie Bagel Sandwich, Banana Nut Muffins, Bread Upma, Mushroom Breakfast Burrito
5,300.0,400.0,350.0,400.0,400.0, Irish Soda Bread, Vegan Chocolate Waffles, Tomato and Basil Bruschetta Scramble, Mexican Sopes, Strawberry Banana Pancakes
6,400.0,350.0,350.0,400.0,350.0, Strawberry Banana Pancakes, Cranberry Orange Muffins, Mushroom and Spinach Breakfast Quesadilla, Strawberry Banana Pancakes, Veggie Breakfast Strudel
7,350.0,350.0,400.0,300.0,350.0, Vegan Breakfast Tacos, Bread Upma, Nutella Banana Croissant, Banana Pancakes, Chocolate Chip Muffins
8,400.0,250.0,400.0,300.0,350.0, Vegetarian Breakfast Strata, Tomato Basil Bruschetta, Almond Croissant, Feta and Spinach Muffins, Veggie Breakfast Wrap
9,400.0,400.0,350.0,350.0,350.0, Veggie Breakfast Burrito, Mushroom Breakfast Burrito, Apple Cinnamon Muffins, Chocolate Chip Muffins, Tomato and Basil Bruschetta Scramble
10,250.0,350.0,250.0,350.0,350.0, Mozzarella and Tomato Bruschetta, Blueberry Muffins, Cucumber Sandwich, Tomato and Basil Bruschetta Scramble, Ricotta Pancakes
11,350.0,400.0,300.0,400.0,450.0, Mushroom and Spinach Breakfast Quesadilla, Aloo Paratha (Potato Stuffed Flatbread), Banana Pancakes, Veggie Breakfast Pizza, Nutella Stuffed French Toast
12,400.0,350.0,250.0,350.0,250.0, Veggie Breakfast Burrito, Blueberry Muffins, Sourdough Toast with Almond Butter, Tomato and Basil Bruschetta Scramble, Banana Bread
13,400.0,300.0,350.0,350.0,300.0, Veggie Sausage Breakfast Sandwich, Idli and Sambar, Banana Chia Pancakes, Bread Upma, Irish Soda Bread
14,350.0,400.0,350.0,400.0,350.0, Vegan Breakfast Burrito, Aloo Paratha (Potato Stuffed Flatbread), Bread Upma, Vegetarian Breakfast Strata, Banana Walnut Bread
15,300.0,350.0,400.0,300.0,350.0, Banana Pancakes, Veggie Breakfast Wrap, Mexican Sopes, Banana Pancakes, Ricotta Pancakes
16,350.0,400.0,400.0,350.0,250.0, Bread Upma, Veggie Biscuits and Gravy, Veggie Biscuits and Gravy, Cranberry Orange Muffins, Mozzarella and Tomato Bruschetta
17,300.0,400.0,400.0,300.0,350.0, Vegan Blueberry Muffins, Veggie Breakfast Pizza, Nutella Banana Croissant, Irish Soda Bread, Vegan Protein Pancakes
18,300.0,300.0,400.0,400.0,400.0, Chia Seed Pancakes, Irish Soda Bread, Vegetarian Breakfast Strata, Mushroom Breakfast Burrito, Nutella Banana Croissant
19,350.0,400.0,350.0,400.0,400.0, Cranberry Orange Muffins, Aloo Paratha (Potato Stuffed Flatbread), Banana Nut Muffins, Aloo Paratha (Potato Stuffed Flatbread), Vegan Chocolate Waffles
20,350.0,350.0,400.0,350.0,350.0, Bread Upma, Lemon Poppy Seed Pancakes, Nutella Banana Croissant, Vegan Protein Pancakes, Ricotta Pancakes
21,350.0,250.0,300.0,250.0,350.0, Banana Nut Muffins, Sourdough Toast with Almond Butter, Vegan Blueberry Muffins, Sourdough Toast with Almond Butter, Lemon Poppy Seed Pancakes
22,300.0,300.0,400.0,350.0,400.0, Pancakes with Maple Syrup, Pancakes with Maple Syrup, Veggie Biscuits and Gravy, Ricotta Pancakes, Mushroom Breakfast Burrito
23,350.0,350.0,350.0,350.0,400.0, Tomato and Basil Bruschetta Scramble, Banana Nut Muffins, Veggie Breakfast Wrap, Veggie Breakfast Strudel, Veggie Breakfast Pizza
24,350.0,400.0,350.0,350.0,400.0, Veggie Breakfast Strudel, Veggie Bagel Sandwich, Veggie Breakfast Strudel, Chocolate Chip Muffins, Veggie Bagel Sandwich
25,400.0,400.0,350.0,350.0,400.0, Strawberry Banana Pancakes, Veggie Breakfast Pizza Rolls, Bread Upma, Banana Walnut Bread, Vegan Chocolate Waffles
26,350.0,350.0,400.0,300.0,250.0, Vegan Protein Pancakes, Tomato and Basil Bruschetta Scramble, Mushroom Breakfast Burrito, Banana Oat Pancakes, Tomato Basil Bruschetta
27,350.0,250.0,300.0,400.0,350.0, Blueberry Muffins, Cucumber Sandwich, Idli and Sambar, Almond Croissant, Banana Chia Pancakes
28,350.0,250.0,250.0,400.0,350.0, Bread Upma, Tomato Basil Bruschetta, Mozzarella and Tomato Bruschetta, Nutella Banana Croissant, Blueberry Muffins
29,400.0,400.0,350.0,350.0,400.0, Vegan Chocolate Waffles, Aloo Paratha (Potato Stuffed Flatbread), Banana Chia Pancakes, Vegan Protein Pancakes, Vegan Chocolate Waffles
30,400.0,400.0,400.0,400.0,400.0, Veggie Bagel Sandwich, Aloo Paratha (Potato Stuffed Flatbread), Almond Croissant, Veggie Bagel Sandwich, Aloo Paratha (Potato Stuffed Flatbread)
31,350.0,300.0,300.0,400.0,400.0, Banana Chia Pancakes, Chia Seed Pancakes, Chia Seed Pancakes, Strawberry Banana Pancakes, Veggie Bagel Sandwich
32,350.0,400.0,300.0,350.0,350.0, Chocolate Chip Muffins, Mexican Sopes, Banana Oat Pancakes, Vegan Breakfast Burrito, Banana Nut Muffins
33,400.0,400.0,350.0,400.0,400.0, Almond Croissant, Mexican Sopes, Lemon Poppy Seed Pancakes, Mexican Sopes, Mexican Sopes
34,400.0,350.0,350.0,350.0,350.0, Veggie Breakfast Burrito, Zucchini and Parmesan Muffins, Mushroom and Spinach Breakfast Quesadilla, Lemon Poppy Seed Pancakes, Vegan Breakfast Burrito
35,400.0,400.0,350.0,250.0,350.0, Mexican Sopes, Strawberry Banana Pancakes, Banana Walnut Bread, Banana Bread, Tomato and Basil Bruschetta Scramble
36,350.0,400.0,350.0,400.0,400.0, Blueberry Muffins, Vegetarian Breakfast Strata, Ricotta Pancakes, Sourdough Biscuits and Mushroom Gravy, Aloo Paratha (Potato Stuffed Flatbread)
37,300.0,400.0,300.0,400.0,350.0, Banana Pancakes, Aloo Paratha (Potato Stuffed Flatbread), Banana Oat Pancakes, Veggie Breakfast Burrito, Apple Cinnamon Muffins
38,400.0,250.0,350.0,300.0,350.0, Veggie Sausage Breakfast Sandwich, Cucumber Sandwich, Bread Upma, Banana Pancakes, Bread Upma
39,400.0,400.0,300.0,350.0,300.0, Veggie Sausage Breakfast Sandwich, Mexican Sopes, Banana Pancakes, Vegan Protein Pancakes, Pancakes with Maple Syrup
40,300.0,400.0,350.0,400.0,300.0, Irish Soda Bread, Almond Croissant, Banana Walnut Bread, Almond Croissant, Banana Oat Pancakes
41,350.0,250.0,250.0,400.0,350.0, Veggie Breakfast Strudel, Banana Bread, Tomato Basil Bruschetta, Veggie Breakfast Pizza, Cranberry Orange Muffins
42,250.0,300.0,400.0,350.0,400.0, Cucumber Sandwich, Irish Soda Bread, Veggie Bagel Sandwich, Ricotta Pancakes, Mushroom Breakfast Burrito
43,300.0,350.0,400.0,300.0,250.0, Chia Seed Pancakes, Chocolate Chip Muffins, Strawberry Banana Pancakes, Irish Soda Bread, Ragi (Finger Millet) Pancakes
44,400.0,300.0,250.0,350.0,250.0, Almond Croissant, Feta and Spinach Muffins, Sourdough Toast with Almond Butter, Chocolate Chip Muffins, Tomato Basil Bruschetta
45,350.0,350.0,300.0,350.0,250.0, Ricotta Pancakes, Lemon Poppy Seed Pancakes, Banana Oat Pancakes, Ricotta Pancakes, Banana Bread
46,400.0,300.0,350.0,350.0,400.0, Nutella Banana Croissant, Vegan Blueberry Muffins, Vegan Protein Pancakes, Vegan Protein Pancakes, Sourdough Biscuits and Mushroom Gravy
47,400.0,400.0,300.0,350.0,300.0, Veggie Sausage Breakfast Sandwich, Mushroom Breakfast Burrito, Idli and Sambar, Vegan Protein Pancakes, Irish Soda Bread
48,350.0,250.0,300.0,300.0,300.0, Zucchini and Parmesan Muffins, Vegan Banana Bread, Vegan Blueberry Muffins, Idli and Sambar, Irish Soda Bread
49,400.0,350.0,250.0,350.0,250.0, Mushroom Breakfast Burrito, Blueberry Muffins, Ragi (Finger Millet) Pancakes, Veggie Breakfast Wrap, Ragi (Finger Millet) Pancakes
50,400.0,250.0,350.0,350.0,400.0, Vegan Chocolate Waffles, Banana Bread, Banana Nut Muffins, Banana Walnut Bread, Nutella Banana Croissant
51,400.0,400.0,350.0,300.0,350.0, Strawberry Banana Pancakes, Sourdough Biscuits and Mushroom Gravy, Veggie Breakfast Wrap, Feta and Spinach Muffins, Banana Walnut Bread
52,350.0,250.0,400.0,400.0,300.0, Banana Chia Pancakes, Tomato Basil Bruschetta, Almond Croissant, Veggie Breakfast Pizza, Irish Soda Bread
53,400.0,350.0,400.0,300.0,350.0, Nutella Banana Croissant, Lemon Poppy Seed Pancakes, Veggie Sausage Breakfast Sandwich, Irish Soda Bread, Mushroom and Spinach Breakfast Quesadilla
54,350.0,350.0,350.0,400.0,350.0, Veggie Breakfast Wrap, Mushroom and Spinach Breakfast Quesadilla, Tomato and Basil Bruschetta Scramble, Vegetarian Breakfast Strata, Chocolate Chip Muffins
55,400.0,300.0,250.0,400.0,350.0, Vegan Chocolate Waffles, Chia Seed Pancakes, Ragi (Finger Millet) Pancakes, Mushroom Breakfast Burrito, Cranberry Orange Muffins
56,300.0,250.0,350.0,400.0,400.0, Chia Seed Pancakes, Banana Bread, Tomato and Basil Bruschetta Scramble, Sourdough Biscuits and Mushroom Gravy, Mushroom Breakfast Burrito
57,450.0,350.0,350.0,300.0,400.0, Nutella Stuffed French Toast, Vegan Protein Pancakes, Blueberry Muffins, Pancakes with Maple Syrup, Veggie Breakfast Burrito
58,400.0,350.0,300.0,350.0,350.0, Veggie Bagel Sandwich, Veggie Breakfast Strudel, Feta and Spinach Muffins, Lemon Poppy Seed Pancakes, Banana Nut Muffins
59,350.0,300.0,400.0,300.0,350.0, Bread Upma, Feta and Spinach Muffins, Veggie Breakfast Burrito, Idli and Sambar, Banana Walnut Bread
60,300.0,400.0,350.0,400.0,400.0, Banana Oat Pancakes, Mushroom Breakfast Burrito, Apple Cinnamon Muffins, Mushroom Breakfast Burrito, Vegan Chocolate Waffles
61,350.0,350.0,400.0,400.0,300.0, Apple Cinnamon Muffins, Tomato and Basil Bruschetta Scramble, Veggie Breakfast Pizza Rolls, Strawberry Banana Pancakes, Irish Soda Bread
62,400.0,300.0,250.0,350.0,400.0, Vegetarian Breakfast Strata, Feta and Spinach Muffins, Cucumber Sandwich, Bread Upma, Veggie Breakfast Burrito
63,350.0,400.0,250.0,400.0,250.0, Cranberry Orange Muffins, Almond Croissant, Tomato Basil Bruschetta, Mushroom Breakfast Burrito, Mozzarella and Tomato Bruschetta
64,350.0,400.0,300.0,350.0,400.0, Zucchini and Parmesan Muffins, Aloo Paratha (Potato Stuffed Flatbread), Banana Pancakes, Vegan Protein Pancakes, Almond Croissant
65,300.0,350.0,350.0,450.0,350.0, Feta and Spinach Muffins, Banana Walnut Bread, Vegan Protein Pancakes, Nutella Stuffed French Toast, Mushroom and Spinach Breakfast Quesadilla
66,250.0,350.0,350.0,350.0,250.0, Banana Bread, Blueberry Muffins, Apple Cinnamon Muffins, Veggie Breakfast Wrap, Banana Bread
67,350.0,350.0,400.0,300.0,400.0, Banana Nut Muffins, Cranberry Orange Muffins, Mexican Sopes, Irish Soda Bread, Veggie Sausage Breakfast Sandwich
68,350.0,350.0,400.0,400.0,350.0, Blueberry Muffins, Lemon Poppy Seed Pancakes, Veggie Breakfast Pizza, French Toast, Banana Chia Pancakes
69,300.0,350.0,300.0,350.0,350.0, Idli and Sambar, Vegan Breakfast Burrito, Banana Oat Pancakes, Ricotta Pancakes, Vegan Breakfast Burrito
70,400.0,400.0,400.0,350.0,400.0, Mushroom Breakfast Burrito, French Toast, Strawberry Banana Pancakes, Vegan Breakfast Burrito, Aloo Paratha (Potato Stuffed Flatbread)
71,350.0,250.0,350.0,400.0,350.0, Blueberry Muffins, Sourdough Toast with Almond Butter, Veggie Breakfast Strudel, Almond Croissant, Vegan Breakfast Tacos
72,400.0,400.0,250.0,400.0,300.0, Vegetarian Breakfast Strata, Aloo Paratha (Potato Stuffed Flatbread), Banana Bread, Aloo Paratha (Potato Stuffed Flatbread), Feta and Spinach Muffins
73,350.0,400.0,400.0,350.0,400.0, Apple Cinnamon Muffins, Vegan Chocolate Waffles, Veggie Biscuits and Gravy, Cranberry Orange Muffins, Aloo Paratha (Potato Stuffed Flatbread)
74,300.0,300.0,350.0,350.0,250.0, Banana Pancakes, Feta and Spinach Muffins, Apple Cinnamon Muffins, Apple Cinnamon Muffins, Vegan Banana Bread
