,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,100.0,280.0,20.0,210.0," Mediterranean-style omelette with olives and feta (400 calories per portion, 2 portions, contains dairy, Greek origin)
"," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Veggie Flatbread Pizza, Moroccan Mint Tea," Greek Briam - 210kcals per portion, 4 portions
"
2,400.0,100.0,270.0,20.0,500.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin", Quinoa Energy Bites," Matzah Brei - 270 kcals per portion, 2 portions, contains gluten (Jewish)", Moroccan Mint Tea," Korean BBQ Beef - 500 calories per portion, 4 portions, no allergic warnings, Origin"
3,450.0,100.0,150.0,20.0,150.0," Spanish tortilla de patatas (potato omelet) with aioli (450kcals per portion, 2 portions, origin", Baked Apple Chips, Guacamole with tortilla chips, Moroccan Mint Tea, Swiss Chard and Lentil Soup
4,320.0,100.0,220.0,20.0,300.0," Caramelized onion and goat cheese tart (320 calories per portion, 2 portions, contains dairy, French origin)
", Som Tam (Papaya Salad), Beetroot Hummus with Pita Bread, Moroccan Mint Tea, Vegan Tikka Masala
5,200.0,80.0,150.0,20.0,500.0, Tofu Scramble, Apple with Cinnamon, Stuffed Bell Peppers, Moroccan Mint Tea," Chickpea and spinach curry with basmati rice (500 calories per portion, 3 portions, vegan-friendly, origin"
6,350.0,100.0,40.0,20.0,400.0," Scottish porridge with honey and berries (350kcals per portion, 2 portions, origin"," Apple Slices with Caramel Dip - 100kcals per portion, 2 portions
    Origin", Cucumber Roll-Ups, Moroccan Mint Tea," Vegetable Lasagna - 400 calories/portion, 4 portions, contains gluten and dairy (Italy)

"
7,350.0,100.0,90.0,20.0,390.0," Jamaican cornmeal porridge with cinnamon and nutmeg (350kcals per portion, 2 portions, origin", Vegetable Crudité with Hummus, Ants on a log (celery with cream cheese and raisins), Moroccan Mint Tea," Spinach and Artichoke Stuffed Shells Alfredo - 390kcals per portion, 4 portions, contains dairy
"
8,250.0,100.0,250.0,20.0,200.0, Vegan Breakfast Strata, Fruit Smoothie Popsicles - Approx, Mini Cheesecakes, Moroccan Mint Tea," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
9,300.0,100.0,160.0,20.0,390.0, Veggie Tofu Scramble Wrap - 300 calories per portion | 1 portion | None | Origin, Frozen Grapes," Grilled Portobello Mushroom Burger - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Spinach and Artichoke Stuffed Shells Alfredo - 390kcals per portion, 4 portions, contains dairy
"
10,400.0,100.0,250.0,20.0,500.0," Breakfast pizza with eggs, bacon, and cheese (400 calories per portion, 2 portions, contains dairy, American origin)
", Cucumber Slices with Tzatziki - Approx, Quinoa Stuffed Bell Peppers, Moroccan Mint Tea," Spicy Pork Stir-Fry with Rice - 500 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
