,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,200.0,100.0,450.0,200.0, Tofu Scramble, Tofu and Vegetable Stir-Fry, Edamame, Vegetarian Sushi Bowl," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
2,350.0,200.0,280.0,250.0,150.0, Vegan Breakfast Burrito, Tofu and Vegetable Stir-Fry, Vegan Nachos, Veggie Sushi Rolls," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
3,200.0,200.0,280.0,450.0,200.0, Veggie Breakfast Wrap with Tofu Scramble, Tofu Scramble with Veggies, Vegan Nachos, Moroccan Couscous," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
4,350.0,200.0,280.0,320.0,150.0, Vegan Breakfast Tacos, Tofu Scramble with Veggies, Vegan Nachos," Veggie Sushi Rolls - 320kcals per portion, 2 portions, contains soy, gluten (Japan)
"," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
5,400.0,300.0,100.0,450.0,150.0, Veggie Sausage Breakfast Sandwich, Vegetable Potstickers with Soy Dipping Sauce, Edamame, Moroccan Couscous," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
6,400.0,200.0,280.0,400.0,200.0, Veggie Sausage Breakfast Sandwich, Tofu Scramble with Veggies, Vegan Nachos, Vegetarian Spring Rolls," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
7,350.0,300.0,100.0,600.0,150.0, Vegan Breakfast Burrito, Vegetable Potstickers with Soy Dipping Sauce, Edamame, Veggie Pho," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
8,350.0,300.0,180.0,750.0,200.0, Vegan Breakfast Tacos, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites, Tofu Pad Thai," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
9,200.0,300.0,280.0,400.0,200.0, Tofu Scramble, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos," Veggie Sushi Burrito - 400kcals per portion, 1 portion, contains soy, gluten (Japan)
"," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
10,400.0,200.0,180.0,350.0,200.0, Veggie Sausage Breakfast Sandwich, Tofu Scramble with Veggies, Crispy Tofu Bites, Vegetable Stir-Fry," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
11,400.0,200.0,100.0,320.0,200.0, Tofu Benedict, Tofu and Vegetable Stir-Fry, Edamame," Veggie Sushi Rolls - 320kcals per portion, 2 portions, contains soy, gluten (Japan)
"," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
12,350.0,300.0,180.0,400.0,200.0, Vegan Breakfast Burrito, Vegetable Potstickers with Soy Dipping Sauce, Crispy Tofu Bites, Vegetarian Spring Rolls," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
13,400.0,200.0,100.0,250.0,200.0, Vegan Breakfast Hash, Tofu and Vegetable Stir-Fry, Edamame, Vegetarian sushi rolls," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
14,350.0,300.0,280.0,450.0,200.0, Vegan Breakfast Tacos, Vegetable Potstickers with Soy Dipping Sauce, Vegan Nachos, Vegetarian Sushi Bowl," Cauliflower Fried Rice - 200 calories/portion, 4 portions, contains soy (China)
"
15,350.0,300.0,100.0,350.0,200.0, Vegan Breakfast Tacos, Vegetable Potstickers with Soy Dipping Sauce, Edamame," Veggie Bibimbap - 350kcals per portion, 2 portions, contains soy (Korea)
"," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
16,350.0,200.0,280.0,750.0,150.0, Vegan Breakfast Burrito, Tofu Scramble with Veggies, Vegan Nachos, Tofu Pad Thai," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
17,200.0,300.0,100.0,600.0,200.0, Tofu Scramble, Vegetable Potstickers with Soy Dipping Sauce, Edamame, Veggie Pho," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
18,400.0,200.0,280.0,500.0,150.0, Vegan Breakfast Hash, Tofu and Vegetable Stir-Fry, Vegan Nachos, Veggie Soba Noodle Stir-Fry," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
19,400.0,200.0,180.0,350.0,150.0, Tofu Benedict, Tofu Scramble with Veggies, Crispy Tofu Bites," Veggie Bibimbap - 350kcals per portion, 2 portions, contains soy (Korea)
"," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
20,200.0,200.0,100.0,350.0,150.0, Tofu Scramble, Tofu Scramble with Veggies, Edamame, Vegetable and Tofu Skewers," Greek Salad with Tofu - 150 calories/portion, 4 portions, contains soy (Greece)
"
21,350.0,200.0,180.0,450.0,200.0, Vegan Breakfast Burrito, Tofu and Vegetable Stir-Fry, Crispy Tofu Bites, Vegetarian Sushi Bowl," Veggie Stir-Fry with Tofu - 200 calories/portion, 4 portions, contains soy (China)
"
22,350.0,200.0,180.0,600.0,200.0, Vegan Breakfast Burrito, Tofu Scramble with Veggies, Crispy Tofu Bites, Veggie Pho," Tofu and Broccoli Stir-Fry - 200 calories/portion, 4 portions, contains soy (China)
"
