,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,350.0,100.0,200.0,20.0,119.0," Apple cinnamon muffins - 350 calories per portion, 2 portions, contains gluten, origin", Roasted Chickpeas, Quinoa-Stuffed Bell Peppers, Moroccan Mint Tea, Vegan Gazpacho
2,250.0,90.0,160.0,20.0,350.0, Tropical Smoothie, Vegetarian Spring Rolls," Mini Pizza Bagels - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea," Vegetable Paella - 350 calories per portion, 4 portions, None, Spain

"
3,100.0,90.0,280.0,20.0,383.0, Healthy Fruit Salad, Quinoa Energy Bites," Mujadara - 280 kcals per portion, 3 portions, contains gluten (Lebanon)", Moroccan Mint Tea, Falafel Burger
4,380.0,100.0,50.0,20.0,350.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
", Roasted Beetroot Chips, Fruit Salad, Moroccan Mint Tea," Mexican Rice Casserole - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
5,200.0,100.0,160.0,20.0,400.0, Avocado Toast, Edamame, Roasted Eggplant Dip, Moroccan Mint Tea," Sweet Potato and Black Bean Enchiladas - 400 calories/portion, 4 portions, contains gluten and beans (Mexico)

"
6,350.0,80.0,300.0,20.0,380.0," Moroccan msemen (folded pancakes) with honey (350kcals per portion, 2 portions, origin", Stuffed Dates, Chicken Shawarma Wraps, Moroccan Mint Tea," Vegetable Pot Pie - 380kcals per portion, 4 portions
"
7,160.0,100.0,180.0,20.0,260.0," Cream cheese stuffed strawberries (160 calories per portion, 2 portions, contains dairy, American origin)
"," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin", Strawberry and banana smoothie, Moroccan Mint Tea, Mexican Stuffed Zucchini
8,300.0,100.0,180.0,20.0,300.0, Vegan Pumpkin Spice Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Mini Frittatas - Approx, Granola Bars, Moroccan Mint Tea, Vegan Tofu Scramble
9,400.0,100.0,230.0,20.0,400.0," Venezuelan arepas with cheese and avocado - 400 calories per portion, 1 portion, contains gluten and dairy, origin"," Dates Stuffed with Almond Butter - 100kcals per portion, 2 portions
    Origin", Sweet Potato and Black Bean Quesadillas, Moroccan Mint Tea, Vegan Paella with Artichokes
10,550.0,90.0,120.0,20.0,300.0, Breakfast Nachos, Turkish-style boiled eggs, No-Bake Energy Bars, Moroccan Mint Tea, Turkish Eggplant Casserole (Imam Bayildi)
11,350.0,100.0,120.0,20.0,400.0, Baked Oatmeal, Toasted Coconut Chips, Pita Chips with Homemade Salsa, Moroccan Mint Tea," Thai Green Curry with Tofu (400 calories/portion, 2 portions) - Thailand
"
12,300.0,100.0,80.0,20.0,300.0," Almond butter and banana toast (300 calories per portion, 2 portions, contains nuts, American origin)
", Rice Paper Spring Rolls," Edamame Beans - 80 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Quinoa Stuffed Bell Peppers
13,300.0,100.0,250.0,20.0,350.0, Vegan Oatmeal Raisin Cookies, Fruit salad, Quinoa Salad, Moroccan Mint Tea, Vegan Gyros
14,400.0,100.0,80.0,20.0,450.0," Hungarian pogácsa (cheese biscuits) with tea (400kcals per portion, 2 portions, origin", Fruit salad, Stuffed Mushrooms, Moroccan Mint Tea," Spinach and Ricotta Stuffed Manicotti - 450 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
15,400.0,100.0,120.0,20.0,400.0, Vegetarian Quiche Lorraine, Overnight Chia Pudding," Pico de Gallo with Tortilla Chips - 120 kcals per portion, 1 portion, contains gluten (Mexico)", Moroccan Mint Tea, Vegan Tamales
16,250.0,80.0,200.0,20.0,400.0," Smoothie bowl - 250 calories per portion, 1 portion, may contain nuts, origin", Energy Balls," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Veggie Sushi Bowl
17,400.0,90.0,100.0,20.0,450.0, Aloo Paratha (Potato Stuffed Flatbread), Stuffed Dates, Baked Zucchini Fries, Moroccan Mint Tea, Tofu Tikka Masala
18,350.0,100.0,700.0,20.0,400.0, Vegan Savory Breakfast Muffins - 350 calories per portion | 1 portion | Contains gluten | Origin, Tomato Basil Bruschetta, Vegan Pad Thai, Moroccan Mint Tea," Vegetarian stuffed bell peppers with quinoa and black beans (400 calories per portion, 4 portions, vegan-friendly, origin"
19,200.0,80.0,280.0,20.0,300.0, Veggie Breakfast Couscous, Stuffed Dates, Veggie Pita Pockets, Moroccan Mint Tea, Ratatouille Stuffed Portobello Mushrooms
20,200.0,90.0,180.0,20.0,250.0, Vegetarian Quiche, Fruit Salad, Guacamole with vegetable sticks, Moroccan Mint Tea," Greek Tabbouleh Salad - 250 calories/portion, 4 portions, contains gluten (Greece)

"
21,400.0,90.0,130.0,20.0,350.0, Vegan Breakfast Tostadas - 400 calories per portion | 1 portion | Contains soy | Origin, Fruit Salad, Mini Vegetable Quesadillas, Moroccan Mint Tea, Vegan Burritos
22,300.0,80.0,250.0,20.0,200.0, Vegan Peanut Butter Banana Smoothie - 300 calories per portion | 1 portion | Contains nuts | Origin, Baked Apple Chips, Cheese and Spinach Triangles, Moroccan Mint Tea," Vegan Creamy Cauliflower Soup - 200 calories per portion, 4 portions, None, Various
"
23,250.0,80.0,120.0,20.0,350.0, Vegan Breakfast Oats and Berries, Stuffed Dates, Caprese Salad Skewers, Moroccan Mint Tea, Mexican Quinoa Bowl
24,300.0,100.0,150.0,20.0,350.0, Apple Cinnamon Porridge, Cucumber Sandwiches, Edamame Salad, Moroccan Mint Tea," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
25,300.0,100.0,90.0,20.0,400.0, Chocolate Chia Protein Pudding, Energy Balls, Zucchini Pizza Bites, Moroccan Mint Tea," General Tso's tofu with steamed rice (400 calories per portion, 3 portions, contains gluten and soy, origin"
26,400.0,70.0,290.0,20.0,250.0," Indonesian nasi goreng (fried rice) with chicken and vegetables (400kcals per portion, 2 portions, origin", Fresh Fruit Salad," Baked Brie with Cranberry Sauce - 290 kcals per portion, 2 portions, contains dairy (France)", Moroccan Mint Tea, Stuffed Bell Peppers
27,300.0,90.0,150.0,20.0,400.0, Vegan Protein Smoothie, Stuffed Dates," Mini Vegetable Quiches - 150 kcals per portion, 6 portions, contains dairy (France)", Moroccan Mint Tea, Vegetable Biryani
28,350.0,100.0,100.0,20.0,340.0," French toast with maple syrup - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Cucumber Sandwich, Cinnamon Sugar Apple Slices, Moroccan Mint Tea," Quinoa-Stuffed Mushrooms with Spinach and Feta - 340kcals per portion, 4 portions, contains dairy

Please note that the portion sizes and calorie counts are approximate and can vary based on specific ingredients and preparation methods"
29,550.0,100.0,240.0,20.0,250.0, Spanish Tortilla," Cinnamon Apple Chips - 100kcals per portion, 2 portions
    Origin", Spinach and Artichoke Dip, Moroccan Mint Tea," Ratatouille - 250 calories per portion, 3 portions, may contain onions and garlic"
30,300.0,100.0,180.0,20.0,350.0, Vegan Breakfast Bars - 300 calories per portion | 1 portion | Contains nuts | Origin, Edamame, Cheesy Garlic Bread, Moroccan Mint Tea," Chinese Egg Fried Rice - 350 calories/portion, 4 portions, contains eggs and gluten (China)
"
31,250.0,80.0,160.0,20.0,250.0, Ragi (Finger Millet) Pancakes, Fruit Salad, Baked apples with cinnamon and honey, Moroccan Mint Tea, Veggie Stir-Fry with Quinoa
32,450.0,90.0,220.0,20.0,350.0, Nutella Stuffed French Toast, Vegetarian Spring Rolls, Stuffed Bell Peppers, Moroccan Mint Tea," Vegetable korma with basmati rice - 350 calories per portion, 4 portions, contains nuts (India)
"
33,350.0,100.0,300.0,20.0,400.0, Veggie Oatmeal Bowl, Som Tam (Papaya Salad), Chicken Fried Rice, Moroccan Mint Tea, Vegetable Biryani
34,400.0,100.0,140.0,20.0,250.0," Quinoa porridge with coconut milk - 400 calories per portion, 2 portions, no allergic warnings, origin", Berry Chia Detox Water, Greek Yogurt with Apple and Cinnamon, Moroccan Mint Tea," Moroccan Lentil Salad - 250 calories/portion, 4 portions, contains nuts (Morocco)
"
35,300.0,80.0,200.0,20.0,250.0, Shakshuka with Spinach, Baked Apple Chips, Stuffed Bell Peppers, Moroccan Mint Tea, Vegan Stuffed Bell Peppers
36,400.0,50.0,300.0,20.0,400.0, Vegan Breakfast Fried Rice, Baked Apple Chips - Approx, Sweet potato and black bean quesadillas, Moroccan Mint Tea," Greek Moussaka - 400kcals per portion, 4 portions, contains dairy (Greece)
"
37,350.0,100.0,200.0,20.0,350.0, Vegan Mushroom and Spinach Omelette - 350 calories per portion | 1 portion | None | Origin, Boiled chickpeas, Fruit and Yogurt Parfait, Moroccan Mint Tea," Vegetable paella – 350 calories per portion, 4 portions, vegan-friendly (origin"
38,300.0,100.0,180.0,20.0,400.0, Quinoa Breakfast Bowl, Fresh Fruit Salad, Dates stuffed with almond butter, Moroccan Mint Tea, Cauliflower and Chickpea Curry
39,350.0,100.0,100.0,20.0,300.0," German-style potato pancakes with applesauce - 350 calories per portion, 2 portions, contains gluten, origin", Roasted Pumpkin Seeds, Edamame, Moroccan Mint Tea, Lentil Bolognese
40,450.0,100.0,240.0,20.0,300.0," Persian barbari bread with feta and cucumber (450kcals per portion, 2 portions, origin"," Mint Yogurt Dip with Vegetable Sticks - 100kcals per portion, 2 portions
    Origin", Veggie Sushi Rolls, Moroccan Mint Tea," Quinoa and black bean stuffed peppers - 300 calories per portion, 4 portions, none
"
41,350.0,90.0,210.0,20.0,220.0, Spinach and Goat Cheese Omelette, Rice Paper Rolls," Savory Cheese Bites - 210 kcals per portion, 4 portions, contains gluten, dairy (Various)", Moroccan Mint Tea, Lentil and Kale Soup
42,400.0,100.0,200.0,20.0,350.0," Huevos Rancheros with black beans (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Vegetable Crudité with Hummus, Chicken and Vegetable Spring Rolls, Moroccan Mint Tea," Mexican Rice - 350 calories per portion, 4 portions, no allergic warnings, Origin"
43,350.0,100.0,120.0,20.0,250.0," Avocado toast with poached eggs (350kcals per portion, 2 portions, origin", Chilled Gazpacho Soup - Approx, Veggie Sushi Rolls, Moroccan Mint Tea," Veggie fajitas - 250 calories per portion, 4 portions, contains gluten (Mexico)
"
44,400.0,100.0,520.0,20.0,300.0," Spinach and mushroom breakfast burrito (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Energy Balls, Vegan Spinach and Artichoke Crostini, Moroccan Mint Tea, Caprese Stuffed Portobello Mushrooms
45,300.0,100.0,200.0,20.0,180.0, Saffron Yogurt with Fruit, Roasted Edamame, Spinach and artichoke dip with tortilla chips, Moroccan Mint Tea," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
46,500.0,80.0,120.0,20.0,350.0, Breakfast Burrito, Fruit Salad, Veggie Stuffed Mushrooms, Moroccan Mint Tea," Butternut squash and lentil curry - 350 calories per portion, 4 portions, contains nuts (India)
"
47,350.0,50.0,200.0,20.0,400.0," English crumpets with butter and jam (350kcals per portion, 2 portions, dairy allergies, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Cheese and Crackers, Moroccan Mint Tea," Black bean and vegetable enchiladas - 400 kcals per portion, 4 portions, vegetarian, contains gluten
"
48,350.0,100.0,520.0,20.0,300.0, Lemon Poppy Seed Pancakes, Baked Apple Chips, Vegan Thai Coconut Curry Soup, Moroccan Mint Tea, Quinoa Stuffed Bell Peppers
