,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,90.0,160.0,20.0,300.0, Vegan Breakfast Hand Pies, Quinoa Energy Bites, Baked apples with cinnamon and honey, Moroccan Mint Tea," Thai Curry Noodle Soup - 300 calories per portion, 4 portions, None, Thailand
"
2,300.0,70.0,160.0,20.0,160.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Fresh Fruit Salad, Vegan Mexican Street Corn, Moroccan Mint Tea," Vegan Tofu Scramble - 160 calories per portion, 1 portion, may contain soy"
3,300.0,80.0,140.0,20.0,350.0, Chia Seed Pudding Parfait, Apple with Cinnamon," Caprese pinwheels (tortilla with mozzarella, tomato, basil)", Moroccan Mint Tea," Lentil Coconut Curry Soup - 350 calories per portion, 4 portions, None, India

Please note that the portion sizes and calorie counts are approximate, and you may need to adjust the recipe based on your specific dietary needs and restrictions"
4,300.0,90.0,180.0,20.0,350.0, Vegan Breakfast Parfait, Turkish-style boiled eggs, Veggie Sausage Rolls, Moroccan Mint Tea," Chinese Vegan Kung Pao Tofu (350 calories/portion, 2 portions) - China
"
5,300.0,90.0,180.0,20.0,400.0, Vegan Blueberry Muffins, Quinoa Energy Bites, Pita Bread with Hummus, Moroccan Mint Tea," Greek Vegan Moussaka (400 calories/portion, 2 portions) - Greece

"
6,250.0,80.0,280.0,20.0,350.0, Smoothie Bowl, Kale Chips, Veggie Bruschetta Pizza, Moroccan Mint Tea, Eggplant Parmesan
7,300.0,90.0,180.0,20.0,350.0, Feta and Spinach Muffins, Quinoa Energy Bites, Veggie Sausage Rolls, Moroccan Mint Tea," Eggplant Parmesan - 350 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
8,550.0,80.0,120.0,20.0,400.0, Vegan Breakfast Chili, Hard-Boiled Eggs, Veggie spring rolls with peanut sauce, Moroccan Mint Tea," Butternut squash and lentil curry with basmati rice - 400 kcals per portion, 4 portions, vegetarian, contains gluten
"
9,350.0,80.0,220.0,20.0,400.0," Veggie breakfast wrap with scrambled eggs (350kcals per portion, 2 portions, origin"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Sesame Ginger Edamame, Moroccan Mint Tea, Caprese Pasta
10,550.0,80.0,80.0,20.0,300.0, Belgian Liege Waffles, Cheesy Popcorn, Fruit Salad, Moroccan Mint Tea, Lentil and Vegetable Curry
11,500.0,80.0,200.0,20.0,400.0," Belgian waffles with fresh fruit and whipped cream (500kcals per portion, 2 portions, origin", Apple with Cinnamon, Grilled Chicken Skewers, Moroccan Mint Tea, Chickpea and Spinach Curry
12,400.0,80.0,180.0,20.0,300.0," Lebanese shakshouka with tomatoes, peppers, and eggs (400kcals per portion, 2 portions, origin", Baked Apple Chips, Chicken Lettuce Wraps, Moroccan Mint Tea," Greek Lemon Chicken Soup - 300 calories per portion, 6 portions, contains egg, Origin"
13,250.0,50.0,230.0,20.0,350.0, Tofu Scramble - 250 calories per portion | 2 portions | None | Origin," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Avocado Toast, Moroccan Mint Tea, Greek Spinach Pie (Spanakopita)
14,400.0,80.0,200.0,20.0,250.0, Turkish Menemen with Feta Cheese, Hard-Boiled Eggs," Smoothie bowl (banana, spinach, almond milk, toppings)", Moroccan Mint Tea, Zucchini Noodles with Pesto
15,400.0,80.0,180.0,20.0,420.0," Lebanese shakshouka with tomatoes, peppers, and eggs (400kcals per portion, 2 portions, origin", Fruit Salad, Baba Ganoush with Pita Chips, Moroccan Mint Tea," Quinoa and Vegetable Stir-Fry - 420kcals per portion, 4 portions
"
16,200.0,60.0,150.0,20.0,320.0, Veggie Breakfast Couscous, Fruit Salad - Approx," Mini Vegetable Quiches - 150 kcals per portion, 6 portions, contains dairy (France)", Moroccan Mint Tea, Roasted Vegetable Pasta
17,300.0,90.0,160.0,20.0,320.0, Blueberry Coconut Overnight Oats, Vegetarian Spring Rolls," Mini Spinach and Feta Quiches - 160 kcals per portion, 4 portions, contains dairy (Greece)", Moroccan Mint Tea," Eggplant Curry - 320kcals per portion, 4 portions, contains spices (India)
"
18,300.0,80.0,120.0,20.0,300.0, Mushroom and Spinach Vegan Quiche, Cheesy Popcorn, Vegan Mediterranean Hummus Bowl, Moroccan Mint Tea," Tahini Chickpea Salad - 300 calories per portion, 4 portions, None, Various
"
19,300.0,90.0,250.0,20.0,400.0, Aloo Paratha, Stuffed Dates, Baked salmon cakes, Moroccan Mint Tea, Hawaiian Grilled Shrimp Skewers
20,50.0,80.0,200.0,20.0,400.0, Vegan Breakfast Energy Balls, Fruit Salad, Mini Pita Pizzas, Moroccan Mint Tea, Vegan Lasagna
21,300.0,80.0,200.0,20.0,300.0," Shakshuka - 300 calories per portion, 2 portions, no allergic warnings, origin", Hard-Boiled Eggs, Cucumber Cups with Tuna Salad, Moroccan Mint Tea," Vegetarian Chili - 300 calories per portion, 6 portions, no allergic warnings, Origin"
22,150.0,80.0,80.0,20.0,450.0, Fruit Salad, Baked Apple Chips, Hummus with carrot sticks, Moroccan Mint Tea," Indian Vegan Malai Kofta (450 calories/portion, 3 portions) - India
"
23,250.0,80.0,250.0,20.0,150.0," Almond joy smoothie (250 calories per portion, 2 portions, contains nuts, American origin)
", Fruit Salad, Mini Cheesecakes, Moroccan Mint Tea, Butternut Squash Soup
24,250.0,80.0,250.0,20.0,380.0," Pumpkin pie smoothie (250 calories per portion, 2 portions, nut-free, American origin)
", Energy Balls," Lentil Soup - 250 kcals per portion, 2 portions, gluten-free (Mediterranean)", Moroccan Mint Tea," Eggplant Parmesan - 380kcals per portion, 4 portions, contains dairy (Italy)
"
25,250.0,50.0,250.0,20.0,380.0, Vegan Breakfast Crepes," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Tuna salad on whole grain crackers, Moroccan Mint Tea," Asian vegetable stir-fry with noodles – 380 calories per portion, 2 portions, vegan-friendly
"
26,250.0,90.0,320.0,20.0,350.0, Mexican Churro Waffles, Vegetarian Spring Rolls, Greek Spanakopita, Moroccan Mint Tea, Mexican Quinoa Stuffed Zucchini
27,500.0,80.0,920.0,20.0,500.0," Filipino longganisa sausage with garlic rice and fried egg (500kcals per portion, 2 portions, origin", Fresh Squeezed Orange Juice, Vegan Thai Spring Rolls, Moroccan Mint Tea," Vietnamese Pho - 500 calories per portion, 4 portions, contains gluten (noodles), Origin"
28,450.0,90.0,160.0,20.0,300.0," Korean kimchi fried rice with sunny-side-up eggs (450kcals per portion, 2 portions, origin", Quinoa Energy Bites," Chia Seed Pudding - 160 kcals per portion, 4 portions, gluten-free (Various)", Moroccan Mint Tea, Lentil Curry
29,350.0,80.0,140.0,20.0,450.0, Vegan Pear and Walnut Oatmeal - 350 calories per portion | 1 portion | Contains nuts | Origin, Fruit Salad, Baked Sweet Potato Chips, Moroccan Mint Tea," Garlic Butter Shrimp Pasta - 450 calories per portion, 4 portions, contains gluten (pasta), Origin"
30,300.0,80.0,100.0,20.0,350.0," Congee (Chinese rice porridge) with century eggs - 300 calories per portion, 2 portions, no allergic warnings, origin", Cheesy Popcorn, Guacamole Deviled Eggs, Moroccan Mint Tea," Vegetarian chili with brown rice - 350 kcals per portion, 5 portions, vegetarian, gluten-free
"
31,300.0,50.0,80.0,20.0,450.0, Vegan Breakfast Burrito, Baked Apple Chips - Approx, Greek Salad Skewers, Moroccan Mint Tea," Moroccan Vegetable Couscous (450 calories/portion, 3 portions) - Morocco
"
32,400.0,80.0,250.0,20.0,480.0," Warm quinoa breakfast bowl with caramelized bananas and almonds (400 calories per portion, 2 portions, contains nuts, American origin)
Please note that the above recipes are suggestions and the nutritional information provided is approximate"," Carrot Sticks with Hummus - 80kcals per portion, 2 portions
   Origin", Pork Satay with Peanut Sauce, Moroccan Mint Tea," Shrimp scampi with angel hair pasta - 480 kcals per portion, 4 portions, contains shellfish, gluten, lactose
"
33,350.0,70.0,150.0,20.0,360.0," Lebanese manakish (flatbread) with za'atar and olive oil (350kcals per portion, 2 portions, origin", Kale chips, Tomato and Mozzarella Bruschetta, Moroccan Mint Tea, Vegan Chili
34,200.0,80.0,160.0,20.0,200.0, Vegetable Frittata, Cheesy Popcorn," Vegan Spinach and Artichoke Stuffed Mushrooms - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Spinach and Feta Stuffed Mushrooms - 200 calories/portion, 4 portions, Origin"
35,500.0,80.0,200.0,20.0,420.0," Filipino longganisa sausage with garlic rice and fried egg (500kcals per portion, 2 portions, origin", Fruit Salad," Vegan Pumpkin Pancakes - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Caprese Pizza - 420kcals per portion, 2 portions, contains dairy (Italy)
"
36,300.0,80.0,100.0,20.0,450.0, Vegan Breakfast Tiramisu, Baked Apple Chips, Greek yogurt with mixed berries, Moroccan Mint Tea," Indian Vegetable Biryani (450 calories/portion, 3 portions) - India
"
37,400.0,80.0,140.0,20.0,320.0, Vegan Breakfast Stuffed Peppers - 400 calories per portion | 1 portion | None | Origin, Stuffed Dates," Vegan Greek Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Kung Pao Tofu
38,550.0,90.0,150.0,20.0,220.0, Breakfast Nachos, Fruit Salad," Tabbouleh Salad - 150 kcals per portion, 4 portions, contains gluten (Lebanon)", Moroccan Mint Tea, Quinoa and Vegetable Stir Fry
39,250.0,80.0,250.0,20.0,300.0," Tofu scramble with vegetables (250kcals per portion, 2 portions, soy allergies, origin", Stuffed Dates, Sweet potato and black bean sliders, Moroccan Mint Tea," Vegetarian Shepherd's Pie - 300 calories/portion, 6 portions, Origin"
40,50.0,80.0,250.0,20.0,450.0, Vegan Breakfast Sushi Burrito, Fruit Salad," Fiery Veggie Stir-Fry - 250 kcals per portion, 2 portions, contains soy (Various)", Moroccan Mint Tea, Mushroom Risotto
41,250.0,80.0,290.0,20.0,500.0, Spinach and Mushroom Oatmeal, Fruit Salad," Antipasto Skewers - 290 kcals per portion, 3 portions, contains dairy (Italy)", Moroccan Mint Tea, Caprese Stuffed Chicken Breast
42,50.0,80.0,230.0,20.0,400.0, Vegan Breakfast Energy Balls, Fruit Salad," Smoked Salmon Canapés - 230 kcals per portion, 4 portions, contains gluten, fish (Various)", Moroccan Mint Tea, Vegan Phyllo Pie
43,400.0,70.0,220.0,20.0,300.0, Vegan Tofu Benedict - 400 calories per portion | 1 portion | Contains soy | Origin, Kale chips, Veggie Mediterranean Flatbread, Moroccan Mint Tea," Chickpea Curry - 300 calories per portion, 4 portions, may contain mustard"
44,400.0,80.0,160.0,20.0,300.0," Quinoa porridge with coconut milk - 400 calories per portion, 2 portions, no allergic warnings, origin", Avocado Deviled Eggs," Vegan Taco Lettuce Wraps - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," British Vegan Ploughman's Lunch (300 calories/portion, 3 portions) - United Kingdom
"
45,320.0,90.0,90.0,20.0,350.0," Sweet corn pancakes with tomato and avocado salsa (320 calories per portion, 2 portions, nut-free, American origin)
", Vegetarian Spring Rolls, Feta and spinach stuffed mushrooms, Moroccan Mint Tea," Greek Salad with Grilled Chicken - 350 calories per portion, 4 portions, contains dairy (cheese), Origin"
46,350.0,80.0,680.0,20.0,250.0," Apple cinnamon quinoa breakfast bowl (350 calories per portion, 2 portions, nut-free, American origin)
", Baked Apple Chips, Vegan Protein Bars, Moroccan Mint Tea," Falafel - 250 calories per portion, 4 portions, Gluten, Middle East

"
47,280.0,90.0,170.0,20.0,400.0," Oatmeal with apples and cinnamon (280 calories per portion, 2 portions, nut-free, American origin)
", Stuffed Dates, Vegetable Sushi Rolls, Moroccan Mint Tea," Vegetable Lasagna - 400 calories/portion, 6 portions, Origin"
48,200.0,80.0,200.0,20.0,350.0, Spinach Tomato Feta Frittata, Fruit Salad, Quinoa Salad, Moroccan Mint Tea, Ratatouille Quiche
49,500.0,80.0,180.0,20.0,188.0, Turkish Simit, Mango with Chili Powder, Rice paper rolls with shrimp and vegetables, Moroccan Mint Tea, Lentil and Vegetable Stir Fry
50,300.0,90.0,250.0,20.0,350.0, Avocado Toast, Fruit Salad, Mini Chicken Tacos, Moroccan Mint Tea," Japanese Vegan Hiyashi Chuka (350 calories/portion, 2 portions) - Japan
"
51,400.0,80.0,640.0,20.0,300.0, Veggie Biscuits and Gravy, Mango with Chili Powder, Vegan Tofu Scramble, Moroccan Mint Tea, Vegan Soba Noodle Stir-Fry
52,400.0,80.0,160.0,20.0,350.0, Breakfast Quesadilla, Fruit Salad," Vegan Broccoli and Cheese Bites - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Moroccan Chickpea Stew
53,600.0,80.0,140.0,20.0,500.0, English Breakfast, Energy Balls," Caprese pinwheels (tortilla with mozzarella, tomato, basil)", Moroccan Mint Tea," Beef Bulgogi - 500 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
54,500.0,50.0,250.0,20.0,250.0," Vietnamese pho noodle soup with beef (500kcals per portion, 2 portions, origin"," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Thai Mango Sticky Rice, Moroccan Mint Tea," Vegan Tofu Scramble - 250 calories per portion, 4 portions, None, Various
"
55,300.0,60.0,180.0,20.0,300.0, Omelette with Spinach and Feta, Fruit Salad - Approx, Chocolate Peanut Butter Protein Balls, Moroccan Mint Tea, Lentil Meatballs in Marinara Sauce
56,350.0,50.0,170.0,20.0,200.0," Irish soda bread with butter and jam - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Baked Apple Chips - Approx, Mini Quiches, Moroccan Mint Tea, Mediterranean Stuffed Eggplant
57,500.0,50.0,150.0,20.0,200.0, Waffles with Strawberries and Whipped Cream," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Carrot Hummus with Pita Chips, Moroccan Mint Tea," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin"
58,200.0,50.0,150.0,20.0,380.0, Vegan Breakfast Frittata," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Pineapple and Coconut Energy Balls, Moroccan Mint Tea," Quinoa Fried Rice - 380kcals per portion, 4 portions, contains egg
"
59,450.0,80.0,60.0,20.0,350.0, Vegan Breakfast Lassi, Energy Balls, Caprese Skewers, Moroccan Mint Tea, Vegan Ravioli
60,300.0,50.0,80.0,20.0,420.0, Overnight Cherry Almond Oats," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Rice Paper Veggie Rolls - 80 kcals per portion, 4 portions, contains soy (Vietnam)", Moroccan Mint Tea," Spicy honey glazed shrimp with jasmine rice - 420 kcals per portion, 2 portions, contains shellfish
"
61,250.0,80.0,170.0,20.0,250.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Mango with Chili Powder, Mini Quiches, Moroccan Mint Tea," Veggie fajitas - 250 calories per portion, 4 portions, contains gluten (Mexico)
"
62,200.0,80.0,80.0,20.0,300.0," Vegetable omelette - 200 calories per portion, 2 portions, no allergic warnings, origin", Fruit Salad," Veggie Spring Rolls with Peanut Sauce - 80 kcals per portion, 4 portions, allergic warning (peanuts), origin", Moroccan Mint Tea, Lentil and Vegetable Curry
63,300.0,90.0,200.0,20.0,270.0, Egg Salad Sandwich, Vegetarian Spring Rolls, Fruit Kabobs with Chocolate Sauce, Moroccan Mint Tea," Spinach and Feta Puff Pastry Bites - 270kcals per portion, 4 portions, contains dairy
"
