,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,250.0,150.0,200.0,200.0,400.0, Banana Bread, Chia Pudding, Banana Bread, Greek spanakopita," Veggie Pad Thai - 400 calories/portion, 4 portions, Origin"
2,300.0,150.0,120.0,450.0,350.0, Greek Yogurt with Berries and Granola, Veggie Omelette, Tomato Mozzarella Skewers," Greek Gyro Wrap - 450kcals per portion, 1 portion, contains gluten, dairy (Greece)
", Portobello Mushroom Burger
3,200.0,150.0,250.0,350.0,250.0, Tomato Basil Tofu Scramble, Mango Coconut Chia Popsicles, Stuffed Mushrooms, Mexican stuffed bell peppers," Mexican Corn Salad - 250 calories/portion, 4 portions, contains cilantro (Mexico)
"
4,300.0,120.0,180.0,390.0,350.0, Veggie Breakfast Quesadilla, Raspberry Chia Seed Jam, Pita Bread with Hummus," Tomato and Mozzarella Panini - 390kcals per portion, 1 portion, contains gluten, dairy (Italy)
", Veggie Tacos
5,200.0,120.0,250.0,200.0,300.0, Tomato Basil Tofu Scramble, Cottage Cheese with Tomato, Guacamole with Tortilla Chips, Greek vegetarian stuffed peppers," Spinach and feta phyllo triangles - 300 calories per portion, 4 portions, contains gluten and dairy (Greece)
"
6,150.0,70.0,80.0,370.0,450.0, Fruit Smoothie, Fresh Fruit Salad, Roasted Cauliflower Bites," Lentil and Rice Burritos - 370kcals per portion, 2 portions, contains legumes, gluten (Mexico)
"," Spinach and Mushroom Lasagna - 450 calories/portion, 4 portions, contains gluten (Italy)
"
7,400.0,150.0,220.0,280.0,200.0, Veggie Bagel Sandwich, Pumpkin Energy Balls, Quinoa Salad," Greek Stuffed Eggplant - 280kcals per portion, 4 portions, no allergies, Origin"," Spinach and Feta Stuffed Peppers - 200 calories/portion, 4 portions, Origin"
8,400.0,120.0,280.0,250.0,300.0, Veggie Breakfast Pizza Rolls, Beetroot Hummus, Veggie and Cream Cheese Roll-ups, Lentil and vegetable moussaka, Mediterranean Vegetable Tart
9,300.0,120.0,150.0,300.0,350.0, Vegan Berry Protein Smoothie Bowl, Cucumber Rolls, Baked Potato Wedges," Creamy Tomato Soup - 300kcals per portion, 2 portions, contains dairy, Origin"," Black Bean and Corn Salad - 350 calories/portion, 4 portions, Origin"
10,250.0,150.0,150.0,400.0,350.0, Cucumber Sandwich, Caprese Salad, Zucchini Fritters, Roasted Butternut Squash Salad, Stuffed Bell Peppers with Rice and Beans
11,250.0,90.0,250.0,200.0,280.0, Overnight Chia Oats, Vegetarian Spring Rolls, Guacamole with Tortilla Chips, Caponata," Lentil Curry - 280kcals per portion, 4 portions, contains legumes (India)
"
12,300.0,120.0,250.0,450.0,450.0, Irish Soda Bread, Veggie Fritters, Stuffed Mushrooms, Mexican Quinoa Bowl, Veggie Pad Thai
13,300.0,150.0,120.0,400.0,340.0, Classic Peanut Butter and Jelly, Homemade Energy Balls, Greek Yogurt Dip with Veggies, Quinoa Salad," Quinoa and Black Bean Burger - 340kcals per portion, 4 portions, contains legumes
"
14,300.0,100.0,220.0,300.0,450.0, Cheesy Grits, Kiwi and Strawberry Smoothie, Strawberry Banana Smoothie, Avocado and Tomato Sandwich," Spinach and Ricotta Stuffed Shells with Marinara Sauce - 450 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
15,450.0,80.0,280.0,600.0,200.0, Nutella Stuffed French Toast, Fresh Squeezed Orange Juice, Veggie Pita Pockets, Spinach and Ricotta Manicotti," Caprese Skewers - 200 calories/portion, 4 portions, contains dairy (Italy)
"
16,300.0,150.0,150.0,400.0,400.0, Apple Cinnamon French Toast Casserole, Oatmeal Raisin Energy Bites, Roasted Chickpeas, Veggie Fried Rice," Mushroom risotto - 400 calories per portion, 4 portions, contains dairy (Italy)
"
17,200.0,150.0,200.0,250.0,250.0, Tofu Scramble, Fruit Smoothie, Mini Bagel Pizzas, Vegetable chow mein," Vegetable Stir Fry - 250 calories/portion, 4 portions, Origin"
18,300.0,100.0,130.0,900.0,350.0, Apple Cinnamon Porridge, Cucumber and Tomato Salad, Veggie Taco Cups, Black Bean Enchiladas," Caprese Quinoa Stuffed Peppers - 350 calories/portion, 4 portions, Origin"
19,450.0,100.0,250.0,400.0,300.0, Nutella Stuffed French Toast, Carrot Sticks with Ranch Dip, Quinoa Salad, Vegan Caesar Salad," Spinach and Feta Stuffed Phyllo Triangles - 300 calories/portion, 4 portions, contains gluten and dairy (Greece)
"
20,250.0,150.0,200.0,250.0,350.0, Quinoa Porridge, Oven-Baked Onion Rings, Bruschetta with Mozzarella and Basil, Vegetable and tofu pad Thai, Veggie Noodle Stir-Fry
21,300.0,150.0,150.0,320.0,350.0, Tomato Basil Avocado Toast, Veggie Roll-Up, Baked Potato Wedges," Quinoa and Black Bean Salad - 320kcals per portion, 2 portions, contains legumes
", Sweet Potato and Black Bean Enchiladas
22,350.0,100.0,80.0,500.0,240.0, Coconut Chia Pudding, Guacamole Stuffed Cherry Tomatoes, Vegetable Soup, Ratatouille Tart," Caprese Stuffed Avocado - 240kcals per portion, 4 portions, contains dairy (Italy)
"
