,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,150.0,50.0,200.0,20.0,300.0, Chia Pudding," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Baked pita chips with tzatziki, Moroccan Mint Tea, Quinoa Stuffed Peppers
2,280.0,50.0,100.0,100.0,400.0," Avocado toast with smoked salmon (280 calories per portion, 2 portions, contains fish, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Cheese and bacon stuffed mushrooms, Israeli salad, Vegan Tofu Katsu Curry
3,320.0,60.0,160.0,120.0,450.0," Ricotta and berry-stuffed crepes (320 calories per portion, 2 portions, contains dairy, French origin)
", Cucumber and tomato salad, Baked Sweet Potato Fries," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Lemon herb grilled salmon with quinoa and roasted vegetables – 450 calories per portion, 2 portions, contains fish
"
4,300.0,50.0,100.0,120.0,400.0," Cheese omelette - 300 calories per portion, 1 portion, no allergic warnings, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin"," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Mushroom and truffle risotto - 400 calories per portion, 4 portions, contains gluten and dairy (Italy)
"
5,250.0,60.0,150.0,100.0,500.0, Ragi (Finger Millet) Pancakes, Cucumber and tomato salad, Lentil Soup, Israeli salad," Chicken Korma - 500 calories per portion, 4 portions, contains dairy (cream), Origin"
6,300.0,60.0,180.0,120.0,400.0," Shakriya (Lebanese rice pudding) - 300 calories per portion, 2 portions, contains dairy, origin", Fruit Salad - Approx, Blueberry Muffins," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
"," Vegan Lentil Bolognese - 400 calories/portion, 4 portions, contains gluten (Italy)
"
7,200.0,60.0,200.0,100.0,280.0, Vegan Oatmeal Raisin Cookies - 200 calories per portion | 2 portions | Contains gluten | Origin, Cucumber and tomato salad, Chicken lettuce wraps, Israeli salad, Vegan Quiche
8,350.0,50.0,120.0,100.0,250.0, Banana Walnut Bread," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Tomato Mozzarella Skewers, Israeli salad, Portobello Mushroom Steaks
9,350.0,50.0,220.0,120.0,250.0," Veggie-packed breakfast casserole (350 calories per portion, 2 portions, nut-free, American origin)
"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Mango Salsa with Tortilla Chips," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Indian Vegan Baingan Bharta (250 calories/portion, 4 portions) - India
"
10,350.0,50.0,280.0,20.0,320.0, Vegan Breakfast Stuffed Peppers," Fruit Salad - 50kcals per portion, 2 portions
   Origin", Veggie and Cream Cheese Roll-ups, Moroccan Mint Tea, Mediterranean Vegan Wrap
