,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,300.0,220.0,100.0,100.0,400.0," Turkish Menemen with eggs, tomatoes, and peppers (300kcals per portion, 2 portions, origin", Vegan Apple Cinnamon Muesli," Roasted Cauliflower Hummus - 100 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad," Stuffed Bell Peppers with Ground Beef and Rice - 400 calories per portion, 4 portions, no allergic warnings, Origin"
2,350.0,180.0,100.0,100.0,350.0," Indian masala dosa with chutney and sambar (350kcals per portion, 2 portions, origin", Strawberry and banana smoothie, Tomato Basil Soup, Israeli salad," Caprese Tortellini Skewers - 350 calories/portion, 4 portions, contains gluten and dairy (Italy)
"
3,250.0,250.0,180.0,20.0,380.0, Vegan Chocolate Banana Chia Pudding - 250 calories per portion | 2 portions | None | Origin, Vegan Breakfast Tacos, Apple Slices with Cinnamon Yogurt Dip, Moroccan Mint Tea," Sweet and sour tofu with jasmine rice – 380 calories per portion, 3 portions, vegan-friendly (origin"
4,450.0,230.0,180.0,20.0,350.0, Quinoa Breakfast Bowl, Veggie Quesadillas," Berry Parfait - 180 kcals per portion, 2 portions, contains dairy (Various)", Moroccan Mint Tea," Curried vegetable couscous - 350 calories per portion, 4 portions, contains gluten
"
5,350.0,250.0,150.0,20.0,350.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Muesli Parfait - Approx, Olive Tapenade Crostini, Moroccan Mint Tea, Vegan Gyros
6,550.0,150.0,200.0,100.0,300.0, Breakfast Pizza," Baked Zucchini Fries - 150kcals per portion, 2 portions
    Origin"," Poppy Seed Muffins - 200 kcals per portion, 3 portions, contains gluten (Various)", Israeli salad," Vegetable stir-fry with tofu (300 calories per portion, 3 portions, contains soy, origin"
7,450.0,100.0,80.0,20.0,312.0," Breakfast burrito - 450 calories per portion, 1 portion, may contain gluten, origin", Baked Apple Chips, Vegetable Soup, Moroccan Mint Tea, Vegan Enchiladas
8,350.0,180.0,140.0,100.0,200.0," Banana pecan pancakes (350 calories per portion, 2 portions, contains nuts, American origin)
", Vegan Cornbread," Vegan Lemon Bars - 140 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Quinoa Salad
9,300.0,300.0,290.0,20.0,200.0," Greek yogurt parfait with mixed berries and honey (300kcals per portion, 1 portion, origin", Vegetable Potstickers with Soy Dipping Sauce," Baked Brie with Cranberry Sauce - 290 kcals per portion, 2 portions, contains dairy (France)", Moroccan Mint Tea, Greek Salad
10,350.0,200.0,300.0,100.0,400.0, Vegan Spinach and Mushroom Quiche - 350 calories per portion | 1 portion | Contains gluten | Origin, Vegan Blueberry Chia Pudding, Mediterranean feta and olive tortilla wraps, Israeli salad, Thai Red Curry
11,350.0,180.0,280.0,100.0,380.0," South African melktert (milk tart) with cinnamon (350kcals per portion, 2 portions, origin", Vegan Date and Nut Bars," Greek Spanakopita - 280 kcals per portion, 3 portions, contains gluten, dairy (Greece)", Israeli salad," Teriyaki salmon with steamed broccoli - 380 kcals per portion, 2 portions, contains soy, gluten
"
12,380.0,250.0,130.0,20.0,400.0," Peanut butter and jelly overnight oats (380 calories per portion, 2 portions, contains nuts, American origin)
", Vegetable Couscous Salad, Veggie Taco Cups, Moroccan Mint Tea," Honey Sesame Chicken - 400 calories per portion, 4 portions, contains gluten (soy sauce), Origin"
13,500.0,250.0,250.0,100.0,300.0," Iranian kaleh pacheh (sheep's head and hoof soup) - 500 calories per portion, 2 portions, no allergic warnings, origin", Strawberry Shortcake, Sweet potato and black bean sliders, Israeli salad," Moroccan Vegetable Lentil Stew (300 calories/portion, 4 portions) - Morocco
"
14,350.0,250.0,150.0,20.0,300.0, Chocolate Banana Smoothie Bowl," French Toast Sticks - 250kcals per portion, 1 portion
    Origin", Greek Yogurt with Fresh Berries, Moroccan Mint Tea, Mexican Quinoa Bowl
15,350.0,190.0,200.0,20.0,300.0," Vegetarian breakfast quiche with broccoli and feta (350 calories per portion, 2 portions, contains dairy, American origin)
", Pumpkin Oatmeal Muffins, Caramelized Onion and Gruyere Tart, Moroccan Mint Tea," Zucchini Noodles with Pesto - 300 calories/portion, 4 portions, Origin"
16,450.0,250.0,90.0,100.0,300.0," Mexican chilaquiles with salsa verde and cheese (450kcals per portion, 2 portions, origin", Banana Bread," Vegan Sweet Potato Toast - 90 kcals per portion, 4 portions, no allergic warnings, origin", Israeli salad, Lentil Soup
17,200.0,80.0,200.0,100.0,300.0, Mini Vegetable Quiche, Fruit Salad, Roasted Vegetable and Hummus Wraps, Israeli salad," Ratatouille Stuffed Zucchini - 300 calories per portion, 4 portions, None, France

"
18,400.0,160.0,200.0,100.0,400.0," Caprese breakfast sandwich with avocado (400 calories per portion, 2 portions, contains dairy, Italian origin)
", Quinoa Stuffed Mushrooms, Mini chicken empanadas, Israeli salad, Moroccan Couscous with Roasted Vegetables
19,380.0,120.0,90.0,100.0,350.0," Greek-style baked eggs with spinach and feta (380 calories per portion, 2 portions, nut-free, Greek origin)
", Cucumber and dill cream cheese rolls, Cinnamon roasted chickpeas, Israeli salad," Greek Spanakopita (350 calories/portion, 3 portions) - Greece
"
20,400.0,90.0,220.0,100.0,350.0," Egyptian feteer meshaltet (layered pastry) with honey - 400 calories per portion, 2 portions, contains gluten, origin", Vegetarian Spring Rolls," Avocado Toast - 220 kcals per portion, 3 portions, contains gluten (Various)", Israeli salad," Greek Stuffed Peppers with Rice and Feta - 350kcals per portion, 4 portions, contains dairy
"
21,400.0,120.0,80.0,100.0,250.0, Vegetarian Breakfast Casserole, Carrot Sticks with Hummus, Asian Cucumber Salad, Israeli salad," Greek Spinach Pie (Spanakopita) - 250 calories/portion, 6 portions, Origin"
22,300.0,200.0,250.0,100.0,400.0, Mushroom and Spinach Vegan Quiche, Greek Yogurt with Honey and Berries, Spinach and Mushroom Stuffed Phyllo Triangles, Israeli salad," Stuffed Bell Peppers with Ground Beef and Rice - 400 calories per portion, 4 portions, no allergic warnings, Origin"
23,550.0,300.0,80.0,100.0,350.0, Vegan Breakfast Pesto Pasta, Blueberry Muffins, Mini spinach and mushroom quiche, Israeli salad," Vegetarian bibimbap - 350 calories per portion, 4 portions, contains gluten and soy (Korea)
"
24,250.0,200.0,180.0,100.0,400.0, Blueberry Oatmeal Breakfast Bars, Berry Smoothie Bowl, Sweet and Spicy Roasted Almonds, Israeli salad," Eggplant and Tomato Pasta - 400 calories/portion, 4 portions, Origin"
25,200.0,150.0,120.0,100.0,250.0, Quinoa Veggie Breakfast Skillet, Homemade Trail Mix - Approx, Tuna Stuffed Avocado, Israeli salad, Vegan Sushi Bowl
26,200.0,200.0,320.0,20.0,300.0, Vegetarian Quiche, Blueberry Muffins, Spicy Peanut Noodles, Moroccan Mint Tea," Greek Chickpea Patties - 300 calories/portion, 4 portions, contains gluten (Greece)
"
27,400.0,160.0,290.0,100.0,300.0," Cheese and beef sausage omelet (400kcals per portion, 2 portions, dairy allergies, origin", Apple Chips," Baked Brie with Cranberry Sauce - 290 kcals per portion, 2 portions, contains dairy (France)", Israeli salad, Vegan Lentil Tacos
28,350.0,200.0,200.0,20.0,200.0," Mediterranean-style omelette with tomatoes and feta (350 calories per portion, 2 portions, contains dairy, Greek origin)
"," Energy Balls (with nuts and dried fruits) - 200kcals per portion, 1 portion
    Origin", Stuffed Grape Leaves, Moroccan Mint Tea, Zucchini Noodles with Pesto
