,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,200.0,150.0,70.0,20.0,180.0, Tomato Basil Tofu Scramble, Almond Butter Energy Bites - Approx, Fruit Salad, Moroccan Mint Tea," Moroccan Lentil Soup - 180 calories per portion, 6 portions, no allergic warnings, Origin"
2,300.0,120.0,150.0,20.0,270.0, Shakarkandi ki Chaat (Sweet Potato Chaat), Almond Biscotti, Mixed berry salad with honey citrus dressing, Moroccan Mint Tea," Greek Briam with Feta Cheese - 270kcals per portion, 4 portions, contains dairy
"
3,350.0,120.0,160.0,20.0,200.0, Quinoa Breakfast Bake, Sautéed Brussels Sprouts, Veggie Sausage Rolls, Moroccan Mint Tea," Ratatouille - 200 calories per portion, 6 portions, no allergic warnings, Origin"
4,300.0,120.0,280.0,20.0,250.0, Vegan Omelette, Almond Biscotti, Mediterranean Hummus Wrap, Moroccan Mint Tea," Mexican Zucchini Boats - 250 calories/portion, 4 portions, contains cheese (Mexico)
"
5,250.0,150.0,200.0,20.0,300.0, Vegan Breakfast Strata, Caprese Skewers, Mini Ricotta and Spinach Pastries, Moroccan Mint Tea, Falafel with Tzatziki Sauce
6,250.0,150.0,280.0,20.0,350.0, Vegan Breakfast Quesadillas, Bruschetta with Tomato and Basil - Approx, Sweet Potato and Black Bean Quesadillas, Moroccan Mint Tea, Indonesian Nasi Goreng
7,200.0,100.0,120.0,20.0,300.0, Overnight Chia Pudding, Cucumber and Hummus Rolls, Miso Soup with Tofu, Moroccan Mint Tea," Ratatouille Stuffed Zucchini - 300 calories per portion, 4 portions, None, France

"
8,400.0,120.0,220.0,20.0,350.0," Iraqi masgouf (grilled fish) with flatbread - 400 calories per portion, 2 portions, contains gluten, origin", Hummus with Veggies," Poppy Seed Cake - 220 kcals per portion, 3 portions, contains gluten (Various)", Moroccan Mint Tea," Mexican Rice Casserole - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
9,300.0,150.0,120.0,20.0,300.0," Yogurt and fruit smoothie with almond milk (300kcals per portion, 1 portion, nut allergies)
"," Chickpea Salad - 150kcals per portion, 2 portions
    Origin", Vegan Energy Balls, Moroccan Mint Tea," Mediterranean Orzo Salad - 300 calories per portion, 4 portions, contains gluten (pasta), Origin"
10,150.0,90.0,120.0,20.0,250.0, Vegan Breakfast Fajitas, Quinoa Energy Bites, Greek Yogurt Parfait, Moroccan Mint Tea," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin"
11,400.0,150.0,220.0,20.0,200.0," Nigerian plantain porridge - 400 calories per portion, 2 portions, no allergic warnings, origin"," Tomato and Mozzarella Skewers - 150kcals per portion, 2 portions
    Origin", Roasted Red Pepper and Feta Crostini, Moroccan Mint Tea," Stuffed grape leaves (Dolmas) - 200 calories per portion, 4 portions, contains nuts (Middle East)
"
12,500.0,100.0,180.0,20.0,380.0, Blueberry Pancakes, Vegetable Crudité with Hummus, Rice paper rolls with shrimp and vegetables, Moroccan Mint Tea," Quinoa-Stuffed Cabbage Rolls - 380kcals per portion, 4 portions
"
13,300.0,100.0,200.0,20.0,300.0," Spinach and feta pastry turnovers (300kcals per portion, 2 portions, dairy allergies)
", Cucumber Slices with Tzatziki - Approx, Banana Bread, Moroccan Mint Tea, Veggie Korma
14,400.0,150.0,220.0,20.0,350.0," Huevos divorciados (Mexican-style eggs with red and green salsa) (400 calories per portion, 2 portions, nut-free, Mexican origin)
", Apple slices with almond butter, Cucumber and cream cheese sandwiches, Moroccan Mint Tea," Thai Pineapple Fried Rice (350 calories/portion, 3 portions) - Thailand
"
15,200.0,150.0,180.0,20.0,380.0, Greek Yogurt Pancakes, Almond Butter Banana Bites - Approx, Banana-nut muffins, Moroccan Mint Tea," Vegetarian enchilada casserole with black beans and cheese - 380 kcals per portion, 4 portions, vegetarian, contains gluten
"
16,380.0,100.0,90.0,20.0,350.0," Sausage and egg breakfast burrito (380 calories per portion, 2 portions, contains eggs, American origin)
", Caprese Skewers, Watermelon and Mint Salad, Moroccan Mint Tea," Vegetable Korma - 350 calories/portion, 4 portions, contains nuts (India)
"
17,350.0,100.0,300.0,20.0,320.0," Quinoa breakfast cookies with dried fruits and nuts (350 calories per portion, 2 portions, contains nuts, American origin)
", Cucumber Sandwiches, Veggie Quesadilla, Moroccan Mint Tea, Vegan Lentil Meatballs
18,250.0,100.0,140.0,20.0,250.0," Shakarkandi ki chaat (Indian sweet potato salad) - 250 calories per portion, 2 portions, no allergic warnings, origin", Cucumber Sandwich, Melon and Prosciutto Skewers, Moroccan Mint Tea," Tofu and vegetable kabobs - 250 calories per portion, 4 portions, contains soy
"
19,350.0,150.0,200.0,20.0,300.0," Rwandan akabenz (fried plantains) with yogurt - 350 calories per portion, 2 portions, contains dairy, origin", Almond Butter Banana Bites - Approx, Baked pita chips with tzatziki, Moroccan Mint Tea, Tofu Stir Fry with Black Bean Sauce
20,350.0,150.0,620.0,20.0,300.0," Indian masala dosa with chutney and sambar (350kcals per portion, 2 portions, origin", Antipasto Skewers, Bean Burritos, Moroccan Mint Tea, Sweet Potato and Lentil Curry
21,400.0,90.0,90.0,20.0,350.0," Chilean completo (hot dog with toppings) - 400 calories per portion, 1 portion, contains gluten, origin", Turkish-style boiled eggs, Chicken satay skewers, Moroccan Mint Tea," Spinach and Mushroom Risotto - 350 calories per portion, 4 portions, None, Italy
"
22,250.0,150.0,150.0,20.0,350.0, Vegan Breakfast Bruschetta, Puffed Rice Bars, Roasted Red Pepper and Feta Dip, Moroccan Mint Tea," Quinoa-stuffed bell peppers - 350 kcals per portion, 4 portions, vegetarian, gluten-free
"
23,300.0,100.0,90.0,20.0,300.0," Yogurt parfait with granola and fruit - 300 calories per portion, 1 portion, may contain gluten, origin", Fruit Salad, Chicken satay skewers, Moroccan Mint Tea," Mexican Black Bean Tacos (300 calories/portion, 2 portions) - Mexico
"
24,200.0,100.0,150.0,20.0,250.0, Veggie Breakfast Wrap with Tofu Scramble, Fruit salad, Pita Bread with Baba Ganoush, Moroccan Mint Tea," Mexican Corn Salad - 250 calories/portion, 4 portions, contains cilantro (Mexico)
"
25,400.0,160.0,200.0,20.0,200.0," Banana pancakes - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Tomato and mozzarella skewers, Roasted beet and goat cheese salad, Moroccan Mint Tea, Vegan Chili
26,300.0,100.0,350.0,20.0,300.0, Greek Yogurt with Berries and Granola, Fruit Salad, Avocado and black bean quesadilla, Moroccan Mint Tea," Moroccan Vegetable Lentil Stew (300 calories/portion, 4 portions) - Morocco
"
27,250.0,150.0,100.0,20.0,250.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin, Oven-Baked Onion Rings," Baked Tofu Nuggets - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Borscht with sour cream – 250 calories per portion, 6 portions, contains dairy (origin"
28,200.0,150.0,220.0,20.0,250.0, Mini Vegetable Quiche, Green Smoothie, Waldorf salad, Moroccan Mint Tea," Chickpea Stew - 250 calories per portion, 6 portions, Allergic to legumes, Middle East
"
29,350.0,100.0,160.0,20.0,301.0," Russian syrniki (cottage cheese pancakes) - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Quinoa Energy Bites," Vegan Broccoli and Cheese Bites - 160 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Gnocchi
30,350.0,160.0,140.0,20.0,200.0, Veggie Breakfast Wrap, Bruschetta, Greek Yogurt Bark, Moroccan Mint Tea, Greek Salad
31,350.0,160.0,180.0,20.0,380.0," Yogurt and fruit smoothie bowl (350 calories per portion, 2 portions, contains dairy, American origin)
", Rice Cakes with Almond Butter, Veggie Quesadillas, Moroccan Mint Tea," Lemon garlic grilled tofu with quinoa and roasted vegetables – 380 calories per portion, 3 portions, vegan-friendly
"
32,400.0,120.0,300.0,20.0,300.0, Vegetarian Quiche Lorraine, Cucumber and hummus rolls, Mini Beef Empanadas, Moroccan Mint Tea," Tuscan white bean and vegetable soup (300 calories per portion, 4 portions, vegan-friendly, origin"
33,250.0,120.0,240.0,20.0,300.0, Cheesy Spinach Pita Pocket, Roasted Brussels Sprouts," Matzah with Cream Cheese - 240 kcals per portion, 3 portions, contains dairy (Jewish)", Moroccan Mint Tea, Lentil Soup with Bread
34,400.0,80.0,120.0,20.0,250.0," Malaysian roti canai with curry dipping sauce (400kcals per portion, 2 portions, origin", Fresh Watermelon Slices - Approx," Caprese salad skewers (cherry tomatoes, mozzarella, basil)", Moroccan Mint Tea," Indian Aloo Gobi (250 calories/portion, 4 portions) - India
"
35,300.0,100.0,140.0,20.0,350.0, Hash Brown Casserole, Fruit Smoothie Popsicles - Approx," Vegan Mediterranean Pasta Salad - 140 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Mexican Quinoa Stuffed Zucchini - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
36,400.0,120.0,140.0,20.0,380.0, Vegan Breakfast Hand Pies, Oatmeal Cookie, Crispy Baked Potato Skins, Moroccan Mint Tea," Vegetable Curry with Coconut Milk - 380kcals per portion, 4 portions, contains nuts
"
37,300.0,80.0,120.0,20.0,350.0, Vegan Omelette, Kale Chips, Spinach and Ricotta Stuffed Mushrooms, Moroccan Mint Tea," Sweet Potato, Black Bean, and Spinach Quesadillas - 350 calories/portion, 4 portions, contains gluten (Mexico)
"
38,400.0,150.0,90.0,20.0,270.0, Vegan Breakfast Spanakopita, Baked Sweet Potato Fries - Approx, Watermelon and Mint Salad, Moroccan Mint Tea," Spinach and Feta Puff Pastry Bites - 270kcals per portion, 4 portions, contains dairy
"
39,320.0,100.0,150.0,20.0,312.0," Caramelized onion and goat cheese tart (320 calories per portion, 2 portions, contains dairy, French origin)
", Kiwi and Strawberry Smoothie, Cucumber and Cream Cheese Sandwiches, Moroccan Mint Tea, Vegan Kung Pao Tofu
40,350.0,150.0,540.0,20.0,350.0," Moroccan baghrir (semolina pancakes) with honey and melted butter (350kcals per portion, 2 portions, origin", Green smoothie, Stuffed Bell Peppers, Moroccan Mint Tea," Vegan Cauliflower Fried Rice - 350 calories per portion, 4 portions, None, China
"
41,400.0,100.0,200.0,20.0,240.0," Chinese congee with chicken and ginger (400kcals per portion, 2 portions, origin", Fresh Juice - Approx," Vegan Mango Smoothie Bowl - 200 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea, Vegan Lentil Soup
42,350.0,150.0,80.0,20.0,300.0," Middle Eastern labneh with za'atar and bread - 350 calories per portion, 2 portions, contains gluten and dairy, origin", Oatmeal Raisin Cookies, Stuffed Mini Peppers, Moroccan Mint Tea," Mediterranean Orzo Salad - 300 calories per portion, 4 portions, contains gluten (pasta), Origin"
43,550.0,150.0,150.0,20.0,250.0, Vegan Breakfast Cobbler, Oven-Baked Onion Rings, Mini quinoa sliders, Moroccan Mint Tea, Cauliflower Fried Rice
44,350.0,150.0,160.0,20.0,250.0, Huevos Rancheros, Baked Egg Cups," Mini Bagel Pizzas - 160 kcals per portion, 4 portions, contains gluten, dairy (USA)", Moroccan Mint Tea, Mushroom Risotto
45,300.0,150.0,120.0,20.0,250.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin, Mixed Berry Smoothie, Fruit Smoothie, Moroccan Mint Tea," Baked Cod with Lemon and Garlic - 250 calories per portion, 4 portions, no allergic warnings, Origin"
46,400.0,150.0,180.0,20.0,250.0," Lebanese fatteh (pita chips soaked in yogurt and topped with nuts) - 400 calories per portion, 2 portions, contains gluten and dairy, origin", Vegan Gingerbread Cookies, Mini spanakopita triangles (spinach and feta), Moroccan Mint Tea, Black Bean Tacos
47,500.0,100.0,200.0,20.0,350.0," Malaysian nasi lemak (coconut rice with condiments) - 500 calories per portion, 2 portions, contains gluten, origin", Kiwi and Strawberry Smoothie, Zucchini and Feta Fritters, Moroccan Mint Tea," Spinach and Ricotta Stuffed Shells - 350 calories per portion, 4 portions, contains gluten (pasta), Origin"
48,300.0,120.0,160.0,20.0,150.0, Veggie Bagel Sandwich, Date Balls, Baked Sweet Potato Fries, Moroccan Mint Tea," Lentil Soup - 150 calories per portion, 4 portions, may contain soy and gluten"
49,300.0,150.0,200.0,20.0,300.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Roasted Garlic Hummus, Baked falafel with tahini sauce, Moroccan Mint Tea," Lemon Herb Grilled Shrimp - 300 calories per portion, 4 portions, contains shellfish, Origin"
50,450.0,120.0,100.0,20.0,300.0, Breakfast Tostadas, Bell pepper and cream cheese roll-ups," Homemade Hummus with Carrot Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
"
51,150.0,100.0,200.0,20.0,250.0, Vegan Breakfast Fruit Pizza, Roasted Pumpkin Seeds, Mediterranean Nachos, Moroccan Mint Tea," Indian Vegan Baingan Bharta (250 calories/portion, 4 portions) - India
"
52,500.0,150.0,150.0,20.0,350.0," Breakfast pizza - 500 calories per portion, 1 portion, contains gluten, origin"," Chickpea Salad - 150kcals per portion, 2 portions
    Origin", Mexican Street Corn, Moroccan Mint Tea, Tofu Tikka Masala
53,150.0,150.0,90.0,20.0,300.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin, Vegan Chocolate Energy Balls, Watermelon Gazpacho, Moroccan Mint Tea, Teriyaki Tofu Stir Fry
