,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner
1,400.0,150.0,300.0,250.0,280.0, Veggie Breakfast Burrito, Homemade Vegan Trail Mix, Nachos with Salsa and Cheese, Mixed vegetable curry, Vegan Stuffed Shells
2,400.0,280.0,120.0,250.0,200.0, Breakfast Tacos with Chorizo, Berry Smoothie Bowl," Caprese skewers (cherry tomatoes, mozzarella, basil)", Lentil and vegetable moussaka, Vegetable Stir-Fry
3,300.0,100.0,200.0,350.0,270.0, Mediterranean Chickpea Scramble, Cucumber Rolls with Hummus - Approx, Mini Quiches, Vegan Fajitas," Greek Briam with Feta Cheese - 270kcals per portion, 4 portions, contains dairy
"
4,450.0,180.0,140.0,350.0,250.0, Breakfast Tostadas, Apple Cinnamon Muffins, Roasted Red Pepper Dip with Pita Chips," Indian Samosa with Chutney
Total calories per portion"," Zucchini Noodles with Marinara - 250 calories per portion, 4 portions, None, Italy
"
5,200.0,150.0,190.0,350.0,250.0, Mexican Black Bean Breakfast Wrap, Banana Bread Energy Balls - Approx, Greek Spinach and Feta Pinwheels," Italian Vegan Caprese Sandwich
Total calories per portion"," Quinoa salad with roasted butternut squash – 250 calories per portion, 4 portions, gluten-free, vegan-friendly
"
6,250.0,350.0,120.0,400.0,180.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Homemade Veggie Pizza, Mini pizza rolls, Thai Coconut Curry," Greek Roasted Vegetables - 180kcals per portion, 4 portions
"
7,250.0,100.0,200.0,300.0,180.0, Raspberry Chia Jam Toast, Zesty Lime Popcorn - Approx, Almond butter energy bites, Vegan Baked Ziti," Lentil and vegetable soup - 180 calories per portion, 6 portions, none
"
8,350.0,250.0,560.0,450.0,200.0, Quinoa Porridge - 350 calories per portion | 1 portion | Contains nuts | Origin, Cornbread, Vegan Pancakes, Greek Orzo Salad, Vegetable Stir-Fry
9,280.0,150.0,100.0,400.0,250.0," Baked eggs in tomato cups (280 calories per portion, 2 portions, nut-free, Italian origin)
", Chia Pudding, Cucumber and Watermelon Salad," Mexican Chicken Quesadilla (400 calories per portion, serves 2, contains gluten and dairy, origin"," Falafel salad with tahini dressing - 250 calories per portion, 4 portions, contains gluten (Middle East)
"
10,320.0,120.0,100.0,200.0,150.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
", Cottage Cheese with Tomato, Baked Buffalo Cauliflower Bites," Tofu Stir-Fry - 200 calories
   - Total portions"," Low-Calorie Veggie Stir-Fry (150 calories/portion, 3 portions) - China
"
11,300.0,200.0,300.0,450.0,200.0, Tofu Scramble, Stuffed Bell Peppers - Approx, Roasted Vegetable Wrap," Salmon with Lemon Dill Sauce - 450 calories
    - Total portions"," Vegetable Stir-Fry with Tofu - 200 calories per portion, 4 portions, no allergic warnings, Origin"
12,200.0,200.0,150.0,300.0,250.0, Quinoa Veggie Breakfast Skillet, Stuffed Artichoke, Roasted Garlic and Tomato Crostini, Lentil and Spinach Curry," Vegan Lentil and Vegetable Casserole - 250 calories per portion, 4 portions, may contain gluten"
13,300.0,200.0,170.0,400.0,200.0," Blueberry almond smoothie (300 calories per portion, 2 portions, contains nuts, American origin)
", Oat Bars, Tuna Salad Lettuce Wraps, Greek Spanakopita, Lentil Spinach Soup
14,200.0,120.0,200.0,300.0,250.0, Blueberry Muffins, Cottage cheese and pineapple, Mini Bagel Pizzas," Chickpea Curry
Total calories per portion"," Lentil and Vegetable Soup - 250 calories/portion, 4 portions, contains gluten (Various)
"
15,320.0,200.0,200.0,300.0,220.0," Yogurt pancakes with mixed berries (320 calories per portion, 2 portions, contains dairy, American origin)
", Fresh Berry Smoothie - Approx, Greek salad," Greek Lemon Chicken Soup (300 calories per portion, serves 6, contains gluten and eggs, origin", Quinoa and Vegetable Stir Fry
16,300.0,150.0,250.0,450.0,280.0, Saffron Yogurt with Fruit, Greek Yogurt with Berries, Chicken Skewers with Peanut Sauce," Greek Moussaka
Total calories per portion", Vegan Tikka Masala
17,250.0,150.0,220.0,400.0,250.0, Banana Bread, Veggie Omelette," Falafel with Tahini Sauce - 220 kcals per portion, 3 portions, contains sesame (Middle East)", Greek-style stuffed bell peppers, Vegan Stuffed Bell Peppers
18,350.0,100.0,150.0,350.0,250.0," Israeli shakshuka with eggplant and tahini (350kcals per portion, 2 portions, origin", Chilled Gazpacho Soup - Approx, Greek Tzatziki Dip with Pita Bread, Veggie Sushi Burrito," Indian Vegan Baingan Bharta (250 calories/portion, 4 portions) - India
"
19,400.0,100.0,250.0,400.0,280.0," Chicken and vegetable stuffed crepes (400kcals per portion, 2 portions)
", Stuffed Dates - Approx, Thai Mango Sticky Rice, Thai Red Curry with Vegetables," Greek Zucchini Fritters - 280kcals per portion, 4 portions
"
